"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","year","month","locality","decimalLongitude","decimalLatitude","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","499571","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","L. Riedel",NA,"South America","Brazil",NA,"sheet","recd 1862/63 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499571","NY00499571_01","(L.) Wettst.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 02:08:00-03","NY","NYBG","01173118","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","W. A. Archer","7695","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173118","NY01173118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00952074","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","V. C. Souza","M. A. de Freitas","158","South America","Brazil","Amazonas","sheet","[Data from INPA import says collector is M. F. F. da Silva, but label says M. A. Freitas.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952074","NY00952074_01","(L.) Wettst.","1990","10","Distrito Agropecuário - Reserva 1501 Km do Smithsonian/INPA - Projeto Dinâmica Biológica dos Fragmentos Florestais, acampamento","-59.75","-2.416667","10",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 02:08:00-03","NY","NYBG","01173110","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","W. A. Archer","7695","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173110","NY01173110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01173112","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","G. T. Prance","3117","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173112","NY01173112_01","(L.) Wettst.","1966","11","Road Manaus-Caracaraí, km 12. Swamp beside small stream, sandy soil.","-60.0352836","-2.8748184","14","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 15:05:00-03","NY","NYBG","85040","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","N. H. Holmgren","P. Gómez Andrade","451","South America","Ecuador","Morona-Santiago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00085040",NA,NA,"1988","09","Centro Shuar Yukutais, 10km S Sucua, Rio Upano, Agueda Chayuk's garden house","-78.15","-2.52","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01173107","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","H. H. Rusby","1775","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386964' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173107","NY01173107_01","(L.) Wettst.","1886","10","Falls of Madeira","-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01173104","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","R. Spruce","465","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173104","NY01173104_01","(L.) Wettst.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01173111","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. Philcox","G. T. Prance","14397","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173111","NY01173111_01","(L.) Wettst.","1971","07","Rio Curuquetê, vicinity of Cachoeira Santo Antônio. Secondary growth around falls.","-65.7102156","-8.8972404","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-30 01:34:00-03","NY","NYBG","01173103","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","N. H. Holmgren","S. R. Hill","12765","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173103","NY01173103_01",NA,"1983","06","3 km E of Borba; region of the rio Madeira. In disturbed sand near clearings; campina.","-59.583333","-4.383333","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01173141","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","M. H. Nee","M. H. Nee","42296","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173141","NY01173141_01","(L.) Wettst.","1992","01","Distrito Agropecuário da SUFRA. Rodovia BR-174, km 64, then 23 km east on ZF-3. Fazenda Esteio. Former tropical evergreen forest, weeds around camp Colosso, on hard-packed clay, mostly unshaded.","-59.8885828","-2.4292245","22","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","499572","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","G. Gardner","1097","South America","Brazil","Pernambuco","sheet","Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499572","NY00499572_01","(L.) Wettst.","1837","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-30 02:08:00-03","NY","NYBG","01173105","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","N. H. Holmgren","M. G. da Silva","3689","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173105","NY01173105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01173113","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","W. A. Rodrigues","J. C. Ongley","P21805","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317520' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173113","NY01173113_01","(L.) Wettst.","1974","04","Rio Cuieiras, 50km upstream, farm of Sr. Nemerio. Terra firme; fields of Sr. Nemerio.","-60.3236344","-2.6235947","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","499574","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","W. H. Camp","E1056","South America","Ecuador",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499574",NA,"(L.) Wettst.","1944","11","Santiago-Zamora. (Oriente): Cordillera Cutucú. Upland benches and outer ridges of Cutucú, opposite Chupiantza.","-78","-2.67","17",NA,"610","701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01173109","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","E. P. Killip","30049","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386967' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173109","NY01173109_01","(L.) Wettst.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","499570","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Linderniaceae","Lindernia","diffusa","Lindernia diffusa","D. A. Qualls","C. E. F. von Glocker","241","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=556599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499570","NY00499570_01","(L.) Wettst.","1842",NA,NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:31:04-03","UFRJ","RFA","22768","PreservedSpecimen","Plantae",NA,NA,"Linderniaceae","Vandellia","diffusa","Vandellia diffusa",NA,"C. Pereira; Agarez","195",NA,"Brasil","Rio de Janeiro",NA,NA,"RFA48926",NA,"L.","1972","09","Guanabara, Praça da Bandeira","-43.2075004577637","-22.9027996063232",NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:49:41-03","EAO","IAN","147127","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Philcox, D","Anderson, WR","10717","Southern America","Brasil","Pará",NA,NA,"IAN147127",NA,"Wettst.","1974","02","Fores and shrubby campo S of Missão Cururú., at Maloca Duas Casas.","-57.516667","-7.583333","09",NA,"150","150",NA,NA,"1975","-57.516667","-7.583333",NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:49:41-03","EAO","IAN","32717","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Souza, VC","Fróes, RL","23612","Southern America","Brasil","Roraima",NA,NA,"IAN032717","IAN032717 IAN032717_1 IAN032717_1e IAN032717_e","Wettst.","1948","02","Campos gerais de Caracarahy.","-59.254167","0.737222","06",NA,NA,NA,NA,NA,"1994","-59.254167","0.737222","11",NA,NA,NA,NA,NA
"31","2021-03-30 12:49:41-03","EAO","IAN","156142","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Bouças, PRP","468","Southern America","Brasil","Pará",NA,NA,"IAN156142",NA,"Wettst.","1980","03","Campo experimental de germoplasma do CPATU. Quadra 2, parcelas 169, 186, 187. Terreno cultivado com experimento de forrageira. Latossolo amarelo, textura leve. (Oxissolo).","-48.5043983459473","-1.4558299779892","14","Belém",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:49:41-03","EAO","IAN","73677","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Lima, RP de","131","Southern America","Brasil","Pará",NA,NA,"IAN073677",NA,"Wettst.","1951","11","Capoeira do I.A.N.","-48.5043983459473","-1.4558299779892",NA,"Belém",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:49:41-03","EAO","IAN","11710","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Archer, WA","7695","Southern America","Brasil","Pará",NA,NA,"IAN011710","IAN011710 IAN011710_e IAN011710_f","Wettst.","1942","10","Fields of the I.A.N.","-48.5043983459473","-1.4558299779892","19","Belém",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:49:41-03","EAO","IAN","85918","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Cavalcante, PB","19","Southern America","Brasil","Pará",NA,NA,"IAN085918",NA,"Wettst.","1955","08","Near Botanic section of the I.A.N.","-48.5043983459473","-1.4558299779892","03","Belém",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:49:41-03","EAO","IAN","85912","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Souza, VC","Cavalcante, PB","13","Southern America","Brasil","Pará",NA,NA,"IAN085912",NA,"Wettst.","1955","08","Terreno do I.A.N. Gramado.","-48.5043983459473","-1.4558299779892","01","Belém",NA,NA,"48462","auto","1994",NA,NA,"11",NA,NA,NA,NA,NA
"36","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726705","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Polak AM","Ek RC; Maas-van de Kamer H",NA,"Southern America","Guyana",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726705","NL-U1726705","(L.) Wettst.","1993","10",NA,"-58.166667","5.333333","15",NA,NA,NA,NA,NA,NA,"-58.166667","5.333333",NA,"Magnoliopsidae","U 0086481",NA,NA,NA
"37","2020-02-08 09:34:00-03","NBC","NL-BOTANY","L.2805028","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Parra JR de la",NA,"Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2805028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2805028","NL-L2805028","(L.) Wettst.","1900","11","Wilder merki wiwiri.",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"38","2020-02-08 09:34:00-03","NBC","NL-BOTANY","L.2805031","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Splitgerber FL",NA,"Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2805031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2805031","NL-L2805031","(L.) Wettst.","1838","04","! arenosis prope!",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"39","2020-02-08 09:34:00-03","NBC","NL-BOTANY","L.2805032","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Splitgerber FL",NA,"Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2805032 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2805032","NL-L2805032","(L.) Wettst.","1837","12","in savannis prope plant Jaglust.",NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"40","2020-02-08 09:34:00-03","NBC","NL-BOTANY","L.2805039","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Ule EHG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2805039 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2805039","NL-L2805039","(L.) Wettst.","1912","01","Amazonas-Expedition, Bl. weiss, innen gelb, an Wegrändern bei Cobija *.",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"41","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726702","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Raynal-Roques AM",NA,"Southern America","French Guiana",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726702","NL-U1726702","(L.) Wettst.","1978","02",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0224577",NA,NA,NA
"42","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726703","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Ek RC","Ek RC; Riet BP van de; Hartmann FA",NA,"Southern America","French Guiana","Cayenne",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726703","NL-U1726703","(L.) Wettst.","2004","02","Trésor Reserve. Road side, from Carbet till entrance sign.","-52.266667","4.583333","23",NA,NA,NA,NA,NA,NA,"-52.266667","4.583333",NA,"Magnoliopsidae","U 0226046",NA,NA,NA
"43","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726704","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Maas-van de Kamer H","Schomburgk RH",NA,"Southern America","Guyana",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726704 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726704","NL-U1726704","(L.) Wettst.",NA,NA,"British Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0182409",NA,NA,NA
"44","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726706","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa","Jansen-Jacobs MJ","Jansen-Jacobs MJ; Andel TR van; Balcázar MP; Poeketie A",NA,"Southern America","Surinam","Brokopondo",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726706","NL-U1726706","(L.) Wettst.","2008","06","Suriname, Brokopondo Distr., Suriname R., Nieuw Lombé","-55.066667","5.166667","08",NA,NA,NA,NA,NA,NA,"-55.066667","5.166667",NA,"Magnoliopsidae","U 0043805",NA,NA,NA
"45","2020-02-08 09:34:00-03","NBC","NL-BOTANY","U.1726710","PreservedSpecimen","Plantae",NA,"Lamiales","Scrophulariaceae","Lindernia","diffusa","Lindernia diffusa",NA,"Raynal-Roques AM",NA,"Southern America","French Guiana","Saint-Laurent-du-Maroni",NA,"Zone humide en pente, autour de la dépression inondée.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1726710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1726710","NL-U1726710","(L.) Wettst.","1976","03","Guyane. Saül, petite savane incluse, près du village, d' origine certainement artificielle, mais suffisement ancienne pour porter un flore de prairie humide.","-53.233333","3.6","15",NA,NA,NA,NA,NA,NA,"-53.233333","3.6",NA,"Magnoliopsidae","U 0228040",NA,NA,NA
