"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"20","2021-03-15 16:37:00-03","NY","NYBG","687085","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"F. Ehrendorfer","1973","09","11","Brazil","São Paulo","Botucatu","Rubião Junior, Mata de Butignolli","-48.4397","-22.88",NA,NA,"NY00687085","NY00687085_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856509' target='other'> <mi>dwc_moreinfo</mi></a>","73911-32","750","880","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1738027","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","L.A. Gomes",NA,NA,NA,"L.A. Gomes","2011","06","28","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4333","-11.3731",NA,NA,"NY01738027","NY01738027_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954501' target='other'> <mi>dwc_moreinfo</mi></a>","147",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","949396","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","L. B. Smith",NA,NA,NA,"H. S. Irwin","1958","11","06","Brazil","Minas Gerais","Viçosa","State Agricultural School, Viçosa.","-42.868031","-20.7613428",NA,NA,"NY00949396","NY00949396_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026409' target='other'> <mi>dwc_moreinfo</mi></a>","2026",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","813715","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","J. D. Dwyer",NA,NA,NA,"G. Davidse","1976","02","21","Brazil","São Paulo","Sao Paulo","Grounds of the Instituto Botânico","-46.618358","-23.646109",NA,NA,"NY00813715","NY00813715_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806845' target='other'> <mi>dwc_moreinfo</mi></a>","10423","860","860","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","196686","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"W. L. Balée","1986","03","31","Brazil","Pará","Altamira","Igarapé Ipixuna, affluent of Rio Xingu; 5 km S of settlement, Araweté Indian Reserve; above rapids at old FUNAI post.","-52.2064018249512","-3.20333003997803",NA,NA,"NY00196686","NY00196686_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16660' target='other'> <mi>dwc_moreinfo</mi></a>","2078",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","748499","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01060835","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","S. R. Hill",NA,NA,NA,"S. R. Hill","1983","06","27","Brazil","Amazonas","Borba","Across rio Canumã (black water) from Canumã. Clay soil.","-60","-4.3333331",NA,NA,"NY01060835","NY01060835_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266972' target='other'> <mi>dwc_moreinfo</mi></a>","12853",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00749642","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","C. M. Taylor",NA,NA,NA,"P. Fiaschi","2003","09","18","Brazil","Bahia","Almadina","Estrada para Ibitupã. Ramal à esq., ca. km da saída da cidade. Acesso à Serra do Sete-Paus, ca. 7.5 km","-39.6961111","-14.76833333",NA,NA,"NY00749642","NY00749642_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=903330' target='other'> <mi>dwc_moreinfo</mi></a>","1597",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","88373","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","D. E. Williams",NA,NA,NA,"D. E. Williams","1989","09","24","Bolivia","El Beni","José Ballivián","Carmen Florida, Río Beni, 7km upstream from Rurrenabaque, Tacana Indian village","-67.5","-14.5",NA,NA,"NY00088373",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16648' target='other'> <mi>dwc_moreinfo</mi></a>","1009","320","320","South America",NA,NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01060836","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"F. E. Drouet",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,"NY01060836","NY01060836_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268931' target='other'> <mi>dwc_moreinfo</mi></a>","2007",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-27 14:04:00-03","NY","NYBG","192524","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica",NA,NA,NA,NA,NA,"B. C. Bennett","1988","09","24","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais, 10km S Sucua, Rio Upano, bet. Antuash and Kunkumas houses","-78.15","-2.52",NA,NA,"NY00192524",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16659' target='other'> <mi>dwc_moreinfo</mi></a>","3431",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","885339","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","2003","10","29","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Municipal Ecológico da Prainha, Morro da Boa Vista, trilha para o cume","-43.2075","-22.9031",NA,NA,"NY00885339","NY00885339_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988966' target='other'> <mi>dwc_moreinfo</mi></a>","7239","200","200","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1519570","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"W. W. Thomas","2010","02","27","Brazil","Alagoas","Quebrangulo","Reserva Biológica Pedra Talhada. Trail from reserve base (sede) to the top of Pedra Talhada.","-36.44542","-9.25722",NA,NA,"NY01519570","NY01519570_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551434' target='other'> <mi>dwc_moreinfo</mi></a>","15164","488","773","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","799123","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"R. Reitz","1957","08","25","Brazil","Santa Catarina","Joinville","Palacio Episcopal, Joinville","-48.8456","-26.3044",NA,NA,"NY00799123","NY00799123_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16656' target='other'> <mi>dwc_moreinfo</mi></a>","4721","10","10","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","813716","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","J. H. Kirkbride Jr.",NA,NA,NA,"H. M. Curran","1918",NA,NA,"Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo.","-42.5308","-22.2819",NA,NA,"NY00813716","NY00813716_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806857' target='other'> <mi>dwc_moreinfo</mi></a>","746",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","949394","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. C. Standley",NA,NA,NA,"Y. E. J. Mexia","1930","09","20","Brazil","Minas Gerais","Viçosa","Viçosa, Agricultural College lands. Near eastern boundary","-42.868031","-20.7613428",NA,NA,"NY00949394","NY00949394_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026401' target='other'> <mi>dwc_moreinfo</mi></a>","5076","685","685","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02098186","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","C. M. Taylor",NA,NA,NA,"A. V. de Melo Silva","2010","10","05","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. Trilha próxima do alojamento.","-36.43","-9.2589",NA,NA,"NY02098186","NY02098186_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551725' target='other'> <mi>dwc_moreinfo</mi></a>","521","588","588","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","501862","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"A. M. V. de Carvalho","1997","11","06","Brazil","Bahia","Camacan","Desmatamento com plantaçao de café robusta. Arvore remanescentes. A margem da BR-101, ca. de 100 km ao sul de Itabuna","-39.49","-15.41",NA,NA,"NY00501862","NY00501862_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16657' target='other'> <mi>dwc_moreinfo</mi></a>","6331",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01060837","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"W. L. Balée",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,"NY01060837","NY01060837_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1268932' target='other'> <mi>dwc_moreinfo</mi></a>","1594",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02694739","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.",NA,NA,NA,NA,"L. Nusbaumer","2014","10","28","Brazil","Pernambuco","Lagoa do Ouro","Reserva Biológica da Pedra Talhada. localité de Lagoa do Ouro","-36.451676","-9.225468",NA,NA,"NY02694739","NY02694739_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952093' target='other'> <mi>dwc_moreinfo</mi></a>","4258","780",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","885340","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","2003","10","29","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Municipal Ecológico da Prainha, Morro da Boa Vista, trilha para o cume","-43.2075","-22.9031",NA,NA,"NY00885340","NY00885340_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988970' target='other'> <mi>dwc_moreinfo</mi></a>","7239","200","200","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02636971","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","R. S. Souza",NA,NA,NA,"R. S. Souza","2014","08","12","Brazil","Bahia","Nova Ibiá","Fazenda Dois Irmãos","-39.566361","-13.734917",NA,NA,"NY02636971","NY02636971_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3407895' target='other'> <mi>dwc_moreinfo</mi></a>","539","274","274","South America","Sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","201419","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","H. T. Beck",NA,NA,NA,"H. T. Beck","1993","09","22","Ecuador","Esmeraldas",NA,"Awá Reserve. Rio Mataje. Piedra La Redonda (outskirts of Comm. of Mataje), Casa de Aquilino P","-78.67","1.25",NA,NA,"NY00201419",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16652' target='other'> <mi>dwc_moreinfo</mi></a>","2190","216","216","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","949395","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"D. S. Pifano","2001","04","29","Brazil","Minas Gerais","Juiz de Fora","Juiz de Fora. Morro do Imperador.","-43.3503","-21.7644",NA,NA,"NY00949395","NY00949395_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026406' target='other'> <mi>dwc_moreinfo</mi></a>","CESJ33980",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1146555","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","P. G. Delprete",NA,NA,NA,"P. G. Delprete","2006","02","23","Brazil","Tocantins","Arraias","Faz. Jacaré na estrada, propriedade do Sr. Augusto.","-46.7786","-12.8319",NA,NA,"NY01146555","NY01146555_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344666' target='other'> <mi>dwc_moreinfo</mi></a>","9504","550","550","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","02098197","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","C. M. Taylor",NA,NA,NA,"B. S. Amorim","2012","01","24","Brazil","Alagoas","Quebrangulo","REBIO Pedra Talhada. Mata próximo à Pedra Talhada.","-36.4710998535156","-9.31888961791992",NA,NA,"NY02098197","NY02098197_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219058' target='other'> <mi>dwc_moreinfo</mi></a>","1412",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","16583","auto",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","709745","PreservedSpecimen","Plantae","Rubiaceae","Coffea","arabica","Coffea arabica","L.","Unspecified Determiner",NA,NA,NA,"C. A. Cid Ferreira","1991","09","05","Brazil","Acre","Senador Guiomard","BR-317, estrada Rio Branco Brasiléia, km 68 a 4 km da BR. Centro de Estudos Tropicais -FUNTAC, Próximo ao Igarapé Grande.","-67.75","-10.5",NA,NA,"NY00709745","NY00709745_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877125' target='other'> <mi>dwc_moreinfo</mi></a>","10281",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
