"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","recordNumber","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","infraspecificEpithet","dayIdentified","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01404538","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","W. R. Anderson","1973","04","19","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2265471' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404538","Magnoliophyta","Fabales","9177",NA,"13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","-44.45237","-15.56637","575","575","NY01404538_01","(Nees & Mart.) Maréchal & Baudet","E. D. da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","306038","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. H. Nee","1998","01","30","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306038","Magnoliophyta","Fabales","48148","Florida","Along canyon of Río Piraí and highway from Santa Cruz to Samaipata, 6 km (by road) SW of police checkpoint in Angostura.","-63.55","-18.18","680","680",NA,"(Nees & Mart.) Maréchal & Baudet","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 18:41:00-03","NY","NYBG","604352","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. E. Torri","1996","03","11","South America","Argentina","Misiones","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604352","Magnoliophyta","Fabales","316",NA,"Dep. L. N. Alem. Cerro Azul, E.E.A.",NA,NA,NA,NA,NA,NA,"R. O. Vanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","305993","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. H. Nee","1998","04","03","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00305993","Magnoliophyta","Fabales","48821","Andrés Ibáñez","Jardín Botánico de Santa Cruz, 12 km E of center of Santa Cruz on road to Cotoca.","-63.07","-17.77","375","375",NA,"(Nees & Mart.) Maréchal & Baudet","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1843485","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","G. G. Hatschbach","1976","05","13","South America","Brazil","Mato Grosso do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843485","Magnoliophyta","Fabales","38642","Miranda","Rio Miranda","-56.3781","-20.2408",NA,NA,"NY01843485_01","(Nees & Mart.) Maréchal & Baudet","D. G. Debouck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-30 11:08:00-03","NY","NYBG","1843608","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. Coradin","1983","06","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843608","Magnoliophyta","Fabales","6004","Jaguarari","Rodovia Juazeiro-Senhor do Bonfim (BR-407) km 100.","-40.17","-10.32","750","750","NY01843608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","306063","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","M. H. Nee","1998","02","13","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306063","Magnoliophyta","Fabales","48290","Andrés Ibáñez","Just above floodplain of Río Piraí, along dirt road, the turnoff at 3 km WSW of bridge over Río Piraí on highway from Santa Cruz to Samaipata, former subtropical semideciduous forest.","-63.47","-18.13","580","580",NA,"(Nees & Mart.) Maréchal & Baudet","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01405026","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","W. R. Anderson","1973","03","25","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2265496' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405026","Magnoliophyta","Fabales","7961","São João d'Aliança","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73","1040","1040","NY01405026_01","(Nees & Mart.) Maréchal & Baudet","E. D. da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-30 11:08:00-03","NY","NYBG","1843601","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","G. P. Lewis","1991","03","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077905' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843601","Magnoliophyta","Fabales","1918",NA,"C. 4 km along estrada de terra from Livramento do Brumado to Rio de Contas.",NA,NA,NA,NA,"NY01843601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1843493","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","W. W. Thomas","1988","02","15","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843493","Magnoliophyta","Fabales","5976","Itinga","4 km E of Itinga on BR 367 to Almenara.","-41.8","-16.63","300","300","NY01843493_01","(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","777398","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","R. M. Harley","1992","03","11","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777398","Magnoliophyta","Fabales","51868","Abaíra","Estrada Abaíra-Piata, 4 km de Abaíra","-41.68","-13.23","800","800","NY00777398_01","(Nees & Mart.) Maréchal & Baudet","G. P. Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1843617","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. P. de Queiroz","1987","06","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078084' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843617","Magnoliophyta","Fabales","1695","Ituaçu",NA,"-41.2781","-13.8139",NA,NA,"NY01843617_01","(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1843607","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","R. M. Harley","1980","04","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843607","Magnoliophyta","Fabales","21713",NA,"Chapadao Ocidental da Bahia. Valley of the Rio Formoso, ca. 40 km SE of Correntina","-44.42","-13.67","600","600","NY01843607_01","(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","604350","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","B. L. Stannard","1992","03","11","South America","Brazil","Bahia","sheet",NA,"[Collpref H may indicate this to be a G. Hatschbach collection, although his name doesn't appear on the label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604350","Magnoliophyta","Fabales","H51868","Abaíra","Estrada Abaíra-Piata, 4 km de Abaíra","-41.68","-13.23","800","800","NY00604350_01","(Nees & Mart.) Maréchal & Baudet","L. P. de Queiroz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1843600","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","L. P. de Queiroz","1994","10","11","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2077900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843600","Magnoliophyta","Fabales","4062","Barra","Ca. 52 km W de Ibotirama, na BR-242.","-43.57","-12.22",NA,NA,"NY01843600_01","(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-11-01 12:20:00-02","NY","NYBG","777872","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","T. S. Nunes","2001","08","15","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777872","Magnoliophyta","Fabales","606","Senhor do Bonfim","Senhor do Bonfim: Estrada Senhor do Bonfim a Capim Grosso, ca. 130 km de Juazeiro","-40.22","-10.08",NA,NA,"NY00777872_01",NA,"A. S. Carneiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:30:35-03","UFRJ","RFA","29344","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","A. A. M. de Barros","1989","08","15",NA,"Brasil","Rio de Janeiro",NA,NA,"Erva trepadeira, flores vinho","RFA20116",NA,NA,NA,"Maricá","Rodovia Amaral Peixoto, km 29, Rio Ubatiba (ponto 3)","-42.8185997009277","-22.9193992614746",NA,NA,NA,"(Nees & Mart.) Maréchal & Baudet","V. F. Gonçalves","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-15 11:14:40-03","FUNED","FUNED-POL","4664","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Bastos, E.M.A.F.","2011","04","08",NA,"Brasil","MG",NA,NA,NA,"POL004664",NA,NA,NA,"Janaúba","Fazenda Coqueiros Mata Seca","-43.463056","-15.709167",NA,NA,"POL004664_p02 POL004664_p03",NA,NA,NA,NA,"43W 27' 47","15S 42' 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-15 11:14:40-03","FUNED","FUNED-POL","4687","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Bastos, E.M.A.F.","2011","06","23",NA,"Brasil","MG",NA,NA,NA,"POL004687",NA,NA,NA,"Janaúba","Fazenda Coqueiros Mata Seca","-43.463056","-15.709167",NA,NA,NA,NA,NA,NA,NA,"43W 27' 47","15S 42' 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-15 11:14:41-03","FUNED","FUNED-POL","4503","PreservedSpecimen","Plantae","Fabaceae - Papilionoideae","Macroptilium","bracteatum","Macroptilium bracteatum","Calaça,PSST","2009","05","01",NA,"Brasil","MG",NA,NA,NA,"POL004503",NA,NA,NA,"Januária","Parque Estadual Veredas do Peruaçu, MG. Próximo à sede.","-44.628889","-14.935833",NA,NA,NA,NA,NA,NA,NA,"44W 37' 44''","14S 56' 09''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-15 11:14:40-03","FUNED","FUNED-POL","4678","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Bastos, E.M.A.F.","2011","04","08",NA,"Brasil","MG",NA,NA,NA,"POL004678",NA,NA,NA,"Janaúba","Fazenda Coqueiros Mata Seca","-43.463056","-15.709167",NA,NA,"POL004678_p01 POL004678_p02 POL004678_p03 POL004678_p04",NA,NA,NA,NA,"43W 27' 47","15S 42' 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-19 15:44:05-03","UNEB","HUNEB","3309","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Queiroz, E.P.","1999","11","20",NA,"Brasil","Bahia",NA,NA,NA,"HUNEB0003309","Angiospermae","Florideophycidae","47220","Salvador","Região Metropolitana, Stella Maris.","-38.5","-12.966667",NA,NA,NA,"Nees & Mart",NA,NA,NA,"38W30'","12S58'","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-19 15:44:05-03","UNEB","HUNEB","6971","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Nunes, T.S.","2001","06","14",NA,"Brasil","Bahia",NA,NA,"beira de estrada","HUNEB0006971","Angiospermae","Florideophycidae","381","Campo Alegre de Lourdes","Estrada para Pitomba, ca. De 8 km de Campo Alegre de lourdes.","-43.044444","-9.503611","480","480",NA,"(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,"43W2'40''","9S30'13''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-19 15:44:05-03","UNEB","HUNEB","9524","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Guedes, M.L.","2004","04","03",NA,"Brasil","Bahia",NA,NA,"Caatinga hipoxerófila","HUNEB0009524","Angiospermae","Florideophycidae","10879ALCB657403","Morro do Chapéu","Piemonte da Diamantina, a 10 km de Morro do Chapéu","-41.15","-11.55",NA,NA,NA,"(Nees & Mart.) Maréchal & Baudet",NA,NA,NA,"41W9'0''","11S33'0''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-08 17:41:51-03","EAO","IAN","59403","PreservedSpecimen","Plantae","Leguminosae-Pap.","Macroptilium","bracteatum","Macroptilium bracteatum","Pinto, G","1950","09",NA,"Southern America","Brasil","Bahia",NA,NA,NA,"IAN059403","Dicotiledônea",NA,"500","Cruz das Almas",NA,"-39.1018981933594","-12.6700000762939",NA,NA,NA,"(Nees & C.Mart.) Maréchal & Baudet","V.F.","14660","auto",NA,NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:41:51-03","EAO","IAN","29200","PreservedSpecimen","Plantae","Leguminosae-Pap.","Macroptilium","bracteatum","Macroptilium bracteatum","Miranda, R","1945","12",NA,"Southern America","Brasil","Ceará",NA,NA,NA,"IAN029200","Dicotiledônea",NA,"42","Araripe","Região do Araripe. Pé de serra.","-40.0461006164551","-7.21250009536743",NA,NA,"IAN029200 IAN029200_1 IAN029200_e IAN029200_e1","(Nees & C.Mart.) Maréchal & Baudet","V.F.","24561","auto",NA,NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-08 17:41:51-03","EAO","IAN","85589","PreservedSpecimen","Plantae","Leguminosae-Pap.","Macroptilium","bracteatum","Macroptilium bracteatum","Melo, CAM de","1947","09","05","Southern America","Brasil","Paraíba",NA,NA,NA,"IAN085589","Dicotiledônea",NA,"42","Areia",NA,"-35.6916999816895","-6.96332979202271",NA,NA,NA,"(Nees & C.Mart.) Maréchal & Baudet","V.F.","15425","auto",NA,NA,NA,"1980","07",NA,NA,NA,NA,NA,NA,NA
"38","2021-04-08 17:41:57-03","EAO","IAN","3016","PreservedSpecimen","Plantae","Leguminosae-Pap.","Phaseolus","bracteatus","Phaseolus bracteatus","Martius, CFP von",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN003016","Dicotiledônea",NA,"s.n.",NA,NA,NA,NA,NA,NA,"IAN003016_f","Nees & Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2013-07-03 10:56:47-03","EBDA","BAH","6086","S","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum phaseolusbracteatum","Marcos Costa de Oliveira","1984","01",NA,NA,"Brasil","Bahia",NA,NA,"IMPORT. PLANTA: Planta forrageira",NA,NA,NA,"1","Ibotirama","Ibotirama - BA.","-43.2206","-12.1853",NA,NA,NA,"Ness","&","71086","auto",NA,NA,NA,NA,NA,"phaseolusbracteatum",NA,NA,NA,NA,NA,NA
"40","2021-03-02 16:28:55-03","CPAN-UFMS","COR","6708","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Cunha, K. C.","1999","06","20",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Liana; flor amarela; fruto verde Habito: Liana",NA,NA,NA,"10","Corumbá","Bairro Universitário","-57.63","-19.001389","151","151",NA,"(Nees & Mart.) Maréchal & Baudet","Silva, R. R.",NA,NA,"57º37'48''W","19º0'5''S",NA,"2005","08",NA,"19",NA,NA,NA,NA,NA
"41","2021-03-02 16:28:55-03","CPAN-UFMS","COR","4573","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Ana Caroline; Maria Eletícia","1997","06","29",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Liana; flor vermelha Habito: Liana",NA,NA,NA,"32","Corumbá","Estrada da Base da UFMS","-57.6533012390137","-19.0091991424561",NA,NA,NA,"(Nees & Mart.) Maréchal & Baudet","Silva, R. R.","295160","auto",NA,NA,NA,"2005","08",NA,"19",NA,NA,NA,NA,NA
"42","2020-11-26 18:08:18-03","CPAN-UFMS","COR","14600","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Silva,R.R.& Da Silva, M.V.","2003","10","17",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Estandarte verde-vináceos, asas e pétalas da quilha vináceas.; Com Flor: Flores com cálice verde-vermelhado.",NA,NA,NA,"356","Ladário","Sede da Fazenda Rabicho(Marinha do Brasil). Final da pista de pouso. Mata de Galeria; Solo areno-ferruginoso.;.","-57.6016998291016","-19.0046997070312",NA,NA,NA,"(Nees & Mart.) Maréchal & Baudet","Silva,R.R.","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-07-07 00:49:27-03","UFBA","ALCB","109706","PreservedSpecimen","Plantae","Fabaceae","Macroptilium","bracteatum","Macroptilium bracteatum","Guedes, ML; Mattos Andrade, PE de; Leite, KRB; et al.","2013","04","11","Southern America","Brasil","Bahia",NA,NA,"Folhas trifolioladas, vilosas. Flores vináceas. Frutos imaturos.","ALCB031688","Dicotyledon",NA,"20706","Lapão","Piemonte da Diamantina, Ponto 12","-40.834167","-11.691667","370","370","ALCB031688","(Nees & Mart.) Maréchal & Baudet.","Guedes, ML",NA,NA,"-40.834167","-11.691667",NA,"2013","07",NA,NA,NA,NA,NA,NA,NA
