"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","yearIdentified","monthIdentified","class"
"11","2013-11-13 05:54:00-02","MO","MOBOT","406752","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","Walter A. Palacios|Galo A. Tipaz|Daniel Rubio|Edgar Gudiño|Milton Aulestia","Palacios Cuenca 9248","South America","Ecuador","Sucumbíos","Lago Agrio","Reserva Cuyabeno. Laguna Grande. Bosque húmedo Tropical. Bosque primario sobre suelo bien drenado, junto a cabañas NEOTROPIC.","-76.18333",NA,NA,NA,NA,NA,"1991","11","19","230.00000000",NA,NA,NA,NA,NA,NA,"91-112","3",NA,NA,NA
"12","2018-06-03 05:28:00-03","MO","MOBOT","407334","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","Alberto Dik","Dik 802","South America","Ecuador","Napo","Aguarico","Reserva Etnica Huaorani. Carretera del oleoducto de Maxus en construcción, Km 65-67. Bosque húmedo Tropical. Bosque primario. Suelos rojos.","-76.43333","-0.81666",NA,NA,NA,NA,"1993","11","10","247.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2014-12-18 05:31:00-02","MO","MOBOT","100162790","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","M. Zárate (BOLV)","Modesto Zárate|N. Vargas","Zárate B. 2533","South America","Bolivia","Cochabamba","Carrasco","Valle de Sacta, a 240 km carretera principal Cochabamba-Santa Cruz, a 4,5 km entrando a la comunidad Pukara. Estación Valle de Sacta.","-64.7680556","-17.0866666",NA,NA,NA,NA,"2007","9","26","390.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"14","2014-12-18 05:31:00-02","MO","MOBOT","100162829","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","M. Zárate (BOLV)","Modesto Zárate|Huber Villca","Zárate B. 2947","South America","Bolivia","Cochabamba","Carrasco","Valle de Sacta, a 240 km carretera principal Cochabamba-Santa Cruz, a 4,5 kkm entrando a la comunidad Pukara. Estación de valle Sacta.","-64.7663889","-17.0886111",NA,NA,NA,NA,"2008","1","25","390.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"15","2014-12-18 05:31:00-02","MO","MOBOT","100184622","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","M. Zarate (BOLV)","Modesto Zárate|Huber Villca","Zárate B. 2871","South America","Bolivia","Cochabamba","Carrasco","Valle de Sacta, a 240 km carretera principal Cochabamba-Santa Cruz, a 4,5 km entrando a la comunidad Pukara. Estación de valle Sacta.","-64.7655556","-17.0869444",NA,NA,NA,NA,"2008","1","12","390.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"16","2013-07-09 14:18:00-03","MO","MOBOT","100608372","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.",NA,"E. Thomas|K. Torfs|A. Floren","Thomas 948","South America","Bolivia","Cochabamba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"17","2015-08-05 12:59:00-03","MO","MOBOT","100837261","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington","C.A. Cid Ferreira","Cid Ferreira 8986","South America","Brazil","Rondônia","Alvorada D'Oeste","Linha 64, a 04 km da BR-429 em direção a Costa Marques.","-62.5","-11.4166667",NA,NA,NA,NA,"1987","5","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"18","2010-03-22 18:43:00-03","MO","MOBOT","2679507","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","A.D. Poulsen","Poulsen 78341","South America","Ecuador","Sucumbíos",NA,"Reserva de Prodducion Faunistica Cuyabeno. One-hectare plot ca. 1 km north of Laguna Grande and surroundings. Tropical rainforest on terra firme.","-76.2",NA,NA,NA,NA,NA,"1988","4","11","265.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-08-12 05:58:00-03","MO","MOBOT","2688911","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","R. Valencia|K. Bloch|H. Balslev","Valencia Reyes 68799","South America","Ecuador","Sucumbíos",NA,"Reserva de Produccion Faunistica Cuyabeno, 1 km north of Laguna Grande. Hectare-plot no.1. Tropical rain forest on terra firme.","-76.2",NA,NA,NA,NA,NA,"1988","4","1","265.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014-01-27 11:42:00-02","MO","MOBOT","407605","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","Milton Aulestia|J. Andi","Aulestia 883","South America","Ecuador","Napo","Aguarico","Reserva Etnica Huaorani. Carretera y oleoducto de Maxus en construcción, Km 60-61. Al sur del río Tivacuno. Bosque húmedo Tropical. Bosque primario. Suelo plano semiinundado.","-76.4333333","-0.85",NA,NA,NA,NA,"1993","10","21","250.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2018-06-03 05:28:00-03","MO","MOBOT","881018","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","Alberto Dik","Dik 870","South America","Ecuador","Napo","Aguarico","Reserva Etnica Huaorani. Carretera y oleoducto de Maxus en construcción, Km 70. Bosque húmedo Tropical. Bosque primario. Suelos rojos.","-76.36666","-0.83333",NA,NA,NA,NA,"1993","12","6","250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-06-03 05:28:00-03","MO","MOBOT","881850","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","Alberto Dik|R. Enomenga","Dik 1056","South America","Ecuador","Napo","Aguarico","Reserva Etnica Huaorani. Carretera y oleoducto de Maxus en construcción, Km 77-78. Bosque húmedo Tropical. Bosque primario. Suelos rojos.","-76.31666","-0.81666",NA,NA,NA,NA,"1994","2","24","250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-08-12 05:58:00-03","MO","MOBOT","2688424","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","T.D. Pennington (K)","R. Valencia|K. Bloch|H. Balslev","Valencia Reyes 68513","South America","Ecuador","Sucumbíos",NA,"Reserva de Produccion Faunistica Cuyabeno, 1 km north of Laguna Grande. Hectare-plot no.1. Tropical rain forest on terra firme.","-76.2",NA,NA,NA,NA,NA,"1988","4","1","265.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-10 20:43:19-03","INPA","INPA","188314","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","Pennington, TD","Sothers, CA","946","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke","-59.966667","-2.883333",NA,NA,"INPA0188314","INPA0188314 INPA0188314_e","1996","11","28",NA,NA,NA,NA,NA,"-59.966667","-2.883333",NA,NA,"1997","08",NA
"25","2021-01-10 20:43:19-03","INPA","INPA","232844","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"Castilho, CV de","131","Southern America","Brasil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Rodovia Manaus-Itacoatiara, km 26. Trilha L-O7, km 3.5.","-59.929899","-2.976156",NA,NA,"INPA0232844","INPA0232844 INPA0232844_e","2001","10","05","92","92",NA,NA,NA,"-59.929899","-2.976156",NA,NA,NA,NA,NA
"26","2020-08-31 08:54:57-03","INPA","INPA","41892","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","Pennington, TD","Berg, CC","P18588","Southern America","Brasil","Mato Grosso","Aripuanã","Rio Aripuanã, On road from Humboldt Centre to port on rio.","-59.35","-10.2",NA,NA,"INPA0041892","INPA0041892 INPA0041892_e INPA0041892_ni","1973","10","16",NA,NA,NA,NA,NA,"-59.35","-10.2",NA,NA,"2006",NA,NA
"27","2021-01-10 20:43:19-03","INPA","INPA","153639","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"Ferreira, CAC","8986","Southern America","Brasil","Rondônia","Alvorada d'Oeste","BR 429, 4 km em direção a Costa Marques, Linha 64, a 04 km da MR-429 em direçao a Costa Marques.","-62","-11.416667",NA,NA,"INPA0153639","INPA0153639 INPA0153639_e INPA0153639_e1","1987","05","01",NA,NA,NA,NA,NA,"-62","-11.416667",NA,NA,NA,NA,NA
"28","2020-08-31 08:54:57-03","INPA","INPA","96204","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","Carneiro, CE","Ferreira, CAC","1965","Southern America","Brasil","Pará","Oriximinã","Rio Trombetas, Rio Trombetas, margem direita, Porto Trombetas, estrada da Mineração Rio-Norte km 60 atrás da Mina de Bauxita, próximo ao igarapé Saracazinho.","-55.8661","-1.76556",NA,NA,"INPA0096204","INPA0096204 INPA0096204_e INPA0096204_e1","1980","08","31",NA,NA,NA,NA,NA,"-55.8661","-1.76556",NA,NA,"2020","05",NA
"29","2020-08-31 08:54:57-03","INPA","INPA","96712","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.","Carneiro, CE","Ferreira, CAC","2363","Southern America","Brasil","Pará","Oriximiná","Rio Paru do Oeste, Rio Paru do Oeste, margem direita.","-55.922217","0.433352",NA,NA,"INPA0096712","INPA0096712 INPA0096712_e INPA0096712_e1","1980","09","10",NA,NA,NA,NA,NA,"-55.922217","0.433352",NA,NA,"2020","05",NA
"30","2020-08-31 08:54:57-03","INPA","INPA","175217","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"Dick, CW","150","Southern America","Brasil","Amazonas","Manaus","Distrito Agropecuário, ZF3., Ca 90 km N de Manaus, Distrito Agropecuario da Suframa, Rodovia BR-174, km 64, depois 21 km leste na ZF-3, Fazenda Porto Alegre. Reserva nº 3402.","-59","-2.416667",NA,NA,"INPA0175217","INPA0175217 INPA0175217_e INPA0175217_e1 INPA0175217_e2","1992","06","11","50","50",NA,NA,NA,"-59","-2.416667",NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2920857","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.",NA,"J. Aluisio","197","South America - Neotropics","Brazil","Amazonas",NA,"Reserva Florestal Ducke, locqal H2 B1;mata de terra firme; solo argiloso",NA,NA,NA,NA,"US02702241","US02702241_01","1968","10","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae"
"32","2020-09-12 05:00:02-03","US","US","3098860","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.",NA,"C. A. Cid Ferreira, J. Ramos, C. D. A. Mota & N. Rosas","1965","South America - Neotropics","Brazil","Pará",NA,"Município de Oriximiná, rio Trombetas, margem direita, Porto Trombetas, estrada da Mineração Rio-Norte km 60 atrás da Mina de Bauxita, próximo ao igarapé Saracazinho",NA,NA,NA,NA,"US02702240","US02702240_01","1980","8","31",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae"
"33","2020-09-12 05:00:02-03","US","US","3359457","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D. Penn.","Pennington, T. D., (K)","P. Acevedo-Rodriguez, P. Nuñez V. & F. Ramirez","9772","South America - Neotropics","Peru","Cusco","Cuzco","Distrito Camisea, Campamento Malvinas, SI-MAB Plot Malvinas","-72.9294","-11.8733",NA,NA,"US00616892",NA,"1997","9","18","500",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae"
"34","2019-09-04 18:29:20-03","F","FMNH-SEEDPLANTS","V0072183F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata",NA,NA,"C. A. Cid Ferreira & et al.","2363","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0072183F","V0072183F_01","1980","10","9",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"35","2020-02-17 12:27:48-03","F","FMNH-SEEDPLANTS","V0414820F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata",NA,"AMAZ, Universidad Nacional de la Amazónia Peruana","I. Huamantupa et al.",NA,"South America","Peru","Loreto","Maynas","South bank of the lower Yaguas River, at the mouth of the Quebrada Cachimbo, 44 km W of the Yaguas-Putumayo confluence. Campsite 3 (Cachimbo) of Rapid Biological and Social Inventory #23.","-70.52777778","-2.71666667",NA,NA,"V0414820F","V0414820F_01","2010","10","26","70","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"36","2020-02-17 12:27:50-03","F","FMNH-SEEDPLANTS","V0414823F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata",NA,"AMAZ, Universidad Nacional de la Amazónia Peruana","I. Huamantupa et al.",NA,"South America","Peru","Loreto","Maynas","South bank of the lower Yaguas River, at the mouth of the Quebrada Cachimbo, 44 km W of the Yaguas-Putumayo confluence. Campsite 3 (Cachimbo) of Rapid Biological and Social Inventory #23.","-70.52777778","-2.71666667",NA,NA,"V0414823F","V0414823F_01","2010","10","30","70","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"37","2020-09-24 08:25:36-03","IBt","SP","331194","S","Plantae",NA,NA,"Sapotaceae","Pouteria","petiolata","Pouteria petiolata","T.D.Penn.",NA,"Sothers, CA","946",NA,"Brasil","Amazonas","Manaus","Reserva Florestal Ducke","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,"1996","11","28",NA,NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA
