"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","typeStatus","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00708312","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal",NA,"A. Schinini","24979","1986","12","20","South America","Paraguay","Guairá",NA,"-56.22","-25.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708312","Independencia",NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00708251","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","F. J. Fernández Casas","FC5699","1982","01","31","South America","Paraguay","Alto Paraná","Cerca del pueblo de Hernandarias",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708251",NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00731342","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","32876","1992","08","12","South America","Paraguay","Central","Isla Guavira. Along Estero","-57.43","-25.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-26 23:50:00-03","NY","NYBG","00708303","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,"C. V. Morton","H. R. Descole","3305","1945","02","20","South America","Argentina","Misiones","Cataratas del Iquazú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708303","Iguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00708249","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","A. L. Woolston","232","1953",NA,NA,"South America","Paraguay","San Pedro","Alto Paraguay: Primavera",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","781520","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","W. Hoehne","s.n.","1947","05","29","South America","Brazil","São Paulo","Próximo a Interlagos. Capital de Sao Paulo.","-46.702004","-23.702324","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781520","Sao Paulo","NY00781520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","781523","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","L. Riedel","1816","1833","12",NA,"South America","Brazil","São Paulo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781523",NA,"NY00781523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","781524","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","L. Riedel","1816","1833","12",NA,"South America","Brazil","São Paulo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781524",NA,"NY00781524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00708309","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","F. Mereles","2404","1989","01","11","South America","Paraguay","Central","Aregua, Isla Valle","-57.4","-25.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00731334","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","28702","1991","11","11","South America","Paraguay","Paraguarí","Estero del Ypoá, northern part, 10 km E of Nueva Italia. Arroyo Cañabé basin. Southern side of basin, on Arroyo Cañabé","-57.4","-25.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00707688","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","J. Revilla","8396","1983","08","30","South America","Brazil","Pará","Tucuruí, desmatamento na margem direita, estrada para o lago 31 de março","-49.802752","-3.856206","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707688","Tucuruí","NY00707688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01301826","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","F. T. Farruggia","F. T. Farruggia","2763","2010","10","14","South America","Peru","San Martín","Road from Rioja to Moyobamba, before Maro Calzada, cerca del desvio calzada, approximately km 482.","-77.0586","-6.0406","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1577653' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301826","Rioja",NA,"854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00731333","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","35468","1993","03","12","South America","Paraguay","Central","Estero del Ypoá: Villeta-Puerto Guyratí, 6 km S of Villeta, on trail to Paraguay River","-57.57","-25.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00707685","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","S. R. Lowrie","382","1980","10","04","South America","Brazil","Acre","37km from Rio Branco on Rio Branco-Santa Rosa road","-67.8097","-9.9747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707685","Rio Branco","NY00707685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","781527","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","L. A. Mentz","L. A. Mentz","s.n.","1987","05","27","South America","Brazil","Rio Grande do Sul","Na estrada para Santa Rosa.","-54.6628","-27.8242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781527","Santo Cristo","NY00781527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","781519","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","J. Ball","s.n.","1882","07",NA,"South America","Brazil","São Paulo","Ex apricis Brasiliae juxta Sào Paolo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781519",NA,"NY00781519_01","731.5","731.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00707678","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","H. S. Irwin","23857","1969","02","24","South America","Brazil","Minas Gerais","Ca. 45km west of Montes Claros, road to Agua Boa","-43.4729","-16.83955","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707678","Juramento","NY00707678_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","781522","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal",NA,"L. Riedel","1816","1833","12",NA,"South America","Brazil","São Paulo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781522",NA,"NY00781522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00708245","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","C. Dlouhy","7283","1982","12","07","South America","Paraguay","Alto Paraná","Cerca de Hernandarias",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708245",NA,NA,"240","240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-29 19:45:00-03","NY","NYBG","00708247","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal",NA,"L. A. Bohs","3216","2003","12","01","South America","Paraguay","Central","Campus of the Universidad Nacional de Asunción in San Lorenzo and environs. In vacant lot behind Inventario Biológico de Paraguay","-57.5195556","-25.33344444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708247",NA,NA,"115","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00707686","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","M. H. Nee","34373","1987","03","14","South America","Brazil","Rondônia","3 km. N of Ariquemes on BR 364, then 1 km. E on Linea 65","-63.05","-9.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707686","Aríquemes","NY00707686_01","175","175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00707679","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","C. V. Morton","H. S. Irwin","2071","1958","11","11","South America","Brazil","Minas Gerais","State Agricultural School, Viçosa","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707679","Viçosa","NY00707679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00731341","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","47738","1998","01","13","South America","Paraguay","Canindeyú","Mbaracayú Natural Reserve, administered by Fundación Moises Bertoni","-55.5280556","-24.13333333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 03:29:00-03","NY","NYBG","00708306","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,"M. Matesevach","J. E. Monte","440","1947","06","06","South America","Argentina","Misiones","Loreto",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708306","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00731337","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","52769","1999","12","13","South America","Paraguay","Caazapá","Estancia Tapytá of Shell Factory Ltd. On road to Tayá-i creek","-55.765","-26.25027778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731337",NA,NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00708311","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal",NA,"A. Krapovickas","44499","1993","10","07","South America","Paraguay","Itapúa","3.7 Km de Trinidad camino a Jesus",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-27 02:19:00-03","NY","NYBG","00708253","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,NA,"E. Hassler","2386","1903","10",NA,"South America","Paraguay",NA,"Gran Chaco",NA,NA,"sheet","Hb. DC. recu enigos. [unclear] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-02-01 11:37:00-02","NY","NYBG","00708250","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,NA,"E. Hassler","11773","1913","05",NA,"South America","Paraguay","Central","Paraguaria Centralis: In regione lacus Ypacaray",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00707681","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","H. S. Irwin","25111","1970","01","22","South America","Brazil","Goiás","Ca. 24 km N.E. of Catalão","-47.9464","-18.1658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00707681","Catalão","NY00707681_01","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00731332","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","28228","1991","08","03","South America","Paraguay","Central","Lake Ypoá basin. Lake Yabeby","-57.47","-25.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","781518","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","G. Eiten","3232","1961","07","08","South America","Brazil","São Paulo","8.5km due SSE of main plaza of Sao José dos Campos. (7.6km along paved road south from plaza, then 1.4km further south along dirt road to Torrao de Ouro.)","-45.88","-23.1703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781518","Sao José dos Campos","NY00781518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-09-27 02:59:00-03","NY","NYBG","00708248","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","viarum","Solanum viarum",NA,"E. Hassler","P. Jorgensen","3672","1932","09",NA,"South America","Paraguay",NA,"Villarrica [unclear]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","781528","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","J. da Costa Sacco","377a","1955","04","04","South America","Brazil","Rio Grande do Sul","I.A.S.","-52.3422","-31.7719","sheet","Coleçao da S. de Fitopatologia. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781528","Pelotas","NY00781528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00708307","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","T. M. Pedersen","13484","1983","01","08","South America","Argentina","Corrientes","Estancia La Yela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=843797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00708307","Empedrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","00731340","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","52535","1999","11","11","South America","Paraguay","Amambay","National Park Cerro Corá. Around Lorito Picada","-56.0069444","-22.6886111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00731336","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viarum","Solanum viarum","Dunal","M. H. Nee","E. M. Zardini","33189","1992","10","28","South America","Paraguay","Central","Estero del Ypoá. Cerro Pé","-57.45","-25.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=868174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
