"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"11","2019-12-19 11:17:31-03","UFG","UFG","8369","S","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","Rizzo, J.A.","7585","1972","02","04",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"UFG0008369","UFG0008369",NA,NA,NA,NA,"Calago, K.","1999","10","20","44724","auto",NA,NA,NA
"12","2019-12-19 11:17:31-03","UFG","UFG","1912","S","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","Rizzo, J.A.; Barbosa, A.","1006","1968","05","22",NA,"Brasil","Goiás","Goiânia",NA,"-49.2538986206055","-16.6786003112793",NA,NA,NA,NA,"UFG0001912","UFG0001912",NA,NA,NA,NA,"Calago, K.","1999","10","20","25250","auto",NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2901780","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H. Rob.) H. Rob.","R. M. King & F. Almeda","8290","1980","1","24","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, 33 km N of Alto Paraiso",NA,NA,"1219",NA,NA,NA,"US01631312","US01631312_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","2818764","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H. Rob.) H. Rob.","H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12441","1966","2","9","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, ca. 20 km N. of Veadeiros, Goias",NA,NA,"1000",NA,NA,NA,"US01631315","US01631315_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","2858907","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H. Rob.) H. Rob.","W. R. Anderson","6709","1973","3","9","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, 27 km by road N of Alto Paraiso",NA,NA,"1750",NA,NA,NA,"US01631313","US01631313_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2858823","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H. Rob.) H. Rob.","H. S. Irwin, R. M. Harley & G. L. Smith","32990","1971","3","22","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, ca. 25 km N. of Alto do Paraiso",NA,NA,"1250",NA,NA,NA,"US01631314","US01631314_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","2858852","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H. Rob.) H. Rob.","H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12441","1966","2","9","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, ca. 20 km N. of Veadeiros, Goias",NA,NA,"1000",NA,NA,NA,"US01631316","US01631316_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2818488","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Vernonia","souzae","Vernonia souzae","H. Rob.","H. S. Irwin","32990","1971","3","22","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, N of Alto do Paraiso.",NA,NA,"1250","1250",NA,NA,"US00147360","US00147360_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2020-03-06 14:38:42-03","UEFS","HUEFS","254711","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob) H.Rob","Bijos, N.R.","274","2016","05","07",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros. Vereda dos ingleses.","-47.765278","-14.136944","1069","1069",NA,"Vereda.","HUEFS0254711",NA,NA,"Asteranae","47W45'55''","14S8'13''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-09-04 20:03:49-03","F","FMNH-SEEDPLANTS","V0051874F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","souzae","Vernonia souzae",NA,"H. S. Irwin & et al.","32990","1971","3","22","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0051874F","V0051874F_01","Isotype","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-01 14:54:10-03","UnB","UB","138800","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob.) H.Rob.","Anderson, WR","6709","1973","03","09","Southern America","Brasil","Goiás",NA,"27km by road N of Alto Paraíso",NA,NA,"1750","1750",NA,"Perennial; flowers lilac; Sloping up to rocky cerrado with sandstone outcrops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 14:54:10-03","UnB","UB","138801","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lessingianthus","souzae","Lessingianthus souzae","(H.Rob.) H.Rob.","King, RM","8290","1980","01","24","Southern America","Brasil","Goiás",NA,"Chapada dos Veadeiros. 33km N of Alto Paraíso",NA,NA,NA,NA,NA,"Suffrutescent herb 1,5m. Florets purple; Rocky campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2010-08-16 16:38:08-03","GH","HU-HERB","GH 00013763","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","souzae","Vernonia souzae","H. Robinson","H. S. Irwin, R. M. Harley & Gary L. Smith","32990","1971","3","22","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros; 25 km. north of Alto do Paraíso",NA,NA,"1250",NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32990","undetermined"
