"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","recordNumber","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","sex"
"11","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","15826",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","L. Kollmann; et al",NA,"2001","12","10","Brasil","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,"Epífita caída. Sépalas e pétalas rosadas claras com listras um pouco mas escuras. Labelo amarelo com o centro vináceo.","MBML015826","MBML015826","Plantae",NA,"5162",NA,"Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"W. Forster/Fev.2013",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA
"12","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","16226",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","L. Kollmann; et al",NA,"2002","02","14","Brasil","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,"Epífita caída. Flores esbranquiçadas. Labelo com base vinácea.","MBML016226",NA,"Plantae",NA,"5546",NA,"Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA
"13","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","16550",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","A. P. Fontana",NA,"2001","01","30","Brasil","Orquidário MBML",NA,"Folhas cilíndricas, flores amarelas esverdeadas, com mácula roxa no meio do labelo.","MBML016550",NA,"Plantae",NA,"79",NA,"Espírito Santo","Santa Teresa","-40.599722","-19.935972",NA,NA,NA,NA,NA,NA,NA,"40W35'59","19S56'9,5",NA,NA,NA,NA
"14","2020-07-10 09:48:27-03","MBML","MBML-HERBARIO","4292",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","M. D. S. Albuquerque",NA,"1987","11","01","Brasil","S.B.Urânia",NA,"culta.","MBML004292",NA,"Plantae",NA,NA,NA,"Espírito Santo","Alfredo Chaves","-40.917222","-20.471667",NA,NA,"Fraga/11-11-2002",NA,NA,NA,NA,"40W55'2","20S28'18",NA,NA,NA,NA
"15","2020-07-10 09:48:27-03","MBML","MBML-HERBARIO","5277",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Valentim Krause",NA,"1988","11","06","Brasil","Santo Antônio",NA,"Epífita, estéril, cult. Floração em cultivo, herb em 15/02/1989. flor alvo amarelada, labelo com mancha púrpurea no centro.","MBML005277",NA,"Plantae",NA,NA,NA,"Espírito Santo","Santa Leopoldina","-40.548056","-20.058333",NA,NA,"H.Q.B.Fernandes/15-02-1989",NA,NA,NA,NA,"40W32'53","20S3'30",NA,NA,NA,NA
"16","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","5489",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","L. Kollmann",NA,"1988","07","21","Brasil","Alto Piaba",NA,"Álcool","MBML005489",NA,"Plantae",NA,"32",NA,"Espírito Santo","Fundão","-40.454167","-19.897222",NA,NA,"H.Q.B. Fernandes/15-02-1989",NA,NA,NA,NA,"40W27'15","19S53'50",NA,NA,NA,NA
"17","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","47126",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb. Rodr.","N. Sanson",NA,NA,NA,NA,"Brasil",NA,NA,NA,"MBML047126",NA,"Plantae",NA,"100",NA,"Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","12993",NA,"Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","C. N. de Fraga",NA,NA,NA,NA,"Brasil","Divisa com a Reserva de Duas Bocas",NA,"Mata Atlântica de encosta 1° e 2° em bom estado de conservação em coleta realizada ao lado esquerdo e direito da estrada do sítio. Flores brancas com labelo colorido de rosa lateralmente, epífita em árvore caída.","MBML012993","MBML012993","Plantae",NA,"251",NA,"Espírito Santo","Cariacica","-40.4199981689453","-20.2639007568359","18507","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-10-09 13:58:29-03","UHH","HBG","501814","S","Orchidaceae","Octomeria","paulensis","Octomeria paulensis","Kraenzl. ined. non Barb. Rod.?","Brade, A.C.",NA,NA,NA,NA,"Brazil","S. Paulo, Jaraguá, Urwald",NA,"ex Herb. Kränzlin NEOTROPOctomeria xylobiochila Kränzl. ined., Brazil, Paraná, Jaguariahyva, in silvula, 12 Mar 1911, P. Dusén 11583, HBG501815: TYPUS?(Kränzlin): Typus!","HBG501814","HBG501814","Plantae",NA,"6240","South America",NA,NA,NA,NA,NA,NA,"Kränzlin",NA,NA,NA,NA,NA,NA,"Type","1000","1000",NA
"20","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Glaziou, AFM",NA,NA,NA,NA,"Brazil","in prov. Riod de Janeiro vel Minas Geraes",NA,"Floret Septembri - Januario",NA,NA,"Plantae",NA,"16374","Southern America","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Barbosa Rodrigues, J",NA,NA,NA,NA,"Brazil","Habitat in sylvis ad Joinville prov. Paraná",NA,NA,NA,NA,"Plantae",NA,"s.n.","Southern America","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Glaziou, AFM",NA,NA,NA,NA,"Brazil","in rupibus prope Botafogo prov. Rio de Janeiro",NA,NA,NA,NA,"Plantae",NA,"5491","Southern America","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:13:37-03","IBt","SP","38361","S","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Hoehne, FC",NA,"1937","06","03","Brasil","Alto da Serra",NA,NA,NA,NA,"Plantae",NA,"s.n.",NA,"São Paulo",NA,NA,NA,NA,NA,"Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:13:37-03","IBt","SP","45972","S","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Gehrt, A",NA,"1941","09","01","Brasil","Paiól do Meio",NA,NA,NA,NA,"Plantae",NA,"s.n.",NA,"São Paulo",NA,NA,NA,NA,NA,"Udulutsch, RG","2001","01",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:13:37-03","IBt","SP","38381","S","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barb.Rodr.","Spaet, W",NA,"1937","06","09","Brasil",NA,NA,NA,NA,NA,"Plantae",NA,"166",NA,"São Paulo","Suzano","-46.310001373291","-23.5400009155273","22625","auto","Hoehne, FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-04-02 20:12:49-03","AMES","HU-HERB","AMES 02173913","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barbosa Rodrigues","G. F. J. Pabst","123","1950","9","17","Brazil","Tijuca - prope Vista do Almirante","Sheet",NA,NA,NA,"Plantae",NA,"123","South America","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
"27","2020-04-02 20:12:18-03","AMES","HU-HERB","AMES 02173914","PreservedSpecimen","Orchidaceae","Octomeria","praestans","Octomeria praestans","Barbosa Rodrigues","G. F. J. Pabst","123","1950","9","17","Brazil","Tijuca - prope Vista do Almirante","Sheet",NA,NA,NA,"Plantae",NA,"123","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
