"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","typeStatus"
"13","2020-10-01 14:26:54-03","JBB","HEPH","22118","S","Plantae","Monocotyledon","Poales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Jesus, FPR de","300","2005","10","17","Southern America","Brasil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília, próximo à Captação 3 da CAESB, área queimada há mais ou menos 1 mês","-47.85","-15.866667","1025","1025",NA,NA,NA,NA,"2015",NA,NA,NA,"-47.85","-15.866667",NA,NA,NA,NA,NA
"14","2021-02-11 17:21:17-03","UFPR","UPCB","60846","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Toncic, B.","Kozera, C.","2311","2005","08","04",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea, cespitosa em campo hidromórfico recém-queimado..","UPCB0037737","UPCB0037737","2013","08",NA,NA,NA,NA,"27346","auto",NA,NA,NA
"15","2011-08-31 13:16:00-03","MO","MOBOT","2933777","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Filgeires","M.A. da Silva|Tarciso S. Filgueiras|A.L. Brochado|F. França|E. Cardoso","Silva 1589","1992","8","8","South America","Brazil","Bahia",NA,"unicipio de Correntina-Ba. Fazenda Jatobá. Coordenadas entre.","-46.75","-13.2333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"16","2019-09-03 15:15:00-03","MO","MOBOT","101152617","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C.A.D. Welker (HUFU)","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 9377","1965","10","20","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros, ca. 12 km NW of Veadeiros.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"17","2019-09-06 10:36:00-03","MO","MOBOT","1408845","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C.A.D. Welker (HUFU)","Elsa M. Zardini|S. Ramírez B.","Zardini 51253","1999","9","23","South America","Paraguay","Canindeyú",NA,"Mbaracayú Natural Reserve administered by Fundación Moisés Bertoni: Aguará Ñú. On red sandy soil.","-55.28","-24.1836111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1178",NA
"18","2009-09-15 10:55:00-03","MO","MOBOT","2479975","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Filgueiras, T. S.","Jason R. Swallen","Swallen 8366","1946","1","30","South America","Brazil","Paraná",NA,"Ponta Grossa","-50.1619444","-25.095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-09-16 06:16:00-03","MO","MOBOT","2515847","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.",NA,"Benedict (Benjamin) Balansa","Balansa 231",NA,NA,NA,"South America","Paraguay","Caaguazú",NA,"in pratis uliginosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","2931694","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","G Davidse","Tarciso S. Filgueiras","Filgueiras 1212","1986","6","5","South America","Brazil","Distrito Federal",NA,"Brejo recentemente queirmado )acidentalmente) centro da Resrva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","2931658","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","T.S. Filgueiras","Marina L. Fonseca","Fonseca 2110","1999","9","20","South America","Brazil","Distrito Federal",NA,"Reserva Ecológica do IBGE. Brejo próximo ao Córrego Taquara. Solo gleizado, Local queimado a 51 dias. Altitude média: 1015 m. Coordenadas.","-47","-15.93194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2011-12-22 05:01:00-02","MO","MOBOT","1124014","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Saccharum","filiforme","Saccharum filiforme","Hack.","Parodi","Teodoro Rojas","Rojas 6334","1933","9",NA,"South America","Paraguay","Amambay",NA,"Cabecera Aquidaban, sierra de Amambay.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2011-12-22 05:00:00-02","MO","MOBOT","215769","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Saccharum","filiforme","Saccharum filiforme","Hack.",NA,"Teodoro Rojas","Rojas 3917","1921","9",NA,"South America","Paraguay","Amambay",NA,"Cerro Torin.","-55.55","-23.53333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-26 13:57:31-03","IMA","MAC","6041","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","T.S.Filgueiros","T.S.Filgueiros","754","1980","09","15",NA,"Brasil","Distrito","Brasília","Brejo recém queimado.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim. Inflorescência pilosa, pêlos marrons.","MAC0006041",NA,"1994",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA
"25","2021-01-26 13:57:31-03","IMA","MAC","6034","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.",NA,"R.C.Mendonça; D.Alvarenga","627","1986","04","24",NA,"Brasil","Distrito","Brasília","Reserva Ecológica do IBGE.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Capim florido. Inflorescência amarelada.","MAC0006034",NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","1960999","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, C. A. D.","J. R. Swallen","8366","1946","1","30","South America","Brazil",NA,NA,"Banhado, Estacao Experimental. Ponta Grossa. Parana.",NA,NA,NA,NA,NA,NA,"US01966540",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","3442888","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, C. A. D.","R. C. de Mendonça & M. Ribeiro","518","1985","9","9","South America","Brazil",NA,NA,"Distrito Federal, APA do Sao Bartolomeu, Corrego Mato Grande afluente do Ribeirao Papuda.",NA,NA,NA,NA,NA,NA,"US01966541",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA
"28","2020-09-12 05:00:02-03","US","US","102777","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Saccharum","filiforme","Saccharum filiforme","Hack.",NA,"B. Balansa","231","1874","11","6","South America","Paraguay",NA,NA,"Caaguaza",NA,NA,NA,NA,NA,"Fragmentary material of type specimen ex herb. Vienna; also in packet on same sheet, fragmentary material of same collection ex herb. Brussels.","US01268704",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,"Type collection"
"29","2020-09-02 16:36:38-03","Cenargen","CEN","26080","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C. A. D. Welker","Glocimar Pereira-Silva","1753","1993","08","26",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","1035","1035","Exsicatas",NA,"CEN00026080","CEN00026080","2015","05",NA,NA,"-4796667.0","-1580000.0","70570","auto","4",NA,NA
"30","2020-09-02 16:36:38-03","Cenargen","CEN","38860","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C. A. D. Welker","Glocimar Pereira-Silva","3001","1994","09","17",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do Guará.","-47.9296989440918","-15.7797002792358",NA,NA,"Exsicatas",NA,"CEN00038860","CEN00038860","2015","05",NA,NA,NA,NA,"70570","auto","1",NA,NA
"31","2020-09-02 16:36:38-03","Cenargen","CEN","11363","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","J. F. M. Valls","Tarcisio de Souza Filgueiras","1183","1992","11","25",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do IBGE.","-47.9296989440918","-15.7797002792358",NA,NA,"Exsicatas","Capim com espiguetas pilosas, amareladas. Floresceu após poda drástica. Doação da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE. Herbário da Reserva Ecológica do IBGE.","CEN00011363","CEN00011363","2016","02",NA,NA,NA,NA,"70570","auto","1",NA,NA
"32","2020-09-02 16:36:38-03","Cenargen","CEN","64292","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C. A. D. Welker","Gabriel Hugo Rua","691","2005","12","08",NA,"Brasil","TO","MATEIROS","Região do Jalapão, estrada Mumbuca - Boa Esperança, vereda da Extrema.","-46.613888","-10.353611","442","442","Exsicatas",NA,"CEN00064292","CEN00064292","2015","05",NA,NA,"-46.613888","-10.353611",NA,NA,"3",NA,NA
"33","2020-09-02 16:36:38-03","Cenargen","CEN","11357","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","J. F. M. Valls","Roberta Cunha de Mendonça","518","1985","09","09",NA,"Brasil","DF","BRASILIA","APa São Bartolomeu, córrego Mato Grande afluente do Ribeirão Papuda.","-47.9296989440918","-15.7797002792358",NA,NA,"Exsicatas","Capim crescendo em brejo seco, queimado recentemente; inflorescência verde esbranquiçadas ocorrendo misturada com Arthropogon filifolium. Doação do IBGE.","CEN00011357","CEN00011357","2016","02",NA,NA,NA,NA,"70570","auto","1",NA,NA
"34","2020-09-02 16:36:38-03","Cenargen","CEN","26078","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","C. A. D. Welker","Glocimar Pereira-Silva","1738","1993","08","26",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do Guará","-47.9296989440918","-15.7797002792358","1035","1035","Exsicatas",NA,"CEN00026078","CEN00026078","2015","05",NA,NA,"-4796667.0","-1580000.0","70570","auto","4",NA,NA
"35","2019-11-13 11:28:51-03","USP","SPF","44819","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Mendonça, RC","518","1985","09","09",NA,"Brasil","Distrito Federal",NA,"APA da Bacia do Rio São Bartolomeu",NA,NA,NA,NA,NA,NA,"SPF00044819",NA,"1985","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:28:51-03","USP","SPF","44819","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Leptosaccharum","filiforme","Leptosaccharum filiforme","(Hack.) A.Camus","Filgueiras, TS","Mendonça, RC","518","1985","09","09",NA,"Brasil","Distrito Federal",NA,"APA da Bacia do Rio São Bartolomeu",NA,NA,NA,NA,NA,NA,"SPF00044819",NA,"1985","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-01-25 15:44:30-02","IAC","IAC","49703","S","Plantae",NA,NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Neves, Bárbara Toncic","J.L.S. Tannus","940","2005","10","20",NA,"Brasil","São Paulo","Itararé","Unidade de Pesquisa e Desenvolvimento de Itararé","-49.3317","-24.1125",NA,NA,NA,"Coordenadas do material: 24°16#?#06#?#S, 49°12#?#19#?#W",NA,NA,"2013","08","20",NA,"-49.3317","-24.1125",NA,NA,NA,NA,NA
"38","2020-11-12 17:02:36-03","UEL","FUEL","43045","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Estevan, DA","1038","2005","10","19",NA,"Brasil","Paraná","Ventania","Fazenda Santa Inês, Campo encharcado.","-50.2428016662598","-24.2458000183105",NA,NA,NA,NA,NA,NA,"2012","12","10",NA,NA,NA,"32424","auto",NA,NA,NA
"39","2019-11-01 15:16:15-03","UnB","UB","75306","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Oliveira, RC","Munhoz, CBR","548","1997","11","01","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Água Fria","-47.509167","-14.091111",NA,NA,NA,NA,NA,NA,"1997","11",NA,NA,"-47.509167","-14.091111",NA,NA,NA,NA,NA
"40","2019-11-01 15:16:15-03","UnB","UB","75312","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Filgueiras, TS","Irwin, HS","9377","1965","10","20","Southern America","Brasil","Goiás",NA,"12km ao NW de Veadeiros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-01 15:16:15-03","UnB","UB","76911","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Irwin, HS","8923","1965","10","04","Southern America","Brasil","Distrito Federal",NA,"Ca. 15km E of Brasília near Planaltina",NA,NA,"1200","1200",NA,"Caespitose, ca. 40cm tall; Meadow. Gallery forest, adjacent meadow and cerrado border","UB0025860","UB0025860","2015","05","25",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-01 15:16:15-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Sousa, MWS; Sonsin, J; Fagg, CW","69","2016","08",NA,"Southern America","Brasil","Goiás","Cristalina","Ao lado da Br 040","-47.566389","-16.801944","1130","1130",NA,"Cerrado, terreno com pedra","UB0110343","UB0110343",NA,NA,NA,NA,"-47.566389","-16.801944",NA,NA,NA,NA,NA
"43","2019-11-01 15:16:15-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Sousa, MWS; Sonsin, J; Fagg, CW","69","2016","08",NA,"Southern America","Brasil","Goiás","Cristalina","Ao lado da Br 040","-47.566389","-16.801944","1130","1130",NA,"Cerrado, terreno com pedra","UB0110344","UB0110344",NA,NA,NA,NA,"-47.566389","-16.801944",NA,NA,NA,NA,NA
"44","2019-11-01 15:16:25-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Leptosacharum","filiforme","Leptosacharum filiforme","(Hack.) A.Camus","Burman, AG","Mimura, I","142","1982","11","28","Southern America","Brasil","São Paulo","São José dos Campos","Ca. 9.9 km SSE em linha reta da praça principal de São José dos Campos","-45.8800010681152","-23.1700000762939","595","595",NA,"Distribuído pelo Instituto de Botânica, São Paulo; Erva com pelos verde amarelados. Touceira com 50.0 cm de diâmetro; Área disjuntiva de cerrado, de várias centenas de km², rodeado antigamente por mata. Cerrado ralo, pastado, arbustos","UB0021286","UB0021286","1982","07","14",NA,NA,NA,"39297","auto",NA,NA,NA
"45","2019-11-01 15:16:25-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Leptosacharum","filiforme","Leptosacharum filiforme","(Hack.) A.Camus","Burman, AG","Mimura, I","142","1982","11","28","Southern America","Brasil","São Paulo","São José dos Campos","Ca. 9.9 km SSE em linha reta da praça principal de São José dos Campos","-45.8800010681152","-23.1700000762939","595","595",NA,"Distribuído pelo Instituto de Botânica, São Paulo; Erva com pelos verde amarelados. Touceira com 50.0 cm de diâmetro; Área disjuntiva de cerrado, de várias centenas de km², rodeado antigamente por mata. Cerrado ralo, pastado, arbustos","UB0021286","UB0021286","1982","07","14",NA,NA,NA,"39297","auto",NA,NA,NA
"46","2021-02-08 12:53:34-03","UFRGS","ICN","182001","S","Plantae","Monocotyledon",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Filgueiras, TS; Fonseca, ML","3006","1994","09","07","América do Sul","Brasil","GO","Chapada dos Veadeiros","ca. 12 km de Alto Paraíso",NA,NA,NA,NA,NA,"campo úmido",NA,NA,"2012","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:53:34-03","UFRGS","ICN","082384","S","Plantae","Monocotyledon",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Longhi-Wagner, H","Mendonça, RC; Ribeiro, M","518","1985","09","09","América do Sul","Brasil","DF","Brasília","APA de São Bartolomeu , córrego Mato Grande afluentedo Riberião Papuda.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Herbário da Reserva Ecológica do IBGE.; Capim crescendo em brejo seco, queimado recentemente.",NA,NA,"2016","07","13",NA,NA,NA,"70570","auto",NA,NA,NA
"48","2021-02-08 12:53:34-03","UFRGS","ICN","082350","S","Plantae","Monocotyledon",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Longhi-Wagner, H","Filgueiras, TS","1097","1983","07","10","América do Sul","Brasil","GO","Pirenópolis","Serra dos Pireneus.","-48.9592018127441","-15.852499961853",NA,NA,NA,"Herbário da Reserva Ecológica do IBGE.; Capim de infl. Pilosas, amareladas.; Abundantes, porém só nesse local. Brejo recém queimado.",NA,NA,"2016","07","13",NA,NA,NA,"40887","auto",NA,NA,NA
"49","2021-02-08 12:53:34-03","UFRGS","ICN","182002","S","Plantae","Monocotyledon",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Sousa, LP","s.n.","2010","10","26","América do Sul","Brasil","PR","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,"2015","05","25",NA,NA,NA,"46557","auto",NA,NA,NA
"50","2021-02-08 12:53:34-03","UFRGS","ICN","182003","S","Plantae","Monocotyledon",NA,"Poaceae","Eriochrysis","filiformis","Eriochrysis filiformis","(Hack.) Filg.","Welker, CAD","Estevan, DA","1038","2005","10","19","América do Sul","Brasil","PR","Ventania","Fazenda Santa Inês","-50.2428016662598","-24.2458000183105",NA,NA,NA,"campo encharcado",NA,NA,"2015","05","25",NA,NA,NA,"32424","auto",NA,NA,NA
