"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","970531","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","A. P. Duarte",NA,NA,NA,"E. P. Heringer","10585","1965","09","30","Brazil","Distrito Federal","Brasília","Parque do Guará.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970531","NY00970531_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4176952","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"M. H. Nee","35619","1987","08","11","Bolivia","Santa Cruz","Andrés Ibáñez","12 km E of of center of Santa Cruz, on road to Cotoca","-63.07","-17.77",NA,NA,"375",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500043' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176952",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","440231","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"Collector info in notes",NA,NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"No collector or collection number on label <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440231","NY00440231_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","970533","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","S. F. Smith",NA,NA,NA,"E. P. Heringer","3799","1980","03","17","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970533","NY00970533_01 NY00970533_02","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4176954","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"B. Mostacedo C.","2232","1994","08","19","Bolivia","Santa Cruz",NA,"Río Pantano. Arbol de 16 m y 30-40 cm DAP",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500045' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176954",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4176955","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"M. H. Nee","35361","1987","07","27","Bolivia","Santa Cruz","Andrés Ibáñez","city of Santa Cruz","-63.18","-17.78",NA,NA,"420",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500046' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176955",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","970532","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","F. Markgraf",NA,NA,NA,"E. P. Heringer","10672","1965","10","18","Brazil","Distrito Federal","Brasília","Couty Club de Brasília.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970532","NY00970532_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4176951","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"M. H. Nee","37078","1988","12","09","Bolivia","Santa Cruz","Andrés Ibáñez","along Río Pantano (=Rio Chore-Chore), 7 km SE of Palmar del Oratorio and 18 km SE of center of Santa Cruz","-63.1","-17.93",NA,NA,"380",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500042' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176951",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","970535","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","S. F. Smith",NA,NA,NA,"E. P. Heringer","2947","1979","12","18","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970535","NY00970535_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","970537","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"E. P. Heringer","1355","1979","05","09","Brazil","Distrito Federal","Brasília","Área de inundação da Barragem do São Bartolomeu. corrego do Mato Grande.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051324' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970537","NY00970537_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","970534","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","K. U. Kramer",NA,NA,NA,"E. P. Heringer","5779","1980","11","24","Brazil","Distrito Federal","Brasília","Córrego Quilombo.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970534","NY00970534_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","440234","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"G. G. Hatschbach","30980","1972","12","12","Brazil","Paraná","Lapa","Johanisdorf","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440234","NY00440234_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","04176950","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"M. H. Nee","41635","1991","07","10","Bolivia","Santa Cruz","Andrés Ibáñez","W side of city of Santa Cruz, barrio Urbari","-63.2","-17.78",NA,NA,"420",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500040' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176950",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","970536","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","S. F. Smith",NA,NA,NA,"E. P. Heringer","5206","1980","07","08","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970536","NY00970536_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1921293","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","F. Markgraf",NA,NA,NA,"L. B. Smith","12956","1964","10","25","Brazil","Santa Catarina",NA,"Mun. Jabora: Castelhano","-51.75","-27.13",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921293","NY01921293_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","970530","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","A. P. Duarte",NA,NA,NA,"H. S. Irwin","18049","1966","07","07","Brazil","Distrito Federal","Brasília","Sobradinho, ca. 20 km. E. of Brasília.","-47.8167","-15.6333",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970530","NY00970530_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","440235","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","M. H. Nee",NA,NA,NA,"M. H. Nee","38622","1990","09","05","Bolivia","Santa Cruz","Andrés Ibáñez","City of Santa Cruz","-63.18","-17.78",NA,NA,"420","420","Leaf sample removed by Kurt Potgieter, 1996 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440235",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","440402","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","F. Markgraf",NA,NA,NA,"R. M. Klein","1832","1956","01","24","Brazil","Santa Catarina","Itajaí","Morro da Rossacada, Itajaí","-48.6617","-26.9081",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440402","NY00440402_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1921479","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"L. B. Smith","11915","1957","02","28","Brazil","Santa Catarina","Capinzal","4 km southeast of Capinzal.","-51.6117","-27.3436",NA,NA,"500","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921479","NY01921479_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1921478","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"R. Reitz","5820","1953","11","18","Brazil","Santa Catarina","Brusque","Azambuja","-48.910147","-27.126635",NA,NA,"40",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921478","NY01921478_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4176953","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"M. H. Nee","47877","1988","01","09","Bolivia","Santa Cruz","Andrés Ibáñez","1 km WSW of bridge over Rio Pirai on highway from Santa Cruz to Samaipata, 1 km on dirt road from turnoff at Taruma to El Salao (Salado or Quebrada Salada)","-63.47","-18.1",NA,NA,"600",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500044' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176953",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1921477","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"G. G. Hatschbach","47800","1982","10","20","Brazil","Paraná","Morretes","Serra Marumbai, picada Frontal","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921477","NY01921477_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,"30514","auto",NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","297950","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe estrellense","Hassl.",NA,NA,NA,NA,"E. Hassler","10á651",NA,NA,NA,"Paraguay",NA,NA,"Orillas mont. Estrella (Enurcion á Estrella)",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297950","NY00297950_01","Magnoliophyta","Gentianales","isotype","South America","sheet","estrellense",NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 15:10:00-03","NY","NYBG","297988","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy campestre","Hassl.",NA,NA,NA,NA,"E. Hassler","7199a","1902","08",NA,"Paraguay",NA,NA,"Prope Concepcion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297988","NY00297988_01","Magnoliophyta","Gentianales","possible type","South America","sheet","campestre",NA,NA,NA,NA,NA,NA,NA
"35","2016-09-27 15:10:00-03","NY","NYBG","297989","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy campestre","Hassl.",NA,NA,NA,NA,"E. Hassler","7199","1901",NA,NA,"Paraguay",NA,NA,"Prope Concepcion",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297989","NY00297989_01","Magnoliophyta","Gentianales","isotype","South America","sheet","campestre",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","297990","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","quirandy","Aspidosperma quirandy silvaticum","Hassl.",NA,NA,NA,NA,"E. Hassler","10601",NA,NA,NA,"Paraguay",NA,NA,"Sierra de Amambay, Paraguaria septentrionali",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297990","NY00297990_01","Magnoliophyta","Gentianales","isotype","South America","sheet","silvaticum",NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 11:07:05-03","UNESP-IBB","BOTU","33436","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll. Arg.",NA,NA,NA,NA,"Castello, A.C.D.","131","2015","11","14","Brasil","Distrito Federal","Brasília","Próximo a trilha cristal d'água, parque nacional de Brasília","-47.916111","-15.728889","47°54'58w","15°43'44s",NA,NA,NA,"BOTU033436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 11:07:05-03","UNESP-IBB","BOTU","33334","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Mull.Arg.",NA,NA,NA,NA,"Castello, A.C.D.",NA,"2016","05",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Mirante Dona marta","-43.196389","-22.945","43°11'47w","22°56'42s",NA,NA,NA,"BOTU033334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 11:07:05-03","UNESP-IBB","BOTU","33351","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"Castello, A.C.D.","149","2015","11","17","Brasil","Distrito Federal","Brasília","Fazenda Cachoeira","-47.861944","-15.530278","47°51'43w","15°31'49s",NA,NA,NA,"BOTU033351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-29 11:28:52-03","UFRJ","RFA","5062","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","Woodson","1953",NA,NA,"Mendes Magalhães","378","1940","08","26","Brasil","Minas Gerais","Belo Horizonte","Bairro Santo Antonio","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Árvore 6 m de altura, pouco frequente","RFA35629",NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA
"41","2020-06-29 11:28:52-03","UFRJ","RFA","8568","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.",NA,NA,NA,NA,"A.P. Duarte","10723","1967","12","16","Brasil","Goiás","Goiás","Chapada dos Veadeiros","-50.1403007507324","-15.9343996047974",NA,NA,NA,NA,"Material estéril","RFA35630",NA,NA,NA,NA,NA,NA,NA,"63502","auto",NA,NA,NA,NA,NA
"42","2020-11-24 17:10:26-03","UTFPR","DVPR","5589","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","Silva, DR","2018","02","19","Rocha Filho, JA; Piva, J; Machado, C","541","2018","01","25","Brasil","Paraná","Realeza","Estrada da Fazenda Paulão.","-53.3139","-25.3426","-53.3139","-25.3426","413","413","Árvore 8 m. Folhas discolores, caertáceas. Frutos oliváceos, secos, deiscentes, com lenticelas. Ponto 541.; Borda de um fragmento de Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo","DVPR005589",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-24 17:10:26-03","UTFPR","DVPR","2712","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","Vieira, AOS","1998",NA,NA,"Souza, LRM; Ferreira, JA; Francisco, EM","s.n.","1997","12","09","Brasil","Paraná","Assaí","Fazenda São Francisco","-50.8414001464844","-23.3733005523682",NA,NA,NA,NA,"Arvoreta 10m, frutos imaturos verdes e maduros marrom","DVPR002712",NA,"Magnoliophyta",NA,NA,NA,NA,NA,"20909","auto",NA,NA,NA,NA,NA
"44","2020-11-24 17:10:26-03","UTFPR","DVPR","959","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","Estevan, DA","2009","11","05","Estevan, DA; et al.","1401","2009","09","15","Brasil","Paraná","Assaí","Fazenda São José","-50.8414001464844","-23.3733005523682",NA,NA,NA,NA,"Árvore 5m, flores.","DVPR000959","DVPR000959","Magnoliophyta",NA,NA,NA,NA,NA,"20909","auto",NA,NA,NA,NA,NA
