"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"16","2021-04-07 11:41:16-03","UFMS","CGMS","46345","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","A. Pott","13774","2005","12","09",NA,"Brasil",NA,NA,"Flor branca. Habitat: Campo herbáceo-arbustivo. Solo argiloso vermelho com afloramento de rocha dolomítica. Relevo meia encosta suave. Habito: Subarbusto. 70cm de altura. Ocasional.","CGMS1076313",NA,NA,"(Chodat) E.E.Schill. & Panero","Mato Grosso do Sul","Próximo à sede da Fazenda Harmonia, entorno do Parque Nacional da Serra da Bodoquena.",NA,NA,"Porto Murtinho","-56.7655556","-21.2125","555","555",NA,NA,NA,"-56,7655556","-21,2125",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-16 17:51:15-03","UCS","HUCS","07490","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hatschbach, G.","53753","1990","02","10",NA,"Brasil",NA,NA,"Campo rupestre, solo rochoso",NA,"Angiospermae","Asterales","Chodat","Goiás","Estrada para Salto do Arrojado",NA,"Hatschbach, G.","Cristalina","-47.6136016845703","-16.7686004638672",NA,NA,NA,"85457","auto",NA,NA,"1990",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:14:03-03","MBM","MBM","322076","PreservedSpecimen","Plantae","Asteraceae","Aldama","rojasii","Aldama rojasii","Silva, J.M.; Barboza, E.; Barboza, E.","5205","2006","11","11","Southern America","Paraguay",NA,NA,"Xolopodífera, 1m, capítulo amarelo.; Cerrado.","MBM322076",NA,NA,"(S.F.Blake) E.E.Schill. & Panero","Amambay","Arredores","MBM322076","Robinson, H.","Pedro Juan Caballero",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:14:03-03","MBM","MBM","322091","PreservedSpecimen","Plantae","Asteraceae","Aldama","rojasii","Aldama rojasii","Silva, J.M.; Barboza, E.; Barboza, E.","5237","2006","11","11","Southern America","Brazil",NA,NA,"Xilopodífera, fruto imaturo.; Cerrado.","MBM322091",NA,NA,"(S.F.Blake) E.E.Schill. & Panero","Mato Grosso do Sul","Fazenda Santa Virgínia","MBM322091","Ribas, O.S.","Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,"2008","02","01",NA,NA,NA,NA
"20","2020-12-21 16:17:49-03","MBM","MBM","87547","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hatschbach, G.; et al.; et al.","47271","1983","12","15","Southern America","Paraguay",NA,NA,NA,"MBM087547",NA,NA,"Chod. & Hassl.",NA,"Fazenda El Buracon, 30km O de Pedro Juan Cabalero","MBM087547","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:17:49-03","MBM","MBM","91169","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Kirkbride, J.H.; J.H.","5210A","1983","04","11","Southern America","Brazil",NA,NA,NA,"MBM091169",NA,NA,"Chod. & Hassl.","Distrito Federal","Perto da Represa Saia Velha","MBM091169","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:17:49-03","MBM","MBM","86468","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","King, R.M.","8277","1980","01","24","Southern America","Brazil",NA,NA,NA,"MBM086468",NA,NA,"Chod. & Hassl.","Goiás","Chapada dos Veadeiros","MBM086468",NA,"Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-10-02 06:16:41-03","MNHN","RECOLNAT_MNHN_P","P00704761","PreservedSpecimen",NA,"Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hassler, E.",NA,NA,"10",NA,NA,"Paraguay","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704761' target='other'> <mi>dwc_moreinfo</mi></a>","P00704761",NA,NA,"Chodat",NA,"In altoplanitie et decliviis Sierra de Maracayu. In campo Ipé-hu","P00704761_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,"4959",NA,NA,NA
"24","2015-10-03 07:25:46-03","MNHN","RECOLNAT_MNHN_P","P00704762","PreservedSpecimen",NA,"Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hassler, E.",NA,NA,"10",NA,NA,"Paraguay","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704762' target='other'> <mi>dwc_moreinfo</mi></a>","P00704762",NA,NA,"Chodat",NA,"In altoplanitie et decliviis Sierra de Maracayu. In campo Ipé-hu","P00704762_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,"4959",NA,NA,NA
"25","2020-12-11 11:32:16-03","UFMG","BHCB","34101","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","Hatschbach, G; Schinini, A; Silva, JM","58730","1993","02","09","Southern America","Brasil",NA,NA,"Campo. Ereta, até 1,5m. Capítulos amarelos.",NA,"Dicotyledon",NA,"(Chodat & Hassl.) E.E.Schill.Panero","Mato Grosso do Sul","Km 22 da rodovia para Antônio João.",NA,NA,"Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,"2016","09",NA,NA,NA,NA,NA
"26","2021-02-11 17:18:13-03","UFPR","UPCB","17950","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hatschbach, G.","53753","1990","02","10",NA,"Brasil",NA,NA,"Ereta, 1m, capítulo amarelo. Campo rupestre, solo rochoso..",NA,NA,NA,"Chod.","Goiás","estrada para salto do Arrojado",NA,"Hatschbach, G.","Cristalina","-47.6136016845703","-16.7686004638672",NA,NA,NA,"85457","auto",NA,NA,"1990","01","01",NA,NA,NA,NA
"27","2017-03-31 13:46:00-03","MO","MOBOT","100961498","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","B. Loeuille|Bombosch, Andrea|A. L. Filartiga","Loeuille 788","2012","12","10","South America","Brazil",NA,NA,NA,NA,NA,NA,"(Chodat) E.E. Schill. & Panero","Mato Grosso do Sul","Rodovia MS-164, entre Ponta Porã e Antônio João. Ao lado da ferrovia. Cerrado antropizado.",NA,"B. Loeuille","Antônio João","-55.9474983215332","-22.1910991668701",NA,NA,NA,"38814","auto",NA,NA,NA,NA,NA,NA,"1",NA,NA
"28","2009-10-17 07:00:00-03","MO","MOBOT","2493208","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Nélida Soria","Soria Rey 6065","1993",NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat","Amambay","Parque Nacional Cerro Corá",NA,"Soria, N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2018-05-17 05:29:00-03","MO","MOBOT","2493221","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","María E. Múlgura|C. Calviño|S. Martínez|Nataly O'Leary","Múlgura 3666","2003","12","11","South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat","Amambay","Parque Nacional Cerro Corá, Monumento a los héroes, suelo rojizo, río Aquidaban Niqui",NA,"Múlgura de Romero, M. E.",NA,NA,NA,"270.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2011-03-09 13:10:00-03","MO","MOBOT","2712209","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Émile Hassler","Hassler 4959","1898","10",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"31","2012-04-26 09:56:00-03","MO","MOBOT","3388081","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Gert G. Hatschbach","Hatschbach 47271","1983","12","15","South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat","Paraguarí","Fda El Buracon, 30 km 0 de pedro Juan Cabalero. Campo limpo, seco.",NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"32","2009-09-20 11:47:00-03","MO","MOBOT","3388147","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Robert M. King|Frank Almeda","King 8277","1980","1","24","South America","Brazil",NA,NA,NA,NA,NA,NA,"Chodat","Goiás","Chapada dos Veadeiros. 18-19 km N of Alto Paraiso. Wet campo.",NA,NA,NA,NA,NA,"4300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","3388287","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Nélida Soria","Soria Rey 7898","1997",NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat","Amambay","parque Nacional Cerro Corá. Camino a la administración.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2010-10-07 15:27:00-03","MO","MOBOT","3388499","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Irwin 13390","1966","3","3","South America","Brazil",NA,NA,NA,NA,NA,NA,"Chodat","Goiás","Serra dos Cristais. Rocky slope, ca. 3 km. S. of Cristalina.",NA,"John Pruski",NA,"-48.0002833","-17.00025","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","575042","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","James C. Solomon|Milan Vavrek|Lidia Pérez de Molas|Esmerio Gonzalez|Reinilda Duré","Solomon 6828","1982","2","8","South America","Paraguay",NA,NA,NA,NA,NA,NA,"Chodat","Amambay","Parque Nacional Cerro Corá. Open sandy campo with low shrubs and palms, NE of park headquarters.",NA,"H. Robinson (US)",NA,"-56.05","-22.65","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"261","7",NA,NA
"36","2020-08-31 08:53:13-03","INPA","INPA","112901","S","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hatschbach, GG","43717","1961","04","09","Southern America","Brasil",NA,NA,NA,"INPA0112901","Dicotyledon Asterids","Asterales","Chodat & Hassl.","Goiás","Cubiculo. Campo rupestre.","INPA0112901 INPA0112901_e","Robinson, HE","Cristalina","-47.6136016845703","-16.7686004638672",NA,NA,NA,"85457","auto",NA,NA,"1983",NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","3702546","PreservedSpecimen","Plantae","Asteraceae","Aldama","linearifolia","Aldama linearifolia","B. Loeuille, A. Bombo & A. Filartiga","788","2012","12","10","South America - Neotropics","Brazil",NA,NA,NA,"US01925728",NA,"Asterales","(Chodat) E.E. Schill. & Panero","Mato Grosso","Antonio Joao: Rodovia MS-164, entre Ponta Pora e Antonio Joao.","US01925728_01","Loeuille, B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"38","2020-09-12 05:00:02-03","US","US","2901770","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","R. M. King & F. Almeda","8277","1980","1","24","South America - Neotropics","Brazil",NA,NA,NA,"US01768693",NA,"Asterales","Chodat","Goiás","Brasil: Goias. Chapada dos Veadeiros. 18-19 km N of Alto Paraiso","US01768693_01",NA,NA,NA,NA,"1311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"39","2020-09-12 05:00:02-03","US","US","3450721","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","76297","2003","10","13","South America - Neotropics","Brazil",NA,NA,NA,"US01768685",NA,"Asterales","Chodat","Mato Grosso do Sul","Fazenda 23 de Março (Mun. Miranda) Mato Grosso do Sul","US01768685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"40","2020-09-12 05:00:02-03","US","US","2818475","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","H. S. Irwin, R. M. Harley & G. L. Smith","32791","1971","3","20","South America - Neotropics","Brazil",NA,NA,NA,"US01768692",NA,"Asterales","Chodat","Goiás","Planalto do Brasil. Estado de Goiás. Chapada dos Veadeiros. Cerrado on steep slopes, surrounded by campo, ca. 19km N. of Alto do Paraíso","US01768692_01",NA,NA,NA,NA,"1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"41","2020-09-12 05:00:02-03","US","US","2454197","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","L. Smith, R. M. Klein & G. Hatschbach","14487","1965","1","15","South America","Brazil",NA,NA,NA,"US01768689",NA,"Asterales","Chodat","Paraná","Mun. Castro: Rocky campo, Carambei by Rio São João","US01768689_01",NA,NA,"-50.03","-24.5","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"42","2020-09-12 05:00:02-03","US","US","3193926","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","J. C. Solomon, M. Vavrek, L. Pérez, E. González & R. Duré","6828","1982","2","8","South America","Paraguay",NA,NA,NA,"US01768680",NA,"Asterales","Chodat","Amambay","Departamento of Amambay. Paraque Nacional Cerro Corá.",NA,NA,NA,"-56.05","-22.65","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"43","2020-09-12 05:00:02-03","US","US","2922325","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","R. M. King & L. E. Bishop","8875","1981","2","8","South America - Neotropics","Brazil",NA,NA,NA,"US01768686",NA,"Asterales","Chodat","Goiás","Goias: 13 Km. S of Alto Paraiso de Goias, along road to São João de Aliança","US01768686_01",NA,NA,NA,NA,"975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"44","2020-09-12 05:00:02-03","US","US","1280377","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","P. K. Dusén","4217","1904","3","20","South America","Brazil",NA,NA,NA,"US01768678",NA,"Asterales","Chodat","Paraná","Paraná: Capão Grande, in campo","US01768678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"45","2020-09-12 05:00:02-03","US","US","3395872","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach, A. Schinini & E. L. Barbosa","70682","2000","5","8","South America - Neotropics","Brazil",NA,NA,NA,"US01768691",NA,"Asterales","Chodat","Goiás","Rod. GO-118, Chapada dos Veadeiros, 10km N de Alto Paraíso (Mun. Alto Paraíso de Goiás) Goiás","US01768691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"46","2020-09-12 05:00:02-03","US","US","3015893","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach & R. Callejas","47271","1983","12","15","South America","Paraguay",NA,NA,NA,"US01768682",NA,"Asterales","Chodat","Paraguari","Fda. El Buracon, 30 km O de Pedro Juan, Cabalero, Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"47","2020-09-12 05:00:02-03","US","US","2885160","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. M. Barroso, M. Chaves & A. Lima","549","1968","12","21","South America - Neotropics","Brazil",NA,NA,NA,"US01768690",NA,"Asterales","Chodat","Goiás","Município de Alto Paraíso de Goiás: Chapada dos Veadeiros","US01768690_01",NA,NA,NA,NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"48","2020-09-12 05:00:02-03","US","US","2858848","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","13564","1966","3","5","South America - Neotropics","Brazil",NA,NA,NA,"US01768681",NA,"Asterales","Chodat","Goiás","Planalto do Brasil. Serra dos Cristais, Estado de Goiás. Campo and creek margin, ca. 5 m. S. of Cristalina, Goiás","US01768681_01",NA,NA,NA,NA,"1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"49","2020-09-12 05:00:02-03","US","US","2743254","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","L. Smith & R. M. Klein","12199","1957","3","16","South America","Brazil",NA,NA,NA,"US01768687",NA,"Asterales","Chodat","Santa Catarina","Mun. Curitibanos: Dry sunny bank, 1 km. southeast of lebon Regis","US01768687_01",NA,NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"50","2020-09-12 05:00:02-03","US","US","3450722","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","76297","2003","10","13","South America - Neotropics","Brazil",NA,NA,NA,"US01768683",NA,"Asterales","Chodat","Mato Grosso do Sul","Fazenda 23 de Março (Mun. Miranda) Mato Grosso do Sul","US01768683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
