"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","infraspecificEpithet","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","375550","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","L. B. Smith",NA,NA,NA,"L. B. Smith","1957","03","17","Brazil","Rio Grande do Sul","Vacaria","-50.9339","-28.5122",NA,NA,"NY00375550","NY00375550_01","12253","Pinheiral, ravine by Rio Pelotas, by Estrada do Rodagem Federal","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209037' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","600","700",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","375703","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","M. Sobral",NA,NA,NA,"M. Sobral","1984","11","16","Brazil","Rio Grande do Sul","Uruguaiana","-57.0881","-29.7547",NA,NA,"NY00375703","NY00375703_01","3355","Arroio Touro Passo","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209029' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","375702","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","T. D. Pennington",NA,NA,NA,"L. B. Smith","1957","03","17","Brazil","Rio Grande do Sul","Vacaria","-50.9339","-28.5122",NA,NA,"NY00375702","NY00375702_01","12253","Pinheiral, ravine by Rio Pelotas, by Estrada da Rodagem Federal","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209030' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","600","700",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","375701","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","L. B. Smith",NA,NA,NA,"L. B. Smith","1964","11","13","Brazil","Santa Catarina","Sao Miguel do Oeste","-53.73","-26.53",NA,NA,"NY00375701","NY00375701_01","13247","Forest and ruderal, above Rio Peperi-guaça, Peperi","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209036' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","300","600",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","375707","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","S. F. Smith",NA,NA,NA,"M. Rossato","1998","10","28","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,"NY00375707","NY00375707_01","13708","Pedra do Segredo","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209035' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","375548","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1969","10","22","Brazil","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"NY00375548","NY00375548_01","22587","Rio Espingarda","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209038' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","375549","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1968","12","06","Brazil","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"NY00375549","NY00375549_01","20519","Rio das Cobras","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209039' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","375706","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1991","11","11","Brazil","Rio Grande do Sul","Jari","-54.2239","-29.2917",NA,NA,"NY00375706","NY00375706_01","8002","Tupancireta, Jari, Santana. Proximo a margem do Rio Santana","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209034' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","415","415",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","375705","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1991","11","11","Brazil","Rio Grande do Sul","Jari","-54.2239","-29.2917",NA,NA,"NY00375705","NY00375705_01","8002","Tupancireta, Jari, Santana. Proximo a margem do Rio Santana","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209033' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","415","415",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-13 09:20:58-03","UFRJ","RFA","9350","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","1969","10","22","Brasil","Paraná","Laranjeiras do Sul","-52.4160995483398","-25.4078006744385",NA,NA,"RFA48610",NA,"22587","Rio Espingarda",NA,NA,NA,"Arbusto 3 m, ao longo do rio",NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:32:35-03","UFRJ","RFA","35205","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","C.M. Vieira",NA,NA,NA,"Cláudia M. Vieira; F. Bonatto","2000","05","08","Brasil","Rio Grande do Sul","São Marcos","-51.0680999755859","-28.9710998535156",NA,NA,"RFA22628",NA,"1553","Margem do rio das Antas, abaixo da ponte sobre a RS-122",NA,NA,NA,"Arbusto na margem do rio, em área sujeita a inundações. Folas verdes discolores. Frutos castanhos.",NA,NA,NA,NA,"15120","auto",NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:49:35-03","EAO","IAN","159713","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Pabst, GFJ; Pereira, EC","1961","10","31","Brasil","Rio Grande do Sul","Caçapava",NA,NA,NA,NA,"IAN159713",NA,"6449","Gruta do Segredo.","Southern America",NA,NA,"Arbusto ou pequena árvore; flor alvescentes.","Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 09:04:34-03","NBC","NL-BOTANY","AMD.107362","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","neriifolia","Pouteria neriifolia","(Hook. & Arn.) Radlk.",NA,NA,NA,NA,"Herter WGF","1933","11","26","Uruguay",NA,NA,NA,NA,NA,NA,"NL-AMD107362","NL-AMD107362",NA,"Dep. de Soriano, Loc.Dict. Perico flaco.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.107362 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"24","2020-02-08 09:04:34-03","NBC","NL-BOTANY","AMD.107363","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","neriifolia","Pouteria neriifolia","(Hook. & Arn.) Radlk.",NA,NA,NA,NA,"Herter WGF","1910","03","06","Uruguay",NA,NA,NA,NA,NA,NA,"NL-AMD107363","NL-AMD107363",NA,"Loc. Dict. Sta. Lucia, Departamento de Canelones.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.107363 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"25","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592829","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Rosengurtt B","1942","10","22","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1592829","NL-U1592829",NA,"Departamento de Rio Negro. Orillas del rio Uruguay. Rincon de las Gallinas, arroyo de los Patos, Estancia de Goenaga.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"26","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593275","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","Maas PJM",NA,NA,NA,"Riedel L","1823","01","01","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1593275","NL-U1593275",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","U 0022147",NA,NA,NA,NA
"27","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L 0820131","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","Vink W",NA,NA,NA,"Sellow F",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L0820131","NL-L0820131",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200820131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","9082241087","isotype",NA,NA,NA
"28","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L 0820132","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","Vink W",NA,NA,NA,"Sellow F",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L0820132","NL-L0820132",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200820132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","9082241050","isotype",NA,NA,NA
"29","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.1081670","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,"NL-L1081670","NL-L1081670",NA,"Parque Nacional do Iguaçú","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1081670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","Uw14081",NA,NA,NA,NA
"30","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.1081671","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,"NL-L1081671","NL-L1081671",NA,"Parque Nacional do Iguaçú","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1081671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","U 0055879 | Uw 14081",NA,NA,NA,NA
"31","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.2661879","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Alleizette AC d'",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,"NL-L2661879","NL-L2661879",NA,"Montevidao.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2661879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.2661880","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Hatschbach GG","1969","10","22","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2661880","NL-L2661880",NA,"Rio Espingarda.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2661880 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 09:04:40-03","NBC","NL-BOTANY","L.2661882","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Reitz R; Klein RM","1962","12","21","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2661882","NL-L2661882",NA,"SANTA CATARINA - BRASIL. Tupitinga, campos Noves. Capão.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2661882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0008268","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Sello F",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-U0008268","NL-U0008268",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008268 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","28599 A","isotype",NA,NA,NA
"35","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0008269","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Sello F",NA,NA,NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,"NL-U0008269","NL-U0008269",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","1109","isotype",NA,NA,NA
"36","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0055880","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,"NL-U0055880",NA,NA,"Parque Nacional do Iguaçú","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200055880 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","Uw 14081",NA,NA,NA,NA
"37","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592828","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Renvoize SA","1978","10","14","Argentina",NA,NA,NA,NA,NA,NA,"NL-U1592828","NL-U1592828",NA,"San Jose, Escuela Agrotecnico Don Bosco.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593273","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Lindeman JC; Irgang BE; Valls JFM","1971","10","15","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1593273","NL-U1593273",NA,"Varzea do rio Sta. Maria, 45 km E de Don Pedrito, matinho de galeria.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593274","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","12","08","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1593274","NL-U1593274",NA,"Est. Parana. Bank of Rio Iguacu near ferry to Capanema.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"40","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593276","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","Maas PJM",NA,NA,NA,"Riedel L","1823","01","01","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1593276","NL-U1593276",NA,NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae","U 0232466",NA,NA,NA,NA
"41","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592827","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia uruguayensis",NA,NA,NA,NA,NA,"Herter","1910","03","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1592827","NL-U1592827",NA,"Dict Sta. Lucia. Departamento de Canclones Republica Oriental del Uruguay.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"uruguayensis",NA,NA
"42","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592830","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia uruguayensis",NA,NA,NA,NA,NA,"Herter","1926","04","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1592830","NL-U1592830",NA,"Dict. Nueva Palmira. Departamento de Colonia.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"uruguayensis",NA,NA
"43","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592827","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia uruguayensis",NA,NA,NA,NA,NA,"Herter","1910","03","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1592827","NL-U1592827",NA,"Dict Sta. Lucia. Departamento de Canclones Republica Oriental del Uruguay.","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592827 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Ericales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"uruguayensis",NA,NA
