"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","locality","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","individualCount","fieldNumber"
"11","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,"ad ripas lac. Macurany prope Villa Bella da Imperatriz",NA,"Floret Januario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,"ad ripas lac. Macurany prope Villa Bella da Imperatriz",NA,"Floret Januario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden",NA,"Wallis, G","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Alto Amazonas supra arbores secus flum. Rio Negro",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden",NA,"Wallis, G","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Alto Amazonas supra arbores secus flum. Rio Negro",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","ionopthalmum","Trichocentrum ionopthalmum","Rchb.f.",NA,"Hamburg","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Alto Amazonas",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","ionopthalmum","Trichocentrum ionopthalmum","Rchb.f.",NA,"Hamburg","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Alto Amazonas",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","orthoplectron","Trichocentrum orthoplectron","Rchb.f.",NA,"Linden, JJ","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia septentrionali loco accurato haud indicato",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","orthoplectron","Trichocentrum orthoplectron","Rchb.f.",NA,"Linden, JJ","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia septentrionali loco accurato haud indicato",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","porphyrio","Trichocentrum porphyrio","Rchb.f.",NA,"Linden, JJ","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia septentrionali loco accurato haud indicato",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Trichocentrum","porphyrio","Trichocentrum porphyrio","Rchb.f.",NA,"Linden, JJ","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia septentrionali loco accurato haud indicato",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:13:54-03","IBt","SP","31745","S","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","Meneguzzo, TEC","Ostermeyer, R","s.n.","1934","03","17","Brasil","Mato Grosso",NA,NA,NA,NA,NA,"SP020100",NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,"SP020100",NA,NA,NA,NA
