"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount"
"11","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144623","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Pereira E",NA,"1944","05","01","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Serra dos Organos, Terezópolis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144623","NL-U1144623",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"12","2020-11-04 11:03:01-03","ESALQ","ESA","129435","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii",NA,"Kollmann, L.","Flores, T.B.","1774.0","2012","11","01",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Forno Grande - Trilha atrás do centro de visitantes #?# rumo ao mirante.","-41.184700012207","-20.6035995483398",NA,"Erva, ca. 1,5m de alt. Frutos imaturos verdes.","ESA129435",NA,"23588","auto","2019","03","15",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:01-03","ESALQ","ESA","122580","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","A.DC.","Kollmann, L.","Flores, T.B.","1451.0","2012","10","22",NA,"Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,"Erva, ca. 4m de alt. Frutos castanhos.","ESA122580",NA,"22282","auto","2019","03","15",NA,NA,"920","920",NA,NA,NA,NA
"14","2020-11-04 11:03:01-03","ESALQ","ESA","122611","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii",NA,"Kollmann, L.","Flores, T.B.","1482.0","2012","10","23",NA,"Brasil","Espírito Santo","Ibitirama","Santa Marta - Trilha a direita após a ponte ao lado do alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,"Erva, ca. 2,5m de alt. Botões alvos.","ESA122611",NA,"22282","auto","2019","03","15",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:01-03","ESALQ","ESA","117468","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii",NA,"Delfini, C.","Delfini, C.","34.0",NA,NA,NA,NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale verde. Trilha ao lado da área de lazer.","-41.8683013916016","-20.4333000183105",NA,"Erva robusta, ereta, 1-2m alt., folhas verdes em ambas as faces, ásperas, em mata sombria e temporariamente alagada.","ESA117468","ESA117468","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:03:01-03","ESALQ","ESA","16195","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","A.DC.","Jaques, E.L.","Souza, V.C. ; Sakuragui, C.M.","1590.0","1990","01","01",NA,"Brasil","São Paulo","Ilhabela",NA,"-45.3499984741211","-23.7700004577637",NA,NA,"ESA016195","ESA016195","23719","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:42:18-03","JBP","HPL","13347","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; H. Lorenzi & M.Peixoto","1844","2012","08","14",NA,"Brasil","SP","Caraguatatuba","Selesópolis-Caraguatatuba. Crescendo na face noroeste, grande população no barranco ao lado da estrada, com muitos samambaiaçus. Material em sílica gel. HERBÁRIO RBR.","-45.634611","-23.689111",NA,NA,NA,NA,NA,NA,"2012","08","14","45° 38' 04,6 W","23° 41' 20,8 S","578","578",NA,NA,NA,NA
"18","2015-07-02 14:01:04-03","JBP","HPL","1893","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","Hort. Berol ex A. DC.","H. Lorenzi","H. Lorenzi","3189","2002","02","27",NA,"Brasil","PR","Morretes","No alto da estrada da Graciosa.","-48.8344","-25.4769",NA,NA,NA,NA,"30514","auto","2002","02","27",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:01:04-03","JBP","HPL","2916","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","H. Lorenzi","3189","2002","02","27",NA,"Brasil","PR","Morretes","Coletado no alto da estrada da Graciosa.","-48.8344","-25.4769",NA,NA,NA,NA,"30514","auto","2011","10","10",NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-02-02 14:37:48-02","BGBM","B","B 10 0366096","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","A.DC.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"cult. in Hort. Bot. Berolin., 02.08.1853; origin: Brazil.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100366096 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100366096","B100366096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA
"21","2020-12-20 21:16:06-03","UFV","VIC","9822","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A. DC.","Jacques, E.L.","Vieira, M.F.; et al.","476","1986","10","09",NA,"Brasil","Minas Gerais","Araponga","Serra da Grama, Estrada para Bom Jesus da Madeira, beira de estrada a cerca de 100 metros da casa da sede da Fazenda da Neblina.","-42.5208015441895","-20.6667003631592",NA,"Planta com cerca de 1,50 metros de altura, corola branca.","VIC009822","VIC009822","16385","auto","1999","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:16:06-03","UFV","VIC","3144","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A. DC.","Jacques, E.L.","Mexia, Y.","5148",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"VIC003144","VIC003144",NA,NA,"1999","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:32:20-03","UFJF","CESJ","34475","PreservedSpecimen","Plantae","Angiosperma",NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","R.M. Castro; F.R.G. Salimena; P.H. Nobre","593","2001","08","25","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Erva ca 1m. Flores róseo albas, frutos creme amarelados. À beira da mata, próximo à caixa d'água.","CESJ034475",NA,"11991","auto","2002","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:32:20-03","UFJF","CESJ","11315","PreservedSpecimen","Plantae","Angiosperma",NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","L. Krieger","CESJ11315","1971","12","20","América do Sul","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,"No brejo.","CESJ011315",NA,"46557","auto","1992","02","17",NA,NA,NA,NA,NA,NA,NA,NA
"25","2014-10-14 15:56:29-03","BS","M","M-0145693","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Mandiocca.",NA,NA,NA,NA,"M0145693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"26","2014-10-14 15:56:29-03","BS","M","M-0145694","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia, Mandiocca.",NA,NA,NA,NA,"M0145694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"27","2020-04-27 16:08:55-03","UFES","VIES","21807","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","Kollmann, L.J.C.","Zorzanelli, J.P.F.; Carvalho Filho, J.H.","92","2011","08","28",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim. Antiga estrada de madeira.","-41.473611","-20.368889",NA,NA,"VIES021807",NA,NA,NA,"2012","03","05","41º28'25''W","20º22'8''S","1189","1189",NA,NA,NA,NA
"28","2020-04-27 16:08:55-03","UFES","VIES","30922","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","Zorzanelli, J.P.F.","Zorzanelli, J.P.F.; Pinto Júnior, H.V.; Spadeto, C.; Moreau, J.S. & Meloni, W.S.","524","2012","09","11",NA,"Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó.","-41.6671981811523","-20.5414009094238",NA,NA,"VIES030922","VIES030922 VIES030922_1","22282","auto","2012","09","11",NA,NA,"1176","1176",NA,NA,NA,NA
"29","2020-04-27 16:08:55-03","UFES","VIES","33135","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","Kollmann, L.J.C.","Moraes, A.M.","144","2011","08","13",NA,"Brasil","Minas Gerais","Espera Feliz","RPPN Meu Reino Encantado.","-41.9071998596191","-20.6502990722656",NA,NA,"VIES033135","VIES033135","21988","auto","2013","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-06-29 09:29:42-03","UFRRJ","RBR","42481","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","G. Barbosa; M. Elliot, M.B. Ferreira, E.L. Jacques","03","2017","09","28",NA,"Brasil","Rio de Janeiro","(Rio de Janeiro)","Parque estadual da pedra branca, Rio da prata.","-43.496111","-22.941944",NA,NA,"RBR00042481",NA,NA,NA,"2017","09","28","43º29'46''W","22º56'31''S","624","624",NA,NA,NA,NA
"31","2020-06-29 09:29:42-03","UFRRJ","RBR","42487","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; S.A. Souza, G. Barbosa, M.B. Ferreira, M. Elliot, I. Trece","1995","2017","09","08",NA,"Brasil","Rio de Janeiro","Rio Claro","Parque Estadual do Cunhambebe, Lídice Parque Estadual do Cunhambebe","-44.233611","-22.856111",NA,NA,"RBR00042487",NA,NA,NA,"2017","09","08","44º14'1''W","22º51'22''S","625","625",NA,NA,NA,NA
"32","2020-06-29 09:29:42-03","UFRRJ","RBR","42520","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; J. Wesenberg","1918","2014","12","05",NA,"Brasil","Rio de Janeiro","Mendes","Fazenda São José das Paineiras, Centro Marista.","-43.755556","-22.509444",NA,NA,"RBR00042520",NA,NA,NA,"2014","12","05","43º45'20''W","22º30'34''S","575","575",NA,NA,NA,NA
"33","2020-06-29 09:29:42-03","UFRRJ","RBR","46362","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","G. Barbosa","12",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","trilha do Camorim, Maciço da Pedra Branca.","-43.445833","-22.965833",NA,NA,"RBR00046362",NA,NA,NA,NA,NA,NA,"43º26'45''W","22º57'57''S","410","410",NA,NA,NA,NA
"34","2020-06-29 09:29:42-03","UFRRJ","RBR","46377","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"T.C. Alves","19","2019","04","29",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos. PARNASO","-43.004167","-22.449167",NA,NA,"RBR00046377",NA,NA,NA,NA,NA,NA,"43º0'15''W","22º26'57''S","1215","1215",NA,NA,NA,NA
"35","2020-06-29 09:29:42-03","UFRRJ","RBR","44098","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"A.V.S. Couto","68","2009","01","06",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Estrada do Ouro.","-43.451099395752","-22.7591991424561",NA,NA,"RBR00044098",NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-06-29 09:29:42-03","UFRRJ","RBR","44659","S","Plantae",NA,NA,"Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.","E.L. Jacques","G. Barbosa","917","2018","03","17",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Rio da Prata.","-43.2075004577637","-22.9027996063232",NA,NA,"RBR00044659",NA,"57442","auto",NA,NA,NA,NA,NA,"760","760",NA,NA,NA,NA
"37","2020-06-29 09:29:42-03","UFRRJ","RBR","42562","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques, A.V.S. Couto","A.V.S. Couto",NA,"2010","02","07",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu",NA,"-42.6530990600586","-22.4624996185303",NA,NA,"RBR00042562",NA,"32671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-06-29 09:29:42-03","UFRRJ","RBR","37243","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.",NA,"E.L. Jacques","1868","2013","11","19",NA,"Brasil","Rio de Janeiro","Paty do Alferes","Alameda Palmares, 1.050 m de altitude 22° 26#?# 40.1' S, 43° 22#?# 59.5' S.","-43.4185981750488","-22.4286003112793",NA,NA,"RBR00037243",NA,"18359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-06-29 09:29:42-03","UFRRJ","RBR","37242","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques","1866","2013","11","19",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Bairro Alho, estrada do Marão, 1088 m de altitude, 22° 26#?# 56.6' S, 43/ 22#?# 28.5' W.","-43.4185981750488","-22.4286003112793",NA,NA,"RBR00037242",NA,"18359","auto","2013","11","19",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-29 09:29:42-03","UFRRJ","RBR","37126","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; J. Wesenberg, A.J.S. Junior","1924","2014","12","09",NA,"Brasil","Rio de Janeiro","Mangaratiba","Cachoeira dos Escravos, Estrada da Serra do Piloto, RJ-149, Margem da estrada, a 325 m de altitude.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00037126",NA,"17272","auto","2014","12","09",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-06-29 09:29:42-03","UFRRJ","RBR","37135","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; J. Wesenberg, A.J.S. Junior","1931","2014","12","10",NA,"Brasil","Rio de Janeiro","Rio Claro","Estrada para Ponte Bela, a 526 m de altitude.","-44.1356010437012","-22.7231006622314",NA,NA,"RBR00037135",NA,"27045","auto","2014","12","10",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-06-29 09:29:42-03","UFRRJ","RBR","37139","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques; J. Wesenberg, A.J.S. Junior","1932","2014","12","10",NA,"Brasil","Rio de Janeiro","Rio Claro","'Estrada para ponte Bela, a 527 m de altitude.'","-44.1356010437012","-22.7231006622314",NA,NA,"RBR00037139",NA,"27045","auto","2014","12","10",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-06-29 09:29:42-03","UFRRJ","RBR","2821","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.P. Heringer","s.n.","1957","08","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,"RBR00002821",NA,"57442","auto","1991","05","24",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-06-29 09:29:42-03","UFRRJ","RBR","35754","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques, R.A. Engelmann","R.A. Engelmann","1025","2010","08","19",NA,"Brasil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos, 22° 29#?# 03.7' S, 43° 01#?# 14.5' W, 700 m de altitude.","-42.9818992614746","-22.5372009277344",NA,NA,"RBR00035754",NA,"21463","auto","2011","11","10",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-06-29 09:29:42-03","UFRRJ","RBR","33033","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","T.A. Amorim","89","2008","12","06",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Estrada da Barragem, beira da estrada.","-42.9655990600586","-22.4122009277344",NA,NA,"RBR00033033",NA,"38539","auto","2011","12","13",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-06-29 09:29:42-03","UFRRJ","RBR","33390","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","L.S. Sylvestre","2151","2007","09","14",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha para o abrigo 4 e a Pedra do Sino, beira da Trilha.","-42.9655990600586","-22.4122009277344",NA,NA,"RBR00033390",NA,"38539","auto","2008","05","29",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-06-29 09:29:42-03","UFRRJ","RBR","37241","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques","1885","2014","01","25",NA,"Brasil","Rio de Janeiro","Vassouras","Ponte Funda, Grota com calha de drenagem, 737 m de altitude, 22° 26#?# 05,9' S, 43° 39#?# 15,5' W.","-43.6624984741211","-22.4039001464844",NA,NA,"RBR00037241",NA,"33844","auto","2014","01","25",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-06-29 09:29:42-03","UFRRJ","RBR","37199","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.",NA,"E.L. Jacques","1872","2013","11","22",NA,"Brasil","Rio de Janeiro","Miguel Pereira","Proximidades do Parque Municipal de Rocha Negra. Antiga estrada de ferro de Miguel Pereira a Vassouras, próximo a um lixão desativado, 630 m de altitude, 22° 29#?# 03.6' S, 43° 31#?# 08.7' W.","-43.4688987731934","-22.4538993835449",NA,NA,"RBR00037199",NA,"25640","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-06-29 09:29:42-03","UFRRJ","RBR","35455","S","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E.L. Jacques","E.L. Jacques","1844","2012","08","14",NA,"Brasil","São Paulo","Salesópolis","Salesópolis-Caraguatatuba, 23°41#?# 20,8' S, 45° 38#?# 04,6' W, 578 m altitude.","-45.8400001525879","-23.5300006866455",NA,NA,"RBR00035455",NA,"18032","auto","2012","08","14",NA,NA,NA,NA,NA,NA,NA,NA
