"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","infraspecificEpithet","typeStatus","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","relatedCatalogItem"
"16","2020-12-20 21:15:10-03","UFV","VIC","6718","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Dianthera","pohliana","Dianthera pohliana","(Nees) Nicholson","Ferreira, R.R.","1980","08","Ferreira, R.R.","s.n.","1980","08","21","Brasil","Minas Gerais","Viçosa","Campus da UFV, Jardim Botânico.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Provavelmente cutivado. Única no local. Local úmido e sombreado.","auto",NA,NA,NA,NA,"VIC006718","VIC006718",NA,NA,"21",NA
"17","2020-12-20 21:15:13-03","UFV","VIC","7551","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Silva, A.F. da; et al.","322","1982","07","29","Brasil","Minas Gerais","Viçosa","Campus da UFV, Mata da Biologia.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Subarbusto de aproximadamente 1,0 metro de altura. Flores roxas. Possui brácteas vinosas vistosas. Muitas no local.","auto",NA,NA,NA,NA,"VIC007551","VIC007551",NA,NA,"03",NA
"18","2020-12-20 21:15:13-03","UFV","VIC","13023","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Carvalho-Okano, R.M. de; Custódio, I.A.","s.n.","1993","11","18","Brasil","Minas Gerais","Viçosa","Campus da UFV, Mata da Prefeitura da UFV.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC013023","VIC013023",NA,NA,"04",NA
"19","2020-12-20 21:15:13-03","UFV","VIC","11774","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Carvalho, A.F.","182","1992","10","09","Brasil","Minas Gerais","Viçosa","Campus da UFV, Silvicultura da UFV.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Erva de aproximadamente 40 cm de altura, sépalas vermelhas e pétalas roxas, prefere lugares úmidos e sombreados.","auto",NA,NA,NA,NA,"VIC011774","VIC011774",NA,NA,"04",NA
"20","2020-12-20 21:15:13-03","UFV","VIC","2687","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Kuhlmann, J.G.","s.n.","1935","09","16","Brasil","Minas Gerais","Viçosa","Escola.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC002687","VIC002687",NA,NA,"03",NA
"21","2020-12-20 21:15:13-03","UFV","VIC","28863","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Pessôa, C.S.","2008","08","Iarema, L.; et al.","s.n.","2002","09","20","Brasil","Minas Gerais","Viçosa","Reserva Florestal Mata do Paraíso (RFMP), Mata do Paraíso. Ao longo da estrada principal.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Erva, flores roxas e rosas.","auto",NA,NA,NA,NA,"VIC028863","VIC028863",NA,NA,"28",NA
"22","2020-12-20 21:15:13-03","UFV","VIC","19235","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","04","Bortoluzzi, R.L.C.; Moraes, G.A.P.","91","1998","04","06","Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,"31394",NA,"Planta herbácea, folhas opostas cruzadas, membranáceas, glabras. Flores com brácteas arroxeadas. Ocorrência no sub-bosque.","auto",NA,NA,NA,NA,"VIC019235","VIC019235",NA,NA,"26",NA
"23","2020-12-20 21:15:13-03","UFV","VIC","494","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Mexia, Y.","4978",NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC000494","VIC000494",NA,NA,"03",NA
"24","2020-12-20 21:15:13-03","UFV","VIC","20149","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Muniz, M.V.O.","2154","1994","10",NA,"Brasil","Minas Gerais","Viçosa","Campus da UFV, Mata da Silvicultura.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Erva com 0,3 metro de altura.","auto",NA,NA,NA,NA,"VIC020149","VIC020149",NA,NA,"03",NA
"25","2020-12-20 21:15:11-03","UFV","VIC","10602","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Costa, M.S.P.","s.n.","1988","10","29","Brasil","Minas Gerais","Viçosa","Campus da UFV, Setor experimental do DBA.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Planta coletada em ambiente de pouca luz e solo com bastante matéria orgânica. Trabalho prático de BVE 230.","auto",NA,NA,NA,NA,"VIC010602","VIC010602",NA,NA,"04",NA
"26","2020-12-20 21:15:13-03","UFV","VIC","1409","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Kuhlmann, J.G.","s.n.","1934","10","23","Brasil","Minas Gerais","Viçosa","E. S. A. V.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC001409","VIC001409",NA,NA,"03",NA
"27","2020-12-20 21:15:11-03","UFV","VIC","034355","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham",NA,NA,NA,"Leone, F.R.","13","2010","03","21","Brasil","Minas Gerais","Viçosa","Mata do Paraiso, Trilha da pesquisa.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC034355","VIC034355",NA,NA,NA,NA
"28","2020-12-20 21:15:13-03","UFV","VIC","22857","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","02","Braz, D.M.; et al.","14","1997","09","24","Brasil","Minas Gerais","Viçosa","Reserva Florestal Mata do Paraíso (RFMP), Mata do Paraíso.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Formando tapete ao longo da estrada principal. Brácteas róseas, corola arroxeada.","auto",NA,NA,NA,NA,"VIC022857","VIC022857",NA,NA,"22",NA
"29","2020-12-20 21:15:13-03","UFV","VIC","22858","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","02","Braz, D.M.; et al.","23","1998","01","14","Brasil","Minas Gerais","Viçosa","Reserva Florestal Mata do Paraíso (RFMP), Mata do Paraíso.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"VIC022858","VIC022858",NA,NA,"22",NA
"30","2020-12-20 21:15:13-03","UFV","VIC","25503","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Pessôa, C.S.","2008","08","Barros, W.S.; Oliveira, L.O. de","s.n.","2000","01","09","Brasil","Rio de Janeiro","Itaperuna","Raposo, Fazenda Caeté. Mata bem conservada.","-41.8877983093262","-21.2049999237061",NA,NA,"32377",NA,"Espécie simpátrica à poaia (Psychotria ipecacuanha). Com flores vermelhas alaranjadas.","auto",NA,NA,NA,NA,"VIC025503","VIC025503",NA,NA,"28",NA
"31","2020-12-20 21:15:13-03","UFV","VIC","15779","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Valente, G.E.; Prado, J.","175","1996","05","02","Brasil","Minas Gerais",NA,"Parque Estadual do Rio Doce (PERD), Trilha da Campolina.",NA,NA,NA,NA,NA,NA,"Planta crescendo à margem da trilha, no interior da mata. Cerca de 50 cm de altura.",NA,NA,NA,NA,NA,"VIC015779","VIC015779",NA,NA,"04",NA
"32","2020-12-20 21:15:13-03","UFV","VIC","15780","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1998","11","Valente, G.E.; Prado, J.","176","1996","05","02","Brasil","Minas Gerais",NA,"Parque Estadual do Rio Doce (PERD), Trilha da Campolina.",NA,NA,NA,NA,NA,NA,"Planta com cerca de 30 cm de altura, crescendo à margem da trilha, no interior da mata. Folha variegada.",NA,NA,NA,NA,NA,"VIC015780","VIC015780",NA,NA,"04",NA
"33","2020-12-20 21:15:13-03","UFV","VIC","16217","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham",NA,NA,NA,"Valente, G.E.; et al.","191","1996","08","29","Brasil","Minas Gerais",NA,"Parque Estadual do Rio Doce (PERD), Trilha da Campolina.",NA,NA,NA,NA,NA,NA,"Planta herbácea, interior da mata, corola roxa, estames brancos e brácteas vinosas.",NA,NA,NA,NA,NA,"VIC016217","VIC016217",NA,NA,NA,NA
"34","2020-12-20 21:15:13-03","UFV","VIC","22592","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","04","Bortoluzzi, R.L.C.; et al.","303","1998","10","28","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Estrada do Aníbal. Trilah de acesso à Lagoa do Aníbal.","-42.7322006225586","-19.7122001647949",NA,NA,"28215",NA,"Herbácea, c.a. de 30 cm de altura, ocorrência em local úmido e sombreado. Inflorescências grandes, c.a. de 10 cm de comprimento, com brácteas avermelhadas (avinoladas), pétalas quase roxas.","auto",NA,NA,NA,NA,"VIC022592","VIC022592",NA,NA,"26",NA
"35","2020-12-20 21:15:13-03","UFV","VIC","22582","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","04","Bortoluzzi, R.L.C.; et al.","281","1998","09","24","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Estrada do Aníbal. Trilah de acesso à Lagoa do Aníbal.","-42.7322006225586","-19.7122001647949",NA,NA,"28215",NA,"Herbácea, c.a. de 0,8 metro de altura. Inflorescência com brácteas cor rosa quase vinho, corola roxa, anteras amarelas e estilete lilás claro.","auto",NA,NA,NA,NA,"VIC022582","VIC022582",NA,NA,"26",NA
"36","2020-12-20 21:15:13-03","UFV","VIC","23465","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Braz, D.M.","1999","04","Braz, D.M.","36","1999","04","13","Brasil","Minas Gerais","Viçosa","Reserva Florestal Mata do Paraíso (RFMP), Mata do Paraíso. Às margens da estrada principal.","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,"Erva com c.a. de 70 cm de altura. Brácteas rosadas e corola roxa.","auto",NA,NA,NA,NA,"VIC023465","VIC023465",NA,NA,"19",NA
"37","2021-03-01 16:21:04-03","UNICAMP","UEC","167590","S","Plantae","Magnoliopsida",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","Castro, RM","2004","04","Castro, RM; Teixeira, L","931","2004","02","23","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9494018554688","-18.8511009216309",NA,NA,"50833",NA,"Erva brácteas vermelhas, flores roxas. Interior de mata.; Mata secundária.","auto",NA,NA,NA,NA,"UEC091632","UEC091632",NA,NA,NA,NA
"38","2021-03-01 16:21:04-03","UNICAMP","UEC","20772","S","Plantae","Magnoliopsida",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","Kameyama, C","1999",NA,"Heringer, EP","13998","1974","09","20","Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"28215",NA,"Planta herbácia do subosque da mata virgem, com 50cm de alt., flores vermelhas, ornamentais forma população densa sobre o solo.","auto",NA,NA,NA,NA,"UEC022114","UEC022114",NA,NA,NA,NA
"39","2020-04-27 16:08:26-03","UFES","VIES","5993","S","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","A. Indriunas","2009","12","Gomes, J.M.L.","1633","1991","10","21","Brasil","Espírito Santo","Cariacica","Entre Alegre e Cariacica","-40.4199981689453","-20.2639007568359",NA,NA,"18507",NA,NA,"auto",NA,NA,NA,NA,"VIES005993","VIES005993","450","450","09",NA
"40","2020-06-29 09:28:59-03","UFRRJ","RBR","4788","S","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","D.M. Braz","1999","04","D.M. Braz","36","1999","04","13","Brasil","Minas Gerais","Viçosa","Reserva Florestal do Paraiso, Ás margens da estrada principal","-42.8819007873535","-20.7539005279541",NA,NA,"13937",NA,NA,"auto",NA,NA,NA,NA,"RBR00004788","RBR00004788",NA,NA,"19",NA
"41","2020-12-21 16:10:59-03","MBM","MBM","171987","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Wasshausen, D.C.","1994",NA,"Thomas, W.W.; Carvalho, A.; Kallaunki, J.; Clark, L.; Sant'Ana, S.; Carvalho, A.; Kallaunki, J.; Clark, L.; Sant'Ana, S.","1067","1994","02","03","Brazil","Alagoas","União dos Palmares",NA,"-40.234722","-15.239167","-40.234722","-15.239167",NA,NA,"Herb in forest; leaves dull green adove with pales streaks alog midvein and secondary veins, paler beneath; inflorescence bracts magenta, corolla tube pinkish white, limbs magenta.; Nesophyllous forest",NA,NA,NA,"Southern America",NA,"MBM171987","MBM171987",NA,NA,NA,NA
"42","2020-12-21 16:10:59-03","MBM","MBM","171987","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Wasshausen, D.C.","1994",NA,"Thomas, W.W.; Carvalho, A.M.; Kallunki, J.; Clark, L.; Sant'Ana, S.C.; Carvalho, A.M.; Kallunki, J.; Clark, L.; Sant'Ana, S.C.","10267","1994","02","03","Brazil","Bahia","Itapetinga","Parque da Matinha.","-40.234722","-1.861694","-40.234722","-1.861694",NA,NA,"Herb in forest; leaves dull green above with pales streaks along midvein and secondary veins, paler beneath; inflorescence bracts magenta, corolla tube pinkish white, limbs magenta.&nf;; Mesophyllous forest near stream.",NA,NA,NA,"Southern America",NA,"MBM171987","MBM171987","270","270",NA,NA
"43","2020-12-21 16:10:59-03","MBM","MBM","420763","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Mazziero, F.F.F.","2019","02","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4151","2019","01","22","Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.503333","-19.708056","-42.503333","-19.708056",NA,NA,"Erva terrícola ca. 30 cm. Flores lilases e bracteas vináceas a magenta.; Vegetação secundária média/avançada",NA,NA,NA,"Southern America",NA,"MBM420763",NA,"270","270","01",NA
"44","2020-12-21 16:10:59-03","MBM","MBM","212471","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Wasshausen, D.C.","1997","07","Hatschbach, G.; Silva, J.M.; Silva, J.M.","66516","1996","08","10","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1347007751465","-20.3397006988525",NA,NA,"15909",NA,"Erva, 35cm., flor lilás, verso da folha vinoso.; Mata Atlântica.","auto",NA,NA,"Southern America",NA,"MBM212471","MBM212471",NA,NA,NA,NA
"45","2020-12-21 16:10:59-03","MBM","MBM","212471","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","Wasshausen, D.C.","1997","11","Hatschbach, G.; Silva, J.M.; Silva, J.M.","66516","1996","08","10","Brazil","Espirito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1347007751465","-20.3397006988525",NA,NA,"15909",NA,"Erva 35cm., flor lilás, verso da folha vinoso.; Mata Atântica.","auto",NA,NA,"Southern America",NA,"MBM212471","MBM212471",NA,NA,NA,NA
"46","2020-12-11 11:31:11-03","UFMG","BHCB","33204","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V. A. W. Graham",NA,"1998","06","Lombardi, JA","1508","1996","12","06","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Trilha da Campolina.","-42.516389","-19.704444","-42.516389","-19.704444",NA,NA,"Erva, folhas herbáceas, brácteas vermelhas.; Mata Atlântica.",NA,NA,NA,"Southern America",NA,"BHCB053109","BHCB053109","263","263",NA,NA
"47","2020-12-11 11:31:11-03","UFMG","BHCB","33204","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V. A. W. Graham",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.516389","-19.704444","-42.516389","-19.704444",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
