"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","individualCount","class"
"11","2015-09-28 17:29:21-03","MNHN","RECOLNAT_MNHN_P","P00647290","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina pluriceps","Barneby","Barneby","Glaziou, A.",NA,"1892","3","24",NA,"Brésil",NA,"Biribiry (Minas)","hb","Reçu en 1907. NY negative n° 11809 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647290' target='other'> <mi>dwc_moreinfo</mi></a>","P00647290","P00647290_01",NA,NA,NA,NA,NA,"holotype","pluriceps",NA,NA,NA,NA,NA,"19131",NA,NA,NA,NA
"12","2015-09-25 13:40:16-03","MNHN","RECOLNAT_MNHN_P","P00647291","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina pluriceps","Barneby","Barneby","Glaziou, A.",NA,"1892","3","24",NA,"Brésil",NA,"Biribiry (Minas)","hb","Reçu en 1907. NY negative n° 11809 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647291' target='other'> <mi>dwc_moreinfo</mi></a>","P00647291","P00647291_01",NA,NA,NA,NA,NA,"holotype","pluriceps",NA,NA,NA,NA,NA,"19131",NA,NA,NA,NA
"13","2020-12-11 11:36:13-03","UFMG","BHCB","194256","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby",NA,"Oliveira, DMG; Perillo, LN; Stehmann, JR; Paucar, JOA; Tabosa, FRS","303","2017","12","14","Southern America","Brasil","Minas Gerais","Parque Estadual Caminho dos Gerais",NA,"Arbusto 1,70m alt.; Glomérulos rosa.; Campo pedregoso.","BHCB194256",NA,"Monte Azul","-43.018889","-15.084167","1088","1088",NA,NA,"2018","08","21","-43.018889","-15.084167",NA,NA,NA,NA,NA
"14","2020-12-11 11:36:13-03","UFMG","BHCB","128378","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby",NA,"Álvaro, CF","s.n.","2008","09","24","Southern America","Brasil","Minas Gerais","Bacia do Córrego dos Pereiras",NA,"herbáceo, 30 com de altura.","BHCB030864",NA,"Gouveia","-43.920167","-18.413628","1140","1140",NA,"bombycina","2010","11",NA,"-43.920167","-18.413628",NA,NA,NA,NA,NA
"15","2020-12-11 11:36:13-03","UFMG","BHCB","18932","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby",NA,"Stehmann, JR; et al.","s.n.","1990","10","20","Southern America","Brasil","Minas Gerais","Serra do Cipó",NA,"Flor de cor rosa.","BHCB011811",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"bombycina","2006","08","17",NA,NA,NA,"26557","auto",NA,NA
"16","2020-05-22 16:34:00-03","MO","MOBOT","101194951","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina",NA,NA,"Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20349","1968","2","17","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 105 (ca. 130 km N, of Belo Horizonte).",NA,NA,NA,NA,NA,NA,NA,"1150.00000000",NA,"Holotype","bombycina",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2020-05-22 16:38:00-03","MO","MOBOT","2919165","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina pluriceps","Barneby","L.M. Borges","Auguste F.M. Glaziou","Glaziou 19131","1892","3","24","South America","Brazil","Minas Gerais","Biribiry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","pluriceps",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2020-09-12 05:00:02-03","US","US","3244750","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby",NA,"H. S. Irwin, H. Maxwell & D. C. Wasshausen","20349","1968","2","17","South America - Neotropics","Brazil","Minas Gerais","Serro do Cipo, ca. km 105 (ca. 130 km N of Belo Horizonte.",NA,NA,"US00409858","US00409858_01",NA,NA,NA,"1150","1150","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"19","2020-09-02 16:29:01-03","Cenargen","CEN","111668","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","bombycina","Mimosa bombycina","Barneby","R. Barneby","Apparício Pereira Duarte","7629","1963","01","21",NA,"Brasil",NA,"Brasil, Minas Gerais. Parque Nacional da Serra do Cipó. chapeú de Sol - Serra do Cipó km 110","Exsicatas","Planta de campo em solo Pedregosa. Doação - Jardim Botânico do Rio de Janeiro - RB (118716). Rio de Janeiro.","CEN00111668","CEN00111668",NA,NA,NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-09-02 16:29:01-03","Cenargen","CEN","108376","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","bombycina","Mimosa bombycina var. bombycina","Barneby","M. Simon","Matheus Santos Martins","42","2018","11","00",NA,"Brasil",NA,"Serra do Cipó / MG. Parque Nacional da Serra do Cipó. Estação amostral 1.","Exsicatas","Parte do programa monitora Cerrado ICMBio. Doação da Flora do Brasil","CEN00108376","CEN00108376",NA,"-43.610833","-19.355","820","820",NA,"var. bombycina","2019","07",NA,"-43.610833","-19.355",NA,NA,NA,"5",NA
"21","2019-11-13 11:22:41-03","USP","SPF","183811","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","bombycina","Mimosa bombycina","Barneby","Barneby, RC","Duarte, AP","7629","1963","01","21",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó",NA,NA,"SPF00183811",NA,NA,NA,NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-13 11:22:41-03","USP","SPF","199919","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","bombycina","Mimosa bombycina","Barneby","Borges, LM","Borges, LM","446","2010","06","15",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó",NA,NA,"SPF00199919",NA,"Jaboticatubas","-43.620133","-19.3544","810","810",NA,NA,"2010",NA,NA,"-43.620133","-19.3544",NA,NA,NA,NA,NA
"23","2019-11-13 11:22:41-03","USP","SPF","175618","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Borges, LM","Borges, LM","85","2006","02","05",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"SPF00175618",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"bombycina","2007","01",NA,NA,NA,NA,"26557","auto",NA,NA
"24","2019-11-13 11:22:41-03","USP","SPF","175616","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Borges, LM","Borges, LM","80","2006","02","05",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"SPF00175616",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"bombycina","2007","01",NA,NA,NA,NA,"26557","auto",NA,NA
"25","2019-11-13 11:22:41-03","USP","SPF","120498","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Borges, LM","Hervencio, P","73","1997","05","06",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"SPF00120498",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"bombycina","2007","01",NA,NA,NA,NA,"26557","auto",NA,NA
"26","2019-11-01 15:00:07-03","UnB","UB","1778","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","Barneby, R","Irwin, HS; Maxwell, HH; Wasshausen, DC","20349","1968","02","17","Southern America","Brasil","Minas Gerais","Ca. 130 km N de Belo Horizonte",NA,"Tipo.; Arbusto 2m. Fruto marrom-avermelhado.; Cerrado. Solo: Rochoso.","UB0037228","UB0037228",NA,NA,NA,"1150","1150","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-05 16:10:02-03","MN","R-TIPOS","162625","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","Barneby, R.","Irwin, H.S.; Maxwell, H. & Wasshausen, D.C.","20349","1968","02","17",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"R000162625","R000162625_001",NA,NA,NA,"1150","1150","Isotypus de Mimosa bombycina Barneby",NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2014-09-23 10:47:32-03","G","G","G00371460","S","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","?","Irwin, H. S., H. Maxwell & D. C. Wasshausen","20349","1968","02","17","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00371460",NA,NA,"-45.44222222","-18.78777778","1150","1150","ISOTYPUS of Mimosa bombycina Barneby",NA,NA,NA,NA,"-45.44222222","-18.78777778",NA,NA,NA,NA,NA
