"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","eventTime","sex"
"26","2021-03-15 16:37:00-03","NY","NYBG","374877","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00374877","NY00374877_01","T. D. Pennington",NA,NA,NA,"R. M. Klein","1955","02","08","Cunhas, Itajaí","15","15","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257048' target='other'> <mi>dwc_moreinfo</mi></a>","1123",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","374872","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Palhoça","-49.128424","-27.903779",NA,NA,"NY00374872","NY00374872_01","L. B. Smith",NA,NA,NA,"R. M. Klein","1953","04","04","Anitápolis","650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257044' target='other'> <mi>dwc_moreinfo</mi></a>","438",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","374651","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Itajaí","-48.941177","-26.748537",NA,NA,"NY00374651","NY00374651_01",NA,NA,NA,NA,"R. M. Klein","1955","01","13","Braco Joaquim, Luis Alves, Itajai","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257050' target='other'> <mi>dwc_moreinfo</mi></a>","1079",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","374874","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","São Paulo","Cananéia","-47.9197","-25.0103",NA,NA,"NY00374874","NY00374874_01","T. D. Pennington",NA,NA,NA,"H. de F. Leitão Filho","1979","12","11",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257040' target='other'> <mi>dwc_moreinfo</mi></a>","10763",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","374879","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY00374879","NY00374879_01","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach","1982","11","18","Marumbi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257039' target='other'> <mi>dwc_moreinfo</mi></a>","44580",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","374871","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Morretes","-48.87","-25.43",NA,NA,"NY00374871","NY00374871_01","T. D. Pennington",NA,NA,NA,"P. K. H. Dusén","1912","01","20","Porto de Cima, in silva prim.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257038' target='other'> <mi>dwc_moreinfo</mi></a>","13808",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","375037","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00375037","NY00375037_01",NA,NA,NA,NA,"G. G. Hatschbach","1966","01","18","Antonina; Caixa d'Agua",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257052' target='other'> <mi>dwc_moreinfo</mi></a>","13527",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","374869","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00374869","NY00374869_01","T. D. Pennington",NA,NA,NA,"R. M. Klein","1956","01","24","Morro da Ressacada, Itajaí","30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257047' target='other'> <mi>dwc_moreinfo</mi></a>","1824",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","374875","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","São Paulo","Cananéia","-47.992538","-25.197304",NA,NA,"NY00374875","NY00374875_01","T. D. Pennington",NA,NA,NA,"H. de F. Leitão Filho","1979","12","11","Ilha do Cardoso",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257041' target='other'> <mi>dwc_moreinfo</mi></a>","10788",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","778250","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203",NA,NA,"NY00778250","NY00778250_01","M. F. Melo",NA,NA,NA,"I. Cordeiro","2000","11","21","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, trilha dos Tropeiros","140","140","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257037' target='other'> <mi>dwc_moreinfo</mi></a>","2375",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","375035","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00375035","NY00375035_01",NA,NA,NA,NA,"G. G. Hatschbach",NA,NA,NA,"Caixa d'Agua. Rainforest",NA,NA,"d. d. 18 jan 1966 [collection or determination date?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257054' target='other'> <mi>dwc_moreinfo</mi></a>","13527",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-13 09:20:58-03","UFRJ","RFA","10967","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist","Brasil","Paraná","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,"RFA48575",NA,"G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","1971","02","03",NA,"50","50","Arvoreta de 5 m, flor creme","26234","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:20:58-03","UFRJ","RFA","8400","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist","Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"RFA48560",NA,"G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","1964","04","05","Serra do Espia",NA,NA,"Árvore de 6 m, flor creme","11137","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-24 17:11:04-03","UTFPR","DVPR","2515","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Paraná","Cambé","-51.1516","-23.16","-51.1516","-23.16","DVPR002515",NA,"Faria, AD",NA,NA,NA,"Francisco, EM","2011","11","18","Parque Peroba Rosa",NA,NA,"Árvore 7m, flor com corola branca.","461",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-24 17:11:04-03","UTFPR","DVPR","4441","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Paraná","Guaratuba","-48.54506","-25.48394","-48.54506","-25.48394","DVPR004441",NA,"Barboza, E; Larocca, P","2014",NA,NA,"Caxambu, MG; et al.","2012","02","04","Rio São João, estradas Castelhanos","258","258","Árvore ca. de 4m, botões florais e flores alvos.; Leito de rio seco. Relevo: ondulado. Vegetação: Floresta Ombrófila Densa Aluvial","3794",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:49:07-03","EAO","IAN","87320","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Itajai","-48.6618995666504","-26.9078006744385",NA,NA,"IAN087320",NA,NA,"1985",NA,NA,"Reitz, R; Padre","1948","01","22","BR-Serafi, Luis Alves. Mata virgem.",NA,NA,"Arbusto de 4 m; flor branca.","2012","27253","auto","Dicotiledônea",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:25:50-03","PUCPR","HUCP","3276","S","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist.","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00018329","HUCP00018329","Britez, RM","1987","12","20","Britez, RM",NA,NA,NA,"Ilha do Mel, Morro do Meio.",NA,NA,NA,"1822","24916","auto","Eudicotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:25:50-03","PUCPR","HUCP","3404","S","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist.","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00017969","HUCP00017969","Silva, SM","1986","12","26","Britez, RM",NA,NA,NA,"Ilha do Mel, Morro do Meio.",NA,NA,NA,"1265","24916","auto","Eudicotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:50-03","PUCPR","HUCP","16175","S","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Paraná","Antonina","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"Hatschbach, GG",NA,NA,NA,"Borgo, M","2002","11","26","Trilha Calí",NA,NA,NA,"2009","38300","auto","Eudicotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-26 18:09:47-03","CPAN-UFMS","COR","8926","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Pennington, T. D.","2001",NA,NA,"Hatschbach, G.; Barbosa, E. & Ferreira, L. A.","1999","02","08","Quintilha",NA,NA,"Árvore com 4 m de altura; flor creme pálida Habito: Árvore","68903","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-10-09 11:24:52-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Itaiópolis","-49.9063987731934","-26.3363990783691",NA,NA,NA,NA,"Pennington, TD","2003",NA,NA,"Barbosa, E; Cunha, EM","2003","01","05","Rio do Toldo",NA,NA,"2,50 m. Flor alva.; beira do rio encachoeirado.","710","51919","auto","Dicotyledon",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:03:58-03","NBC","NL-BOTANY","WAG.1384580","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1384580","NL-WAG1384580",NA,NA,NA,NA,"Hatschbach GG","1977","02","09","Jacarei (mun. Paranagua) Paraná.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1384580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Ericales",NA,"Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
