"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","phylum","continentOcean","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","dayIdentified","fieldNumber","preparationType","imagecode","class","order"
"11","2015-09-04 19:33:19-03","MNHN","RECOLNAT_MNHN_P","P00485343","PreservedSpecimen",NA,"Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f. ex Wawra","Cogniaux",NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485343' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Prov. de St Paul",NA,NA,NA,"P00485343",NA,NA,"D 732","hb","P00485343_01",NA,NA
"12","2015-09-03 19:56:59-03","MNHN","RECOLNAT_MNHN_P","P00485378","PreservedSpecimen",NA,"Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f. ex Wawra",NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Prov. de St Paul",NA,NA,NA,"P00485378",NA,NA,"D 732","hb","P00485378_01",NA,NA
"13","2020-12-11 11:44:47-03","UFMG","BHCB","15769","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb",NA,"1987",NA,"Souza, HC de; Andrade, PM de; Dodora, S","s.n.","1987","06","25","Brasil","Minas Gerais","Epífita. Pétalas amarelo-esverdeadas, c/2 estrias cor de vinho . Labelo por dentro cor de vinho e bordas amarelas. 7 polineas; Mata de galeria","Monocotyledon","Southern America","Lima Duarte","P. E. de Ibitipoca","-43.793098449707","-21.8425006866455","30417","BHCB001454","auto",NA,NA,NA,"BHCB001454",NA,NA
"14","2019-10-07 09:20:06-03","UEFS","HUEFS","161357","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.","W.Forster","2011","11","van den Berg, C.","1940","2008","01","05","Brasil","Minas Gerais",NA,"Angiospermae",NA,"Carrancas","Chapadão dos Perdizes, mata ciliar.","-44.6425018310547","-21.4874992370605","21143","HUEFS0161357","auto",NA,NA,NA,"HUEFS0161357","Lilianae","Asparagales"
"15","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Lhotsky, J","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,"Southern America",NA,"in Brasilia loco haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"St.-Hil, A","D732",NA,NA,NA,"Brazil","São Paulo",NA,NA,"Southern America",NA,"in prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Regnell, AF","2041",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,"Southern America","Caldas","prope Caldas prov Minas Geraes","-46.3861","-21.9236","25710",NA,"auto",NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Moura, JT de","19",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,"Southern America","Teresópolis","in arboribus ad Theresopolis","-42.9656","-22.4122","38539",NA,"auto",NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Wawra, H","70",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,"Southern America","Petrópolis","Habitat in arboribus ad Petropolis prov. Rio de Janeiro","-43.1786","-22.505","36524",NA,"auto",NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Glaziou, AFM","5503",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,"Southern America","Rio de Janeiro","in arboribus ad Pico da Tijuca","-43.2075","-22.9028","57442",NA,"auto",NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:13:37-03","IBt","SP","21012","S","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.",NA,NA,NA,"Edwall, G","CGG2541",NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,"São João da Boa Vista","Jardim da Comissão","-46.7900009155273","-21.9599990844727","17205","SP009636","auto",NA,NA,NA,"SP009636",NA,NA
"22","2019-11-21 10:13:37-03","IBt","SP","8148","S","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f.","Hoehne, FC",NA,NA,"Hoehne, FC","s.n.","1922","07","27","Brasil","São Paulo",NA,NA,NA,"São Paulo","Bosque da Saúde","-46.6300010681152","-23.5400009155273","53584",NA,"auto",NA,NA,NA,NA,NA,NA
