"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"11","2020-11-04 10:55:26-03","ESALQ","ESA","133565","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Lima, L.R.","Orlandini, P.; Volet; Lima, K.; Mansur, A.L.; Santini-Jr., L.; Gios, B.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","55.0","2015","06","29",NA,"Brasil","São Paulo","Nova Odessa","Instituto de Zootecnia; Fragmento de Floresta Estacional Semidecidual degradada","-47.2900009155273","-22.7700004577637",NA,"Presença de nectários extraflorais","ESA133565",NA,"553","553",NA,NA,NA,"8440","auto","2015","07","22","-47,.28982º","-22,760175º",NA,NA,NA
"12","2019-02-15 11:39:34-02","IPA","IPA","28116","S","Plantae","Plantae",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Cordeiro, I.","Filho, M.A.M.","14","1980","10","16","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Propriedade Bituri. Mata de Brejo, na borda da mata.","-36.3711013793945","-8.14583015441895",NA,"Árvore de 6-8m de altura. Com sépalas verdes tendendo para amarelo,pétalas b Comum.","IPA0028116",NA,NA,NA,NA,NA,NA,"34231","auto","2002","08",NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:39:34-02","IPA","IPA","59969","S","Plantae","Plantae",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Cordeiro, I.","Nascimento, L.M.; Silva, A.G. da; Silva, A.G. da","473","2001","01","15","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Buriti. Trilha da mata. Mata estacional.","-36.392222","-8.213056",NA,"Árvore com cerca de 4m de altura. Dicolor. Com sépalas verdes clara e estames alvos. Freqüente.","IPA0059969",NA,"922","1030",NA,NA,NA,NA,NA,"2002","08",NA,"-36.392222","-8.213056",NA,NA,NA
"14","2019-08-27 13:29:02-03","IAP","PACA-AGP","69041","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"J. Carneiro",NA,"1953","01","05",NA,"Brasil","PB","Pombal",NA,"-37.801700592041","-6.77027988433838",NA,"Herb. JPB 1957","PACA069041",NA,NA,NA,NA,NA,"Magnoliatae","28929","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:16:58-03","UFV","VIC","3203","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"Mexia, Y.","4563","1930","04","04",NA,"Brasil","Minas Gerais","Viçosa","Estrada para São Miguel","-42.8819007873535","-20.7539005279541",NA,NA,"VIC003203","VIC003203",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:16:58-03","UFV","VIC","20087","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"Meira, Neto J A","2114","1993","11",NA,NA,"Brasil","Minas Gerais","Viçosa","Mata da Sivicultura","-42.8819007873535","-20.7539005279541",NA,"Árvore com 10 metros de altura.","VIC020087","VIC020087",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-27 13:48:13-03","UFS","ASE","7709","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Farney, C","3290","1992","11","18","Southern America","Brasil","Rio de Janeiro","Saquarema","Reserva Ecológica do Raso da Catarina","-42.439694","-22.927778",NA,"Subarbusto. 3. m. Folhas verdes discolores, resina amarela/avermelhada, flores amarelas.; Subarbusto. 3. m. Folhas verdes discolores, resina amarela/avermelhada, flores amarelas.; restinga","ASE0017676","ASE0017676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-42.439694","-22.927778",NA,NA,NA
"18","2021-03-01 16:29:36-03","UNICAMP","UEC","26124","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Caruzo, MBR","Leitão Filho, HF; Martins, FR; Tamashiro, JY; et al.","s.n.","1981","12","03",NA,"Brazil","Minas Gerais","Poços de Caldas","Fazenda Chiqueirão","-46.564722","-21.838889",NA,"Árvore de 4 a 5 m. Flores alvas.","UEC054893","UEC054893",NA,NA,NA,NA,NA,NA,NA,"2010","02",NA,"-46.564722","-21.838889",NA,NA,NA
"19","2019-11-19 14:06:50-03","UFRPE","PEUFR","33454","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","M.B.R. Caruzo","L.M. Nascimento; A.G. da Silva","362","2000","03","28",NA,"Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri","-36.3955","-8.2075",NA,"Árvore com cerca de 8 m de altura. Folhas com face abaxial alva. Flores com botões verdes. Frutos imaturos verdes, cálice persistente. Ocasional","PEUFR033454",NA,"920","1030",NA,NA,NA,NA,NA,"2015","02","23","36°23'730''W","8°12'27''S",NA,NA,NA
"20","2019-11-19 14:06:50-03","UFRPE","PEUFR","33455","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","M.B.R. Caruzo","L.M. Nascimento; A.G. da Silva","400","2000","04","27",NA,"Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri","-36.3955","-8.2075",NA,"Árvore com cerca de 8 m de altura. Folhas com face abaxial alva. Flores com botões verdes. Frutos imaturos verdes, cálice persistente. Ocasional","PEUFR033455",NA,"920","1030",NA,NA,NA,NA,NA,"2015","02","23","36°23'730''W","8°12'27''S",NA,NA,NA
"21","2020-04-22 16:19:20-03","UFPB","JPB","27527","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Caruzo, MBR","Nascimento, LM; Silva, AG da","473","2001","01","15","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Fazenda Bituri, Mata do Buriti. Trilha da Mata. Mata Estacional.","-36.3711013793945","-8.14583015441895",NA,"; DESC: Árvore com cerca de 4m de altura. Folhas discolor. Flores com sépalas verdes clara e estames alvos. Frequente.",NA,NA,"922","1030",NA,NA,NA,"34231","auto","2006","09","27",NA,NA,NA,NA,NA
"22","2016-03-02 12:35:34-03","MNHN","RECOLNAT_MNHN_P","P00623559","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Regnell, A.F.",NA,"1869","12","10",NA,"Brésil",NA,NA,"Prov. Minas Geraes : Caldas",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623559' target='other'> <mi>dwc_moreinfo</mi></a>","P00623559","P00623559_01",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 402",NA,NA
"23","2016-03-02 12:35:39-03","MNHN","RECOLNAT_MNHN_P","P00623560","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Regnell, A.F.",NA,"1869","12","10",NA,"Brésil",NA,NA,"Prov. Minas Geraes : Caldas",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623560' target='other'> <mi>dwc_moreinfo</mi></a>","P00623560","P00623560_01",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 402",NA,NA
"24","2017-08-08 16:18:30-03","MNHN","RECOLNAT_MNHN_P","P00623561","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Regnell, A.F.",NA,"1869","12","10",NA,"Brésil",NA,NA,"Prov. Minas Geraes : Caldas",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623561' target='other'> <mi>dwc_moreinfo</mi></a>","P00623561","P00623561_01",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 402",NA,NA
"25","2016-03-04 12:16:06-03","MNHN","RECOLNAT_MNHN_P","P02441705","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Regnell, A.F.",NA,"1869","12","10",NA,"Brésil",NA,NA,"Prov. Minas Geraes : Caldas",NA,NA,"hb","Reçu le 7 août 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441705' target='other'> <mi>dwc_moreinfo</mi></a>","P02441705","P02441705_01",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I 402",NA,NA
"26","2015-09-05 09:02:23-03","MNHN","RECOLNAT_MNHN_P","P05504701","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Mosen",NA,"1873","12","20",NA,"Brésil",NA,NA,"Prov. S. Paulo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05504701' target='other'> <mi>dwc_moreinfo</mi></a>","P05504701","P05504701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1608",NA,NA
"27","2015-09-05 09:02:23-03","MNHN","RECOLNAT_MNHN_P","P05504703","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Glaziou, A.",NA,"1885","12","19",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05504703' target='other'> <mi>dwc_moreinfo</mi></a>","P05504703","P05504703_01",NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,"16341",NA,NA
"28","2015-09-05 09:02:23-03","MNHN","RECOLNAT_MNHN_P","P05504702","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Glaziou, A.",NA,"1889","12","19",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05504702' target='other'> <mi>dwc_moreinfo</mi></a>","P05504702","P05504702_01",NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,"16341",NA,NA
"29","2015-09-05 09:02:23-03","MNHN","RECOLNAT_MNHN_P","P05504700","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Glaziou, A.",NA,"1885","12","19",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05504700' target='other'> <mi>dwc_moreinfo</mi></a>","P05504700","P05504700_01",NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,"16341",NA,NA
"30","2018-06-26 05:23:00-03","MO","MOBOT","100413986","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","R. Riina","W. Wayt Thomas|André M. Amorim|Pedro Fiaschi|J. Lima da Paixão|Sérgio C. de Sant'Ana","Thomas 13720","2004","1","31","South America","Brazil","Minas Gerais","Salto da Divisa","Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.","-39.9213889","-16.0286111",NA,NA,NA,NA,"495.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","2934441","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"* STOCKHOUSE","STOCKHOUSE 436",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-07-13 05:17:00-03","MO","MOBOT","2934948","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","P. Berry","Gustavo Martinelli|Fernando O. Zuloaga|Marcelo D. Vázquez Á.","Martinelli 10798","1985",NA,NA,"South America","Brazil",NA,NA,"Estado do Rio de Janeiro, Municipio de Resende, Parque Nacional De Itatiaia, Picada Tres Picos, mata Higrofila secundaria.",NA,NA,NA,NA,NA,NA,"1200.00000000","1350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2010-05-13 21:22:00-03","MO","MOBOT","3144925","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","R. Spichiger","Armando C. Cervi|Rodolphe E. Spichiger|Pierre A. Loizeau|E. Cottier","Cervi 7295","1994","12","14","South America","Brazil","Alagoas",NA,"Município de Quebrangulo. Reserva Biológica de Pedra Talhada, Agreste, Area de transição Florestas Estacional Semidecidual / Decidual Contrafortes da Borborema, solos argiloso profundos com aflor. de richas (gneiss) mata densa.","-36.41666","-9.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-04 11:29:41-03","UEMA","SLUI","5310","PreservedSpecimen","Plantae","Angiospermae",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"C. Farney et al.","3290","1992","11","18",NA,"Brasil","Rio de Janeiro","Saquarema","Reserva Ecológia Estadual de Jacarepiá","-42.5102996826172","-22.9200000762939",NA,NA,"SLUI005310",NA,NA,NA,NA,NA,NA,"17036","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-05-09 11:05:26-03","UFLA","ESAL","21967","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Caruzo, MBR","Loures, L","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Sta. Rita de Caldas","Ventania",NA,NA,NA,"; 7, m; ;",NA,NA,"1","1",NA,NA,NA,NA,NA,"2019","04",NA,NA,NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","936034","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"A. F. Regnell","I 402","1864","1",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,"Transcribed by digital volunteers","US01245270","US01245270_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37","2020-09-12 05:00:02-03","US","US","936033","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.",NA,"A. F. Regnell",NA,"1969","12","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,"Transcribed by digital volunteers","US01245269","US01245269_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"38","2019-11-13 11:19:57-03","USP","SPF","230203","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Anônimo","Cordeiro, I","3229","2009","11","25",NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,"SPF00230203","SPF00230203",NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-09-04 18:55:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus",NA,NA,"J. F. Widgren",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-09-04 20:04:31-03","F","FMNH-SEEDPLANTS","V0056137F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus",NA,NA,NA,"s.n.","1856","12","21","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0056137F","V0056137F_01",NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-07-09 13:22:32-03","F","FMNH-SEEDPLANTS","V0056138F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus",NA,NA,NA,"s.n.","1856","12","21","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0056138F","V0056138F_01",NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-07-09 13:26:19-03","F","FMNH-SEEDPLANTS","V0187775F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus",NA,NA,"A. Glaziou","16341",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0187775F","V0187775F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-09-04 20:04:31-03","F","FMNH-SEEDPLANTS","V0056139F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müll. Arg.",NA,"H. W. Schott","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0056139F","V0056139F_01",NA,NA,"Isotype","gymnodiscus","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-09-04 20:04:31-03","F","FMNH-SEEDPLANTS","V0056139F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus gymnodiscus","Müll. Arg.",NA,"H. W. Schott","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0056139F","V0056139F_01",NA,NA,"Isotype","gymnodiscus","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-12 17:01:01-03","UEL","FUEL","47013","PreservedSpecimen","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","Caruzo, MB","Nascimento, LM; Silva, AG","400","2000","04","27",NA,"Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri, margem da estrada","-36.392222","-8.2075",NA,NA,"FUEL010506",NA,"920","1030",NA,NA,NA,NA,NA,"2015","02","23","-36.392222","-8.2075",NA,NA,NA
"46","2020-11-12 17:01:01-03","UEL","FUEL","13988","PreservedSpecimen","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Leitão Filho, HF; Martins, FR; Tamashiro, JY; et al.","1578","1981","12","03",NA,"Brasil","Minas Gerais","Poços de Caldas","Fazenda Chiqueirão","-46.564722","-21.838889",NA,NA,"OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.564722","-21.838889",NA,NA,NA
"47","2019-05-06 11:55:39-03","UFU","HUFU","5960","S","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Leitão Filho, H.F.; Martins, F.R.; Tamashiro, J.Y.; et al.","1578","1981","12","03",NA,"Brasil","Minas Gerais","Poços de Caldas","Fazenda Chiqueirão","-46.5614013671875","-21.7877998352051",NA,"Árvore de 4 m. Flores alvas.","HUFU00006317","HUFU00006317",NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-02-23 13:22:24-03","MN","R-TIPOS","100780a","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Caruzo, M.B.R.","Regnell, A.F.","I - 402",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"R000100780a","R000100780a_001",NA,NA,"Isolectotypus",NA,NA,NA,NA,"2010","03",NA,NA,NA,NA,NA,NA
