"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount","fieldNumber","sex"
"11","2020-12-21 16:38:44-03","MBM","MBM","1427","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","Hatschbach, G.","14818","1966","10","10","Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Roseira","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM001427","MBM001427","Hatschbach, G.","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:44-03","MBM","MBM","29940","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","Hatschbach, G.","2332","1951","08","15","Southern America","Brazil","Paraná","Tijucas do Sul","Vossoroca","-49.1988983154297","-25.9281005859375",NA,NA,NA,"Epífita de mata de Araucaria. Flor internamente bordeau; ext. verde acinzentado; Epífita. Flor internamente bordeaux; externamente verde-acinzentado.; Mata de Araucaria.","MBM029940","MBM029940","Pabst, G.","25228","auto","1953",NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA
"13","2021-02-11 17:21:00-03","UFPR","UPCB","86960","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Toscano de Brito, A.L.V.","3568","2016","07","20",NA,"Brasil","Paraná","sem localidade específica",NA,NA,NA,NA,NA,NA,"Coletada e cultivada por M. Klingelfus s.n., florescendo em cultivo. Amostra conservada em solução de glicerina com álcool..",NA,NA,"Toscano de Brito, A.L.V.",NA,NA,"2016","09","15",NA,NA,NA,NA,NA,NA,NA
"14","2021-02-11 17:21:00-03","UFPR","UPCB","87239","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Santos, T. F.","197","2016","10","10",NA,"Brasil","Paraná","Tijucas do Sul","Cangoera","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,NA,"Santos, T. F.","25228","auto","2016","10",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:21:00-03","UFPR","UPCB","94098","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Brotto, M.L.","2444","2017","05","09",NA,"Brasil","Paraná","São José dos Pinhais","Miranguava","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita. Amostra em álcool. Amostra de DNA.","UPCB0042379","UPCB0042379","Santos, T.F.","45291","auto","2017","05",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:21:00-03","UFPR","UPCB","86806","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Santos, T.F | Machnicki-Reis, M.","158","2016","07","27",NA,"Brasil","São Paulo","Apiaí","Vale do Ribeira","-48.8400001525879","-24.5",NA,NA,NA,NA,NA,NA,"Santos, T.F.","37738","auto","2016","07","27",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-11 17:21:00-03","UFPR","UPCB","55433","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","Kersten, R.","712","2003","11","06",NA,"Brasil","Paraná","Piraquara","Haras Santo Antonio","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Epífita ca. 15m sobre Araucária. Transição floresta ombrófila mista/densa..",NA,NA,"Singer, R.B.","12577","auto","2006","11",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:21:00-03","UFPR","UPCB","72388","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","Mancinelli, W.S.","1337","2010","11","03",NA,"Brasil","Santa Catarina","Garuva","Serra Quiriri","-48.8549995422363","-26.0266990661621","1100","1100",NA,"Epífita, flor marrom, ocorrente em Mata Nebular..",NA,NA,"Mancinelli, W.S.","22441","auto","2010","11","03",NA,NA,NA,NA,NA,NA,NA
"19","2018-04-19 15:15:13-03","UNIOESTE","UNOP","1075","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Ferneda Rocha, L.C.; Imig, D.C.; Pereira, S.F.; Imig, D.C.; Pereira, S.F.","262","2013","07","12",NA,"Brasil","Paraná","Guaratuba","Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Epífita. Corola verde com listras roxas, externamente; roxo-aveludada internamente.",NA,NA,"Engels, M.E.","41937","auto","2013","07",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2509213","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris",NA,"G. Hatschbach","14818","1966","10","10","South America","Brazil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA
"21","2021-03-25 13:53:06-03","UNIVILLE","JOI","16961","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","BILK, K.D.","370","2016","09","23",NA,"Brasil","Santa Catarina","Joinville","Propriedade Marcos Merkle. Área de Proteção Ambiental da Serra Dona Francisca","-48.981667","-26.14","215","215",NA,"epífita","JOI016961",NA,"MANCINELLI, W.S.",NA,NA,"2017","06","29","48º58'54''W","26º8'24''S",NA,NA,NA,NA,NA
"22","2021-03-25 13:53:06-03","UNIVILLE","JOI","16589","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","W. S. Mancinelli","1542","2015","11","20",NA,"Brasil","Santa Catarina","Joinville","Morro Pelado","-48.8456001281738","-26.3043994903564","900","900",NA,"Flor marrom Habito: Epífita","JOI016589",NA,"W. S. Mancinelli","37150","auto","2015","11","20",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-25 13:53:06-03","UNIVILLE","JOI","9706","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Specklinia","bacillaris","Specklinia bacillaris","(Pabst) Luer","Mancinelli, W.S.","934","2009","07","09",NA,"Brasil","Santa Catarina","Joinville","Picadão Alto Quiriri.","-48.8456001281738","-26.3043994903564","100","100",NA,"; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Submontana","JOI009706",NA,"Mancinelli, W. S.","37150","auto","2010","03","04",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-25 13:53:06-03","UNIVILLE","JOI","15320","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Specklinia","bacillaris","Specklinia bacillaris","(Pabst) Luer","Mancinelli, W.S.","1296","2010","09","30",NA,"Brasil","Santa Catarina","Joinville","Serra Queimada.","-48.8456001281738","-26.3043994903564","1300","1300",NA,"; HABITO: Epífita","JOI015320",NA,"Mancinelli, W. S.","37150","auto","2010","09","30",NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 17:30:12-03","UEM","HUEM","30736","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Costa, Alan C","s.n.","2016","09","10",NA,"Brasil","Paraná","Pinhão","Jardim Botânico Faxinal do Céu, Distrito Faxinal d","-51.595278","-25.907778",NA,NA,NA,"Flores de coloração branca; ( parece Pabstiella baccilaris, mas floresce 2 meses depois dela)","HUEM000011477","HUEM000011477","Milaneze-Gutierre, MA",NA,NA,"2018","03","29","-51.595278","-25.907778",NA,NA,NA,NA,NA
"26","2020-11-04 17:30:12-03","UEM","HUEM","31557","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Costa, AC","28","2016","03","25",NA,"Brasil","Paraná","Pinhão","Distrito de Faxinal do Céu.","-51.6596984863281","-25.6956005096436",NA,NA,NA,"Epífita. Flor vermelha.","HUEM000016465","HUEM000016465","Costa, AC","37408","auto","2016","03",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 17:30:12-03","UEM","HUEM","29752","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Costa, AC","s.n.","2014","08","17",NA,"Brasil","Paraná","Pinhão","Faxinal do Céu","-51.6596984863281","-25.6956005096436",NA,NA,NA,"Forófito: Araucaria angustifolia; 5m de alt. acima do solo; luminosidade intermediária (ora exposta ao sol, ora na sombra); comum em araucária, mas também ocorre em diversos forófitos; frequentemente associada a liquens cinzas; fl","HUEM000016498","HUEM000016498","Costa, AC","37408","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:13:41-03","IBt","SP","65513","S","Plantae",NA,NA,"Orchidaceae","Pleurothallis","baccilaris","Pleurothallis baccilaris","Pabst","Hatschbach, G","2332","1951","08","15",NA,"Brasil","Paraná","São José dos Pinhais","Vossoroca","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita da mata da Araucaria. Flor internamente bordeau, externamente verde-acinzentado","SP002326","SP002326",NA,"45291","auto","1956",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
"29","2017-09-25 14:58:13-03","AMES","HU-HERB","AMES 00074074","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","G. G. Hatschbach","2332","1951","8","15","South America","Brazil","Paraná",NA,"Vassouras, Mun. Sao Jose dos Pinhais",NA,NA,NA,NA,"Jar,Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,"2332","undetermined"
"30","2017-09-25 14:58:32-03","AMES","HU-HERB","AMES 00085070","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","G. G. Hatschbach","2332","1951","8","15","South America","Brazil","Paraná",NA,"Vassouras, Mun. Sao Jose dos Pinhais",NA,NA,NA,NA,"Jar,Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type material",NA,NA,"2332",NA
