"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","relationshipType","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"11","2019-12-19 08:08:24-03","FPS","FPS","985","MachineObservation","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Schwirkowski, P.","Schwirkowski, P.","2015","10","24","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Linha férrea, sentido Rio Vermelho.","-49.358617","-26.283171","-49.358617","-26.283171",NA,NA,"FPS00985,FURB48593","FPS00985_v01 FPS00985_v02 FPS00985_v03 FURB48593",NA,NA,"1250",NA,NA,NA,NA,"FURB 48593","2016","11","21","voucher",NA,NA,NA,NA,NA
"12","2019-07-26 11:41:16-03","IPA","IPA","10365","S","Plantae","Rubiaceae","Rubia","equisetoides","Rubia equisetoides","Cham. & Schltdl.",NA,"Roth, L.",NA,NA,NA,"Brasil","São Paulo","São Paulo","Santo Amaro, Seminário do Espírito Santo. Planta de brejo.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"IPA0010365",NA,"Plantae",NA,"10365","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"13","2019-08-27 13:32:30-03","IAP","PACA-AGP","94672","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.",NA,"J. Larocca","1997","12","15","Brasil","RS","Barba Negra","Arroinho",NA,NA,NA,NA,NA,NA,"PACA094672",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"HASU 10445","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:32:30-03","IAP","PACA-AGP","104494","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","A. sehnem","Sehnem, A.","1956","02","28","Brasil","RS",NA,"Vale Vêneto, Sâo José.",NA,NA,NA,NA,NA,NA,"PACA104494",NA,"Magnoliophyta","Rubiales","1372",NA,NA,"Habitat: No campo, em lugar úmido. Fenofase: flor esverdeada Hábito: erva perene","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-27 13:32:30-03","IAP","PACA-AGP","30964","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1946","01","03","Brasil","RS","Vila Oliva",NA,NA,NA,NA,NA,NA,NA,"PACA030964",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA
"16","2019-10-18 16:50:13-03","IAP","PACA-AGP","32255","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1946","02","16","Brasil","RS","Tainhas",NA,NA,NA,NA,NA,NA,NA,"PACA032255",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"ster. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:32:30-03","IAP","PACA-AGP","34850","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1947","01","05","Brasil","RS","Fazenda da Ronda",NA,NA,NA,NA,NA,NA,NA,"PACA034850",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:32:30-03","IAP","PACA-AGP","35756","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Henz, E.","1946","12","27","Brasil","RS","Kappesberg",NA,NA,NA,NA,NA,NA,NA,"PACA035756",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in dumetosis scandens","Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:32:30-03","IAP","PACA-AGP","41332","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1949","05","02","Brasil","RS","Morretes",NA,NA,NA,NA,NA,NA,NA,"PACA041332",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. fr. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA
"20","2019-08-27 13:32:30-03","IAP","PACA-AGP","69990","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","B. Rambo SJ","Sehnem, A.","1950","11","20","Brasil","RS","Linha Pinhal",NA,NA,NA,NA,NA,NA,NA,"PACA069990",NA,"Magnoliophyta","Rubiales","5047",NA,NA,"alt. 500 m. Habitat: in palude","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-10-18 16:50:13-03","IAP","PACA-AGP","8912","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1942","01","15","Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"PACA008912",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,"55856","auto",NA,NA,NA
"22","2019-08-27 13:32:30-03","IAP","PACA-AGP","8569","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1942","01","13","Brasil","RS","Bom Jesus","Rio dos Touros","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"PACA008569",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1954","09","15",NA,"55856","auto",NA,NA,NA
"23","2019-08-27 13:32:30-03","IAP","PACA-AGP","59612.1","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1955","11","11","Brasil","RS","Esteio",NA,"-51.17919921875","-29.861400604248",NA,NA,NA,NA,"PACA059612-1",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. fr. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1957","05","17",NA,"7214","auto",NA,NA,NA
"24","2019-08-27 13:32:30-03","IAP","PACA-AGP","37298","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1947","10","05","Brasil","PR","Piraquara","Rio Palmital","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"PACA037298",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"flor creme esverdeada; em terreno alagadiço; borda do campo. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1954","09","15",NA,"12577","auto",NA,NA,NA
"25","2019-08-27 13:32:30-03","IAP","PACA-AGP","39532","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1949","01","07","Brasil","RS","Cachoeirinha",NA,"-51.0938987731934","-29.951099395752",NA,NA,NA,NA,"PACA039532",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,"9806","auto",NA,NA,NA
"26","2019-08-27 13:32:30-03","IAP","PACA-AGP","36715","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1948","02",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"PACA036715",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1954","09","15",NA,"30776","auto",NA,NA,NA
"27","2019-08-27 13:32:30-03","IAP","PACA-AGP","33450","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Henz, E.","1946","07","10","Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"PACA033450",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis dumetosis","Magnoliatae",NA,"1954","09","15",NA,"10287","auto",NA,NA,NA
"28","2019-08-27 13:32:30-03","IAP","PACA-AGP","61805","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Camargo, O. R.","1957","12","10","Brasil","RS","Taquari",NA,"-51.8643989562988","-29.7996997833252",NA,NA,NA,NA,"PACA061805",NA,"Magnoliophyta","Rubiales","2881",NA,NA,"fl. Habitat: in humidis dumetosis","Magnoliatae",NA,"1958","09","29",NA,"21657","auto",NA,NA,NA
"29","2019-08-27 13:32:30-03","IAP","PACA-AGP","9753","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.","Emrich-Rambo","Rambo, B.","1942","01","29","Brasil","RS","Tupanciretã",NA,"-53.8358001708984","-29.0806007385254",NA,NA,NA,NA,"PACA009753",NA,"Magnoliophyta","Rubiales",NA,NA,NA,"fl. Habitat: in paludosis alte dumetosis","Magnoliatae",NA,"1954","09","15",NA,"59498","auto",NA,NA,NA
"30","2020-12-20 21:19:16-03","UFV","VIC","4768","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.",NA,"Dombrowski, L. .T.","1964","09","29","Brasil","Curitiba","Capão da Imbuia",NA,NA,NA,NA,NA,NA,NA,"VIC004768","VIC004768",NA,NA,"413",NA,NA,"Erva, afila, trepadeira e com emaranhado frequente.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-01-27 19:25:39-03","UFJF","CESJ","37978","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham & Schltdl.) Standl.","G. Hatschbach","G. Hatschbach; R. Goldenberg; J.M. Silva","2001","09","20","Brasil","Paraná","Inácio Martins","Rio Bananas","-51.0788993835449","-25.5711002349854",NA,NA,NA,NA,"CESJ037978",NA,"Angiosperma",NA,"72445","América do Sul",NA,"Depressão brejosa do araucarieto. Apoiante, flor creme.",NA,NA,"2001",NA,NA,NA,"35964","auto",NA,NA,NA
"32","2021-03-01 16:39:29-03","UNICAMP","UEC","49008","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Zappi, DC","Souza, WS; Silva, SM; Britez, RM","1986","09","17","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"UEC073929",NA,"Magnoliopsida",NA,"330",NA,NA,"Trepadeira com flores pouco vistosas, verdes, frequente em campo de inundação do Rio Iguaçu.",NA,NA,"2012","10",NA,NA,"31353","auto",NA,NA,NA
"33","2020-12-04 13:19:42-03","UDESC","LUSC","5236","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","T. Lobato","T.Lobato","2012","01","26","Brasil","Santa Catarina","Bom Jardim da Serra",NA,"-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"LUSC002033","LUSC002033",NA,NA,"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32577","auto",NA,NA,NA
"34","2020-12-04 13:19:42-03","UDESC","LUSC","5237","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","T. Lobato","T.Lobato; Tanaka C.A. & F. Machado","2012","01","10","Brasil","Santa Catarina","Lages",NA,"-50.326099395752","-27.8160991668701",NA,NA,NA,NA,"LUSC002038","LUSC002038",NA,NA,"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70701","auto",NA,NA,NA
"35","2020-10-14 10:06:06-03","FURB","FURB","44149","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Malucelli, T","Malucelli, T.","2009","10","09","Brasil","Paraná","Piraquara","Várzea do Rio Piraquara.","-49.0166667","-25.5333333","-49.0166667","-25.5333333","900","900","FURB04808","FURB04808",NA,NA,"18",NA,NA,"Floresta ripícola. Habitat: campo de inundação Habito: flor creme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:06:06-03","FURB","FURB","47718","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Barboza, E","Engels, M.E.; Lozano, E.D.","2013","11","03","Brasil","Paraná","Carambeí","Localidade Aroeira, margem do rio Jotuba.","-50.0971984863281","-24.9178009033203",NA,NA,NA,NA,"FURB47718","FURB47718",NA,NA,"1884",NA,NA,NA,NA,NA,"2015","02","12",NA,"26641","auto",NA,NA,NA
"37","2021-03-16 17:52:32-03","UCS","HUCS","36166","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(C. & S.) Standley","Barbosa, E.","Silva, J.M.","2009","08","02","Brasil","Paraná","Canta Galo","Rio Cavernoso",NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae","Gentianales","7312",NA,NA,"Escandente, flor creme. Herbário MBM; Beira da rodovia",NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-16 17:52:32-03","UCS","HUCS","51326","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(C. & S.) Standley","Roncen, B.P.","Gonzatti, F.","2016","12","07","Brasil","Rio Grande do Sul","São Francisco de Paula","Caminho para a Pró-Mata","-50.292167","-29.418333","-50.292167","-29.418333","800","800",NA,NA,"Angiospermae","Gentianales","3080",NA,NA,"Erva apoiante sobre gramíneas e compostas em banhado. solo e ambiente úmidos.",NA,NA,"2020","10",NA,NA,NA,NA,NA,NA,NA
"39","2019-08-16 08:40:53-03","UTFPR","HCF","17824","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","J. Cordeiro","M.G. Caxambu","2015","08","28","Brasil","PR","Mato Rico","Estação Ecológica Municipal Cantú","-52.134139","-24.776583","52°08'02,9 W","24°46'35,7 S","583","583",NA,NA,NA,NA,"6880",NA,NA,"erva heliófita, escandente. Flores amareladas.",NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-08-16 08:40:53-03","UTFPR","HCF","21645","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","E. Barboza & J. Cordeiro","G. Felitto","2015","08","19","Brasil","PR","Palmital","PCH Cantu 2, área de supressão do futuro","-52.445278","-24.750556","52°26'43 W","24°45'02 S","431","431",NA,NA,NA,NA,"1017",NA,NA,"liana herbácea, flores amarelas-esverdeadas. Floresta Estacional Semidecidual.",NA,NA,"2015","10","02",NA,NA,NA,NA,NA,NA
"41","2019-08-16 08:40:53-03","UTFPR","HCF","22034","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","E. Barboza","M.G. Caxambu","2016","11","02","Brasil","PR","Mato Rico","Estação Ecológica Municipal Colombo","-52.243056","-24.747056","52°14'35 W","24°44'49,4 S",NA,NA,NA,NA,NA,NA,"7649",NA,NA,"erva escandente, semi-ciófila. Flores esverdeadas.",NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-08-16 08:40:53-03","UTFPR","HCF","26470","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","M.G. Caxambu","M.G. Caxambu","2018","09","13","Brasil","PR","Reserva do Iguaçu","Estação Ecológica Municipal Francisco","-51.836389","-25.928139","51°50'11 W","25°55'41,3 S","956","956",NA,NA,NA,NA,"8516",NA,NA,"erva escandente, heliófita. Flores verdes, diminutas.",NA,NA,"2018","10","04",NA,NA,NA,NA,NA,NA
"43","2019-08-16 08:40:53-03","UTFPR","HCF","27492","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","E. Barboza","J.M. Silva","2009","08","02","Brasil","PR","Cantagalo","Rio Cavernoso","-52.1263999938965","-25.3743991851807",NA,NA,NA,NA,NA,NA,NA,NA,"7312",NA,NA,"escandente, flor creme. Beira de rodovia.",NA,NA,"2010",NA,NA,NA,"29583","auto",NA,NA,NA
"44","2019-08-16 08:40:53-03","UTFPR","HCF","23722","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","L.T. Dombrowski","L.T. Dombrowski","1978","10","09","Brasil","PR","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,NA,"9852",NA,NA,"em lugar úmido. Frequente.",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA
"45","2019-11-25 12:12:39-03","UFSM","SMDB","18436","S","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Rolim, RG","Rolim, RG","2018","04","01","Brasil","Rio Grande do Sul","Santa Maria",NA,"-54.005278","-29.687222","-54.005278","-29.687222","163","163","SMDB018436",NA,NA,NA,"13556",NA,NA,"Erva em banhado, em local protegido de pastejo em meio a Bromelia antiacantha; banhado",NA,NA,"2018","04","01",NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:43:21-03","MBM","MBM","54221","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Hatschbach, G.","Kummrow, R.",NA,NA,NA,"Brazil","Paraná","Araucária","Rio Iguaçu","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"MBM054221","MBM054221",NA,NA,"1158","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"21346","auto",NA,NA,NA
"47","2020-12-21 16:43:21-03","MBM","MBM","185132","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Andrade, B.O.","Andrade, B.O.","2008","10","31","Brazil","Paraná","Ponta Grossa","Nascente do rio Tibagi","-50.1618995666504","-25.0949993133545",NA,NA,"1096","1096","MBM185132","MBM185132",NA,NA,"122","Southern America",NA,"Campos hidrófilos sobre Organossolo. Herbácea escandente",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA
"48","2020-12-21 16:43:21-03","MBM","MBM","159614","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Hatschbach, G.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",NA,NA,NA,"Brazil","Rio Grande do Sul","Cambará do Sul","Lajeado da Margarida","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"MBM159614","MBM159614",NA,NA,"59179","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"30776","auto",NA,NA,NA
"49","2020-12-21 16:43:21-03","MBM","MBM","51641","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Smith, L.B.","Klein, R.",NA,NA,NA,"Brazil","Santa Catarina","São José do Cerrito","São José do Cerrito","-50.5800018310547","-27.6630992889404",NA,NA,NA,NA,"MBM051641","MBM051641",NA,NA,"4323","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"37694","auto",NA,NA,NA
