"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","eventTime"
"11","2021-03-15 16:37:00-03","NY","NYBG","442074","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","G. G. Hatschbach","1977","10","21","Brazil","Paraná","Tijucas do Sul","Rincao","-49.13368","-25.799321",NA,NA,"NY00442074","NY00442074_01",NA,NA,"A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413271' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","40479","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","442071","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","H. de F. Leitão Filho","1976","10","08","Brazil","São Paulo","Jundiaí","Ca. 10 km SW de Jundiaí. Serra do Japí","-46.88","-23.1803",NA,NA,"NY00442071","NY00442071_01",NA,NA,"A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413265' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","3167","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:19:58-03","UFRJ","RFA","19723","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","G.G. Hatschbach","1977","10","21","Brasil","Paraná","Tijucas do Sul","Rincão","-49.1988983154297","-25.9281005859375",NA,NA,"RFA51689",NA,NA,NA,"Thereza Lopes","2004","08","13","Epífita na mata. Flor rosada, maculas vinosas",NA,NA,"40479",NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:38:48-03","EAO","IAN","84500","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","sc","1954","10",NA,"Brasil","São Paulo","São Paulo","Cultivado no jardim particular de F.C. Hoehne. De tuberas recebidas do Paraná e Santa Catarina.","-46.6300010681152","-23.5400009155273",NA,NA,"IAN084500",NA,NA,NA,"Chautems, A",NA,NA,NA,NA,"Dicotiledônea",NA,"s.n.","Southern America",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:38:48-03","EAO","IAN","84501","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","sc","1954","10",NA,"Brasil","São Paulo","São Paulo","Cultivado no jardim particular de F.C. Hoehne. De tuberas recebidas do Paraná e Santa Catarina.","-46.6300010681152","-23.5400009155273",NA,NA,"IAN084501",NA,NA,NA,"Chautems, A",NA,NA,NA,NA,"Dicotiledônea",NA,"s.n.","Southern America",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-12 15:31:44-03","UFABC","HUFABC","000190","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems.","Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","2014","10","04","Brasil","Rio de Janeiro","Petrópolis","Parque Nacional Serra dos Órgãos, trilha da Pedra do Sino, próximo a cachoeira, em substrato rochoso.","-43.026417","-22.756639","-43.026417","-22.756639","HUFABC000190","HUFABC000190","1520","1520",NA,NA,NA,NA,"Erva rupicola, cálice verde diminuto, corola rosa.","Angiospermas",NA,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:17-03","PUCPR","HUCP","2889","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Jablonski, EFA",NA,NA,NA,"Brasil","Paraná","Araucária","Represa do Passaúna, Setor 54.","-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00012134","HUCP00012134",NA,NA,"Motta, JT","1983","10","20",NA,"Eudicotiledonea",NA,"054",NA,NA,"21346","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:17-03","PUCPR","HUCP","3028","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Jablonski, EFA",NA,NA,NA,"Brasil","Paraná","Araucária","Represa do Passaúna","-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00012186","HUCP00012186",NA,NA,"Motta, JT","1986","11","02",NA,"Eudicotiledonea",NA,"004",NA,NA,"21346","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:25:17-03","PUCPR","HUCP","12669","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Libsch, D","2000","11","11","Brasil","Paraná","Quatro Barras","Estrada da Graciosa","-49.0769004821777","-25.3656005859375",NA,NA,"HUCP00012087","HUCP00012087",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"144",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:25:17-03","PUCPR","HUCP","3969","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Costa, ACD",NA,NA,NA,"Brasil","Paraná","Rio Branco do Sul","Gruta de Lancinhas","-49.3142013549805","-25.1900005340576",NA,NA,"HUCP00012084","HUCP00012084",NA,NA,"Acra, LA; Costa, ACD","1990","12","02",NA,"Eudicotiledonea",NA,"027",NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:25:17-03","PUCPR","HUCP","7431","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Costa, ACD","1990","12",NA,"Brasil","Paraná","Rio Branco do Sul","Gruta de Lancinhas","-49.3142013549805","-25.1900005340576",NA,NA,"HUCP00012088","HUCP00012088",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"022",NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:25:17-03","PUCPR","HUCP","12756","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Shirata, MT","2000","10","21","Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,"HUCP00012139","HUCP00012139",NA,NA,"Libsch, D",NA,NA,NA,NA,"Eudicotiledonea",NA,"4246",NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:25:17-03","PUCPR","HUCP","573","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Kaviski, SM",NA,NA,NA,"Brasil","Paraná","Formigueiro","Chácara Garibaldi",NA,NA,NA,NA,"HUCP00012192","HUCP00012192",NA,NA,"Acra, LA","1986","10","26",NA,"Eudicotiledonea",NA,"009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-04 15:25:17-03","PUCPR","HUCP","2352","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Maciel, RFC",NA,NA,NA,"Brasil","Paraná","Curitiba","Parque Barigui","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012135","HUCP00012135",NA,NA,"Acra, LA","1985","10","31",NA,"Eudicotiledonea",NA,"005",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:25:17-03","PUCPR","HUCP","1199","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Lima, RJN",NA,NA,NA,"Brasil","Paraná","Curitiba","Parque Barigui","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012187","HUCP00012187",NA,NA,"Acra, LA","1985","10","25",NA,"Eudicotiledonea",NA,"s.n.",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:25:17-03","PUCPR","HUCP","574","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Strozzi, SA; Tanck, JC",NA,NA,NA,"Brasil","Paraná","Lapa","Lagoa Gorda","-49.7158012390137","-25.7696990966797",NA,NA,"HUCP00012136","HUCP00012136",NA,NA,"Acra, LA","1986","10","26",NA,"Eudicotiledonea",NA,"015",NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:25:17-03","PUCPR","HUCP","7432","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Costa, ACD","1990","12",NA,"Brasil","Paraná","Rio Branco do Sul","Gruta de Lancinhas","-49.3142013549805","-25.1900005340576",NA,NA,"HUCP00012140","HUCP00012140",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"025",NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:25:17-03","PUCPR","HUCP","13290","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Libsch, D","2001","10","05","Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,"HUCP00012189","HUCP00012189",NA,NA,"Libsch, D",NA,NA,NA,NA,"Eudicotiledonea",NA,"344",NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
"29","2019-12-04 15:25:17-03","PUCPR","HUCP","7430","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Costa, ACD","1990","12",NA,"Brasil","Paraná","Rio Branco do Sul","Gruta de Lancinhas","-49.3142013549805","-25.1900005340576",NA,NA,"HUCP00012188","HUCP00012188",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"017",NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA
"30","2019-12-04 15:25:17-03","PUCPR","HUCP","12668","S","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze.","Libsch, D","2000","11","05","Brasil","Santa Catarina","Mirim Doce","Mirinzinho","-50.0766983032227","-27.1963996887207",NA,NA,"HUCP00012310","HUCP00012310",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"071",NA,NA,"28064","auto",NA,NA,NA,NA,NA,NA,NA
"31","2019-12-04 15:25:17-03","PUCPR","HUCP","21654","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Kersten, RA","2007","12","10","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00012108","HUCP00012108",NA,NA,"Kersten, RA",NA,NA,NA,NA,"Eudicotiledonea",NA,"1271",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-12-04 15:25:17-03","PUCPR","HUCP","20697","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Gonçalves, DS","2008","09","30","Brasil","Santa Catarina","Ponte Serrada","Celulose Adami","-52.0158004760742","-26.8717002868652",NA,NA,"HUCP00012082","HUCP00012082",NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"s.n.",NA,NA,"31911","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-12-04 15:25:17-03","PUCPR","HUCP","21876","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Ariati, V; Melo, NO","2008","11","09","Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00012034","HUCP00012034",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"189",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:25:17-03","PUCPR","HUCP","21614","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Ostrowski, NMAT","2010","10","08","Brasil","Paraná","Curitiba","Boqueirão","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012314","HUCP00012314",NA,NA,"Acra, LA",NA,NA,NA,NA,"Eudicotiledonea",NA,"s.n.",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-12-04 15:25:17-03","PUCPR","HUCP","21308","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Mazzali, M","2009","10","17","Brasil","Paraná","Fazenda Rio Grande","Fazenda Experimental Gralha Azul","-49.3081016540527","-25.6574993133545",NA,NA,"HUCP00012083","HUCP00012083",NA,NA,"Mazzali, M",NA,NA,NA,NA,"Eudicotiledonea",NA,"041",NA,NA,"12596","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:25:17-03","PUCPR","HUCP","21811","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Keller, H","2008","11","02","Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,"HUCP00012262","HUCP00012262",NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"041",NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:25:17-03","PUCPR","HUCP","21757","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Bianchi, J","2011","11","12","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,"Bianchi, J",NA,NA,NA,NA,"Eudicotiledonea",NA,"041",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-02-27 21:09:09-03","PUCPR","HUCP","23427","S","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Hekavey, C","2011","12",NA,"Brasil","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00012182","HUCP00012182",NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"064",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826478","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","confertifolia","Rechsteineria confertifolia","(Hanst.) Kuntze","Hatschbach GG; Koczicki C","1971","10","16","Brazil",NA,NA,"Laguna, Santa Catarina.",NA,NA,NA,NA,"NL-WAG1826478","NL-WAG1826478",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"40","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826480","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1975","11","05","Brazil",NA,NA,"Guaricana (mun. S. José dos Pinhaes) Paraná.",NA,NA,NA,NA,"NL-WAG1826480","NL-WAG1826480",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826480 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826481","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1973","10","19","Brazil",NA,NA,"Borboletinha (mun. Pitanga) Paraná.",NA,NA,NA,NA,"NL-WAG1826481","NL-WAG1826481",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826482","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Kummrow R","1973","11","13","Brazil",NA,NA,"Capanema (mun. Curitiba) Paraná.",NA,NA,NA,NA,"NL-WAG1826482","NL-WAG1826482",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826483","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1971","10","25","Brazil",NA,NA,"Saltinho (mun. Tijcas do Sul) Paraná.",NA,NA,NA,NA,"NL-WAG1826483","NL-WAG1826483",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"44","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826484","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1969","11","11","Brazil",NA,NA,"Pico Torto, encosta oriental (mun. Paranagua) Paraná.",NA,NA,NA,NA,"NL-WAG1826484","NL-WAG1826484",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"45","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826485","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1970","12","01","Brazil",NA,NA,"Veu de Noiva (mun. Piraquara) Paraná.",NA,NA,NA,NA,"NL-WAG1826485","NL-WAG1826485",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826486","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Hatschbach GG","1969","01","31","Brazil",NA,NA,"Morro 7 (Mun. Morretes) Paraná.",NA,NA,NA,NA,"NL-WAG1826486","NL-WAG1826486",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826487","PreservedSpecimen","Plantae","Gesneriaceae","Rechsteineria","douglasii","Rechsteineria douglasii","(Lindl.) Kuntze","Soels K","1958","10","15","Brazil",NA,NA,"Zuid Amerika. Brazilië, nabij Ned. Colonie in Monte Alegre.",NA,NA,NA,NA,"NL-WAG1826487","NL-WAG1826487",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"48","2020-02-08 09:32:00-03","NBC","NL-BOTANY","L.2819252","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Reitz R; Klein RM","1958","10","18","Brazil",NA,NA,"Santa Catarina, Matador, Rio do Sul.",NA,NA,NA,NA,"NL-L2819252","NL-L2819252",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2819252 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lamiales",NA,"Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
