"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount"
"11","2021-02-11 17:18:09-03","UFPR","UPCB","70640","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Saavedra, M.M.","751","2008","05","02",NA,"Brasil","Espírito Santo","BLOQUEADO","1100","1400",NA,"Planta ca. 1,5m alt. Folhas com nervura principal arroxeada, indumento alvo, brácteas involucrais verde claras, corolas e ramos do estilete amarelos, anteras acastanhadas..",NA,NA,NA,NA,NA,"Castelo",NA,NA,"9999","9999",NA,NA,NA,NA,NA
"12","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","33198",NA,"Plantae",NA,NA,"Compositae","Senecio","aff. graciellae","Senecio aff. graciellae","Cabrera",NA,"A. P. Fontana; et al","1572","2005","07","16",NA,"Brasil","Espírito Santo","Alto Misterioso",NA,NA,NA,"Rupestre, heliófila, 2m, flores amarelas.","MBML033198","MBML033198","A.M. Teles/VIII-2015",NA,NA,"São Roque do Canaã","-40.775278","-19.796944","40W46'31","19S47'49",NA,NA,NA,NA,NA
"13","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","46406",NA,"Plantae",NA,NA,"Compositae","Senecio","aff. graciellae","Senecio aff. graciellae","Cabrera",NA,"A. P. Fontana; E.J. Lírio","7708","2013","07","02",NA,"Brasil","Espírito Santo","Misterioso, Pedra dos Três Carneiros","612","612",NA,"Arbusto ca 2m. Flores amarelas","MBML046406","MBML046406","A.M. Teles/VIII-2015",NA,NA,"São Roque do Canaã","-40.7575","-19.770556","40W45'27","19S46'14",NA,NA,NA,NA,NA
"14","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","22322",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"L. Kollmann; et al","6627","2004","04","09",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Erva 1,5m no sol, rupícola, flores amarelas.","MBML022322","MBML022322","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA
"15","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","23685",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"A. P. Fontana; et al","890","2004","08","01",NA,"Brasil","Espírito Santo","Alto Misterioso",NA,NA,NA,"Herbácea, heliófila, flores amarelas.","MBML023685","MBML023685","A.M. Teles/VIII-2015",NA,NA,"São Roque do Canaã","-40.775278","-19.796944","40W46'31","19S47'49",NA,NA,NA,NA,NA
"16","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","23974",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"L. Kollmann; et al","7553","2005","03","25",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Erva 2m, rupestre ao sol. Flores amarelas.","MBML023974","MBML023974","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA
"17","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","26323",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"L. Kollmann; et al","8976","2006","04","29",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Planta rupestre no sol. Flores amarelas.","MBML026323","MBML026323","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA
"18","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","31259",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"L. Kollmann; P. Labiak & F. B. Matos","9969","2007","07","19",NA,"Brasil","Espírito Santo","Forno Grande, Parque Estadual de Forno Grande","1660","1660",NA,"Erva 2m. Rupícola no sol. Flores amarelas.","MBML031259","MBML031259","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA
"19","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","34011",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"M.M. Saavedra; et al","751","2008","05","02",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Planta ca. 1,5m alt., folha com nervura principal arroxeada, indumento alvo, bracteas involucrais verde claras, corolas e ramos do estilete amarelos, anteras acastanhadas.","MBML034011","MBML034011","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.083611","-20.516111","41W5'1","20S30'58",NA,NA,NA,NA,NA
"20","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","34900",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"A. P. Fontana; et al","4790","2008","02","12",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande. Trilha das piscinas para o mirante",NA,NA,NA,NA,"MBML034900","MBML034900","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.083611","-20.516111","41W5'1","20S30'58",NA,NA,NA,NA,NA
"21","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","37136",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"A. P. Fontana; et al","5372","2008","07","16",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,NA,"MBML037136","MBML037136","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.083611","-20.516111","41W5'1","20S30'58",NA,NA,NA,NA,NA
"22","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","38717",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"C. N. de Fraga; R.C.Forzza, A.P.Fontana. A.M.Amorim, R.Goldenberg, L.Kollmann, L.Daneu & J.Meirelles","2451","2009","04","07",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande. Trilha para o mirante. Floresta Ombrófila Densa Altomontana com inselbergues.","1100","1100",NA,"Subarbusto com inflorescências longas ca. 1m. Folhas verde com indumento branco na face abaxial, quando velhas secas na base. Inflorescência com brácteas verdes, Flores amarelas com estames castanhos, estigma amarelo.","MBML038717","MBML038717","A.M. Teles/VIII-2015",NA,NA,"Castelo","-41.0875","-20.519444","41W5'15","20S31'10",NA,NA,NA,NA,NA
"23","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","49197",NA,"Plantae",NA,NA,"Compositae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"L. Kollmann","12441","2012","09","04",NA,"Brasil","Espírito Santo","Alto Rio Perdido","700","700",NA,"Erva 2 m, rupícola ao sol, flores amarelas.","MBML049197","MBML049197","G. Heiden/07-04-2016",NA,NA,"Santa Teresa","-40.739722","-19.826944","40W44'23","19S49'37",NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","3108800","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"G. Hatschbach","46691","1983","8","4","South America - Neotropics","Brazil","Espírito Santo","Muniz Freire, arredores",NA,NA,NA,NA,"US01838804","US01838804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"25","2020-07-23 11:59:29-03","CEPLAC","CEPEC","129752","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae",NA,NA,"M. M. Saavedra","751","2008","05","02",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande. Trilha das piscinas para o mirante.","1100","1100",NA,"<ll>dwc_commonname:</ll>",NA,NA,"M. M. Saavedra",NA,NA,"castelo","-41.083611","-20.516111","41W5'1","20S30'58",NA,NA,NA,NA,NA
"26","2020-07-23 11:59:29-03","CEPLAC","CEPEC","130984","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae",NA,NA,"C. N. Fraga","2451",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"C. N. Fraga",NA,NA,"castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA
