"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","county","maximumElevationInMeters","decimalLongitude","decimalLatitude","individualCount","class","order","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","preparationType","geoFlag","phylum","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet"
"11","2010-01-29 20:51:00-02","MO","MOBOT","2978575","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","W.G. Herter","Herter 333","1925","12",NA,"South America","Uruguay","Montevideo","Loc. Dict.: Malvin. Humid., Illum.: Lit, platens. Observ.: suenit.-Aren.","0E8",NA,"5.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-10-19 23:44:00-02","MO","MOBOT","2978621","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"Eduardo M. Grondona","Grondona 7631","1950",NA,NA,"South America","Argentina","Buenos Aires","Estac. Experimental, Campo La Reserva.",NA,"Balcarce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2014-01-07 16:17:00-02","MO","MOBOT","2978693","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"E. Ancibor|A. Vizinis","Ancibor 4450","1965","1","19","South America","Argentina","Santa Cruz","Estancia La Estralla, Cabo Blanco. Cerca de agua.",NA,"Deseado",NA,"-66","-47","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-10-19 23:48:00-02","MO","MOBOT","2978797","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","Walter J. Eyerdam|Alan A. Beetle|Eduardo M. Grondona","Eyerdam 24510","1939","1","21","South America","Argentina","Santa Cruz","30 Km west of town of Lago Buenos Aires, shore of Lago Buenos Aires; in sand. Associated with Juncus.","200.00000000","Lago Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","2978878","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Davidse","Juan H. Hunziker","Hunziker 1732","1946",NA,NA,"South America","Argentina","Buenos Aires","Las Palmas. Partido de: Zárata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2012-10-18 09:24:00-03","MO","MOBOT","2987193","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Davidse","Carlo L.G. Bertero","Bertero 273","1827",NA,NA,"South America","Chile",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3295079","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"E. Ancibor|A. Vizinis","Ancibor s.n.","1965","1","15","South America","Argentina","Santa Fé","Dpto. Deseado, Puerto Deseado, frente al INTI. Coord: Lat. 47º 5/ Long. 66º W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","1193764","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"H. Smith","111","1922","12","3","South America","Uruguay","Maldonado","Piriapolis",NA,NA,NA,NA,NA,"1","Monocotyledonae","Cyperales","Transcribed by digital volunteers","US01948225","US01948225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2076552","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"A. A. Beetle","S-H-73","1952","2","28","South America","Argentina","Santa Cruz","Ranch La Rosinda",NA,NA,NA,NA,NA,"1","Monocotyledonae","Cyperales","Transcribed by digital volunteers","US01948224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-02 16:37:43-03","Cenargen","CEN","3544","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","2323","1972","11","12",NA,"Brasil","RS","Em terreno baldio na parte norte da cidade.",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23184","CEN00003544","CEN00003544","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"21","2020-09-02 16:37:43-03","Cenargen","CEN","3546","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","1949","1972","02","25",NA,"Brasil","RS","Escarpas dasTorres  do centro, guarita e de fora",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Frequente nas escarpas com exposição oeste, Doação - Herbário Depto. Bot. da U.F.R.G.S. Nº ICN 9734 - Porto Alegre.","CEN00003546","CEN00003546","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"22","2020-09-02 16:37:43-03","Cenargen","CEN","3545","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","2332","1972","11","12",NA,"Brasil","RS","Topo da ladeira, leste do morro do Farol.",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"local muito ventoso, Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23193.","CEN00003545","CEN00003545","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"23","2020-09-02 16:37:43-03","Cenargen","CEN","3547","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","2341","1972","11","12",NA,"Brasil","RS","Torre do meio, escarpa voltada para Guarita.",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Dupl. no BLS. . Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23141","CEN00003547","CEN00003547 CEN00003547_1","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"24","2020-09-02 16:37:43-03","Cenargen","CEN","3543","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","J. F. M. Valls","José Francisco Montenegro Valls","2340","1972","11","12",NA,"Brasil","RS","Torre do meio, escarpa voltada para Guarita.",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Dupl. no BLS. . Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23139","CEN00003543","CEN00003543","2015","01","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"25","2020-09-02 16:37:43-03","Cenargen","CEN","3542","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","2339","1972","11","12",NA,"Brasil","RS","Torre do meio, escarpa voltada para Guarita.",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Dupl. no BLS. . Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23138","CEN00003542","CEN00003542","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"26","2020-09-02 16:37:43-03","Cenargen","CEN","3540","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. N. Kämpf","José Francisco Montenegro Valls","2348","1972","11","12",NA,"Brasil","RS","Torres - Torres do meio, na escarpa junto a furninha,",NA,"TORRES",NA,"-49.7268981933594","-29.3353004455566","1",NA,NA,"Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23147.","CEN00003540","CEN00003540","1974","09","20837","Exsicatas","auto",NA,NA,NA,NA,NA
"27","2021-02-08 12:54:18-03","UFRGS","ICN","005272","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Normam, A","Pedersen, TM","7319","1964","11","26","América do Sul","Argentina","Entre Rios, Nogoyá","Estancia Las Aguadas",NA,"Crucecitas",NA,NA,NA,NA,NA,NA,"Moist ground, by a dried-out waterhole.",NA,NA,"1973",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA
"28","2021-02-08 12:54:18-03","UFRGS","ICN","168210","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Longhi-Wagner, HM","R.T. Shirasuna, F Morse","2196","2009","03","16","América do Sul","Brasil","SP","Mauá Rodoanel trecho sul lote 1 23°42.842'S 46°28 318' W Aterro do Lara","833","São Paulo","833","-46.471944","-23.713889",NA,NA,NA,"herbácea ca. 25 cm alt., cespitosa, inflorescência verde; local perturbado",NA,NA,NA,NA,NA,NA,NA,"Monocotyledon","-46.471944","-23.713889",NA,NA
"29","2021-02-08 12:54:18-03","UFRGS","ICN","021825","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Porto, ML","Pellizzaro, P; et al.","s.n.","1972","12","28","América do Sul","Brasil","RS","Parque Estadual Caracol, 8km N de Canela, vale abaixo da cachoeira.",NA,"Canela",NA,"-50.815601348877","-29.3656005859375",NA,NA,NA,NA,NA,NA,"1973",NA,"16452",NA,"auto","Monocotyledon",NA,NA,NA,NA
"30","2021-02-08 12:54:18-03","UFRGS","ICN","047346","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Irgang, B","Phadenhauer","668","1978","02",NA,"América do Sul","Brasil","RS","76km ao sul da Praia do Cassino.",NA,"Rio Grande",NA,"-52.0985984802246","-32.0349998474121",NA,NA,NA,"Estágio pioneiro.; Baixada úmida, atrás de dunas móveis.",NA,NA,NA,NA,"82892",NA,"auto","Monocotyledon",NA,NA,NA,NA
"31","2021-02-08 12:54:18-03","UFRGS","ICN","129377","S","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","dos Santos, Ana Mª PV","Hagelund, K","7636","1974","01","03","América do Sul","Brasil","RS","Pé do Morro do Farol",NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,NA,NA,NA,NA,"20837",NA,"auto","Monocotyledon",NA,NA,NA,NA
"32","2021-03-22 16:23:46-03","FEPAGRO","BLA","8639","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"O. Boelcke","8491","1956","01","30",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ex BAA.Habitat: Em campos baixos da costa.","BLA008639",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA
"33","2020-12-29 16:52:49-03","FEPAGRO","BLA","11766","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","L. R. Parodi","Herter","1928","1928","12","28",NA,"Uruguai","Montevideo",NA,NA,"Carrasco",NA,NA,NA,NA,NA,NA,"Ex Herb. Hert. 84372.Habitat: Contevideotivaev","BLA011766",NA,"1948","01",NA,NA,NA,"Spermatophyta",NA,NA,"01",NA
"34","2021-03-22 16:23:46-03","FEPAGRO","BLA","8656","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke","11987","1964","12","09",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de determinação: 1973 Ex BAA.","BLA008656",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA
"35","2021-03-22 16:23:46-03","FEPAGRO","BLA","8572","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. bonariensis",NA,"E. G. Nicora","L. R. Parodi","8175","1927","11","13",NA,"Argentina","Buenos Aires",NA,NA,"Buenos Aires",NA,NA,NA,NA,NA,NA,"Ex BAA.","BLA008572",NA,"1968","10",NA,NA,NA,"Spermatophyta",NA,NA,"01","var. bonariensis"
"36","2021-03-22 16:23:46-03","FEPAGRO","BLA","8659","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke et alii","11972","1964","12","09",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de determinação: 1973. Ex BAA.","BLA008659",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA
"37","2021-03-22 16:23:46-03","FEPAGRO","BLA","5673","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","R. León","518",NA,NA,NA,NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de Coleta: 01/1962.","BLA005673",NA,"1973","05",NA,NA,NA,"Spermatophyta",NA,NA,"22",NA
"38","2021-03-22 16:23:46-03","FEPAGRO","BLA","8657","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke","8892",NA,NA,NA,NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de coleta 01/1954. Data de determinação: 1973. Ex BAA.","BLA008657",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA
"39","2021-03-22 16:23:46-03","FEPAGRO","BLA","8574","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. imberbis","(Phil.) Johow",NA,"O. Boelcke et alii","11801","1964","12","03",NA,"Argentina","Buenos Aires","Bahia Blanca",NA,"Villarino",NA,NA,NA,NA,NA,NA,"Ex BAA.","BLA008574",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"var. imberbis"
"40","2021-03-22 16:23:46-03","FEPAGRO","BLA","8571","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke et alii","5877","1967","12","06",NA,"Argentina","Buenos Aires",NA,NA,"Maipú",NA,NA,NA,NA,NA,NA,"Ex BAA.","BLA008571",NA,"1973","01",NA,NA,NA,"Spermatophyta",NA,NA,"01",NA
"41","2020-05-19 11:39:22-03","FEPAGRO","BLA","8575","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. imberbis","(Phil.) Johow",NA,"L. R. Parodi","425","1917","03","01",NA,"Argentina","Buenos Aires",NA,NA,"Pergamino",NA,NA,NA,NA,NA,NA,"Ex BAA.","BLA008575",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"var. imberbis"
"42","2021-03-22 16:23:46-03","FEPAGRO","BLA","8658","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke et alii",NA,"1961","11","17",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de determinação: 1973. Ex BAA.","BLA008658",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA
"43","2021-03-22 16:23:46-03","FEPAGRO","BLA","17413","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","L. R. Parodi","5997","1924","12","08",NA,"Argentina","Buenos Aires",NA,NA,"Victoria",NA,NA,NA,NA,NA,NA,"Ex BLA 8570b. Ex BAA.","BLA017413",NA,"1973","01",NA,NA,NA,"Spermatophyta",NA,NA,"01",NA
"44","2021-03-22 16:23:46-03","FEPAGRO","BLA","8573","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. imberbis","(Phil.) Johow","A. Normann-Kämpf","O. Boelcke et alii",NA,"1962","11","16",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data de determinação:1973. Ex BAA 9649.","BLA008573",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"var. imberbis"
"45","2021-03-22 16:23:46-03","FEPAGRO","BLA","17411","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","I. L. Barreto",NA,NA,NA,NA,NA,"Uruguai","Durazno",NA,NA,"Santa Rosa",NA,NA,NA,NA,NA,NA,"Data de Coleta: 10/1954. Ex BLA 1492b.Habitat: Em campo baixo e úmido.","BLA017411",NA,"1973","05",NA,NA,NA,"Spermatophyta",NA,NA,"22",NA
"46","2021-03-22 16:23:46-03","FEPAGRO","BLA","11543","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","H. Longhi-Wagner","L. A. Arzivenco",NA,"1976","01","07",NA,"Brasil","Rio Grande do Sul",NA,NA,"Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,NA,NA,"Data de determinação: 1978.","BLA011543",NA,NA,NA,"19547",NA,"auto","Spermatophyta",NA,NA,NA,NA
"47","2021-03-22 16:23:46-03","FEPAGRO","BLA","8587","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","L. A. Arzivenco",NA,"1971","12","26",NA,"Brasil","Rio Grande do Sul",NA,NA,"Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,NA,NA,"Duplicata no BAA.Habitat: Em solo melhorado.","BLA008587",NA,NA,NA,"19547",NA,"auto","Spermatophyta",NA,NA,NA,NA
"48","2020-12-29 16:52:49-03","FEPAGRO","BLA","7359","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"L. A.","446","1971","12","26",NA,"Brasil","Rio Grande do Sul","Praia de Cidreira",NA,"Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,NA,NA,"Habitat: Terreno baldio um pouco molhado","BLA007359",NA,NA,NA,"19547",NA,"auto","Spermatophyta",NA,NA,NA,NA
"49","2021-03-22 16:23:46-03","FEPAGRO","BLA","7227","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. imberbis","(Phil.) Johow","A. Normann-Kämpf","A. Normann-Kämpf","332","1970","02","16",NA,"Brasil","Rio Grande do Sul","Praia do Pinhal",NA,"Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,NA,NA,"Com duplicata.Habitat: Na areia, lugar sombrio.","BLA007227",NA,NA,NA,"19547",NA,"auto","Spermatophyta",NA,NA,NA,"var. imberbis"
"50","2021-03-22 16:23:46-03","FEPAGRO","BLA","7393","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","A. Normann-Kämpf",NA,"1970","02","16",NA,"Brasil","Rio Grande do Sul","Praia do Pinhal",NA,"Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,NA,NA,"Data de determinação: 1973.","BLA007393",NA,NA,NA,"19547",NA,"auto","Spermatophyta",NA,NA,NA,NA
"51","2021-03-22 16:23:46-03","FEPAGRO","BLA","4253","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. Mário",NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul","Orla da Lagoa de Tramandaí",NA,"Imbé",NA,"-50.128101348877","-29.9752998352051",NA,NA,NA,"Data de Coleta: 02/1964. Duplicata no BAA.Habitat: Orla de lagoa","BLA004253",NA,NA,NA,"11309",NA,"auto","Spermatophyta",NA,NA,NA,NA
"52","2021-03-22 16:23:46-03","FEPAGRO","BLA","4540","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis var. imberbis","(Phil.) Johow","A. Normann-Kämpf","A. Kappel",NA,"1964","11","06",NA,"Brasil","Rio Grande do Sul","Granja do Taquaral",NA,"Rio Grande",NA,"-52.0985984802246","-32.0349998474121",NA,NA,NA,"Habitat: Em campo","BLA004540",NA,NA,NA,"82892",NA,"auto","Spermatophyta",NA,NA,NA,"var. imberbis"
"53","2021-03-22 16:23:46-03","FEPAGRO","BLA","8837","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2340","1972","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1974. Ex ICN 23139.Habitat: Escarpa","BLA008837",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
"54","2021-03-22 16:23:46-03","FEPAGRO","BLA","8839","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2325","1972","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Ex ICN 23186.","BLA008839",NA,"1974","01","20837",NA,"auto","Spermatophyta",NA,NA,"01",NA
"55","2021-03-22 16:23:46-03","FEPAGRO","BLA","8840","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","A. Normann-Kämpf","J. F. M. Valls et alii","2323","1972","11","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,"Data de determinação: 1974. Ex ICN 23184.Habitat: Terreno baldio.","BLA008840",NA,NA,NA,"20837",NA,"auto","Spermatophyta",NA,NA,NA,NA
