"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class","typeStatus","fieldNumber","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","645422","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"H. S. Irwin","Brazil","Bahia",NA,"Serra do Tombador, ca. 22 km W of Morro do Chapéu",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14375' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30677","1971","02","20","South America","sheet","NY00645422","NY00645422_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","645423","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"J. N. Rose","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"Line drawing, Feb 4, 1916 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"42977","1915",NA,NA,"South America","sheet","NY00645423","NY00645423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","645420","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"J. N. Rose","Brazil","Bahia",NA,"Vicinity of Joazeiro",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19726","1915","06","02","South America","sheet","NY00645420","NY00645420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01192905","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy","N. P. Taylor","J. G. Jardim","Brazil","Bahia","Urandi","Rod. Licicio de Almeida/Urandi 15,4 km, area montanhosa","-42.5742","-14.7472",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396358' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3325","2001","03","31","South America","sheet","NY01192905","NY01192905_01","1020","1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","645425","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"J. N. Rose","Brazil","Bahia","Marcionílio Souza","Vicinity of Machado Portello","-40.5306","-13.0033",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14379' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19936","1915","06","19","South America","sheet","NY00645425","NY00645425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","645418","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"W. R. Anderson","Brazil","Bahia",NA,"Espigao Mestre. Serra 34 km W of Barreiras",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14372' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"36462","1972","03","02","South America","sheet","NY00645418","NY00645418_01","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-06 11:42:00-03","UFPI-MRV","HDELTA","5918","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"Siqueira, J. I. A.; Lemos, J.R.","Brasil","Piauí","Cocal","Franco","-41.5574989318848","-3.47194004058838","30836",NA,"<ll>dwc_commonname:</ll> Palma","auto","95","2018","03","04",NA,NA,"HDELTA005918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-15 11:14:33-03","FUNED","FUNED-POL","4623","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena",NA,NA,"Bastos, E.M.A.F.","Brasil","MG","Janaúba","Fazenda Coqueiros Mata Seca","-43.463056","-15.709167",NA,NA,NA,NA,NA,"2010","08","12",NA,NA,"POL004623","POL004623_p01 POL004623_p02 POL004623_p03 POL004623_p04",NA,NA,"43W 27' 47","15S 42' 33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:36:22-03","EAO","IAN","183520","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) W.Stuppy & N.P. Taylor",NA,"Queiroz, LP de","Brasil","Bahia","Casa Nova","Fazenda Santarém.","-40.9707984924316","-9.16193962097168","116505",NA,"Herbácea ca. 20cm altura. Cladódios verdes. Frutos alaranjados.","auto","8015","2003","11","28","Southern America",NA,"IAN183520",NA,"452","452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2013-07-03 10:37:48-03","EBDA","BAH","2426","S","Plantae",NA,NA,"Cactaceae","Opuntia","inamoena","Opuntia inamoena","K.Schum.","D. Zappi","Ferreira, M. do S.G.","Brasil","Bahia","Irecê","Lagoa dos Patos Ca. 27 km do Sul de irecê","-41.8558","-11.3042","19644",NA,"Erva.","auto","89","1980","08","20",NA,NA,NA,NA,"700","800",NA,NA,"1998","08",NA,NA,NA,NA,NA,NA,NA
"21","2019-10-09 11:12:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Opuntia","inamoena","Opuntia inamoena","K.Schum.","Taylor, N","Giulietti, AM; Smith, S; Hind, DJN; Harley, RM; Guedes, ML; Silva, EM da","Brasil","Bahia","Xique-Xique","Irecê, Dunas do Rio São Francisco","-42","-10",NA,NA,"0,40 m.; Vegetação arbustivo-espinhosa, perenifólia, xerófilas com muitas leguminosas, euforbiáceas, cactáceas e bromélias. Solo arenoso.",NA,"PCD&nf;2967","1996","06","23","Southern America",NA,NA,NA,"548","548","-42","-10","1997","03",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:12:21-03","UFBA","ALCB","54532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Opuntia","inamoena","Opuntia inamoena","K.Schum.","Guedes, ML","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","Brasil","Bahia","Jacobina","Piemonte da Diamantina, Assentamento V rzea do Curral","-40.836111","-11.135278",NA,NA,"cladódios alargados, com bastante glochidios. Flores vermelhas. Freqüente.",NA,"425","2001","08","07","Southern America",NA,NA,NA,NA,NA,"-40.836111","-11.135278","2001","11",NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:12:22-03","UFBA","ALCB","104113","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","Brasil","Bahia","Juazeiro","Baixo Médio São Francisco, Fazenda Lagoa Seca","-40.8","-9.383333",NA,NA,"com alguns cladódios prostrados, achatados, com muitas auréolas contendo gloquídeos. Flores com pétalas alaranjadas.",NA,"19315","2011","11",NA,"Southern America",NA,NA,NA,NA,NA,"-40.8","-9.383333","2012","02",NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:12:22-03","UFBA","ALCB","38481","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Giulietti, AM; Smith, S; Hind, DJN; Harley, RM; Guedes, ML; Silva, EM da","Brasil","Bahia","Xique-Xique","Irecê, Dunas do Rio São Francisco","-42.772778","-10.787778",NA,NA,"3,0 m, muito ramificada, copa de 3 m de diâmetro. Botões de sépalas verdes, ápice vináceo. Flores de pétalas alvas, ápice vináceo; anteras, pólen e estigma cremes. Ocasional.; Vegetação arbustivo-espinhosa, perenifólia, xerófilas com muitas legumino",NA,"PCD&nf;2966","1996","06","23","Southern America",NA,NA,NA,"548","548","-42.772778","-10.787778","2010","11","16",NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:12:22-03","UFBA","ALCB","78642","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Ferrucci, MS; Perdiz, R","Guedes, ML; Valadão, RM; Prates, ARS; Gomes, FS","Brasil","Bahia","Feira da Mata","Médio São Francisco, Próximo à margem do Rio Carinhanha","-43.784444","-14.234722",NA,NA,"suculento. Cladódios com poucos gloquídios. Fruto imaturo verde. Ocasional.",NA,"13552","2007","05","27","Southern America",NA,NA,NA,NA,NA,"-43.784444","-14.234722","2010","11","16",NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:12:22-03","UFBA","ALCB","67776","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Roque, N; Alunos de Botânica III","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.341389","-11.496389",NA,NA,"ca. 40cm de altura. Hipanto verde, tépalas laranja-avermelhadas.",NA,"1166","2004","09","05","Southern America",NA,NA,NA,"928","928","-41.341389","-11.496389","2010","11","16",NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:12:22-03","UFBA","ALCB","024111","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Bandeira, FP","Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Pétalas vermelhas, anteras amarelas, frutos imaturos verdes e maduros alaranjados.; Solo arenoso.",NA,"98","1992","11","28","Southern America",NA,NA,NA,NA,NA,NA,NA,"2010","11",NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 21:31:57-03","UFBA","ALCB","02906","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Costa, AL","Brasil","Bahia",NA,"Joazeiro.",NA,NA,NA,NA,NA,NA,"s/n","1972","09","07","Southern America",NA,NA,NA,NA,NA,NA,NA,"2010","11",NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 21:31:57-03","UFBA","ALCB","031679","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Guedes, ML; Macedo, GL; Alunos de Botânica III","Brasil","Bahia",NA,"Hidroelétrica de São Franscisco, Barragem da Pedra.","-40.083333","-13.85",NA,NA,"Ca. 30cm, suculenta. Áfila. Botões e flores laranja. Frequência: ocasional.; Argilo-pedregoso.",NA,"s/n","1997","10","19","Southern America",NA,NA,NA,NA,NA,"-40.083333","-13.85","2010","11",NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 21:31:57-03","UFBA","ALCB","09617","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Filho, CB","Brasil","Bahia",NA,"Reserva Ecológica do Raso ca Catarina - Canyon.","-38.216667","-9.4",NA,NA,"Cacto muito frequente, vegetando em solo arenoso, com flores vermelhas.",NA,"s/n","1982","12","17","Southern America",NA,NA,NA,NA,NA,"-38.216667","-9.4","2010","11",NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:12:22-03","UFBA","ALCB","111290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor",NA,"Penna, UL; et al.","Brasil","Bahia","Lençóis","na trilha dos polinizadores, Hotel Canto das","-41.391944","-12.568889",NA,NA,"Plantas com cladódios aplanados, orbiculares a elípticos, floquídios presentes; flores cor-de-laranja. Fruto solitário, globoso.",NA,"s/n","2013",NA,NA,"Southern America",NA,NA,NA,NA,NA,"-41.391944","-12.568889","2014","02",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:12:22-03","UFBA","ALCB","104532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","Brasil","Bahia","Juazeiro","Baixo Médio São Francisco, Fazenda Lagoa seca.","-40.8","-9.383333",NA,NA,"com cladódios achatados com muitos gloquídios. Flores com pétalas alaranjadas.",NA,"19431","2011","11",NA,"Southern America",NA,NA,NA,NA,NA,"-40.8","-9.383333","2012","03",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:12:22-03","UFBA","ALCB","118835","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor",NA,"Aona, LYS","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Lajes.","-41.341944","-11.49",NA,NA,"Frutos amarelados, polpa branca.",NA,"3559","2014","05","17","Southern America",NA,NA,NA,NA,NA,"-41.341944","-11.49",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:12:22-03","UFBA","ALCB","124902","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Guedes, ML","Guedes, ML; Casaes, M","Brasil","Bahia","Santa Teresinha","Recôncavo Sul, Margem do Rio Paraguaçu.","-39.516667","-12.766667",NA,NA,"Cladódios achatados, aréolas sem espinhos , só glochideos. Flores vermelhas.",NA,"24566","2016","05","07","Southern America",NA,"ALCB017119","ALCB017119",NA,NA,"-39.516667","-12.766667","2016","07",NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:12:22-03","UFBA","ALCB","132305","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","Brasil","Pernambuco","Lagoa Grande","Fazenda Planaltino, Rod. PE574.","-40.266667","-8.983333",NA,NA,"Planta terrestre, carnosa ramificada, com artículos comprimidos, com aréolas com gloquídias. Flores em botões, alaranjados.",NA,"30236","2018","01","10","Southern America",NA,"ALCB047938","ALCB047938",NA,NA,"-40.266667","-8.983333","2018","05",NA,NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:12:22-03","UFBA","ALCB","128662","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Guedes, ML","Guedes, ML; Alunos de Botânica BIOC05","Brasil","Bahia","Ipupiara","Caminho para Pintadas.","-43.15","-11.816667",NA,NA,"cladódios achatados, aréolas com gloquídeos. Flores vistosas de cor alaranjada.",NA,"25904","2017","08","12","Southern America",NA,"ALCB045850","ALCB045850",NA,NA,"-43.15","-11.816667","2017","09",NA,NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:12:22-03","UFBA","ALCB","16227","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Noblick, LR","Brasil","Bahia",NA,"Perto do retorno da cidade Nova.","-38.966667","-12.25",NA,NA,"Planta de até 50cm de altura com corola arroxeada e frutos maduros quando maduros. Ocasional na caatinga.",NA,"2940","1984","02","27","Southern America",NA,NA,NA,NA,NA,"-38.966667","-12.25","2010","11",NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:12:22-03","UFBA","ALCB","26323","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Andrade, CT; Leite, KRB; Santos, FAR; Correa, C","Brasil","Bahia",NA,"Morro do Agenor.","-39.766667","-12.7",NA,NA,"Ca. 30cm. Cladódio verde claro. Flores em botão, de cor rosa. Fruto alaranjado.; Campo rupestre.",NA,"2","2000","04","14","Southern America",NA,NA,NA,NA,NA,"-39.766667","-12.7","2010","11",NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:12:22-03","UFBA","ALCB","46765","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Cavalcanti, G; Guedes, ML; Fonseca, MR; Jesus, NG de; et al.","Brasil","Bahia",NA,"Serrote Branco.","-40.388889","-9.702778",NA,NA,"50cm. Flores veremelho-alaranjadas, botões verdes. Frutos imaturos verdes, frutos maduros amarelos. Comum.",NA,"41","2000","03","26","Southern America",NA,NA,NA,NA,NA,"-40.388889","-9.702778","2010","11",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:12:22-03","UFBA","ALCB","54532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","Brasil","Bahia","Jacobina","Piemonte da Diamantina, Assentamento Várzea do Curral","-40.836111","-11.135278",NA,NA,"cladódios alargados, com bastante glochidios. Flores vermelhas. Freqüente.",NA,"425","2001","08","07","Southern America",NA,NA,NA,NA,NA,"-40.836111","-11.135278","2010","11","16",NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:12:22-03","UFBA","ALCB","61496","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Oliveira, RP de; Alunos de Botânica III","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para Jacobina","-41.15","-11.55",NA,NA,"com cladódios articulados, quase sem gloquídios.",NA,"s/n","2002","06",NA,"Southern America",NA,NA,NA,NA,NA,"-41.15","-11.55","2010","11","16",NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:12:22-03","UFBA","ALCB","65491","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","Brasil","Bahia","Piatã","Chapada Diamantina, Piatã. Estrada Piatã-Abaíra. No entrocamento para Catolés","-41.749167","-13.228611",NA,NA,"Sépalas laranjas com base amrela. Botão alaranjado. Fruto verde qdo imaturo passando a amarelo.",NA,"939",NA,NA,NA,"Southern America",NA,NA,NA,"1056","1056","-41.749167","-13.228611","2010","11","16",NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:12:22-03","UFBA","ALCB","66380","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Castro, MS de; Pigozzo, CM","Brasil","Bahia","Canudos","Nordeste, Reserva Biológica de Canudos - Biodiversitas","-38.988056","-9.942778",NA,NA,"Folhas modificadas em espinho. Flores vermelhas e centro amarelo. Néctar intrafloral.; arbustiva arbórea",NA,"s/n","2002","01",NA,"Southern America",NA,NA,NA,NA,NA,"-38.988056","-9.942778","2010","11","16",NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:12:22-03","UFBA","ALCB","66796","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor","Meiado, MV","Rodarte, ATA","Brasil","Bahia","Canudos","Nordeste","-39.133333","-9.9",NA,NA,"Cladódios com muitos gloquídios. Flores de cor laranja.; arbustiva",NA,"45","2003","05","11","Southern America",NA,NA,NA,NA,NA,"-39.133333","-9.9","2010","11","16",NA,NA,NA,NA,NA,NA
