"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude"
"11","2021-02-11 09:24:57-03","IBt","SP","54807","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Handro, O","409","1954","10","16",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"12","2021-02-11 09:24:57-03","IBt","SP","31863","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Gehrt, A","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"13","2019-11-21 10:07:28-03","IBt","SP","249767","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Kirizawa, M","Kirizawa, M; et al.","2538","1991","11","05",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Mata de encosta, picada cinco, em área relativamente preservada, árvore +-4,0m alt.","SP054637","SP054637",NA,NA,NA,NA,NA,NA,NA,"1991","11","27258","auto","21",NA,NA
"14","2019-11-21 10:07:28-03","IBt","SP","232715","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Sugiyama, M","Lopes, EA; et al.","81","1980","11","26",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Árvore 5,0m, flores creme, picada quinze","SP054638","SP054638",NA,NA,NA,NA,NA,NA,NA,"1989","06","27258","auto","07",NA,NA
"15","2021-02-11 09:24:57-03","IBt","SP","195217","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Kirizawa, M","1113",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"16","2021-02-11 09:24:57-03","IBt","SP","192918","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Handro, O","1194",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"17","2021-02-18 08:31:00-03","IBt","SP","188641","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Custodio Filho, A","697","1981","11","20",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"18","2021-02-18 08:31:00-03","IBt","SP","188602","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Custodio Filho, A","985","1982","10","27",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"19","2021-02-11 09:24:57-03","IBt","SP","180135","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Kirizawa, M","846",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"20","2021-02-11 09:24:57-03","IBt","SP","178677","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Rosa, NA","3916",NA,NA,NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"21","2021-02-18 08:31:00-03","IBt","SP","115771","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Mattos, J","12775","1965","10","28",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"22","2019-11-21 10:07:28-03","IBt","SP","360934","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil",NA,"Benedito, ALD","26","2001","12","06",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, Paranapaicaba","-46.5299987792969","-23.6599998474121",NA,"Árvore, ca. 5m.","SP054639","SP054639",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"23","2014-09-23 10:58:07-03","G","G","G00369227","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo","Werff van der, H. H.","Anon.","6530",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369227",NA,NA,"ISOTYPUS of Ocotea basicordatifolia Vattimo",NA,NA,NA,NA,NA,"1988","01",NA,NA,"01","-53.08972222","-10.77305556"
