"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","eventTime","fieldNumber","individualCount"
"28","2010-11-13 04:25:00-02","MO","MOBOT","2476464","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","Roberto M. Klein","Klein 1540",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Cunhas","-48.65","-26.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2688896","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","G. Hatschbach","16901","1967","8","9","South America - Neotropics","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,NA,"US01891519","US01891519_01 US01891519_02",NA,NA,NA,NA,NA,"37295","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"30","2020-09-12 05:00:02-03","US","US","2402959","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","R. M. Klein","1579","1955","9","15","South America - Neotropics","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6618995666504","-26.9078006744385",NA,NA,"US01891520","US01891520_01 US01891520_02",NA,NA,"250",NA,NA,"27253","auto","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"31","2020-09-12 05:00:02-03","US","US","2402958","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","R. M. Klein","1540","1955","8","26","South America","Brazil","Santa Catarina",NA,"Cunhas, Itajai.",NA,NA,NA,NA,"US00117722","US00117722_01",NA,"Isotype","30","30",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"32","2019-10-07 09:35:29-03","UEFS","HUEFS","87091","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein, R.","1540","1955","08","26",NA,"Brasil","Santa Catarina","Itajaí","Cunhas.","-48.6618995666504","-26.9078006744385",NA,"Mata.","HUEFS0087091",NA,NA,"Isótipo","30","30",NA,"27253","auto","Rosanae",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-06 08:47:59-03","F","FMNH-SEEDPLANTS","V0065412F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"R. M. Klein","1540","1955","8","26","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"V0065412F","V0065412F_01 V0065412F_02","RRC ID Flag","Isotype",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"1540",NA
"34","2015-03-07 09:00:06-03","F","FMNH-SEEDPLANTS","V0105953F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0105953F","V0105953F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-23 11:39:09-03","IAC","IAC","53930","S","Plantae",NA,NA,"Myrtaceae-2.Myrtoideae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","A.C.O. Souza; L.C. Bernacci & R. Belinelo","36","2012","05","19",NA,"Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca","-45.109914","-23.360372",NA,NA,NA,NA,"A.C.O. Souza et al.",NA,NA,NA,"2012",NA,NA,NA,NA,"05","19","-45.109914","-23.360372",NA,NA,NA
"36","2020-07-23 12:16:02-03","CEPLAC","CEPEC","6312","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"J. L. Hage","34","1970","11","23",NA,"Brasil","Bahia","ILHÉUS","Area do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"M. Sobral",NA,NA,NA,NA,"61245","auto",NA,"20/12/1983",NA,NA,NA,NA,NA,NA,NA
"37","2020-07-23 12:16:02-03","CEPLAC","CEPEC","6673","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"R. S. Pinheiro","1030","1971","01","26",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"M. Sobral",NA,NA,NA,NA,"61245","auto",NA,"20/12/1983",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:45:28-03","IF","SPSF","25424","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"I.Cordeiro","734","1990","10","16","América do Sul","Brasil","SP","Iguape","E.Ecol.Jureia-Itatins, Serra da Jureia","-47.5499992370605","-24.7000007629395",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de encosta&nf;;",NA,NA,NA,NA,NA,NA,NA,"55628","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-04 15:45:28-03","IF","SPSF","25443","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"L.Rossi","1215","1992","12","14","América do Sul","Brasil","SP","Iguape","Estação Ecológica Juréia-Itatins","-47.5499992370605","-24.7000007629395",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,NA,NA,"55628","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 12:44:04-03","UFRGS","ICN","062847","S","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Hage, JL","s.n.","1970","11","23","América do Sul","Brasil","BA","Ilhéus","Área do CEPEC (Centro de Pesquisas do Cacau), km 22 da rodovia Ilhéus/Itabuna (BR-415)","-39.0494003295898","-14.7889003753662",NA,"Árvore 7m altura, frutos verde e amarelados.; Região de Mata Higrófila Sul Baiana",NA,NA,"Molz, M",NA,NA,NA,"2017","61245","auto",NA,NA,"08","10",NA,NA,NA,NA,NA
"41","2021-02-08 12:44:04-03","UFRGS","ICN","062848","S","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Pinheiro, RS","s.n.","1971","01","26","América do Sul","Brasil","BA","Ilhéus","Área do CEPEC (Centro de Pesquisas do Cacau), km 22 da rodovia Ilhéus/Itabuna (BR-415)","-39.0494003295898","-14.7889003753662",NA,"Árvore 10m altura, fruto verde e roxos quando maduros.; Região de Mata Higrófila Sul Baiana",NA,NA,"Molz, M",NA,NA,NA,"2017","61245","auto",NA,NA,"08","10",NA,NA,NA,NA,NA
"42","2020-08-26 10:50:06-03","MCN-FZBRS","HAS","1791","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","cf. kleinii","Myrceugenia cf. kleinii","Legr. & Kaus.","Callegari, S.M.","s.n.","1975","05",NA,NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Chácara do Sr. Marcilio Sebbeu","-51.1794013977051","-29.1681003570557",NA,"árvore de médio porte; beira de mato; com vegetação arbustiva roçada; frutos vermelhos; guamirim","HAS0001791",NA,"Callegari, S.M.",NA,NA,NA,"1975","49662","auto",NA,NA,"05","05",NA,NA,NA,NA,NA
"43","2019-11-21 10:11:55-03","IBt","SP","246955","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Cordeiro, I; et al.","734","1990","10","16",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha da Figueira, mata de encosta","-47.5499992370605","-24.7000007629395",NA,"Arvoreta ca. 10m alt., DAP ca. 30 cm, pétalas e filetes alvos, anteras ocráceas","SP057564","SP057564","Sobral, M",NA,NA,NA,"1991","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 10:11:55-03","IBt","SP","263411","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Rossi, L; et al.","1215","1992","12","14",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Trilha para a figueira","-47.5499992370605","-24.7000007629395",NA,"Arvoreta 4,0m alt., frutos imaturos verdes","SP057563","SP057563","Kawasaki, ML",NA,NA,NA,"1994","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2014-09-23 10:58:55-03","G","G","G00222639","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","Klein, R. M.","1540","1955","08","26","AMERIQUE DU SUD","Brazil","Santa Catarina",NA,NA,"-51.16277778","-27.02861111",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=215108&base=img&lang=en","G00222639","G00222639","Landrum, L. R.","ISOTYPUS of Myrceugenia kleinii D. Legrand & Kausel",NA,NA,"1980",NA,NA,NA,NA,"01","01","-51.16277778","-27.02861111",NA,NA,NA
