"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"28","2015-09-03 20:03:19-03","MNHN","RECOLNAT_MNHN_P","P01771936","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","Dombey",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,". Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771936' target='other'> <mi>dwc_moreinfo</mi></a>","P01771936","P01771936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2012-04-06 14:57:00-03","MO","MOBOT","1153329","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Mart.","Timothy J. Killeen|Luzmila Arroyo P.|S.N. Panfil","Killeen 5093","1993","4","13","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado. Campamento Las Gamas; cobertura graminoide, densa; con árboles de hasta 10 m altura. Parcela permanente de estudio","-60.7666667","-14.35","815.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Menacho",NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2009-02-05 03:32:00-02","MO","MOBOT","1153423","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Mart.","Bonifacio Mostacedo C.|M. Menacho","Mostacedo C. 1232","1993","11","7","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado; campamento Los Fierros, 10 km al SE y 1 Km al E, entrando sobre la brecha hacia la Mezeta; pampa La Toledo. Parcela permanente de estudio.","-60.9","-14.56666","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Menacho",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2013-02-13 05:33:00-02","MO","MOBOT","1155200","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Mart.","Timothy J. Killeen|Mario Saldias P.","Killeen 5705","1993","10","23","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel K. Mercado. La Toledo pampa inundada con algunas islas de termiteros. Parcela permanente en estudio.","-60.95","-14.7333333","155.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Menacho",NA,NA,NA,NA,NA,NA,"1",NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","1155702","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Mart.","Timothy J. Killeen|E. Gutiérrez|R.C. Quevedo","Killeen 6022","1993","11","13","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado. Pampa Los Fierros. Pampa húmeda con numerosas termitas. Parcela permanente en estudio.","-61.00805","-13.55166","210.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Menacho",NA,NA,NA,NA,NA,NA,"1",NA,NA
"33","2011-02-18 15:24:00-02","MO","MOBOT","3032108","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","C. Gaudichaud-Beaupré","Gaudichaud-Beaupré s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2009-10-26 23:35:00-02","MO","MOBOT","3029579","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","Ludwig Riedel","Riedel s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-02-19 04:30:00-03","MO","MOBOT","3029846","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","C.F.P. Martius","Martius s.n.","1876","12",NA,"South America","Brazil","São Paulo",NA,"Habitat in sylvis ed viaen publ quae febartianopol ad Pauli ..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-08-20 11:24:16-03","CPQBA","CPMA","1834","S","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","Ilio",NA,"1999","02","20",NA,"Brasil","São Paulo","Nazaré Paulista",NA,"-46.395","-23.181111",NA,NA,NA,NA,NA,NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,"46º 23' 42 W","23º 10' 52 S"
"37","2019-10-07 09:20:28-03","UEFS","HUEFS","18432","PreservedSpecimen","Plantae","Angiospermae","Liliales","Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Hatschbach, G.","53268","1989","08","16",NA,"Brasil","Paraná","São Miguel das Matas",NA,NA,NA,"10","30",NA,NA,"HUEFS0018432","HUEFS0018432",NA,NA,"Lilianae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
