"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount","sex"
"12","2021-01-26 14:12:28-03","CPACT","ECT","5743","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2015","09","01","V.O.Amorim","397","2015","09","17",NA,"Brasil","Bahia","Mucugê","Morro da Cobira. Campo rupestre. Solo pedregoso.","-41.377778","-13.084444","41º22'40''W","13º5'4''S",NA,"ECT0005743","ECT0005743","1348","1348",NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2853675","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M. King & H. Rob.",NA,NA,NA,NA,"D. Sucre","10853",NA,NA,NA,"South America - Neotropics","Brazil","Bahia",NA,"Andarai.",NA,NA,NA,NA,NA,"US00145829","US00145829_01",NA,NA,NA,NA,"Dicotyledonae","Asterales","Isotype","1",NA
"14","2019-10-07 09:12:02-03","UEFS","HUEFS","142805","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","S.C.Ferreira","2007","10",NA,"Ferreira, S.C.","350","2007","09","09",NA,"Brasil","Bahia","Mucugê","Chapada Diamantina - subida do Guiné, esbarrancado.","-41.958611","-13.523056","41W57'31''","13S31'23''",NA,"HUEFS0142805","HUEFS0142805",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"15","2019-10-07 09:12:02-03","UEFS","HUEFS","112501","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","S.C.Ferreira","2009","08",NA,"Conceição, A.A.","1806","2006","09","05",NA,"Brasil","Bahia","Mucugê","Chapada Diamantina. Serra do esbarrancado.","-41.5","-12.716667","41W30'","12S43'","Campo rupestre.","HUEFS0112501","HUEFS0112501 HUEFS0112501_01",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"16","2019-10-07 09:12:02-03","UEFS","HUEFS","185863","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2016","05",NA,"Almeida-Silva, G.","40","2011","07","25",NA,"Brasil","Bahia","Palmeiras","Parque Nacional Chapada Diamantina - Serra do Candombá.","-41.502222","-12.636111","41W30'8''","12S38'10''","Campo rupestre dominado por Vellozia sincorana.","HUEFS0185863","HUEFS0185863 HUEFS0185863_01","1193","1193",NA,NA,"Asteranae","Asterales",NA,NA,NA
"17","2019-10-07 09:12:02-03","UEFS","HUEFS","192390","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2016","05",NA,"Almeida-Silva, G.","265","2012","07","30",NA,"Brasil","Bahia","Palmeiras","Parque Nacional Chapada Diamantina - Serra da Fumaça.","-41.485556","-12.6025","41W29'8''","12S36'9''","Campo rupestre dominado por Vellozia sincorana.","HUEFS0192390","HUEFS0192390","1200","1200",NA,NA,"Asteranae","Asterales",NA,NA,NA
"18","2019-10-07 09:12:02-03","UEFS","HUEFS","217580","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2018","10",NA,"Brito, J.C.","196","2012","08","18",NA,"Brasil","Bahia","Mucugê","Gerais do Gobira.","-41.366667","-13.083333","41W22'","13S5'",NA,"HUEFS0217580","HUEFS0217580_e1",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"19","2019-10-07 09:12:02-03","UEFS","HUEFS","217606","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2018","10",NA,"Brito, J.C.","224","2012","09","28",NA,"Brasil","Bahia","Mucugê","Gerais do Gobira.","-41.366667","-13.083333","41W22'","13S5'","Campo rupestre.","HUEFS0217606","HUEFS0217606 HUEFS0217606_e1","1448","1448",NA,NA,"Asteranae","Asterales",NA,NA,NA
"20","2019-10-07 09:12:02-03","UEFS","HUEFS","231444","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2018","10",NA,"Azevêdo-Gonçalves, C.F.de",NA,"2013","05",NA,NA,"Brasil","Bahia","Mucugê","Arrodeio. Vale do Pati.","-41.469722","-12.796389","41W28'11''","12S47'47''",NA,"HUEFS0231444","HUEFS0231444 HUEFS0231444_e1",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"21","2019-10-25 14:21:26-03","UEFS","HUEFS","252380","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,NA,NA,NA,"Amorim, V.O.","370","2015","09","14",NA,"Brasil","Bahia","Mucugê","Morro da Cobira.","-41.378333","-13.094444","41W22'42''","13S5'40''","Campo rupestre: Solo pedregoso.","HUEFS0252380","HUEFS0252380","1230","1230",NA,NA,"Asteranae","Asterales",NA,NA,NA
"22","2019-10-25 14:21:26-03","UEFS","HUEFS","252381","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,NA,NA,NA,"Amorim, V.O.","397","2015","09","17",NA,"Brasil","Bahia","Mucugê","Morro da Cobira.","-41.377778","-13.084444","41W22'40''","13S5'4''","Campo rupestre: Solo pedregoso.","HUEFS0252381","HUEFS0252381","1348","1348",NA,NA,"Asteranae","Asterales",NA,NA,NA
"23","2019-10-07 09:12:02-03","UEFS","HUEFS","85186","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2016","05",NA,"Borba, E.L.","1808","2004","08","04",NA,"Brasil","Bahia","Mucugê","Gobira.","-41.375278","-13.077222","41W22'31''","13S4'38''","Campo rupestre. Substrato arenoso.","HUEFS0085186","HUEFS0085186",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"24","2019-10-07 09:12:02-03","UEFS","HUEFS","244610","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,NA,NA,NA,"Amorim, V.O","522","2016","09","16",NA,"Brasil","Bahia","Palmeiras","Serra do Esbarrancado","-41.5",NA,"41W30'","12S45'214''","Campo rupestre","HUEFS0244610","HUEFS0244610","1260","1260",NA,NA,"Asteranae","Asterales",NA,NA,NA
"25","2019-10-07 09:12:02-03","UEFS","HUEFS","152317","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","S.C.Ferreira","2010","05",NA,"Moraes, P.L.R.de","2888","2009","08","23",NA,"Brasil","Bahia","Mucugê","Guiné, Serra do Esbarrancado","-41.3708000183105","-13.0052995681763",NA,NA,NA,"HUEFS0152317","HUEFS0152317",NA,NA,"52493","auto","Asteranae","Asterales",NA,NA,NA
"26","2019-10-07 09:12:02-03","UEFS","HUEFS","245057","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","H.P.Bautista","1997","09",NA,"Bautista, H.P.","2230","1997","09","03",NA,"Brasil","Bahia","Mucugê","Campo da Bacia, este campo sempre-viva, fica no alto da serra a leste do Rio Paraguaçu.","-41.811111","-12.309722","41W48'40''","12S18'35''","Campo rupestre.","HUEFS0245057","HUEFS0245057",NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"27","2019-10-25 14:21:26-03","UEFS","HUEFS","252382","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,NA,NA,NA,"Amorim, V.O.","409","2015","09","09",NA,"Brasil","Bahia","Palmeiras",NA,"-12.743333","-12.743333","12W44'36''","12S44'36''","Campo rupestre: Solo pedregoso.","HUEFS0252382","HUEFS0252382","1537","1537",NA,NA,"Asteranae","Asterales",NA,NA,NA
"28","2019-10-07 09:12:02-03","UEFS","HUEFS","13678","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","V.O.Amorim","2016","05",NA,"Ganev, W.",NA,"1992","08",NA,NA,"Brasil","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,"HUEFS0013678","HUEFS0013678","1400","1400","26531","auto","Asteranae","Asterales",NA,NA,NA
"29","2019-05-06 11:54:10-03","UFU","HUFU","64324","S","Plantae",NA,"Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,NA,NA,NA,"Hattori, E.K.O.; Júnior, M. & Lau, B.L.","1457","2011","09","07",NA,"Brasil","Bahia","Mucugê","Morro do Gobira","-41.362778","-13.099444","-41.362778","-13.099444","Arbusto, ca. 1,7 m alt. Brácteas involucrais esverdeadas, corola e ramos do estilete brancos.; Campo rupestre, solo arenoso.","HUFU00055660","HUFU00055660","1184","1184",NA,NA,NA,NA,NA,NA,NA
"30","2021-04-05 12:30:30-03","UNIVASF","HVASF","22727","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","J.A. Siqueira Filho","2017","07","05","J.A. Siqueira Filho","3460","2015","07","25","América do Sul","Brasil","Bahia","Mucugê","Chapada Diamantina. Vale do Pati. Gerais do Rio Preto, trilha do Mirante do Pati para o Aleixo","-41.478305","-12.782583","-41.478305","-12.782583","Erva ca. de 40-50 cm alt., flores terminais, aclamídeas, alvas, ocasional","HVASF022727","HVASF022727_03 HVASF022727_04 HVASF022727_v01 HVASF022727_v02","1312","1312",NA,NA,NA,NA,NA,NA,"U"
