"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","recordNumber","continentOcean","class","order","locality","occurrenceRemarks","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus","preparationType","fieldNumber","relatedCatalogItem"
"11","2019-08-27 13:29:33-03","IAP","PACA-AGP","11771","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Rambo, B.","1943",NA,NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA011771",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Vila Manresa","Habitat: in campestribus siccis graminosis Fenofase: flor","29946","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:29:34-03","IAP","PACA-AGP","25994","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Rambo, B.","1943",NA,NA,"Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA025994",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Vila Manresa","Habitat: in campestribus siccis graminosis Fenofase: flor","29946","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:29:34-03","IAP","PACA-AGP","29240","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Rambo, B.","1945","10","10","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA029240",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Vila Manresa","Habitat: in campestribus siccis graminosis Fenofase: flor e fruto novissimo","29946","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-04-07 11:44:21-03","UFMS","CGMS","20543","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","L.F. Lima",NA,NA,NA,"L.F. Lima","2007","10","13","Brasil","Rio Grande do Sul","Guaíba","-51.3250007629395","-30.113899230957",NA,NA,"CGMS1049937",NA,NA,NA,NA,NA,NA,"Cerro Branco, Fazenda São Maximiano, Morro São Maximiano.","Papilionoideae.","28343","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-01-17 11:25:25-02","PUCRS","MPUC","22292","S","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","M. Pinheiro dos Santos","2001","01","01","Adriane","1992","11","19","Brasil","RS","Uruguaiana","-57.0882987976074","-29.7546997070312",NA,NA,NA,NA,NA,NA,"South America","Magnoliopsida","Fabales","BR 412, em frente Agro-Pastoril",NA,"93142","auto","1",NA,NA,NA,NA,NA,NA
"16","2019-01-17 11:25:25-02","PUCRS","MPUC","22294","S","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","M. Pinheiro dos Santos","2001","01","01",NA,"1985","10","22","Brasil","RS","Uruguaiana","-57.0882987976074","-29.7546997070312",NA,NA,NA,NA,NA,NA,"South America","Magnoliopsida","Fabales","BR 472, Distrito de Adolfo Staer",NA,"93142","auto","1",NA,NA,NA,NA,NA,NA
"17","2019-01-17 11:25:25-02","PUCRS","MPUC","22293","S","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","M. Pinheiro dos Santos","2001","01","01",NA,"1985","10","22","Brasil","RS","Uruguaiana","-57.0882987976074","-29.7546997070312",NA,NA,NA,NA,NA,NA,"South America","Magnoliopsida","Fabales","BR 472","Entre Uruguaiana e Itaquí","93142","auto","1",NA,NA,NA,NA,NA,NA
"18","2020-10-14 10:01:39-03","FURB","FURB","37480","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Verdi, M","2011","10","08","Verdi, M.; Durigon, J.","2011","10","08","Brasil","Rio Grande do Sul","Maquiné","-50.1516667","-29.7788889","-50.1516667","-29.7788889","FURB01735","FURB01735",NA,"6042",NA,NA,NA,"Caminho para Lagoa do Palmital.",NA,NA,NA,NA,"10","10",NA,NA,NA,NA
"19","2019-11-08 08:52:11-03","FURB","FURB","52903","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Pinheiro, M",NA,NA,NA,"Miotto, STS; Pinheiro, M","1999","11","18","Brasil","Rio Grande do Sul","Cidreira","-50.2056007385254","-30.1811008453369",NA,NA,"FURB52903","FURB52903",NA,"1798",NA,NA,NA,"RS-784, km 3, a 50m da ponte sobre a lagoa da Fortaleza.",NA,"19547","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-16 17:52:11-03","UCS","HUCS","2042","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Smith, S.F.",NA,NA,NA,"Guerra, I.","1986","09","21","Brasil","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Angiospermae","s.n.",NA,NA,"Fabales","Fazenda da Taleira","no campo","50525","auto",NA,NA,NA,NA,NA,NA,NA
"21","2015-10-12 15:42:39-03","MNHN","RECOLNAT_MNHN_P","P00678560","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Commerson, P.",NA,NA,NA,"[Uruguay]",NA,NA,NA,NA,NA,NA,"P00678560","P00678560_01 P00678560_02",NA,NA,NA,NA,NA,"Montevideo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00678560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"type","hb",NA,NA
"22","2018-08-29 09:41:58-03","MNHN","RECOLNAT_MNHN_P","P02297505","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Commerson","1767","11",NA,"Amerique meridionale",NA,NA,NA,NA,NA,NA,"P02297505","P02297505_01",NA,NA,NA,NA,NA,"Montevideo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297505' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"type","hb",NA,NA
"23","2015-10-20 19:36:29-02","MNHN","RECOLNAT_MNHN_P","P02297506","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Commerson","1767","11",NA,"Amerique meridionale",NA,NA,NA,NA,NA,NA,"P02297506","P02297506_01 P02297506_02",NA,NA,NA,NA,NA,"Montevideo","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297506' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"type","hb",NA,NA
"24","2008-03-07 11:12:20-03","MNHN","RECOLNAT_MNHN_P","P02297507","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Poiret, J.L.M.",NA,NA,NA,"Argentine",NA,NA,NA,NA,NA,NA,"P02297507","P02297507_01",NA,NA,NA,NA,NA,"Bueno aires","SPECIMEN D'INTERET <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297507' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb",NA,NA
"25","2018-08-29 09:41:59-03","MNHN","RECOLNAT_MNHN_P","P02297508","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Desvaux, A.N.",NA,NA,NA,"Argentine",NA,NA,NA,NA,NA,NA,"P02297508","P02297508_01",NA,NA,NA,NA,NA,"Montevideo","SPECIMEN D'INTERET <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297508' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb",NA,NA
"26","2016-11-14 10:26:57-02","MNHN","RECOLNAT_MNHN_P","P03336002","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Briquet",NA,NA,NA,"Reineck|Czermak","1897","10","31","Brésil","Rio Grande do Sul",NA,NA,NA,NA,NA,"P03336002","P03336002_01",NA,NA,NA,NA,NA,"Prov. Rio Grande do Sul: Belém Velho, talus herbeux de la route avant B. Velho","Reçu le 18 mai 1911 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03336002' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","93",NA
"27","2016-11-14 10:16:02-02","MNHN","RECOLNAT_MNHN_P","P03336003","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Reineck|Czermak","1897","10","31","Brésil","Rio Grande do Sul",NA,NA,NA,NA,NA,"P03336003","P03336003_01",NA,NA,NA,NA,NA,"Prov. Rio Grande do Sul: Belém Velho, talus herbeux de la route avant B. Velho","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03336003' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","93",NA
"28","2015-09-04 04:05:56-03","MNHN","RECOLNAT_MNHN_P","P03336004","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Gaudichaud, C.","1833","1","1","Brésil","Rio Grande",NA,NA,NA,NA,NA,"P03336004","P03336004_01",NA,NA,NA,NA,NA,"Province de Rio-Grande","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03336004' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","3010",NA
"29","2015-09-04 08:17:06-03","MNHN","RECOLNAT_MNHN_P","P03614107","PreservedSpecimen",NA,"Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Rambo, R.","1931","10","4","Brésil","Rio Grande do Sul",NA,NA,NA,NA,NA,"P03614107","P03614107_01",NA,NA,NA,NA,NA,"Etat du Rio Grande do Sul à Porto Allegre","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03614107' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","13894",NA
"30","2020-12-11 11:36:07-03","UFMG","BHCB","66248","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Chebataroff, J",NA,NA,NA,"Uruguay",NA,"Montevideo",NA,NA,NA,NA,NA,NA,"Dicotyledon","11224","Southern America",NA,NA,"Pajas Blancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2011-02-22 06:43:00-03","MO","MOBOT","2249746","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Ulibarri, E. A.",NA,NA,NA,"F. Biganzoli|Paola Peralta|A. Giallorenzo|V. Moreno|M. Mattioni","1998","9","20","Argentina","Misiones","Libertador General San Martín",NA,NA,NA,NA,NA,NA,NA,"Biganzoli 282","South America",NA,NA,"Predio UNLP : valle del arroyo Cuña Pirú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-06 16:04:00-03","MO","MOBOT","2249897","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Planchuelo, A. M.",NA,NA,NA,"Angel L. Cabrera|Silvia M. Botta|Roberto Kiesling|A.D. Rotman|Nuncia M. Tur|Fernando O. Zuloaga","1977","10",NA,"Argentina","Misiones","Apóstoles",NA,NA,NA,NA,NA,NA,NA,"Cabrera 28596","South America",NA,NA,"Esc. Agrotécnica",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"33","2011-03-25 20:20:00-03","MO","MOBOT","2292706","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Cocucci, A. A.",NA,NA,NA,"Andrea A. Cocucci|A.N. Sérsic|N. Hempel|A. Dafni|J. Nattero|M. Moré|S. Benítez Vieyra|A. Fluegge","2003","11","22","Argentina","Corrientes","San Miguel","-57.26","-27.75638",NA,NA,NA,NA,NA,"Cocucci 3108","South America",NA,NA,"Loreto. Camping Municipal",NA,NA,NA,NA,"79.00000000",NA,NA,NA,NA,NA
"34","2018-08-26 04:35:00-03","MO","MOBOT","2411854","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Ulibarri, E. A.",NA,NA,NA,"F. Biganzoli|Paola Peralta|S. A. Catalano|A.M. Girscht|G. Irrazabal|G. Massaccesi|Y. Sasal","1999","9","20","Argentina","Misiones","Cainguás",NA,NA,NA,NA,NA,NA,NA,"Biganzoli 532","South America",NA,NA,"Predio UNLP : valle del arroyo Cuña Pirú, campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-12-08 11:35:00-02","MO","MOBOT","2430177","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Ulibarri, E. A.",NA,NA,NA,"G.J. Seijo","1993","10","23","Argentina","Misiones","Capital",NA,NA,NA,NA,NA,NA,NA,"Seijo 634","South America",NA,NA,"Villa Lanús. Arroyo Zaiman. Entrada Estación El Porvenir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-08-21 06:32:00-03","MO","MOBOT","2453937","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Rambo, B.",NA,NA,NA,"Balduino Rambo","1948","11","6","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Rambo 37880","South America",NA,NA,"Porto Alegre. Morro da Policia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2011-03-16 21:53:00-03","MO","MOBOT","2453955","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Izaguirre de Artuccio, P.",NA,NA,NA,"Bernardo Rosengurtt|Osvaldo Del Puerto",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Rosengurtt 9207","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2009-08-21 20:53:00-03","MO","MOBOT","2515747","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Izaguirre de Artuccio, P.",NA,NA,NA,"Bernardo Rosengurtt",NA,NA,NA,"Uruguay","Canelones",NA,NA,NA,NA,NA,NA,NA,NA,"Rosengurtt 6699","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2009-07-17 06:53:00-03","MO","MOBOT","2515761","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Burkart, A.",NA,NA,NA,"Arturo E. Burkart","1941","10","16","Uruguay","Maldonado",NA,NA,NA,NA,NA,NA,NA,NA,"Burkart 12666","South America",NA,NA,"Balneario Solis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2010-01-29 20:51:00-02","MO","MOBOT","3197581","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"W.G. Herter","1926","9",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"Herter 454","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2011-02-24 13:41:00-03","MO","MOBOT","3197758","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"P. Commerson",NA,NA,NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"Commerson s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-03-29 10:41:23-03","UFSM","HDCF","3265","S","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Marchiori, J. N. C.","1988","06","09","Marchiori, J. N. C.","1987","09","19","Brasil","Rio Grande do Sul","Jaguari","-54.689998626709","-29.4974994659424",NA,NA,NA,NA,NA,"872","América",NA,NA,"Cerro Branco","Arbusto ereto, com cerca de 50 cm. Flores lilascinas","27649","auto",NA,NA,NA,NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","3073154","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"I. Guerra & et al.","1986","9","21","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"US02289533","US02289533_01",NA,"2042","South America","Dicotyledonae","Rosales","RS - Caçapava do Sul - Fazenda da Taleira",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","33426257","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"A. M. Planchuelo","1993","10","3","Argentina","Corrientes",NA,NA,NA,NA,NA,"US02289679",NA,NA,"652","South America","Dicotyledonae","Rosales","Prov. Corrientes. Santo Tomé",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","920137","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"W. E. Safford","1886","10","24","Uruguay",NA,NA,NA,NA,NA,NA,"US02289594",NA,NA,"s.n.","South America","Dicotyledonae","Rosales","Independencia",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"46","2020-09-12 05:00:02-03","US","US","1341919","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Herter, Schulz, -- & -. Strahl","1925","10",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,"US02289593",NA,NA,"454A","South America","Dicotyledonae","Rosales","Cerro. Departamento of Montevideo. República Oriental del Uruguay",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"47","2020-09-02 16:28:01-03","Cenargen","CEN","51196","PreservedSpecimen","Plantae","Fabaceae Faboideae","Lupinus","linearis","Lupinus linearis","Desr.","S. T. S. Miotto","2003","11",NA,"José Francisco Montenegro Valls","2003","11","18","Brasil","RS","SANTANA DO LIVRAMENTO","-55.5327987670898","-30.8908004760742","-5612361.0","-3054639.0","CEN00051196","CEN00051196",NA,"14917",NA,NA,NA,"Km 418 da BR-293, entre Livramento e Quaraí.","Ereta.","79795","auto","3",NA,NA,NA,"Exsicatas",NA,NA
"48","2019-09-05 16:44:23-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis",NA,NA,NA,NA,NA,"P. Commerson",NA,NA,NA,"Argentina",NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,"Spermatophyta",NA,"South America","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA
"49","2019-01-25 15:40:54-02","IAC","IAC","21658","S","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","A.E. Burkart","1970","10","29","A. Krapovickas & C.L. Cristóbal","1970","10","29","Argentina","Corrientes","Santo Tomé","-56.05","-28.5167","-56.0500","-28.5167",NA,NA,NA,"16374",NA,NA,NA,"Santo Tomé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-07-23 12:07:43-03","CEPLAC","CEPEC","54491","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis",NA,"R. Monteiro",NA,NA,NA,"G. Hatschbach","1969","10","26","Brasil","Paraná","clevelandia","-52.4707984924316","-26.3957996368408",NA,NA,NA,NA,NA,"22715",NA,NA,NA,NA,NA,"30860","auto",NA,NA,NA,NA,NA,NA,"30/12/1985"
"51","2017-09-11 17:10:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Tweedie, J",NA,NA,NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"s.n","Southern America",NA,NA,"Habitat circa Montevideo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:10:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"?",NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb. Imp.1512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-11 17:10:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Commerson, P",NA,NA,NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"s.n","Southern America",NA,NA,"Habitat circa Montevideo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-11 17:10:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Gay, C",NA,NA,NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"s.n","Southern America",NA,NA,"Habitat circa Montevideo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
