"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","stateProvince","relatedCatalogItem","month","day","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"11","2021-01-14 15:26:56-03","MN","R","74151","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Freire Allemão, F. 194 p.p.; Cysneiros, M.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"R000074151","R000074151_001 R000074151_002",NA,"1999","10",NA,NA,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:56-03","MN","R","8197","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Glaziou, A.F.M.","4956","1871",NA,"Brasil","Copacabana","-43.2075004577637","-22.9027996063232",NA,"Plantas do Brasil Central","R000008197","R000008197_001",NA,"1999","10",NA,NA,"Rio de Janeiro",NA,"10","12","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:34:13-03","IAP","PACA-AGP","81572","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Hippocrateaceae","Salacia","arborea","Salacia arborea",NA,NA,"G. Martinelli","11665","1986",NA,"Brasil","Barra de São João, 6km SE da Barra de São João","-42.2042007446289","-22.4806003570557",NA,"1,40 metros, heliófila, folhas discolores, frutos imaturos verdes quiando maduros amarelos. Habitat: Restinga Hábito: arbusto","PACA081572",NA,"Magnoliopsida",NA,NA,NA,NA,"RJ",NA,"08","18","Casimiro de Abreu","24732","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-24 17:08:53-03","UFES","SAMES","6726","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Siqueira,J.","Saporetti,A.M.I.; Barcelos,B.;Jesus,V.L.;Silva,S.","22","2016",NA,"Brasil","Árvore crescendo ao lado oposto da entrada da trilha que da acesso a unidade amostral.","-40.0722007751465","-19.3910999298096",NA,"Flores amarronzadas avermelhadas. Habito: Árvore","SAMES06726",NA,NA,"2016","07","13",NA,"Espírito Santo",NA,"07","13","Linhares","48094","auto","-398961111.0","-194311111.0",NA,NA,NA,NA,NA
"15","2021-03-24 17:08:53-03","UFES","SAMES","9671","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.","9276","2019",NA,"Brasil","Aldeia do Coco.","-39.8588981628418","-18.716100692749",NA,"Planta com 3m de altura. Fruto amarelo.Fruto na carpoteca. Habitat: Restinga holocênica. Formação florestal não inundável.","SAMES09671",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"09","03","São Mateus","56510","auto","-397530556.0","-187958333.0",NA,NA,NA,NA,NA
"16","2021-03-24 17:08:53-03","UFES","SAMES","8828","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.","8337","2018",NA,"Brasil","Aldeia do Coco. Restinga holocênica.","-39.8588981628418","-18.716100692749",NA,"Planta com 3 metros de altura, flor esverdeada","SAMES08828",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"10","04","São Mateus","56510","auto","-397488889.0","-187988889.0",NA,NA,NA,NA,NA
"17","2021-03-24 17:08:53-03","UFES","SAMES","1378","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi,J.A.","Faria,M.B.; Martins,R.F.A.","118","2007",NA,"Brasil","Guriri. Vegetação de restinga à 200m da praia. Local conhecido como Bosque.","-39.8588981628418","-18.716100692749",NA,"Arbusto de 3m com botões verdes e flores verdes.","SAMES01378",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"11","24","São Mateus","56510","auto","-397597222.0","-187438889.0",NA,NA,NA,NA,NA
"18","2021-03-24 17:08:53-03","UFES","SAMES","6899","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira,O.J.; Quinqui,C.F.;Ribeiro,I.F.;Cribari,R.S.","8193","2017",NA,"Brasil","Guriri, Espírito Santo",NA,NA,NA,"Flores verdes-amarronzadas, fruto verde.","SAMES06899",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"05","24","Guriri",NA,NA,"-397597222.0","-187438889.0",NA,NA,NA,NA,NA
"19","2021-03-24 17:08:53-03","UFES","SAMES","10037","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.","9030","2019",NA,"Brasil","Aldeia do Coco. Restinga Holocênica.","-39.7322006225586","-18.5932998657227",NA,"Planta com 4 m altura. Fruto verde.","SAMES10037",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"04","08","Conceição da Barra","41644","auto","-390861111.0","-187980555.0",NA,NA,NA,NA,NA
"20","2021-03-24 17:08:53-03","UFES","SAMES","1377","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi,J.A.","Ribeiro,M.; Broggio,I.S.;Fanticelle,B.S.","321","2010",NA,"Brasil","Reserva Biológica Córrego do Veado. Floresta Alta de Tabuleiro, Mata da Água Limpa.","-40.2132987976074","-18.3703002929688",NA,"Arbusto escandente, flor verde claro.","SAMES01377",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"11","01","Pinheiros","28525","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-24 17:08:53-03","UFES","SAMES","8829","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.","8345","2018",NA,"Brasil","Aldeia do Coco. Restinga holocênica.","-39.8588981628418","-18.716100692749",NA,"Planta com 3 metros de altura, flor esverdeada","SAMES08829",NA,NA,NA,NA,NA,NA,"Espírito Santo",NA,"10","04","São Mateus","56510","auto","-397488889.0","-187988889.0",NA,NA,NA,NA,NA
"22","2021-03-01 16:31:46-03","UNICAMP","UEC","50433","S","Plantae","Magnoliopsida",NA,"Hippocrateaceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.","Lombardi, JA","Brown Jr, KS","20966","1988",NA,"Brazil","Reserva da CEPLAC a sul Rio Doce, 5m.","-40.0722007751465","-19.3910999298096",NA,"Arbusto decumbente de 3m, flores verdes.","UEC068939","UEC068939",NA,"1999","08",NA,NA,"Espírito Santo",NA,"12","09","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-05 16:46:44-03","UFOP","OUPR","17602","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr",NA,"Araújo, A.C.","s.n.",NA,NA,"Brasil",NA,"-43.125301361084","-21.4575004577637",NA,"Árvore, flor palida. Terreno pedregoso",NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,"Rio Novo","14119","auto",NA,NA,NA,NA,NA,NA,NA
"24","2019-04-23 11:53:41-03","UNEMAT","HERBAM","16784","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Martinelli, G.; et al.","18600","2015",NA,"Brasil",NA,"-55.9674987792969","-16.1944007873535",NA,NA,"HERBAM016784",NA,NA,NA,NA,NA,NA,"Mato Grosso",NA,"05","29","Barão de Melgaço","145819","auto",NA,NA,NA,NA,NA,NA,NA
"25","2019-04-23 11:53:41-03","UNEMAT","HERBAM","16844","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Martinelli, G.; et al.","18648","2015",NA,"Brasil",NA,"-55.9674987792969","-16.1944007873535",NA,NA,"HERBAM016844",NA,NA,NA,NA,NA,NA,"Mato Grosso",NA,"05","29","Barão de Melgaço","145819","auto",NA,NA,NA,NA,NA,NA,NA
"26","2014-10-14 15:56:28-03","BS","M","M-0146981","S","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Martius, C.F.P. von",NA,NA,NA,"Brasil","Brasilia Provinc.",NA,NA,NA,NA,"M0146981",NA,"Magnoliopsida",NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-04-27 16:09:15-03","UFES","VIES","2217","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pereira, O.J.; Fabris, L.C.; Thomaz, L.D. & Gomes, J.M.L.","1356","1987",NA,"Brasil",NA,"-40.5110015869141","-20.6580009460449",NA,NA,"VIES002217","VIES002217 VIES002217_1 VIES002217_2",NA,"2014","05",NA,NA,"Espírito Santo",NA,"11","03","Guarapari","28401","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-04-27 16:09:15-03","UFES","VIES","8262","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pereira, O.J.; Simonelli, M.","5284","1994",NA,"Brasil","Reserva Indígena de Comboios.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES008262","VIES008262",NA,"2014","05",NA,NA,"Espírito Santo",NA,"07","12","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-04-27 16:09:15-03","UFES","VIES","18187","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Passamani, F.; Azevedo, A.R.","Azevedo, A.R.; Passamani, F.","121","1996",NA,"Brasil","Jacaraípe.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES018187","VIES018187",NA,"1996",NA,NA,NA,"Espírito Santo",NA,NA,NA,"Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-04-27 16:09:15-03","UFES","VIES","12795","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Rodrigues, I.D.","227","1999",NA,"Brasil","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012795","VIES012795",NA,"2014","05",NA,NA,"Espírito Santo",NA,"12","28","Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"31","2019-09-27 18:04:13-03","UFES","VIES","12794","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Rodrigues, I.D.","Rodrigues, I.D.","241","2000",NA,"Brasil","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012794","VIES012794",NA,"2000","11","12",NA,"Espírito Santo",NA,"11","12","Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-04-27 16:09:15-03","UFES","VIES","10911","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Zambom, O.; Vieira, F. & Fernandes, M.","95","1995",NA,"Brasil","Interlagos.","-40.2924995422363","-20.3297004699707",NA,NA,"VIES010911","VIES010911",NA,"2014","05",NA,NA,"Espírito Santo",NA,"08","28","Vila Velha","27156","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-12-06 19:29:22-03","UFES","VIES","43698","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Firmino, A.D.; Silvares, G.C.O.","574","2018",NA,"Brasil","Aldeia dos Cocos, ponto de amostragem 3.","-39.751944","-18.798889",NA,NA,"VIES043698","VIES043698",NA,NA,NA,NA,NA,"Espírito Santo",NA,"11","21","São Mateus",NA,NA,"39º45'7''W","18º47'56''S",NA,NA,NA,NA,NA
"34","2020-04-27 16:09:15-03","UFES","VIES","46095","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Pereira, O.J.","Firmino, A.D.; Penha, J.S.; Pereira, O.J.; Xavier, B.L.","1363","2019",NA,"Brasil","Aldeia dos Cocos, ponto de amostragem 3.","-39.752778","-18.798333",NA,NA,"VIES046095","VIES046095",NA,"2019","09","03",NA,"Espírito Santo",NA,"09","03","São Mateus",NA,NA,"39º45'10''W","18º47'54''S","5","5",NA,NA,NA
"35","2020-04-27 16:09:15-03","UFES","VIES","5781","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pereira, O.J.; Gomes, J.M.L. & Vinha, P.C.","2374","1991",NA,"Brasil",NA,"-40.4199981689453","-20.2639007568359",NA,NA,"VIES005781","VIES005781",NA,"2013","06",NA,NA,"Espírito Santo",NA,"08","21","Cariacica","18507","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-04-27 16:09:15-03","UFES","VIES","2492","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pereira, O.J.; Fabris, L.C.","1505","1988",NA,"Brasil",NA,"-40.5110015869141","-20.6580009460449",NA,NA,"VIES002492","VIES002492",NA,"2014","05",NA,NA,"Espírito Santo",NA,"04","28","Guarapari","28401","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-04-27 16:09:15-03","UFES","VIES","189","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pereira, O.J.; Behar, L. & Fontenelle, G.B.","187","1982",NA,"Brasil","Rodovia do Sol - Km 32.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES000189","VIES000189",NA,"2014","08",NA,NA,"Espírito Santo",NA,"09","27","Guarapari","28401","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-04-27 16:09:15-03","UFES","VIES","181","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Pereira, O.J.; Behar, L. & Fontenelle, G.B.","179","1982",NA,"Brasil","Rodovia do Sol - Km 32.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES000181","VIES000181",NA,"2014","05",NA,NA,"Espírito Santo",NA,"09","21","Guarapari","28401","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-04-27 16:09:15-03","UFES","VIES","16881","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Pinheiro, H.; Ferreira, A. & Rocha, B.","103","2002",NA,"Brasil","Ilha do Francês.","-40.7219009399414","-20.8377990722656",NA,NA,"VIES016881","VIES016881",NA,"2014","08",NA,NA,"Espírito Santo",NA,"11",NA,"Piúma","11958","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-04-27 16:09:15-03","UFES","VIES","28831","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Faria, M.B.; Martins, R.F.A.","118","2007",NA,"Brasil","Guriri.","-39.8588981628418","-18.716100692749",NA,NA,"VIES028831","VIES028831",NA,"2012","12",NA,NA,"Espírito Santo",NA,"11","24","São Mateus","56510","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-04-27 16:09:15-03","UFES","VIES","18182","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Passamani, F.; Azevedo, A.R.","Azevedo, A.R.; Passamani, F.","110","1996",NA,"Brasil","Jacaraípe.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES018182","VIES018182",NA,"1996","12","07",NA,"Espírito Santo",NA,"12","07","Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"42","2020-04-27 16:09:15-03","UFES","VIES","12796","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Rodrigues, I.D.","221","1999",NA,"Brasil","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012796","VIES012796 VIES012796_1",NA,"2014","08",NA,NA,"Espírito Santo",NA,"12","28","Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"43","2020-04-27 16:09:15-03","UFES","VIES","12754","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Rodrigues, I.D.","302","2000",NA,"Brasil","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012754","VIES012754",NA,"2014","05",NA,NA,"Espírito Santo",NA,"03","25","Serra","16451","auto",NA,NA,NA,NA,NA,NA,NA
"44","2020-04-27 16:09:15-03","UFES","VIES","10914","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Zambom, O.; Assis, A.M.; Vieira, F. & Silva, S.S.","244","1996",NA,"Brasil","Interlagos.","-40.2924995422363","-20.3297004699707",NA,NA,"VIES010914","VIES010914",NA,"2014","05",NA,NA,"Espírito Santo",NA,"03","23","Vila Velha","27156","auto",NA,NA,NA,NA,NA,NA,NA
"45","2020-04-27 16:09:15-03","UFES","VIES","6809","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Martins, M.L.L.","128","1991",NA,"Brasil",NA,"-40.3377990722656","-20.3194007873535",NA,NA,"VIES006809","VIES006809",NA,"2014","05",NA,NA,"Espírito Santo",NA,"11","21","Vitória","15291","auto",NA,NA,NA,NA,NA,NA,NA
"46","2020-04-27 16:09:15-03","UFES","VIES","18081","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi, J.A.","Assis, A.M.; Weiler Júnior, I.","299","1997",NA,"Brasil","Reserva Ecológica Restinga de Camburi.","-40.3377990722656","-20.3194007873535",NA,NA,"VIES018081","VIES018081",NA,"2014","08",NA,NA,"Espírito Santo",NA,"11","28","Vitória","15291","auto",NA,NA,NA,NA,NA,NA,NA
"47","2020-06-29 09:30:01-03","UFRRJ","RBR","16608","S","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"L.F.T. Menezes","1335","2004",NA,"Brasil","Ilha da Marambaia, Floresta de cordão arenoso entre o Bravo 6 e a praia da Gaeta.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00016608",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"12","23","Mangaratiba","17272","auto",NA,NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:20:34-03","MBM","MBM","29476","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Cambess.) Peyr.","Rizzini, A.","Kuhlmann, J.G.","6006",NA,"Southern America","Brazil","Lagoa da Gávea","-43.2075004577637","-22.9027996063232",NA,NA,"MBM029476","MBM029476",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,"Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA
"49","2015-09-05 09:27:13-03","MNHN","RECOLNAT_MNHN_P","P05616148","PreservedSpecimen",NA,NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.",NA,"Gomes",NA,NA,NA,"Brasil",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05616148' target='other'> <mi>dwc_moreinfo</mi></a>","P05616148","P05616148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2015-09-05 09:22:32-03","MNHN","RECOLNAT_MNHN_P","P05527720","PreservedSpecimen",NA,NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.",NA,"Gardner",NA,NA,NA,"Brasil",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05527720' target='other'> <mi>dwc_moreinfo</mi></a>","P05527720","P05527720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"745",NA,NA
"51","2015-09-05 09:27:13-03","MNHN","RECOLNAT_MNHN_P","P05616138","PreservedSpecimen",NA,NA,NA,"Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.",NA,"Glaziou, A.",NA,NA,NA,"Brasil",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05616138' target='other'> <mi>dwc_moreinfo</mi></a>","P05616138","P05616138_01",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3674",NA,NA
