"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"17","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","3944",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","W. Boone","216","1984","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","Goiapaba-Açu","-40.479444","-19.919722",NA,"Arbusto com flor branca, solo avermelhado, altitude de +/- 600m.","MBML003944","MBML003944",NA,NA,NA,NA,"40W28'46","19S55'11",NA,NA,NA,NA,NA
"18","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","40465",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","A. M. Assis; K.F.O. Faria","1688","2008","05","23",NA,"Brasil","Espírito Santo","São Domingos do Norte","Próx. Sede (Torre 57/1 - LT 230 Kv Mascarenhas x Verona)","-40.622389","-19.136639",NA,"Arbusto 5 m. Botões amarelados. Floresta Ombrofila Densa #?# estagio médio de regeneração.","MBML040465","MBML040465",NA,NA,NA,NA,"40W37'20,6","19S8'11,9",NA,NA,NA,NA,NA
"19","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","28588",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","L. F. S. Magnago; V. Demuner, M. Belizário, E. Bausen","640","2006","02","02",NA,"Brasil","Espírito Santo","Águia Branca","Aguas Claras, propr.: Seu Voito.","-40.666944","-18.902778",NA,"Arvoreta 5m de alt. Folhas com pelos prateados. Flores e botões florais brancos. Mata.","MBML028588","MBML028588",NA,NA,NA,NA,"40W40'1","18S54'10",NA,NA,"300","300",NA
"20","2017-11-24 14:11:38-02","UFLA","ESAL","20810","S","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.",NA,"Warley A. C. Carvalho","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Machacalis",NA,"-40.7164001464844","-17.0771999359131",NA,"; ; ;; floresta",NA,NA,NA,"16711","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2322815","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D. Penn.",NA,"J. G. Kuhlmann","1623","1934","11","29","South America - Neotropics","Brazil","Viçosa",NA,NA,NA,NA,NA,NA,"US01868359","US01868359_01 US01868359_02",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA
"22","2020-10-14 16:35:24-03","UFVJM","HDJF","7815","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.",NA,"Paixão, FA","130P91","2019","07","14","Southern America","Brasil","Espírito Santo","Colatina","Rio Doce, Margem Direita","-40.721556","-19.5365",NA,NA,"HDJF007815","HDJF007815_01",NA,NA,NA,NA,"-40.721556","-19.5365",NA,NA,"160","160",NA
"23","2020-07-23 12:13:54-03","CEPLAC","CEPEC","9177","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola",NA,"T. D. Pennington","R. S. Pinheiro","2080","1973","04","02",NA,"Brasil","Bahia","GUARATINGA","Km 25 Rod. Guaratinga/Sao Paulinho.","-39.7827987670898","-16.5839004516602",NA,NA,NA,NA,NA,"55290","auto",NA,"0*0'99","99*99'99",NA,NA,NA,NA,"30/06/1978"
"24","2020-07-23 12:13:54-03","CEPLAC","CEPEC","5971","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola",NA,"T. D. Pennington","T. S. dos Santos","912","1985","07","09",NA,"Brasil","Bahia","EUNÁPOLIS","Rod. Eunapolis/Itabela.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,NA,"37596","auto",NA,NA,NA,"Isótipo",NA,NA,NA,"30/12/1978"
"25","2020-07-23 12:13:54-03","CEPLAC","CEPEC","9220","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola",NA,"T. D. Pennington","R. S. Pinheiro","2061","1973","03","29",NA,"Brasil","Bahia","GUARATINGA","Km 2 Rod. Guaratinga/Itabela.","-39.7827987670898","-16.5839004516602",NA,NA,NA,NA,NA,"55290","auto",NA,"0*0'99","99*99'99",NA,NA,NA,NA,"30/12/1978"
"26","2020-11-19 14:06:24-03","Unimontes","MCMG","6725","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","Paixão, F. A.; Resck, D. V. S.","Paixão, F. A.; Resck, D. V. S.",NA,"2019","07","14",NA,"Brasil","Espírito Santo","Colatina","Colatina","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,NA,"57036","auto",NA,"W40° 43' 17.6","S19° 32' 11.4",NA,NA,NA,NA,NA
