"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","relatedCatalogItem","infraspecificEpithet","coordinatePrecision","geoFlag","preparationType","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"16","2009-10-24 09:25:00-02","MO","MOBOT","2251769","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.",NA,NA,NA,"Angel L. Cabrera|Silvia M. Botta|Roberto Kiesling|A.D. Rotman|Nuncia M. Tur|Fernando O. Zuloaga","Cabrera 28858","1977","10","17","South America","Argentina","Misiones","Eldorado","Puerto El Dorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-05-17 05:28:00-03","MO","MOBOT","2251794","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.",NA,NA,NA,"Angel L. Cabrera|Nélida M. Bacigalupo|Roberto Kiesling|María E. Múlgura","Cabrera 27982","1976","9","18","South America","Argentina","Jujuy","Santa Bárbara","Bella Vista, entre el Fuerte y Palma Sola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-10-14 19:13:00-03","MO","MOBOT","2425840","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.","Pieszko, G.",NA,NA,"Maria M. Arbo|Aurelio Schinini|Victor Maruñak|E. Paniagua","Arbo 7970","1998","8","27","South America","Argentina","Corrientes","Mercedes","Macrosistema Iberá, nacimiento del rio Corriente","-58.11666","-28.71666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-05-10 16:45:00-03","MO","MOBOT","1100206","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","G. Hassemer (C)",NA,NA,"Cornelius Osten","Osten s.n.",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,"1",NA,NA
"20","2018-05-18 17:15:00-03","MO","MOBOT","157753","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","G. Hassemer (C)",NA,NA,"Teodoro Rojas","Rojas 1255","1915","6",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,"1",NA,NA
"21","2018-05-20 15:32:00-03","MO","MOBOT","209888","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","G. Hassemer",NA,NA,"Alwyn H. Gentry","Gentry 48173","1984","7","15","South America","Colombia","Valle del Cauca",NA,"Bosque de San Antonio, W of Cali, near television tower. Lower montane forest.","-76.6166667","3.5",NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,"84-301","2","1950.00000000","2050.00000000"
"22","2009-05-15 13:24:00-03","MO","MOBOT","2488794","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","Bacigalupo, N. M.",NA,NA,"Pedro Jörgensen","Jörgensen 4509","1928","11","8","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,NA,NA,NA
"23","2009-08-07 05:41:00-03","MO","MOBOT","2488810","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo",NA,NA,NA,"Émile Hassler","Hassler 12826",NA,NA,NA,"South America","Paraguay","Central",NA,"In regiones lacus Ypacarai","-57.35","-25.31666",NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,NA,NA,NA
"24","2018-03-08 16:05:00-03","MO","MOBOT","2975495","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","Gustavo Hassemer",NA,NA,"Lázaro J. Novara","Novara 3705","1983",NA,NA,"South America","Argentina","Salta",NA,"San Martin. Laguna La Yuntada, 20 km al NW de Tartagal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,"1","700.00000000",NA
"25","2018-10-24 08:56:00-03","MO","MOBOT","2978417","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","Gustavo Hassemer",NA,NA,"Calaway H. Dodson|Alwyn H. Gentry","Dodson 12767","1982","2","21","South America","Ecuador",NA,NA,"Tenefuerste. Rio Pilalo, Quevado, Latacunga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,NA,"750.00000000","1300.00000000"
"26","2012-04-12 13:14:00-03","MO","MOBOT","1849808","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo",NA,NA,NA,"Lidia Pérez de Molas|David R. Brunner","Pérez de Molas 891","1986","7","23","South America","Paraguay","Paraguarí",NA,"Parque nacional de Ybicui.Orillas del Arroyo Minas. Crece en suelos húmedos,inundables y en cercania de pantanos.","-56.85","-26.83333",NA,NA,NA,NA,NA,NA,NA,NA,"subsessilis",NA,NA,NA,NA,NA,NA,NA
"27","2018-08-28 10:22:43-03","F","FMNH-SEEDPLANTS","V0308529F","PreservedSpecimen","Plantae","Spermatophyta","Plantaginaceae","Callitriche","terrestris","Callitriche terrestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0308529F","V0308529F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-08-28 10:21:49-03","F","FMNH-SEEDPLANTS","V0308530F","PreservedSpecimen","Plantae","Spermatophyta","Plantaginaceae","Callitriche","terrestris","Callitriche terrestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0308530F","V0308530F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:44:43-03","UFRGS","ICN","115542","S","Plantae","Dicotyledon","Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.","Irgang, BE",NA,NA,"Carneiro, AM","459","1996","06","05","América do Sul","Brasil","RS","Santo Amaro","Gal. Câmara quadra I",NA,NA,NA,NA,"área urbana, em passeio público",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 12:44:43-03","UFRGS","ICN","117359","S","Plantae","Dicotyledon","Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.","Larocca, J",NA,NA,"Vera Gonçalves","93","1996","09","28","América do Sul","Brasil","RS","Quintão",NA,NA,NA,NA,NA,"baixada úmida entre dunas próximo a Lagoa Porteira, solo úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
