"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relationshipType","relatedCatalogItem","infraspecificEpithet","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02447146","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","J. R. I. Wood","W. R. Anderson","7403","1973","03","18","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 4 km by road S of Terezina.","-47.2647","-13.81255","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259384' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1013855","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","H. S. Irwin","12134","1966","01","30","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 15 km E. of Brasília","-47.77671","-15.7833","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104209' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013855","NY01013855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00749146","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","H. S. Irwin","34014","1972","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 20 km E. of Pirenópolis","-48.76328","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749146","NY00749146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01090748","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","B. Santos Lorenzo","J. A. Ratter","R2830","1976","03","26","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília fi4eld station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090748","NY01090748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","486276","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","I. Mimura","305","1962","02","27","South America","Brazil","São Paulo","Sao José dos Campos","Ca. 10,3 km SSE em linha reta da praça principal de Sao José Dos Campos","-45.88","-23.1703",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486276","NY00486276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1013861","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","W. R. Anderson","6858","1973","03","11","South America","Brazil","Goiás","Monte Alegre de Goiás","8 km by road W of Monte Alegre","-47.22","-13.27","600","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013861","NY01013861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1013849","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","J. R. Pirani","1389","1986","02","20","South America","Brazil","Distrito Federal","Brasília","Rodovia Planaltina-São João da Aliança, GO 116, km 5. Reserva de Águas Emendadas.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104202' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013849","NY01013849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1013850","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","E. P. Heringer","3615","1980","03","03","South America","Brazil","Distrito Federal","Brasília","São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104203' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013850","NY01013850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00749147","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","H. S. Irwin","19356","1968","01","28","South America","Brazil","Goiás","Cocalzinho de Goiás","Pico dos Pirineus, ca. 20 km N.W. of Corumbá de Goiás, near road to Niquelândia.","-48.95","-15.88","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749147","NY00749147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1013856","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","H. S. Irwin","12180","1966","01","31","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km N. E. of Brasília","-47.75172","-15.62355","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013856","NY01013856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","494086","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","E. P. Heringer","16946","1978","03","16","South America","Brazil","Distrito Federal","Brasília","Reserva Biológica de Aguas Emendadas","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494086","NY00494086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1013853","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","E. P. Heringer","17056","1978","04","24","South America","Brazil","Distrito Federal","Brasília","(Trevo Unai-RECOR).","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013853","NY01013853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1013862","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","C. A. O'Donell","J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Lagoa.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013862","NY01013862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-27 16:45:00-03","NY","NYBG","494087","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea",NA,"D. F. Austin","J. G. Wessels Boer","1925","1967","07","31","South America","Venezuela","Amazonas",NA,"Along road from Puerto Ayacucho to Sanariapo near crossing with Río Cataniapo","-67.6","5.58",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1013859","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","H. S. Irwin","24794","1969","03","21","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Alto Paraíso (formerly Veadeiros)","-47.5167","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013859","NY01013859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1013852","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","E. P. Heringer","13239-A","1974","04","10","South America","Brazil","Distrito Federal","Brasília","Sobradinho.","-47.7923","-15.65064739",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104206' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013852","NY01013852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1013854","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","H. S. Irwin","11728","1966","01","18","South America","Brazil","Goiás","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","-50.00122","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013854","NY01013854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1013858","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","H. S. Irwin","13790","1966","03","08","South America","Brazil","Goiás","Ipameri","Serra dos Cristais, ca. 25 km S. of Cristalina","-47.6","-16.9759","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013858","NY01013858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-01-28 13:11:09-03","MCN-PUC-MINAS","HPUC-MG","ANG618","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea",NA,"Valdina Ferreira de Paiva","V. F. Paiva",NA,"2008","04","08",NA,"Brasil","Distrito Federal","Lago Sul","EEJBB - beira de estrada, próximo a cerca da Aeronáutica",NA,NA,NA,NA,NA,"Frutos secos e imaturos de cor verde. 1,60m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","28520","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Campos, C.J.","40","2011","01","19",NA,"Brasil","São Paulo","Pratânia",NA,"-48.666111","-22.808333",NA,NA,NA,"Herbácea, cerca de 60 cm, folhas pilosas, flor de formato tubular e coloração rosa-arroxeada","BOTU028520",NA,NA,"48°39'58w","22°48'30s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-13 09:19:22-03","UFRJ","RFA","9495","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","J.I. Falcão","G.G. Hatschbach; P.F. Ravenna","23119","1969","12","05",NA,"Brasil","Paraná","Laranjeiras do Sul","Km 127","-52.4160995483398","-25.4078006744385",NA,NA,NA,"Ereta 50 cm de altura. Flor lilas rosada","RFA28095",NA,NA,NA,NA,"1970","28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 11:29:54-03","UFRJ","RFA","11896","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Joaquim Falcão","A.P. Duarte","10191","1967","01","17",NA,"Brasil","Distrito Federal","Brasília","Área de Zoobotânico","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA11364",NA,NA,NA,NA,"1975","70570","auto","04","09",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-06-29 11:29:54-03","UFRJ","RFA","12861","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Joaquim Falcão","A.P. Duarte","10263","1967","01","21",NA,"Brasil","Goiás","Goiás","Serra Dourada","-50.1403007507324","-15.9343996047974",NA,NA,NA,NA,"RFA11933",NA,NA,NA,NA,"1975","63502","auto","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:29:54-03","UFRJ","RFA","12860","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Joaquim Falcão","A.P. Duarte","10191","1967","01","17",NA,"Brasil","Distrito Federal","Brasília","Área do Zoobotânico","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA11932",NA,NA,NA,NA,"1975","70570","auto","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:29:54-03","UFRJ","RFA","11891","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Joaquim Falcão","A.P. Duarte","10244","1967","01","26",NA,"Brasil","Goiás","Goiás","Serra Dourada","-50.1403007507324","-15.9343996047974",NA,NA,NA,NA,"RFA11363",NA,NA,NA,NA,"1975","63502","auto","04","09",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-09-10 21:42:40-03","UNEMAT","TANG","2467","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Engels, ME","Engels, ME","2779","2015","02","20",NA,"Brasil","Mato Grosso","Itaúba","UHE Colider","-55.2764015197754","-11.0616998672485",NA,NA,NA,NA,"TANG000002467",NA,NA,NA,NA,"2015","111180","auto","02","20",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:37:33-03","EAO","IAN","14263","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","villosa","Ipomoea villosa","Meisn.","Barreto, M","Magalhães, MG","s.n.","1938","01","21","Southern America","Brasil","Minas Gerais","Belo Horizonte","Sujo, Caetano Furquim, muito frequente.","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"IAN014263","IAN014263 IAN014263_e",NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-07-03 10:43:24-03","EBDA","BAH","1099","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","villosa","Ipomoea villosa","Ruiz & Pav.","Edmundo Pereira","Clotildes F. da Costa",NA,"1958","01","10",NA,"Brasil","Bahia","Salvador.","Itapoã.","-38.5108","-12.9711",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1961","26018","auto","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-12 15:31:40-03","UFABC","HUFABC","002171","PreservedSpecimen","Plantae","Angiospermas",NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Keller V.C.","159","2018","01","16",NA,"Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Setor A, campo nativo do lado esquerdo da estrada que passa em frente a torre de observação, após baixada e antes do início","-46.677556","-23.346172",NA,NA,NA,"Sub-arbusto, flores róseas","HUFABC002171",NA,NA,"-46.677556","-23.346172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 21:32:05-03","UFBA","ALCB","028442","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","Simão-Bianchini, R","Rawitscher, F","s/n","1945","03","01","Southern America","Brasil","São Paulo","Pirassununga","Campo cerrado de Emas.","-47.4199981689453","-21.9899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965","24621","auto","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:34:20-03","NBC","NL-BOTANY","L.2741495","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Hatschbach GG; Ravenna PF",NA,"1969","12","05","Southern America","Brazil",NA,NA,"Km 127 (mun. Laranjeiras de Sul) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2741495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2741495","NL-L2741495",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228315","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Wessels Boer JG",NA,"1967","07","31","Southern America","Venezuela",NA,NA,"Territorio Amazonas, along road from Puerto Ayacucho to Sanariapo near crossing with Rio Cataniapo.","-67.6","5.583333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228315","NL-U1228315",NA,"-67.6","5.583333",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"43","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228316","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Wessels Boer JG",NA,"1967","07","31","Southern America","Venezuela",NA,NA,"Territorio Amazonas, along road from Puerto Ayacucho to Sanariapo near crossing with Rio Cataniapo.","-67.6","5.583333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228316 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228316","NL-U1228316",NA,"-67.6","5.583333",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"44","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228463","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.",NA,"Hatschbach GG; Anderson W; Barneby RC; Gates B",NA,"1975","11","11","Southern America","Brazil",NA,NA,"S. Jose da Serra mun. Cuiaba Mato Grosso.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228463 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228463","NL-U1228463",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
