"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","relatedCatalogItem","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"11","2020-12-11 11:44:24-03","UFMG","BHCB","107899","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb) Christenson","Viana, PL; Leite, FSF; Lopes, LE; Mendes, RM; Mendes, BM; Mota, NFO","2007","02","08","Southern America","Brasil","APA Pandeiros","Epífita em árvore caída; cálice vermelho-acastanhado; corola vinácea.",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,"2826","Januária","-44.3616981506348","-15.4881000518799","148972","auto","Monocotyledon",NA,NA,"620","800",NA
"12","2014-01-08 09:01:00-02","MO","MOBOT","1227076","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Elsa M. Zardini","1997","5","22","South America","Paraguay","Asunción. Grown at Elsa's from sterile material collected at Paraguay, Paraguari, Mbatoví Mountain, forest on slopes.",NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,"Central",NA,"Zardini 46613",NA,"-57.6666667","-25.2666667",NA,NA,NA,"1097",NA,NA,NA,"1"
"13","2018-01-26 12:22:00-02","MO","MOBOT","1537542","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Elsa M. Zardini|Leongino Guerrero","2000","5","10","South America","Paraguay","Trail from Bella Vista Norte to Sargento José E. López, in a cerrado forest.",NA,NA,NA,"G. Carnevali",NA,NA,NA,"Concepción",NA,"Zardini 55179",NA,"-56.5272223","-22.7877777",NA,NA,NA,"1218",NA,NA,NA,"2"
"14","2014-01-08 09:00:00-02","MO","MOBOT","1056132","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Teodoro Rojas","1919","2","23","South America","Paraguay","Cerros de Acahay.",NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,"Paraguarí",NA,"Rojas 3503",NA,"-57.2","-25.8666667",NA,NA,NA,NA,NA,NA,NA,"1"
"15","2014-01-08 09:01:00-02","MO","MOBOT","2834490","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Pedro Jörgensen",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,NA,NA,"Jörgensen 3951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","2014-01-08 09:00:00-02","MO","MOBOT","633451","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Elsa M. Zardini|P. Aquino","1992","1","13","South America","Paraguay","Acahay Massif. Easternmost Peak. Northern part. Scrub on rocks.",NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,"Paraguarí",NA,"Zardini 29744",NA,"-57.1333333","-25.8666667",NA,NA,NA,"640",NA,NA,NA,"2"
"17","2014-01-08 09:00:00-02","MO","MOBOT","633593","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Elsa M. Zardini|et al.","1989","1","5","South America","Paraguay","Macizo Acahay. Forest on eastern most peak, mostly on rocks.",NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,"Paraguarí",NA,"Zardini 9166",NA,"-57.15","-25.9",NA,NA,NA,"1",NA,"500.00000000",NA,"2"
"18","2014-01-08 08:59:00-02","MO","MOBOT","636797","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","J.E. Simonis|et al.","1983","3","16","South America","Paraguay",NA,NA,NA,NA,"D. L. Szlachetko (UGDA)",NA,NA,NA,"Caaguazú",NA,"Simonis 43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2018-01-26 12:27:00-02","MO","MOBOT","1372545","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cohniella","jonesiana","Cohniella jonesiana","(Rchb. f.) Christenson","Elsa M. Zardini","1998","12","20","South America","Paraguay","Asunción. Grown at Elsa's from sterile material collected at Paraguay, Paraguarí, National Park Ybycui.",NA,NA,NA,"G. Carnevali",NA,NA,NA,"Central",NA,"Zardini 50006",NA,"-57.6666667","-25.2666667",NA,NA,NA,"1166",NA,NA,NA,"1"
"20","2014-12-27 14:20:00-02","MO","MOBOT","2457793","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Anonymous","1898","3","30","South America","Argentina",NA,NA,NA,NA,"Correa, M. N.",NA,NA,NA,"Misiones",NA,"Anonymous s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2013-08-23 04:12:00-03","MO","MOBOT","100194890","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Roberto Vásquez",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,"Santa Cruz",NA,"Vásquez C. 659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"22","2012-10-08 15:51:00-03","MO","MOBOT","2293711","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Sara G. Tressens|M. Silvia Ferrucci|Anita Radovancich","1991","2","16","South America","Argentina","Ea. Santa Rita",NA,NA,NA,"Radovancich, A., //",NA,NA,NA,"Corrientes",NA,"Tressens 3957","Ituzaingó","-56.0666667","-27.3333333",NA,NA,NA,NA,NA,NA,NA,"1"
"23","2011-04-03 14:38:00-03","MO","MOBOT","2513895","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Aurelio Schinini|et al.",NA,NA,NA,"South America","Paraguay","Colonia Independencia, Ayo. Guazú on the way to San Gervasio",NA,NA,NA,"Dematteis, M.",NA,NA,NA,"Guairá",NA,"Schinini Cacace 27922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","633877","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Elsa M. Zardini|R. Franco","1992","1","27","South America","Paraguay","Acahay Massif. Easternmost Peak. Forest on slopes at northern part.",NA,NA,NA,"John Atwood (SEL)",NA,NA,NA,"Paraguarí",NA,"Zardini 30044",NA,"-57.13333","-25.91666",NA,NA,NA,"647",NA,NA,NA,"3"
"25","2011-02-03 15:44:00-02","MO","MOBOT","635398","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Elsa M. Zardini|Nélida Soria","1987","12","10","South America","Paraguay","Cerro Mbatovi.",NA,NA,NA,"G. Carnevali",NA,NA,NA,"Paraguarí",NA,"Zardini 3948",NA,"-57.1","-25.5666667",NA,NA,NA,"87-85",NA,NA,NA,"2"
"26","2008-05-27 22:02:00-03","MO","MOBOT","675774","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Elsa M. Zardini|P. Aquino","1992","2","26","South America","Paraguay","Acahay Massif, eastern most peak. Scrub on rocky summit at eastern area.",NA,NA,NA,"E.A. Christenson (NY)",NA,NA,NA,"Paraguarí",NA,"Zardini 30645",NA,"-57.13333","-25.86666",NA,NA,NA,"656",NA,NA,NA,"4"
"27","2008-05-27 22:02:00-03","MO","MOBOT","635077","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Elsa M. Zardini|M. Velázquez","1989","1","26","South America","Paraguay","Cerro Mbatoví. Forest remains on southern slope.",NA,NA,NA,"E.A. Christenson (NY)",NA,NA,NA,"Paraguarí",NA,"Zardini 9971",NA,"-57.11666","-25.41666",NA,NA,NA,"21",NA,NA,NA,"2"
"28","2020-08-01 18:19:15-03","UNESP-IBILCE","SJRP","15410","PreservedSpecimen","Plantae","Liliopsida","Asparagales","Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","I.D.Z. Larrubia",NA,NA,NA,"América do Sul","Brasil","sentido Vicentinópolis","Epífita; cor amarela pintada, lab. branco;",NA,NA,"Wellington Forster",NA,NA,NA,"São Paulo",NA,NA,"Sebastianópolis",NA,NA,NA,NA,"Tracheophyta",NA,NA,NA,NA,NA
"29","2014-11-06 16:18:34-02","UFPB","EAN","2487","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. F","L. P. Felix ; G. V. Dornelas","1986","02",NA,NA,"Brasil",NA,"Flores brancas e marrom.Habitat: Epífita",NA,NA,"L. P. Felix & G. V. Dornelas","1986","03","05","São Paulo",NA,"61","São João do Rio Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","1540735","PreservedSpecimen","Plantae","Monocotyledonae","Orchidales","Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum",NA,"P. Jorgensen","1931","1",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"31","2020-09-02 16:35:26-03","Cenargen","CEN","51332","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Zenilton de Jesus Gayoso Miranda","2007","10","12",NA,"Brasil","Região da Gruta do Tamboril.","Em mata mesofitica associada a afloramento calcário. Floração em cultivo em Brasília em 20 de Dezembro de 2002.","CEN00051332","CEN00051332","T. E. C. Meneguzzo","2014",NA,NA,"MG",NA,"93","UNAI","-46.9061012268066","-16.3575000762939","97926","auto",NA,NA,"Exsicatas",NA,NA,"3"
"32","2020-05-06 13:09:18-03","F","FMNH-SEEDPLANTS","V0450813F","PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum",NA,"J. D. Ackerman","1978","9","5","South America","Bolivia",NA,NA,"V0450813F","V0450813F_01 V0450813F_02",NA,NA,NA,NA,"Santa Cruz",NA,"1320",NA,NA,NA,NA,NA,"Spermatophyta","1320",NA,NA,NA,NA
"33","2019-07-09 12:44:29-03","F","FMNH-SEEDPLANTS","V0450814F","PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum",NA,"K. Fiebrig","1903","3",NA,"South America","Paraguay",NA,NA,"V0450814F","V0450814F_01",NA,NA,NA,NA,NA,NA,"1019",NA,"-58.1689","-23.2025",NA,NA,"Spermatophyta",NA,NA,NA,NA,NA
"34","2019-07-09 12:44:18-03","F","FMNH-SEEDPLANTS","V0450815F","PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum",NA,"P. Jörgensen","1931","1",NA,"South America","Paraguay",NA,NA,"V0450815F","V0450815F_01",NA,NA,NA,NA,NA,NA,"3951",NA,"-58.1689","-23.2025",NA,NA,"Spermatophyta",NA,NA,NA,NA,NA
"35","2020-11-04 17:30:12-03","UEM","HUEM","13534","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","V.Tomazini","2005","03","04",NA,"Brasil","rio Ivinhema, Floresta ripária da Lagoa Finado Raimundo.","Epífita. Amostra proveniente de material coletado em 12/12/2004. Indivíduo em fase reprodutiva obtido em casa de cultivo (município de Maringá, PR).","HUEM000024243",NA,"In Flora do Brasil","2019","11","18","Mato Grosso do Sul",NA,"388","Jateí","-54.3025016784668","-22.4818992614746","85335","auto",NA,NA,NA,NA,NA,NA
"36","2020-11-04 17:30:12-03","UEM","HUEM","5806","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Ma.C. Souza","1999","10","25",NA,"Brasil","rio Paraná, Floresta ripária, margem esquerda do rio Paraná.","Epífita.","HUEM000024244",NA,"In Flora do Brasil","2019","11","19","Paraná",NA,"855","Porto Rico","-53.2668991088867","-22.7721996307373","18063","auto",NA,NA,NA,NA,NA,NA
"37","2020-11-04 17:30:12-03","UEM","HUEM","13250","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","V.Tomazini","2005","02","23",NA,"Brasil","ribeirão São Pedro, Floresta ripária, marqgem direita do ribeirão São Pedro.","Epífita. Pétalas de coloração branco-esverdeadas com manchas marrom-avermelhadas. Labelo de coloração branca com poucos manchas de coloração vinho na porção superior. Extremidades laterais coloração amarela com manchas marrom.","HUEM000024245",NA,"In Flora do Brasil","2019","11","19","Paraná",NA,"392","São Pedro do Paraná","-53.2200012207031","-22.8239002227783","25063","auto",NA,NA,NA,NA,NA,NA
"38","2020-11-12 16:58:10-03","UEL","FUEL","31855","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Ferrarezi, E","2002","02","06",NA,"Brasil","Campus Universitário da UEL, Orquidário do CCA, orquidário do CCA",NA,NA,NA,NA,NA,NA,NA,"Paraná",NA,"53","Londrina","-51.1627998352051","-23.3103008270264","63728","auto","Tracheophyta",NA,NA,NA,NA,NA
"39","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Saint-Léger, L de",NA,NA,NA,"Southern America","Paraguay","Habitat in Paraguay supra arbores prope flum. Apa ad fines prov. Brasiliae Paraná",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E",NA,NA,NA,"Southern America","Paraguay","in sylvis supra arbores ad ripam lagunae Ypacaray et prope San Bernardino",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"1972?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Saint-Léger, L de",NA,NA,NA,"Southern America","Paraguay","Habitat in Paraguay supra arbores prope flum. Apa ad fines prov. Brasiliae Paraná",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E",NA,NA,NA,"Southern America","Paraguay","in sylvis supra arbores ad ripam lagunae Ypacaray et prope San Bernardino",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E",NA,NA,NA,NA,"?","in sylvis supra arbores ad ripam lagunae Ypacaray et prope San Bernardino",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"709?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E",NA,NA,NA,NA,"?","in sylvis supra arbores ad ripam lagunae Ypacaray et prope San Bernardino",NA,NA,"P03P6N0092",NA,NA,NA,NA,NA,NA,"709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:13:37-03","IBt","SP","168452","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Brolio, P","1962","10","23",NA,"Brasil",NA,NA,NA,NA,"Helfstein, EA","1998","03","19","São Paulo",NA,"s.n.","Andradina","-51.3699989318848","-20.8899993896484","31224","auto",NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:13:37-03","IBt","SP","175151","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Fontinelli, FB","1967","06","19",NA,"Brasil","Cultivada em São Paulo, fl. 19/III/1968. nº 6667 da coleção do Orquidário do Estado",NA,NA,NA,"Barros, F","1981","07",NA,"São Paulo",NA,"s.n.","Araçatuba","-50.4300003051758","-21.2000007629395","59490","auto",NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:13:37-03","IBt","SP","175109","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Fontinelli, FB","1967","06","19",NA,"Brasil","Cultivada em São Paulo, fl. 27/III/1968. nº 6666 da coleção do Orquidário do Estado",NA,NA,NA,"Barros, F","1981","07",NA,"São Paulo",NA,"s.n.","Araçatuba","-50.4300003051758","-21.2000007629395","59490","auto",NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:13:37-03","IBt","SP","175107","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Brolio, P","1964","07","22",NA,"Brasil","Porto Presidente Vargas. Cultivada em São Paulo, fl. 16/III/1966. Nº 4248 da coleção do Orquidário do Estado",NA,NA,NA,"Barros, F","1981","07",NA,"São Paulo",NA,"s.n.","Pereira Barreto","-51.0999984741211","-20.6299991607666","36734","auto",NA,NA,NA,NA,NA,NA
"49","2019-11-21 10:13:37-03","IBt","SP","175108","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Brolio, P","1964","07","22",NA,"Brasil","Porto Presidente Vargas. Cultivada em São Paulo, fl. 16/III/1966. Nº 4250 da coleção do Orquidário do Estado",NA,NA,NA,"Barros, F","1981","07",NA,"São Paulo",NA,"s.n.","Pereira Barreto","-51.0999984741211","-20.6299991607666","36734","auto",NA,NA,NA,NA,NA,NA
"50","2020-12-03 09:41:12-03","IBt","SP","315473","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Martuscelli, P","1987","03","16",NA,"Brasil","Reserva Estadual Morro do Diabo",NA,NA,NA,"Martuscelli, P","1987","03",NA,"São Paulo",NA,"s.n.","Teodoro Sampaio","-52.1599998474121","-22.5300006866455","54606","auto",NA,NA,NA,NA,NA,NA
"51","2019-11-21 10:13:54-03","IBt","SP","174975","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Bicalho, HD","1962","12","13",NA,"Brasil","Cultivado na coleção do Orquidário do Estado sob nº 2957",NA,"SP020108","SP020108","Meneguzzo, TEC","2017",NA,NA,"Espírito Santo",NA,"s.n.","São Mateus","-39.8588981628418","-18.716100692749","56510","auto",NA,NA,NA,NA,NA,NA
"52","2019-11-21 10:13:54-03","IBt","SP","29508","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Hoehne, FC","1911","02",NA,NA,"Brasil",NA,NA,"SP020120","SP020120","Meneguzzo, TEC","2017",NA,NA,"Mato Grosso do Sul",NA,"CRONDON4956","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:13:54-03","IBt","SP","232360","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Barros, F","1980","04","01",NA,"Brasil","Mata",NA,"SP020113","SP020113","Meneguzzo, TEC","2017",NA,NA,"Minas Gerais",NA,"29","Montes Claros","-43.8616981506348","-16.7350006103516","72568","auto",NA,NA,NA,NA,NA,NA
