"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","typeStatus","dayIdentified"
"11","2020-12-11 11:45:36-03","UFMG","BHCB","142348","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs",NA,"Oliveira, CT; Giacomin, LL; Viveros, RS","448","2009","04","25","Southern America","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Pico do Sol","-43.448611","-20.111944",NA,"erva de 60 cm, flores amarelas.",NA,NA,"1918","1918",NA,NA,"-43.448611","-20.111944",NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","3003234","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","R. Kral","R. Kummrow","Kummrow 1623","1981",NA,NA,"South America","Brazil","Paraná",NA,"Purgatorio (mun. Piraquara).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-04-27 21:21:00-03","MO","MOBOT","3003544","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","R. Kral","J.M. Silva|J. Cordeiro","Silva 258","1986",NA,NA,"South America","Brazil","Paraná",NA,"São Roque (Mun. Piraquara). Campo, depressões brejosas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2742732","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"L. Smith & R. M. Klein","13522","1964","12","4","South America - Neotropics","Brazil","Santa Catarina","Água Doce","Fazenda Esperança, Campos de Palmas, 6 km south of Horizonte","-51.62","-26.63",NA,NA,"US01916179","US01916179_01","1100","1200",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","2829750","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"L. B. Smith & R. Klein","7451","1956","11","7","South America - Neotropics","Brazil","Santa Catarina","Campo Alegre","Between Postema andorro Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,"US01916175","US01916175_01","900","1000",NA,NA,NA,NA,"37493","auto","Monocotyledonae","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2782387","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"G. Hatschbach","28304","1971","12","6","South America - Neotropics","Brazil","Paraná","Palmas","S. Agostinho","-51.9906005859375","-26.4841995239258",NA,NA,"US01916173","US01916173_01",NA,NA,NA,NA,NA,NA,"46666","auto","Monocotyledonae","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","2323557","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"R. Reitz & D. Klein","7675","1958","12","9","South America - Neotropics","Brazil","Santa Catarina","São Joaquim","Serra do Oratório, Bom Jardim","-49.9317016601562","-28.2938995361328",NA,NA,"US01916178","US01916178_01","1400",NA,NA,NA,NA,NA,"48290","auto","Monocotyledonae","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2782419","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"G. Hatschbach","33447","1973","11","30","South America - Neotropics","Brazil","Paraná","Curitiba","Jardim Natalia","-49.2731018066406","-25.4277992248535",NA,NA,"US01916180","US01916180_01",NA,NA,NA,NA,NA,NA,"25180","auto","Monocotyledonae","1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2855247","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"G. Hatschbach","9707","1963","2","3","South America - Neotropics","Brazil","Paraná","Curitiba","Rod. do Café, Rio Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,"US01916176","US01916176_01","900",NA,NA,NA,NA,NA,"25180","auto","Monocotyledonae","1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","3195893","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"J. M. Silva & J. Cordeiro","258","1986","12","9","South America - Neotropics","Brazil","Paraná","Piraquara","São Roque","-49.0633010864258","-25.4416999816895",NA,NA,"US01916172","US01916172_01",NA,NA,NA,NA,NA,NA,"12577","auto","Monocotyledonae","1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2325426","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"L. B. Smith & R. Reitz","9818","1957","1","3","South America","Brazil","Santa Catarina","Xanxerê","East of Faxinal dos Guedes.","-52.4042015075684","-26.8768997192383",NA,NA,"US00088197","US00088197_01","700","900",NA,NA,NA,NA,"16278","auto","Monocotyledonae","1","Holotype",NA
"22","2020-09-12 05:00:02-03","US","US","2855245","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"R. Reitz & D. Klein","5371","1957","10","24","South America - Neotropics","Brazil","Santa Catarina","São José","Serra da Boa Vista","-48.627498626709","-27.6152992248535",NA,NA,"US01916177","US01916177_01","1200",NA,NA,NA,NA,NA,"12814","auto","Monocotyledonae","1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2459065","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs",NA,"L. Dombrowski & Y. Saito","906","1964","11","10","South America - Neotropics","Brazil","Paraná","Curitiba","Campos do Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,"US01916174","US01916174_01",NA,NA,NA,NA,NA,NA,"25180","auto","Monocotyledonae","1",NA,NA
"24","2020-08-20 15:00:04-03","UFSC","FLOR","46503","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs","Lozano, E.D.","Trevisan, R.; Venturi, S.","1213","2012","11","29",NA,"Brasil","Santa Catarina","Rancho Queimado","Serra da Boa Vista, no limite entre os municípios de Rancho Queimado e Alfredo Wagner, Próximo à BR282.","-49.156667","-27.674444",NA,"Planta faz parte do Projeto Reflora Habitat: campo","FLOR0046503","FLOR0046503","1132","1132","2012","11","49º9'24''W","27º40'28''S",NA,NA,NA,NA,NA,"21"
"25","2020-08-20 20:41:48-03","UFSC","FLOR","36284","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs","Lozano, E.D.","Zanin, A.; Santos, B.H.","1462","2007","12","27",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja.","-49.5917015075684","-28.0149993896484",NA,"flor amarela. Comum.","FLOR0036284",NA,NA,NA,"2014",NA,NA,NA,"30102","auto",NA,NA,NA,NA
"26","2021-01-07 09:34:39-03","IBt","SP","453229","S","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs",NA,"Lozano, ED","1218","2013","02","06",NA,"Brasil","Paraná","Campo Largo",NA,"-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53742","auto",NA,NA,NA,NA
"27","2020-04-15 17:20:38-03","IBt","SP","249929","S","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs",NA,"Silva, JM","258","1986","12","09",NA,"Brasil","Paraná","Piraquara","São Roque","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
