"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","class","typeStatus","verbatimLongitude","verbatimLatitude"
"13","2020-09-12 05:00:02-03","US","US","201143","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Buddleja","lythroides","Buddleja lythroides","Kraenzl.",NA,"A. F. Regnell","III 694","1862",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00113044","US00113044_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae","Type fragment",NA,NA
"14","2020-09-12 05:00:02-03","US","US","1362993","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Buddleja","lythroides","Buddleja lythroides","Kraenzl.",NA,"A. F. Regnell","III 964","1862",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,"US00930977","US00930977_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae","Isotype",NA,NA
"15","2020-09-12 05:00:02-03","US","US","2708721","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Buddleja","oblonga","Buddleja oblonga","Benth.",NA,"G. Hatschbach","30742","1972","11","20","South America","Brazil","Paraná",NA,"Morro da Baliza, Lageadinho (mun. Palmas). Paraná.",NA,NA,NA,NA,"US03164480","US03164480_01",NA,NA,NA,NA,NA,NA,"1100","1",NA,"Dicotyledonae",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2169671","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Buddleja","oblonga","Buddleja oblonga","Benth.",NA,"G. Hatschbach","3430","1956","10","29","South America","Brazil","Paraná",NA,"Est. Parana (Brasil). Mun. Palmas. Rio Lageado Bonito.",NA,NA,NA,NA,"US03164479","US03164479_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA
"17","2019-11-13 11:31:52-03","USP","SPF","170436","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Hatschbach, G","Barbosa, E","992","2004","10","11",NA,"Brasil","Santa Catarina","Itaiópolis",NA,"-49.9063987731934","-26.3363990783691",NA,NA,"SPF00170436",NA,"2004","51919","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-09-04 18:09:52-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga",NA,NA,"F. Sellow","4661",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Holotype",NA,NA
"19","2019-01-23 11:15:11-02","F","FMNH-SEEDPLANTS","V0062114F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga",NA,NA,"F. Sellow","4661",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0062114F","V0062114F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA
"20","2021-02-23 13:22:36-03","MN","R-TIPOS","31727","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Buddleia","oblonga","Buddleia oblonga","Benth.","Norman, E.M.","Regnell, A.F.","III - 964","1862",NA,NA,NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,"R000031727","R000031727_001",NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,"Isolectotypus de Buddleja lythroides Kraenzl.",NA,NA
"21","2021-03-04 15:46:39-03","IF","SPSF","09485","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga",NA,NA,"M.J.Robim","327","1985","10","17","América do Sul","Brasil","SP","Campos do Jordão","P.E. de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"22","2017-09-11 17:14:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"In Brasilia",NA,NA,NA,"ex Benth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-08 12:45:26-03","UFRGS","ICN","197532","S","Plantae","Dicotyledon",NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Coelho, GP","Coelho, GP; Gonzatti, F; Silva, LN","GPC194","2017","11","13","América do Sul","Brasil","MG","Alto Caparaó","Parque Nacional do Caparaó, córrego José Pedro","-41.826389","-20.413889",NA,"Pequenos arbustos até 1 m alt., crescendo pendentes sobre o córrego, próximo a trilha entre a Tronqueira e o Terreirão. Com flores brancas, levemente aromáticas e frutos passados; Beira do córrego",NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-41.826389","-20.413889"
"24","2019-11-21 10:19:17-03","IBt","SP","20094","S","Plantae",NA,NA,"Scrophulariaceae","Buddleja","lythroides","Buddleja lythroides","Kraenzl.","Martins, SE","Regnell","III-964",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"SP003393","SP003393","2004",NA,NA,"09",NA,NA,NA,NA,NA,NA,"Isolectotype",NA,NA
"25","2019-11-21 10:19:17-03","IBt","SP","249165","S","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Coelho, GP","Robim, MJ","327","1985","10","17",NA,"Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão, Em barranco do rio Galharada","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"2016","21048","auto","08","12",NA,NA,NA,NA,NA,NA,NA,NA
