"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"11","2020-12-21 16:38:23-03","MBM","MBM","48990","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Rodr.","Pabst, G.","Hatschbach, G.","3252","1953","05","09","Southern America","Brazil","Paraná","Fazenda Monte Alegre, Foz do Rio Harmonia",NA,NA,"MBM048990","MBM048990","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Tibagi","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-16 23:43:18-03","MNHN","RECOLNAT_MNHN_P","P00467632","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Cogniaux","Regnell",NA,NA,NA,NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00467632' target='other'> <mi>dwc_moreinfo</mi></a>","P00467632","P00467632_01 P00467632_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","III 1689",NA,NA
"13","2020-12-11 11:44:28-03","UFMG","BHCB","118250","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Viana, PL; et al.","3960","2008","03","12","Southern America","Brasil","Minas Gerais","P.E. do Papagaio, descida do Retiro dos Pedros, pa",NA,"Erva epífita, flores verdes.; Floresta Ombrófila Densa.","BHCB028334",NA,"-44.666667","-22.066667","2017","11","01","Aiuruoca",NA,NA,NA,"-44.666667","-22.066667","1900","1900",NA,NA,NA,NA
"14","2021-02-11 17:20:55-03","UFPR","UPCB","59867","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Kersten, R.","Kersten, R.","832","2004","04","01",NA,"Brasil","Paraná","Estância Bethânia",NA,"Epífita em floresta ombrófila mista secundária..",NA,NA,"-49.2242012023926","-25.2917003631592","2004","04","01","Colombo","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:20:55-03","UFPR","UPCB","70019","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Mancinelli, W.S.","Mancinelli, W.S.","1189","2010","03","26",NA,"Brasil","Santa Catarina","Floresta Nacinal",NA,"Epífita, flor verde, ocorrente em Floresta Ombrífila Mista..",NA,NA,"-50.3222007751465","-26.1063995361328","2010","03","26","Três Barras","22564","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:20:55-03","UFPR","UPCB","63236","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Baptista, D.H.","Bonnet, A.","100067","2008","04","21",NA,"Brasil","Paraná","Epífita. Floresta Ombrófila Mista.",NA,"em sistema de faxinal, pastagem..",NA,NA,"-52.0280990600586","-25.8388996124268","2008","05","03","Reserva do Iguaçu","28389","auto",NA,NA,NA,"1000","1000",NA,NA,NA,NA
"17","2021-02-11 17:20:55-03","UFPR","UPCB","82278","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Smidt, E.C.","Klingelfus, M.L.","119","2014",NA,NA,NA,"Brasil","Paraná","Repres Vossoroca.",NA,"Cultivada por Marcos Klingelfus. Floresceu em cultivo em Curitiba/ PR. Possui amostra de DNA..",NA,NA,"-48.5746994018555","-25.8827991485596","2015","01","20","Guaratuba","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-02 18:20:50-03","MBML","MBML-HERBARIO","13539",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","L. Kollmann/18-10-2000","E. Lagasa","222","1973","01","28",NA,"Brasil","Espírito Santo","Forno Grande",NA,"In flower: 17/05/1973 In álcool.","MBML013539",NA,"-41.083333","-20.516667",NA,NA,NA,"Castelo",NA,NA,NA,"41W5'","20S31'",NA,NA,NA,NA,NA,NA
"19","2020-09-02 18:20:50-03","MBML","MBML-HERBARIO","13549",NA,"Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","L. Kollmann/18-09-2000","E. Lagasa","187","1973","02","01",NA,"Brasil","Espírito Santo","Forno Grande",NA,"In flower: 22/03/1973 In álcool.","MBML013549",NA,"-41.083333","-20.516667",NA,NA,NA,"Castelo",NA,NA,NA,"41W5'","20S31'",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2596627","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Epidendrum","caldense","Epidendrum caldense",NA,NA,"L. Krieger","134","1942","7","8","South America - Neotropics","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"21","2020-10-15 09:54:00-03","UFPR","EFC","16742","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Engels, M.E.","Engels, M.E.","87","2009","05","15",NA,"Brasil","Paraná","Catanduvas de Fora",NA,"Epífita, corola esverdeada","EFC016742",NA,"-50.0971984863281","-24.9178009033203","2009","05",NA,"Carambeí","26641","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-25 13:53:02-03","UNIVILLE","JOI","15116","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","M.E. Engels","Mancinelli, W.S.","1153","2010","02","15",NA,"Brasil","Paraná","Canyon do Guartelá.",NA,"; HABITAT: mata ciliar; HABITO: Epífita","JOI015116",NA,"-50.4136009216309","-24.5093994140625","2010","02","15","Tibagi","56988","auto",NA,NA,NA,"800","800",NA,NA,NA,NA
"23","2021-03-25 13:53:02-03","UNIVILLE","JOI","15235","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","M.E. Engels","Mancinelli, W.S.",NA,"2010","02","15",NA,"Brasil","Paraná","Canyon Guartelá.",NA,"; HABITAT: mata ciliar; HABITO: Epífita","JOI015235",NA,"-50.4136009216309","-24.5093994140625","2010","02","15","Tibagi","56988","auto",NA,NA,NA,"800","800",NA,NA,NA,NA
"24","2021-03-25 13:53:02-03","UNIVILLE","JOI","10352","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","W.S. Mancinelli","Mancinelli, W.S.","977","2009","08","15",NA,"Brasil","Santa Catarina","Floresta Nacional.",NA,"; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Mista","JOI010352",NA,"-50.3222007751465","-26.1063995361328","2009","08","15","Três Barras","22564","auto",NA,NA,NA,"800","800",NA,NA,NA,NA
"25","2020-11-04 17:30:10-03","UEM","HUEM","31565","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Costa, AC","Costa, AC","36","2016","03","26",NA,"Brasil","Paraná","Distrito de Faxinal do Céu.",NA,"Epífita. Forma pequenos aglomerados, crescimento monopodial. Apresenta perfume suave.","HUEM000016422","HUEM000016422","-51.5988","-25.9182","2016","03",NA,"Pinhão",NA,NA,NA,"-51.5988","-25.9182","1163","1163",NA,NA,NA,NA
"26","2016-08-23 09:45:45-03","NHMLondon","NHM-LONDON-BOT","BM000091952","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","paulense","Epidendrum paulense","Cogn.",NA,"F.C. Hoehne","163","1917","06","01",NA,"Brasil",NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4639500"
"27","2021-02-12 15:02:22-03","UFSCar","SPSC","7368","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"A.W.C. Ferreira",NA,"2006","05","20",NA,"Brasil","São Paulo","Serra de São Pedro.",NA,"Ripicola",NA,NA,NA,NA,NA,NA,NA,"São Pedro",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Regnell, AF","1689?",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in arboribus campestribus ad Caldas prov. Minas Geraes",NA,"Floret Februario - Martio",NA,"P03P5N0031","-46.3861","-21.9236",NA,NA,NA,"Caldas","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:11:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Regnell, AF","1689",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat in arboribus campestribus ad Caldas prov. Minas Geraes",NA,"Floret Februario - Martio",NA,"P03P5N0031","-46.3861","-21.9236",NA,NA,NA,"Caldas","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:11:47-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","paulense","Epidendrum paulense","Cogn.",NA,"Comm. Geogr.Geol. S. Paulo","2542",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in sylvis supra arbores ad Serra Cantareira et ad S. João da Boa Vista prov. S. Paulo",NA,"Floret Junio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:11:47-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","paulense","Epidendrum paulense","Cogn.",NA,"Comm. Geogr.Geol. S. Paulo","2542?",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in sylvis supra arbores ad Serra Cantareira et ad S. João da Boa Vista prov. S. Paulo",NA,"Floret Junio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:11:47-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","paulense","Epidendrum paulense","Cogn.",NA,"Comm. Geogr.Geol. S. Paulo","2215?",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in sylvis supra arbores ad Serra Cantareira et ad S. João da Boa Vista prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:11:47-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Epidendrum","paulense","Epidendrum paulense","Cogn.",NA,"Comm. Geogr.Geol. S. Paulo","2215",NA,NA,NA,"Southern America","Brazil","São Paulo","Habitat in sylvis supra arbores ad Serra Cantareira et ad S. João da Boa Vista prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:52:13-03","UFRGS","ICN","044511","S","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Waechter, JL","Waechter, JL","1216","1979","04","15","América do Sul","Brasil","RS","Fortaleza dos Aparados",NA,"Epifítico com flores verde-claras, sépalas difusamente purpúreo-pálidas.","ICN00039702",NA,"-50.1446990966797","-29.0478000640869",NA,NA,NA,"Cambará do Sul","30776","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 12:52:13-03","UFRGS","ICN","031313","S","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Waechter, JL","Waechter, JL","237","1976","04","17","América do Sul","Brasil","RS","Morro Agudo",NA,"Flores amareladas.","ICN00039703",NA,"-50.1446990966797","-29.0478000640869","1978","10","10","Cambará do Sul","30776","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-08 12:52:13-03","UFRGS","ICN","015018","S","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Waechter, JL","Dutra, J","1018","1928","04",NA,"América do Sul","Brasil","RS",NA,NA,"Num galho de Araucária brasileira","ICN00039700",NA,"-52.4258003234863","-29.7175006866455","1978","10","10","Santa Cruz do Sul","38612","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 12:52:13-03","UFRGS","ICN","047445","S","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Waechter, JL","Waechter, JL","1610","1980","05","17","América do Sul","Brasil","RS","Lageadinho",NA,"Epífito a cerca de 4 m de altura, em final de floração.; Em interior de mata, sobre Tanheiro","ICN00039701",NA,"-49.7268981933594","-29.3353004455566","1980",NA,NA,"Torres","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:13:09-03","IBt","SP","24110","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Hoehne, FC","Hoehne, FC","s.n.","1929","06","17",NA,"Brasil","São Paulo","Cabeceiras do rio Cotia. Mata",NA,NA,NA,NA,"-46.9099998474121","-23.6000003814697",NA,NA,NA,"Cotia","23869","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:13:09-03","IBt","SP","163","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Buono, FA","Hoehne, FC","s.n.","1917","06","01",NA,"Brasil","São Paulo","Butantan",NA,NA,NA,NA,"-46.6300010681152","-23.5400009155273","1995","05","12","São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:13:09-03","IBt","SP","27715","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Loefgren, A","CGG2215",NA,NA,NA,NA,"Brasil","São Paulo","Em cultivo.",NA,NA,"SP009525","SP009525","-46.6300010681152","-23.5400009155273",NA,NA,NA,"São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:13:09-03","IBt","SP","27717","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Loefgren, A; Edwall, G","CGG2542","1894","06","30",NA,"Brasil","São Paulo","Em cultivo de São João da Boa Vista.",NA,NA,"SP009524","SP009524","-46.6300010681152","-23.5400009155273",NA,NA,NA,"São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:13:09-03","IBt","SP","47353","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"Krieger, L","134","1942","06","08",NA,"Brasil","São Paulo","Santo Amaro",NA,NA,NA,NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
