"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount","dayIdentified","fieldNumber","typeStatus"
"11","2019-10-09 11:23:17-03","UFBA","ALCB","021532","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola",NA,"Pereira, OJ","Pereira, OJ; Gomes, JML; Thomaz, LDS","1784","1988","08","30","Southern America","Brasil","Espírito Santo","Guarapari","Camburi","-40.5110015869141","-20.6580009460449",NA,"Arbusto; Restinga","ALCB034682","ALCB034682",NA,NA,"1988",NA,"28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:26:01-03","NBC","NL-BOTANY","L.2327809","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reissek","Carvalho LAF de","Sucre Benjamin D; Braga PIS",NA,"1968","07","30","Southern America","Brazil",NA,NA,"Brasil, Estado da Guanabara, restinga do Grumari",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2327809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2327809","NL-L2327809",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0552524",NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:26:01-03","NBC","NL-BOTANY","U.1541249","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reissek",NA,"Sucre Benjamin D; Braga PIS",NA,"1968","07","30","Southern America","Brazil",NA,NA,"Brasil, Estado de Guanabara, restinga de Grumari.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1541249 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1541249","NL-U1541249",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:33:23-03","MN","R","74456","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Freire Allemão, F. 305; Cysneiros, M.",NA,NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,"M.N. Plantas da Comm. Scient. da Prov. do Ceará","R010052702","R010052702_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:33:23-03","MN","R","74350","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Lima, R.","Glaziou, A.F.M.",NA,"1895","04","24",NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,"R000074350","R000074350_001",NA,NA,"2001","08","40069","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:33:23-03","MN","R","8140","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Glaziou, A.F.M.","18185","1884","02","09",NA,"Brasil","Rio de Janeiro","Macaé",NA,"-41.7868995666504","-22.3708000183105",NA,"Plantas do Brasil Central","R000008140","R000008140_001",NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-31 13:41:32-03","MN","R","222449","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Fernandes, S.",NA,"2011","11","19",NA,"Brasil","Rio de Janejro","São João da Barra","Grussaí","-41.0511016845703","-21.6403007507324",NA,NA,NA,NA,NA,NA,NA,NA,"31235","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-02-15 11:49:10-02","IPA","IPA","40732","S","Plantae","Plantae",NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reisseck",NA,"Gardner, G.","1414",NA,NA,NA,"Southern America","Brasil","Alagoas",NA,"Sea shore about 16 leagues N. of the R. St. Francisco.",NA,NA,NA,NA,"IPA0040732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-02-15 11:49:10-02","IPA","IPA","40733","S","Plantae","Plantae",NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reisseck",NA,"Gardner, G.","1414",NA,NA,NA,"Southern America","Brasil","Alagoas",NA,"Sea shore about 16 leagues N. of the R. St. Francisco.",NA,NA,NA,NA,"IPA0040733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:19:13-03","UFV","VIC","017904","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reissek",NA,"Da Silva, A.F.; et al.","1956","1997","03","05",NA,"Brasil","Espirito Santo","Setiba","Parque Estadual Paulo Cesar Vinha, Restinga. Limite norte do Parque.",NA,NA,NA,"Arbusto latescente de ca de 1 m, frutos imaturos de cor verde,negros quando maduros.","VIC017904","VIC017904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-20 21:19:13-03","UFV","VIC","17904","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reissek",NA,"Silva, A.F.; et al.","1956","1997","03","05",NA,"Brasil","Espírito Santo","Setiba","Estação Biológica Santa Lúcia",NA,NA,NA,"Arbusto latescente com ca 1m de altura, frutos imaturos de cor verde, negro quando maduros.","VIC017904","VIC017904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-24 17:09:51-03","UFES","SAMES","9316","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.","9054","2019","04","22",NA,"Brasil","Espírito Santo","Linhares","Distrito de Pontal do Ipiranga. Restinga Holocênica.","-40.0722007751465","-19.3910999298096",NA,"Planta com 3 m altura. Fruto verde.","SAMES09316",NA,NA,NA,NA,NA,"48094","auto",NA,NA,"-397088889.0","-191894444.0",NA,NA,NA,NA
"23","2021-03-24 17:09:51-03","UFES","SAMES","9503","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.","8490","2018","11","19",NA,"Brasil","Espírito Santo","Conceição da Barra",NA,"-39.7322006225586","-18.5932998657227",NA,"Planta com 1,5m de altura. Fruto jovem verde.","SAMES09503",NA,NA,NA,NA,NA,"41644","auto",NA,NA,"-397327778.0","-186219445.0",NA,NA,NA,NA
"24","2019-01-17 11:26:57-02","PUCRS","MPUC","20369","S","Plantae",NA,"Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,NA,NA,"1995","10","06","South America","Brasil","RS","Barra do Quaraí","Parque Estadual do Espinilho","-57.5546989440918","-30.2071990966797",NA,NA,NA,NA,NA,NA,NA,NA,"42332","auto","Magnoliopsida",NA,NA,NA,"1",NA,NA,NA
"25","2021-03-24 16:38:58-03","FURB","FURB","66991","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Funez, L.A.","Funez, L.A.","9184","2019","11","16",NA,"Brasil","Santa Catarina","Florianópolis","Lagoinha do Leste.","-48.4786111","-27.7666667",NA,"Flores esverdeadas Habitat: Restinga arbustiva Habito: Arbusto","FURB66991","FURB66991","58","58","2019","11",NA,NA,NA,NA,"-48.4786111","-27.7666667",NA,"16",NA,NA
"26","2020-04-27 16:11:21-03","UFES","VIES","22375","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Assis, A.M.","Assis, A.M.; Pereira, O.J. & Almeida, R. de","264","1997","11","03",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES022375","VIES022375",NA,NA,"1997","11","28401","auto",NA,NA,NA,NA,NA,"03",NA,NA
"27","2019-09-27 18:06:08-03","UFES","VIES","1780","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Pereira, O.J.","Pereira, O.J.","1046","1987","09","12",NA,"Brasil","Espírito Santo","Guarapari","Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES001780","VIES001780",NA,NA,"1987","11","28401","auto",NA,NA,NA,NA,NA,"12",NA,NA
"28","2019-12-06 19:30:12-03","UFES","VIES","28756","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Assis, A.M.; Cribari, R.S.; Santos, J.","4529","2018","07","28",NA,"Brasil","Espírito Santo","Presidente Kennedy","Restinga entre Marobá e Praia das Neves. x.","-40.957222","-21.244167",NA,NA,"VIES028756","VIES028756","7","7",NA,NA,NA,NA,NA,NA,"40º57'26''W","21º14'39''S",NA,NA,NA,NA
"29","2019-06-27 10:26:31-03","UFES","VIES","9661","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Pereira, O.J.","3696","1992","08","13",NA,"Brasil","Espírito Santo","Aracruz",NA,"-40.2733001708984","-19.8202991485596",NA,NA,"VIES009661","VIES009661",NA,NA,NA,NA,"37987","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-06-27 10:26:31-03","UFES","VIES","9665","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Pereira, O.J.","2599","1992","02","12",NA,"Brasil","Espírito Santo","Aracruz","Barra do Sahy.","-40.2733001708984","-19.8202991485596",NA,NA,"VIES009665","VIES009665",NA,NA,NA,NA,"37987","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-04-27 16:11:21-03","UFES","VIES","2498","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Gomes, J.M.L.","Pereira, O.J.; Fabris, L.C.","1500","1988","04","28",NA,"Brasil","Espírito Santo","Guarapari","Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES002498","VIES002498",NA,NA,"1990","07","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-04-27 16:11:21-03","UFES","VIES","4849","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Gomes, J.M.L.","Gomes, J.M.L.","1211","1990","08","09",NA,"Brasil","Espírito Santo","Itapemirim","Itaoca.","-40.8339004516602","-21.011100769043",NA,NA,"VIES004849","VIES004849",NA,NA,"1990","08","28626","auto",NA,NA,NA,NA,NA,"09",NA,NA
"33","2019-09-27 18:06:08-03","UFES","VIES","13433","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Valadares, R.T.","Valadares, R.T.","1002","2011","10","13",NA,"Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves.","-41.0466995239258","-21.0988998413086",NA,NA,"VIES013433","VIES013433",NA,NA,"2011","10","24088","auto",NA,NA,NA,NA,NA,"13",NA,NA
"34","2020-04-27 16:11:21-03","UFES","VIES","12900","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Rodrigues, I.D.","Rodrigues, I.D.","322","2000","04","01",NA,"Brasil","Espírito Santo","Serra","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012900","VIES012900",NA,NA,"2000","04","16451","auto",NA,NA,NA,NA,NA,"01",NA,NA
"35","2020-04-27 16:11:21-03","UFES","VIES","12899","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Rodrigues, I.D.","Rodrigues, I.D.","339","2000","04","20",NA,"Brasil","Espírito Santo","Serra","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012899","VIES012899",NA,NA,"2000","04","16451","auto",NA,NA,NA,NA,NA,"20",NA,NA
"36","2020-04-27 16:11:21-03","UFES","VIES","4294","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Gomes, J.M.L.","Thomaz, L.D.; Milaneze, M.A. & Gomes, J.M.L.","507","1989","11","16",NA,"Brasil","Espírito Santo","Vila Velha","Estação Biológica de Jacarenema.","-40.2924995422363","-20.3297004699707",NA,NA,"VIES004294","VIES004294",NA,NA,"1990","07","27156","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-04-27 16:11:21-03","UFES","VIES","10938","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Zambom, O.","Zambom, O.; Sá, F.S.","47","1995","08","08",NA,"Brasil","Espírito Santo","Vila Velha","Interlagos.","-40.2924995422363","-20.3297004699707",NA,NA,"VIES010938",NA,NA,NA,"1995","08","27156","auto",NA,NA,NA,NA,NA,"08",NA,NA
"38","2019-06-27 10:26:31-03","UFES","VIES","6863","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Martins, M.L.L.","161","1992","03","19",NA,"Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535",NA,NA,"VIES006863","VIES006863",NA,NA,NA,NA,"15291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-06-27 10:26:31-03","UFES","VIES","5934","S","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","Pereira, O.J.","Martins, M.L.L.; Pereira, O.J. & Gomes, J.M.L.","81","1991","06","24",NA,"Brasil","Espírito Santo","Vitória","Campus da UFES - Goiabeiras.","-40.3377990722656","-20.3194007873535",NA,NA,"VIES005934","VIES005934",NA,NA,NA,NA,"15291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:42:36-03","MBM","MBM","26246","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reisseck","Hatschbach, G.","Hatschbach, G.","32283",NA,NA,NA,"Southern America","Brazil","Paraná","Antonina","Ponta Feliz","-48.7118988037109","-25.4286003112793",NA,NA,"MBM026246","MBM026246",NA,NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:42:36-03","MBM","MBM","181280","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reisseck","Pirani, J.R.","Pirani, J.R.; et al.; et al.","2891",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Arraial do Cabo","Praia de Moçambaba","-42.0278015136719","-22.966100692749",NA,NA,"MBM181280","MBM181280",NA,NA,NA,NA,"25964","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783342","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,NA,NA,NA,"9","1",NA,"Brasil",NA,NA,"Bresil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783342' target='other'> <mi>dwc_moreinfo</mi></a>","P06783342","P06783342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783343","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783343' target='other'> <mi>dwc_moreinfo</mi></a>","P06783343","P06783343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1 721",NA
"44","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783344","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Sacramento, L.",NA,"1819","1","1",NA,"Brasil",NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783344' target='other'> <mi>dwc_moreinfo</mi></a>","P06783344","P06783344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114",NA
"45","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783345","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia.",NA,NA,"hb","Reçu le 16 Avril 1880. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783345' target='other'> <mi>dwc_moreinfo</mi></a>","P06783345","P06783345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783346","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","Donné par Mme Simard sa file, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783346' target='other'> <mi>dwc_moreinfo</mi></a>","P06783346","P06783346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2015-09-05 12:14:08-03","MNHN","RECOLNAT_MNHN_P","P06783347","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Gomes",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783347' target='other'> <mi>dwc_moreinfo</mi></a>","P06783347","P06783347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2015-09-05 12:14:09-03","MNHN","RECOLNAT_MNHN_P","P06783351","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Gaudichaud",NA,"1831","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783351' target='other'> <mi>dwc_moreinfo</mi></a>","P06783351","P06783351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"851",NA
"49","2015-09-05 12:14:09-03","MNHN","RECOLNAT_MNHN_P","P06783353","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Nadeaud",NA,"1862","1","1",NA,"Brasil",NA,NA,"Brésil.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783353' target='other'> <mi>dwc_moreinfo</mi></a>","P06783353","P06783353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2015-09-05 12:14:09-03","MNHN","RECOLNAT_MNHN_P","P06783354","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Glaziou",NA,"1891","8","1",NA,"Brasil","Rio de Janeiro",NA,"Restinga de Macahé",NA,NA,"hb","Donné par Mme Simard sa file, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783354' target='other'> <mi>dwc_moreinfo</mi></a>","P06783354","P06783354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18185",NA
"51","2015-09-05 12:14:09-03","MNHN","RECOLNAT_MNHN_P","P06783348","PreservedSpecimen",NA,NA,NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"Glaziou, A.",NA,"1875","9","13",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil (Rio Jan.) Près de La Penha, baie de Rio.","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06783348' target='other'> <mi>dwc_moreinfo</mi></a>","P06783348","P06783348_01",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,"8314",NA
