"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","maximumDepthInMeters","fieldNumber","sex"
"1180","2020-12-02 09:07:39-03","UNITINS","HUTO","2225","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth.","Santos, E.R.","2009","06","08","Brasil","Tocantins","Palmeirante","-47.945833","-7.860278","-47.945833","-7.860278","161","161","HUTO002225","HUTO002225",NA,NA,NA,NA,"1949","Ponto 643. Lagoa do Raimundo","Flutuante fixa. Flor com cor rosa na base da corola internamente e ápice lilás; Lagoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181","2020-12-02 09:07:39-03","UNITINS","HUTO","1984","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth.","Santos, E.R.","2009","03","16","Brasil","Tocantins","Palmeirante","-47.946389","-7.860833","-47.946389","-7.860833","161","161","HUTO001984",NA,NA,NA,NA,NA,"1894","Chácara do Sr. Raimundo","Herbácea com cerca de 1,50 m de altura. Enraizada com folhas flutuantes, flores roxas; Lagoa permanente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","2019-10-07 09:20:19-03","UEFS","HUEFS","236633","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Almeida, R.","1986","08","11","Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"HUEFS0236633","HUEFS0236633",NA,NA,NA,NA,"821",NA,NA,"Angiospermae","Commelinales","295160",NA,"auto",NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1183","2019-10-07 09:20:19-03","UEFS","HUEFS","236624","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Suárez, Y.R.","1995","06","11","Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"HUEFS0236624","HUEFS0236624","Y.R.Suárez",NA,NA,NA,"6","Canal do Tamengo (Parque Marina Gatass).","Campo inundado.","Angiospermae","Commelinales","295160",NA,"auto",NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1184","2019-10-07 09:20:19-03","UEFS","HUEFS","197678","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Sena, M.P.","2013","09","06","Brasil","Bahia","Andaraí","-41.3314018249512","-12.8072004318237",NA,NA,NA,NA,"HUEFS0197678","HUEFS0197678","M.O.O.Pellegrini",NA,NA,NA,"1875","Marimbus do baiano em frente ao Porto de Pesca de Peba, pescador local.",NA,"Angiospermae","Commelinales","58558",NA,"auto",NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1185","2019-10-07 09:20:19-03","UEFS","HUEFS","105299","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Melo, E.","2005","10","31","Brasil","Alagoas","Penedo","-36.471389","-10.3225","36W28'17''","10S19'21''","20","20","HUEFS0105299","HUEFS0105299",NA,NA,NA,NA,"4184","Povoado de Capela. Várzea do Rio Murituba, afluente do São Francisco.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1186","2019-10-07 09:20:19-03","UEFS","HUEFS","115752","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Oliveira, I.","2006","11","18","Brasil","Bahia","Andaraí","-41.308611","-12.757222","41W18'31''","12S45'26''","355","355","HUEFS0115752","HUEFS0115752",NA,NA,NA,NA,"11","Marimbus. Rio Santo Antônio.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1187","2019-10-07 09:20:19-03","UEFS","HUEFS","132122","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Da Silva, C.J.","1980","09","13","Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"HUEFS0132122","HUEFS0132122",NA,NA,NA,NA,"174","Estação Ecológica do Taimã.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1188","2019-10-07 09:20:19-03","UEFS","HUEFS","167537","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","França, F.","2006","12","16","Brasil","Bahia","Andaraí","-41.313889","-12.764167","41W18'50''","12S45'51''","326","326","HUEFS0167537","HUEFS0167537 HUEFS0167537_01","D.J.L.Sousa","2012","11",NA,"5599","Marimbus","Área Alagada","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1189","2019-10-07 09:20:19-03","UEFS","HUEFS","172644","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Melo, E.","2011","04","08","Brasil","Bahia","Andaraí","-41.312778","-12.764722","41W18'46''","12S45'53''","329","329","HUEFS0172644",NA,NA,NA,NA,NA,"9450","Alagados Marimbus.","Vegetação aquática.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1190","2019-10-07 09:20:19-03","UEFS","HUEFS","198662","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Cotarelli, V.M.","2012","09","13","Brasil","Pernambuco","Cabrobó","-39.310278","-8.518611","39W18'37''","8S31'7''","315","315","HUEFS0198662","HUEFS0198662",NA,NA,NA,NA,"2184","Rio São Francisco, próximo a ponte que leva a Ilha de Assunção.","Caatinga.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1191","2019-10-07 09:20:19-03","UEFS","HUEFS","202738","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Lima, C.T.","2010","05","14","Brasil","Bahia","Andaraí","-41.330833","-12.806944","41W19'51''","12S48'25''",NA,NA,"HUEFS0202738","HUEFS0202738",NA,NA,NA,NA,"338","Chapada Diamantina, Pantanal de Marimbus.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1192","2019-10-07 09:20:19-03","UEFS","HUEFS","202784","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Lima, C.T.","2010","11","13","Brasil","Bahia","Andaraí","-41.309167","-12.763056","41W18'33''","12S45'47''",NA,NA,"HUEFS0202784",NA,NA,NA,NA,NA,"393","Pantanal de Marimbus.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1193","2019-10-07 09:20:19-03","UEFS","HUEFS","202973","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Lima, C.T.","2013","08","23","Brasil","Tocantins","Formoso do Araguaia","-49.537778","-11.8075","49W32'16''","11S48'27''",NA,NA,"HUEFS0202973","HUEFS0202973",NA,NA,NA,NA,"623","BR 242, sentido Ilha do Bananal.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1194","2019-10-07 09:20:19-03","UEFS","HUEFS","236608","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Cavalcante, J.","2005","10","21","Brasil","Mato Grosso do Sul","Corumbá","-57.627222","-18.989444","57W37'38''","18S59'22''","102","102","HUEFS0236608","HUEFS0236608",NA,NA,NA,NA,"3","Logradouro-margem esquerda do rio Paraguai, em frente ao CEUC.","Campo inundável.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1195","2019-10-07 09:20:19-03","UEFS","HUEFS","236609","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Rodrigues, V.V.","2005","01","10","Brasil","Mato Grosso do Sul","Corumbá","-57.627778","-18.993889","57W37'40''","18S59'38''","104","104","HUEFS0236609","HUEFS0236609",NA,NA,NA,NA,"5","Logradouro-margem esquerda do rio Paraguai, em frente a UFMS.","Campo alagável.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1196","2019-10-07 09:20:19-03","UEFS","HUEFS","236610","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Almeida, F.L.","2005","01","10","Brasil","Mato Grosso do Sul","Corumbá","-57.627778","-18.993889","57W37'40''","18S59'38''",NA,NA,"HUEFS0236610","HUEFS0236610","F.O.Ferreira",NA,NA,NA,"5","Logradouro-margem esquerda do rio Paraguai, em frente à UFMS.","Brejo.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1197","2019-10-07 09:20:19-03","UEFS","HUEFS","25783","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Giulietti, A.M.","1996","06","23","Brasil","Bahia","Xique-Xique","-42.772778","-10.787778","42W46'22''","10S47'16''","548","548","HUEFS0025783","HUEFS0025783",NA,NA,NA,NA,"PCD2986","Dunas do rio São Francisco.","Vegetação arbustivo-espinosa.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1198","2019-10-07 09:20:19-03","UEFS","HUEFS","240910","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Snak, C.","2014","05","30","Brasil","Pará","Alenquer","-54.784722","-1.917778","54W47'5''","1S55'4''","3","3","HUEFS0240910","HUEFS0240910 HUEFS0240910_01",NA,NA,NA,NA,"1215","Margem do Rio Amazonas, Propriedade do Sr. Daniel da fábrica de gelo Zero Grau.",NA,"Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1199","2020-01-31 09:53:52-03","UEFS","HUEFS","254176","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Lima, L.F.","2018","09","04","Brasil","Paraíba","São João do Rio do Peixe","-38.430833","-6.649444","38W25'51''","6S38'58''","329","329","HUEFS0254176",NA,NA,NA,NA,NA,"1262","Açude da comunidade de Santarém.","Savana Estépica; Argissolo VermelhoAmarelo Eutrófico.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"1200","2019-10-07 09:20:19-03","UEFS","HUEFS","30808","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","França, F.","1997","11","02","Brasil","Bahia","Jacobina","-40.556667","-11.1875","40W33'24''","11S11'15''","420","420","HUEFS0030808","HUEFS0030808",NA,NA,NA,NA,"2462","Estrada Jacobina - Miguel Calmon, Lagoa Antônio Sobrinho.","Beira da Lagoa.","Angiospermae","Commelinales",NA,NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
