"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","individualCount"
"21","2020-09-12 05:00:02-03","US","US","3431248","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N. Nakaj.",NA,"M. A. Farinaccio, A. Araujo & F. Gomes","358","1999","7","8","South America - Neotropics","Brazil","Minas Gerais",NA,"Sao Roque de Minas: Parque Nacional da Serra da Canastra. Estrada Sacramento-Sao Roque de Minas, tres matinhas",NA,NA,NA,NA,"US01209050","US01209050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"22","2020-09-02 16:21:35-03","Cenargen","CEN","23166","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","J. B. Bringel","Taciana Barbosa Cavalcanti","664","1990","08","15",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Parque Nacional da Chapada dos Veadeiros. Estrada para Colinas do Sul, à 34 km da entroncamento da GO - 118.","-47.5099983215332","-14.1324996948242","Exsicatas","Brácteas verdes.","CEN00023166","CEN00023166","2008","11",NA,NA,NA,NA,NA,"44724","auto",NA,NA,"4"
"23","2021-03-15 18:25:34-03","USP","SPF","119418","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Souza, VC","2002","1992","10","10",NA,"Brasil","Minas Gerais","Itutinga","Estrada entre lavras e São João del Rey, a 56 km de São João del Rey. Campo rupestre.","-44.6577987670898","-21.2980995178223",NA,"Erva; folhas brilhantes; invólucro acinzentado; flores do disco e do raio alvas. Entre rochas.","SPF00119418",NA,"2012","01",NA,NA,NA,NA,NA,"24458","auto",NA,NA,NA
"24","2019-11-13 11:16:32-03","USP","SPF","77987","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Souza, VC","2096","1992","10","12",NA,"Brasil","Minas Gerais","São João Del Rei",NA,"-44.2616996765137","-21.1355991363525",NA,NA,"SPF00077987",NA,"1999",NA,NA,NA,NA,NA,NA,"39093","auto","paratype",NA,NA
"25","2019-11-13 11:16:32-03","USP","SPF","137575","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Farinaccio, MA","358","1999","07","08",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,"SPF00137575",NA,"1999",NA,NA,NA,NA,NA,NA,"57119","auto","paratype",NA,NA
"26","2021-03-23 11:51:25-03","USP","SPF","138413","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Mello-Silva, R; Farinaccio, MA; Costa, FN","1710","1999","10","02",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para a cachoeira Casca d#?#Anta, 500 m da estrada principal do parque. Campo limpo.","-46.3657989501953","-20.2453002929688",NA,"Erva com sistema subterrâneo. Grande população. Brácteas involucrais verde-claro-acinzentadas com laivos castanhos. Pétalas creme, quase alvas. Anteras amarelas. Estilete alvo.","SPF00138413","SPF00138413","1999","12",NA,NA,NA,NA,NA,"57119","auto","holotype",NA,NA
"27","2019-11-13 11:16:32-03","USP","SPF","35582","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Rossi, L","CFCR5782","1984","11","02",NA,"Brasil","Minas Gerais","São Thomé das Letras","Morro do Gavião","-44.9852981567383","-21.7222003936768",NA,NA,"SPF00035582",NA,"1999",NA,NA,NA,NA,NA,NA,"16076","auto",NA,NA,NA
"28","2019-11-13 11:16:32-03","USP","SPF","35473","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N","Cordeiro, I","CFCR5673","1984","10","30",NA,"Brasil","Minas Gerais","São Thomé das Letras","Serra de São Thomé","-44.9852981567383","-21.7222003936768",NA,NA,"SPF00035473",NA,"1999",NA,NA,NA,NA,NA,NA,"16076","auto","paratype",NA,NA
"29","2019-10-07 09:11:58-03","UEFS","HUEFS","44438","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.",NA,"Mello-Silva, R.","1710","1999","10","02",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Estrada para a cachoeira Casca d'Anta, 500 m da estrada principal do parque.","-46.3657989501953","-20.2453002929688",NA,"Campo limpo.","HUEFS0044438",NA,NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,"Asteranae",NA
"30","2019-11-13 16:04:30-03","UNISANTA","HUSC","3373","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Richterago","campestris","Richterago campestris","Roque & J.N.Nakaj.","Roque, N.","Souza, V.C.; Sakuragui, C.M.","2096","1992","10","12",NA,"Brasil","Minas Gerais","Lavras","Estrada entre Lavras e São João Del Rey. A 56km de São João Del Rey","-44.999698638916","-21.2453002929688",NA,"Erva, invólucro cinéreo, flores do disco com base alva e ápice rosado, flores do raio alvas; Campo rupestre, entre rochas",NA,NA,"1999",NA,NA,NA,NA,NA,NA,"20044","auto",NA,NA,NA
