"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","phylum","continentOcean","imagecode","fieldNumber","preparationType","class","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber"
"11","2021-03-01 16:40:30-03","UNICAMP","UEC","150314","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Rizzini, CT",NA,NA,NA,"Rocha, RC; Sena, J","s.n.","2009","01","10","Brazil","Maranhão","Barra do Corda","Fazenda MERCK","-45.2433013916016","-5.50555992126465",NA,NA,"Árvore, ca. 3m.","UEC154611","116584","auto","Magnoliopsida",NA,"UEC154611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-21 19:38:38-03","UFC","EAC","1838","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC1838","1958","12","29","Brasil","Ceará",NA,"Sítio Barro-Serra da Meruoca",NA,NA,NA,NA,"Planta medicinal.","EAC0001838",NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-21 19:38:38-03","UFC","EAC","1935","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC1935","1959","12","28","Brasil","Ceará",NA,"Algodões, Serra da Meruoca",NA,NA,NA,NA,"Árvore pequena.","EAC0001935",NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-21 19:38:38-03","UFC","EAC","2900","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC2900","1976","09","06","Brasil","Ceará","Alcântaras","Algodões","-40.5456008911133","-3.58889007568359",NA,NA,"Arbusto.","EAC0002900","9146","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-21 19:38:38-03","UFC","EAC","3054","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC3054","1976","11","26","Brasil","Ceará","Alcântaras","Sítio Algodões(Norte)","-40.5456008911133","-3.58889007568359",NA,NA,"Arbusto.","EAC0003054","9146","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-21 19:38:38-03","UFC","EAC","3052","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC3052","1976","11","26","Brasil","Ceará","Alcântaras","Sítio Algodões(Norte)","-40.5456008911133","-3.58889007568359",NA,NA,"Subarbusto.","EAC0003052","9146","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-21 19:38:38-03","UFC","EAC","15089","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","09","08","Fernandes, A.; Matos, F.J.A.","EAC15089","1987","08","20","Brasil","Ceará","Tianguá","Acarapi, Chapada da Ibiapaba","-40.99169921875","-3.7322199344635",NA,NA,"Arbusto.; Carrasco","EAC0015089","36695","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-21 19:38:38-03","UFC","EAC","21256","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Andrade Neto, M.","1994",NA,NA,"Andrade Neto, M.","s.n.","1994","06","19","Brasil","Ceará","Viçosa do Ceará","Vambira","-41.0922012329102","-3.56222009658813",NA,NA,"Arbusto.","EAC0021256","34051","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-21 19:38:38-03","UFC","EAC","2898","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.","1987","06","10","Fernandes, A.","EAC2898","1976","09","07","Brasil","Ceará","Alcântaras","Algodões","-40.5456008911133","-3.58889007568359",NA,NA,"Arbusto.","EAC0002898","9146","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:38:38-03","UFC","EAC","21264","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Andrade, M.","1994","04",NA,"Andrade, M.","s.n.","1994","04","02","Brasil","Ceará","Viçosa do Ceará","Cocalzinho, Chapada da Ibiapaba","-41.0922012329102","-3.56222009658813",NA,NA,NA,"EAC0021264","34051","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-21 19:38:38-03","UFC","EAC","21253","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Andrade Neto, M.","1994",NA,NA,"Andrade Neto, M.","s.n.","1994","06","20","Brasil","Ceará","Viçosa do Ceará","Macajetuba","-41.0922012329102","-3.56222009658813",NA,NA,NA,"EAC0021253","34051","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-21 19:38:38-03","UFC","EAC","2969","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Fernandes, A.; Bezerra, P.",NA,NA,NA,"Fernandes, A.; Matos, F.J.A.","EAC2969","1976","10","23","Brasil","Ceará","Viçosa do Ceará","Sítio Bananeiras","-41.0922012329102","-3.56222009658813",NA,NA,"Arbusto ereto.","EAC0002969","34051","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-05 07:06:28-03","MNHN","RECOLNAT_MNHN_P","P04888996","PreservedSpecimen",NA,"Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Emperaire, L.",NA,"1985","2","9","Brasil",NA,NA,"Riacho Largo.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04888996' target='other'> <mi>dwc_moreinfo</mi></a>","P04888996",NA,NA,NA,NA,"P04888996_01","3036","hb",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 19:44:52-03","MNHN","RECOLNAT_MNHN_P","P06678761","PreservedSpecimen",NA,"Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06678761' target='other'> <mi>dwc_moreinfo</mi></a>","P06678761",NA,NA,NA,NA,"P06678761_01",NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-05 07:06:28-03","MNHN","RECOLNAT_MNHN_P","P04888995","PreservedSpecimen",NA,"Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Emperaire, L.",NA,"1986","2","5","Brasil","Piauí","São Raimundo Nonato",NA,"-42.6994018554688","-9.01527976989746",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04888995' target='other'> <mi>dwc_moreinfo</mi></a>","P04888995","45407","auto",NA,NA,"P04888995_01","2795","hb",NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-05 07:06:28-03","MNHN","RECOLNAT_MNHN_P","P04888994","PreservedSpecimen",NA,"Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Emperaire, L.",NA,"1984","1","30","Brasil","Piauí","São Raimundo Nonato","Local Boqueirão Grande.","-42.6994018554688","-9.01527976989746",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04888994' target='other'> <mi>dwc_moreinfo</mi></a>","P04888994","45407","auto",NA,NA,"P04888994_01","2211","hb",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-08-01 18:19:44-03","UNESP-IBILCE","SJRP","01130","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"sem coletor",NA,NA,NA,NA,"Brasil","Maranhão","Tripo Guajajara","arredores",NA,NA,NA,NA,"Contém pilocarpina nas folhas. É reputada tóxica.;",NA,NA,NA,"Tracheophyta","América do Sul",NA,NA,NA,"Magnoliopsida","Sapindales",NA,NA,NA,NA,NA,NA
"28","2021-01-10 20:47:49-03","INPA","INPA","188980","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Albuquerque, BWP de","1984",NA,NA,"Fernandez, A","HPBs.n.","1973","10","30","Brasil","Ceará",NA,"Bom Jesus, Alcantara, Serra da Meruoca",NA,NA,NA,NA,NA,"INPA0188980",NA,NA,"Dicotyledon Com-Clade","Southern America",NA,NA,NA,NA,"Sapindales",NA,NA,NA,NA,NA,NA
"29","2021-01-10 20:47:49-03","INPA","INPA","188981","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Albuquerque, BWP de","1984",NA,NA,"Fernandez, A","HPBs.n.","1973","10","30","Brasil","Ceará",NA,"Bom Jesus, Alcantara, Serra da Meruoca",NA,NA,NA,NA,NA,"INPA0188981",NA,NA,"Dicotyledon Com-Clade","Southern America","INPA0188981 INPA0188981_e",NA,NA,NA,"Sapindales",NA,NA,NA,NA,NA,NA
"30","2021-01-10 20:47:49-03","INPA","INPA","188983","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Albuquerque, BWP de","1984","07",NA,"Fernandez, A","HPBs.n.","1984","02","08","Brasil","Ceará",NA,"Algodão, Serra da Maruoca",NA,NA,NA,NA,NA,"INPA0188983",NA,NA,"Dicotyledon Com-Clade","Southern America",NA,NA,NA,NA,"Sapindales",NA,NA,NA,NA,NA,NA
"31","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","7631",NA,"Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","L. A. Skorupa/VI-1996",NA,NA,NA,"Araujo",NA,"1974","11","24","Brasil","Ceará",NA,"Nativa de Viçosa. Brejo-Grande.",NA,NA,NA,NA,"Caule, folhas, flores e fruto. Coletado na parte da tarde 850 metros, na encosta.","MBML007631",NA,NA,NA,NA,"MBML007631",NA,NA,NA,NA,"HOLOTIPO",NA,NA,NA,NA,NA
"32","2021-02-04 10:30:07-03","UFRPE","HST","9063","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","J.R.Lemos","1999","02",NA,"J.R.Lemos","67","1999","02","03","Brasil","Piauí","São Raimundo Nonato","Zabelê, PARNA Serra da Capivara","-42.6994018554688","-9.01527976989746",NA,NA,"Árvore de aprox. 2,0 a 4,5 m alt.; inflorescência avermelhada.","HST009063","45407","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-08-02 10:21:49-03","CPATSA","HTSA","1731","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Lima, J.L.S.","1998","08","18","Lima, J.L.S.","501","1998","08","18","Brasil","Piauí","São Raimundo do Nonato","Parque Nacional da Serra da Capivara.",NA,NA,NA,NA,"Arbusto de mais ou menos 2,5 m de altura, caule cilíndrico, pubescente. Folhas alternas pecioladas, compostas de 3-4 julgos de folíolos linear-oblongos, verde-claros, coriáceos, lisos na face superior e pubescentes na inferior. Flores cinzento-amare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-02 16:39:17-03","Cenargen","CEN","102497","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Rosa de Belem das Neves Alves","150","2015","05","21","Brasil","DF","BRASILIA","Coleção de germoplasma de plantas medicinais e aromáticas do Cenargen. Material original enviado pelo pesquisador Osmar Lameira da Embrapa Amazõnia Oriental, do banco de germoplasma de Jaborandi.","-47.902222","-15.728611","-47.902222","-15.728611",NA,"CEN00102497",NA,NA,NA,NA,"CEN00102497",NA,"Exsicatas",NA,NA,NA,"1036","1036","2",NA,NA
"35","2020-09-02 16:39:17-03","Cenargen","CEN","58034","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Michael Jeffrey Balick","3727","1993","11","24","Brasil","MA","BARRA DO CORDA","Fazenda Chapada, 3 Km from city of Barra do Corda, on road to Pres. Dutra.","-45.333333","-5.6666666","-45.333333","-5.6666666","Inflorescence red; cultivated. Doação The New York Botanical Garden - Institute of Economic Botany.","CEN00058034",NA,NA,NA,NA,"CEN00058034",NA,"Exsicatas",NA,NA,NA,NA,NA,"1",NA,NA
"36","2021-03-15 18:29:51-03","USP","SPF","174612","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Pirani, JR","2004","07",NA,"Harley, RM","54358","2001","04","29","Brasil","Bahia","Campo Alegre de Lourdes","27 km da cidade de Campo Alegre, na estrada para Pitomba. Mata decídua.","-43.223333","-9.494444","-43.223333","-9.494444","Arbusto até 2 m alt. Folhas coriáceas verdes, verde-amarelada na face inferior. Inflorescência terminal. Fruto seco.","SPF00174612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 18:29:51-03","USP","SPF","190787","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Dias, P","2005","12","07","Dias, P","252","2005","12","07","Brasil","Ceará","Viçosa do Ceará","Estrada para Santa Teresa, 1.29 km de Viçosa do Ceará. Sítio do Sr. Francisco (Chiqinho, amigo do ser. Hilo Magalhães). Solo com afloramentos rochosos. Brejo de altitude, bastante degradado, com bananal.","-41.101167","-3.550167","-41.101167","-3.550167","Arbusto, ca. de 2.5 m de alt. Folíolos coriáceos, glândulas bem evidentes na face abaxial, pecuolulos (e conexões com a raque) vináceos, margem cartilaginosa, odoríferos. Frutos maduros, glândulas bem evidentes, base dos carpelos vin","SPF00190787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"746","746",NA,NA,NA
"38","2021-03-15 18:29:51-03","USP","SPF","190788","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Dias, P","2005","12","07","Dias, P","253","2005","12","07","Brasil","Ceará","Viçosa do Ceará","Estrada para Santa Teresa, 1.29 km de Viçosa do Ceará. Sítio do Sr. Francisco (Chiqinho, amigo do ser. Hilo Magalhães). Solo com afloramentos rochosos. Brejo de altitude, bastante degradado, com bananal.","-41.101167","-3.550167","-41.101167","-3.550167","Arbusto, ca. de 2.5 m de alt. Folíolos coriáceos, glândulas bem evidentes na face abaxial, pecuolulos (e conexões com a raque) vináceos, margem cartilaginosa, odoríferos. Frutos maduros, glândulas bem evidentes, base dos carpelos vin","SPF00190788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"746","746",NA,NA,NA
"39","2021-03-15 18:29:51-03","USP","SPF","190789","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Dias, P","2005","12","07","Dias, P","254","2005","12","07","Brasil","Ceará","Viçosa do Ceará","Estrada para Santa Teresa, 1.29 km de Viçosa do Ceará. Sítio do Sr. Francisco (Chiqinho, amigo do ser. Hilo Magalhães). Solo com afloramentos rochosos. Brejo de altitude, bastante degradado, com bananal.","-41.101167","-3.550167","-41.101167","-3.550167","Arbusto, ca. de 2.5 m alt. Folíolos coriáceas, glândulas vem evidentes na face abaxial, peciólulos (e conexões com a raque) vináceos, margem cartilaginosa, odoríferos. Frutos maduros, glândulas bem evidentes, base dos carpelos vináce","SPF00190789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"746","746",NA,NA,NA
"40","2019-10-07 09:36:58-03","UEFS","HUEFS","176764","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes",NA,NA,NA,NA,"Lima, D.P.","13275","1974","06","13","Brasil","Bahia","Barra","Fazenda Boca da Picada.","-43.1417007446289","-11.0894002914429",NA,NA,NA,"HUEFS0176764","116121","auto","Angiospermae",NA,"HUEFS0176764",NA,NA,"Rosanae","Sapindales",NA,NA,NA,NA,NA,NA
"41","2019-09-04 19:26:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi",NA,NA,NA,NA,NA,"Holmes",NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Spermatophyta","South America",NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA,NA,NA,NA
"42","2020-07-23 12:21:39-03","CEPLAC","CEPEC","78660","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi",NA,"C. T. Rizzini",NA,NA,NA,"Araujo",NA,"1974","11","24","Brasil","Ceará","brejo grande","Nativa de Viçosa- Ceará.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isótipo",NA,NA,NA,"30/12/1976",NA
"43","2015-02-26 09:30:28-03","NHMLondon","NHM-LONDON-BOT","BM000798339","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Roelof Cornelis Kaastra; b.1942; Kaastra","1976","01","01","Anon.","S.N.",NA,NA,NA,"Brasil","Pernambuco",NA,NA,"-38.194244","-8.376025","-38.194244","-8.376025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,NA,"NHMUK:ecatalogue:4991007"
"44","2015-02-26 09:30:28-03","NHMLondon","NHM-LONDON-BOT","BM000798340","S","Plantae","Rutaceae","Pilocarpus","jaborandi","Pilocarpus jaborandi","Holmes","Roelof Cornelis Kaastra; b.1942; Kaastra","1976","01","01","Edward Morell Holmes; b.1843; d.1930; Holmes","s.n.",NA,NA,NA,"Brasil","Pernambuco",NA,NA,"-38.194244","-8.376025","-38.194244","-8.376025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,NA,"NHMUK:ecatalogue:4991008"
