"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","typeStatus"
"11","2020-10-01 14:21:19-03","JBB","HEPH","11447","S","Plantae","Dicotyledon","Gentianales","Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Delprete, PG","Felfili, JM","264","1994","09","12","Southern America","Brasil","Distrito Federal","Brasília","FAL Fazenda Água Limpa, mata do Gama","-47.916667","-15.933333",NA,"Flora do Brasil. Projeto de Biogeografia do Bioma Cerrado. UnB",NA,NA,NA,NA,"-47.916667","-15.933333","2012",NA,NA,NA,NA,NA,NA,NA
"12","2017-06-26 15:41:00-03","MO","MOBOT","100983781","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg.","C.P. Bruniera","C.P. Bruniera|W.S. da Silva","Bruniera 726","2012","3","30","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá. Rebio do Tinguá. Trilha da Catanuda, subindo pela Represa da Serra Velha.","-43.4166667","-22.5833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"13","2017-06-26 15:52:00-03","MO","MOBOT","100983795","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg.","C.P. Bruniera","C.P. Bruniera|W.S. da Silva","Bruniera 751","2012","3","31","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá. Rebio do Tinguá. Trilha do Macuco.","-43.4166667","-22.5833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","2011-03-22 12:00:00-03","MO","MOBOT","3235268","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg.","C. M. Taylor","Ludwig Riedel","Riedel s.n.","1821",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-04 11:06:22-03","UFRB","HURB","20919","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","aff erythrocarpa","Rudgea aff erythrocarpa","Müll.Arg.","C.P.Bruniera","Moreira, D.M.; Almeida, M.R.A.; Brandão, C.S.S.; Alves, T.N.","166","2017","04","26",NA,"Brasil","Bahia","São Felipe","Serra da Copioba;","-39.0894012451172","-12.8472003936768",NA,NA,"HURB000020919",NA,NA,NA,NA,NA,"2020","02",NA,"15122","auto",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","249171","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll. Arg.",NA,"L. Riedel","347","1823","10",NA,"South America - Neotropics","Brazil",NA,NA,"In sylv. Mand. [Maud?]",NA,NA,NA,"Isolectotype and isosyntype.","US00406259","US00406259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae","Isolectotype"
"17","2019-09-04 18:18:33-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,"L. Riedel","147","1823","10",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isosyntype"
"18","2019-01-23 10:06:17-02","F","FMNH-SEEDPLANTS","V0070970F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,"L. Riedel","147","1823","10",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070970F","V0070970F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isosyntype"
"19","2019-01-23 10:06:18-02","F","FMNH-SEEDPLANTS","V0070971F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,"L. Riedel","147","1823","10",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070971F","V0070971F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isosyntype"
"20","2015-04-09 13:27:23-03","F","FMNH-SEEDPLANTS","V0293569F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0293569F","V0293569F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"21","2015-04-09 13:27:24-03","F","FMNH-SEEDPLANTS","V0293570F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0293570F","V0293570F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"22","2015-04-09 13:27:25-03","F","FMNH-SEEDPLANTS","V0293571F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0293571F","V0293571F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"23","2019-11-01 15:09:47-03","UnB","UB","110181","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Delprete, PG","Irwin, HS; Fonsêca, SF; Souza, R; Santos, RR; Ramos, R","26546","1970","02","23","Southern America","Brasil","Distrito Federal","Brasília","Ca. 10km E of Lago Paranoá, near DF-6","-47.9296989440918","-15.7797002792358",NA,"Tree 3m x 5cm. Fruto green.; Gallery forest.",NA,NA,"1000","1000",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA
"24","2019-11-01 15:09:47-03","UnB","UB","110180","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Delprete, PG","Irwin, HS; Grear Junior, JW; Souza, R; Santos, RR","15614","1966","05","04","Southern America","Brasil","Distrito Federal","Brasília","Chapada da Contagem, ca. 15km N.E. of Brasília","-47.9296989440918","-15.7797002792358",NA,"Tree 4m x 10cm. Fruto dark green.; Gallery forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA
"25","2019-11-01 15:09:47-03","UnB","UB","143515","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Delprete, PG","Felfili, JM; Rezende, AV; Rodrigues, N","264","1994","09","21","Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa","-47.9296989440918","-15.7797002792358",NA,"Arbustiva.; Cerrado",NA,NA,NA,NA,NA,NA,"2012","02",NA,"70570","auto",NA,NA,NA
"26","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.",NA,"Riedel, L","347",NA,NA,NA,"Southern America","Brazil",NA,NA,"in silvis prope Mandioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.",NA,"Riedel, L","346",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Porto Estrella",NA,NA,NA,"In umbrosis humidiusculis fruticetis prope Porto Estrella.; HABITAT: In umbrosis humidiusculis fruticetis prope Porto Estrella.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.",NA,"Riedel, L","346",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro in umbrosis humidiusculis fruticetis prope Porto Estrella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:13:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.",NA,"Riedel, L","347",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Mandioca",NA,NA,NA,"In silvis prope Mandioca.; HABITAT: In silvis prope Mandioca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:18:35-03","IBt","SP","497432","S","Plantae",NA,NA,"Rubiaceae","Rudgea","erythrocarpa","Rudgea erythrocarpa","Müll.Arg.","Bruniera, CP","Bruniera, CP; Silva, W","727","2012","03","30",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá. Trilha daCatanuda, subindo pela Represa da Serra Velha","-43.416667","-22.583333",NA,NA,NA,NA,NA,NA,"-43.416667","-22.583333","2012","03","30",NA,NA,NA,NA,NA
