"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus","eventTime","previousCatalogNumber","sex"
"11","2014-10-14 15:56:21-03","BS","M","M-0172527","S","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff",NA,"Dusén, P.K.K.",NA,"1909","03","21",NA,"Brasil",NA,NA,"Paraná: Ypiranga",NA,NA,NA,NA,NA,NA,"M0172527",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TYPE","21:00",NA,NA
"12","2020-12-21 16:12:13-03","MBM","MBM","9714","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Constance, L.","Hatschbach, G.","20700","1969","01","09","Southern America","Brazil","Paraná","Morretes","Estrada da Graciosa, Grota Funda","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM009714","MBM009714",NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:12:13-03","MBM","MBM","35920","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Constance, L.","Hatschbach, G.","10998","1964","02","23","Southern America","Brazil","Paraná","Quatro Barras","Monte Alegre","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"MBM035920","MBM035920",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:12:13-03","MBM","MBM","35919","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Constance, L.","Hatschbach, G.","5383","1958","12","25","Southern America","Brazil","Paraná","Campina Grande do Sul","Alto da Serra","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM035919","MBM035919",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:12:13-03","MBM","MBM","252067","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff",NA,"Dusén, P.","14419","1914","01","15","Southern America","Brazil","Paraná","Morretes","Ipiranga","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM252067",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:12:13-03","MBM","MBM","122663","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Hatschbach, G.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","370","1986","12","04","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM122663","MBM122663",NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:12:13-03","MBM","MBM","22614","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Hatschbach, G.","Hatschbach, G.","28631","1972","01","11","Southern America","Brazil","Paraná","Quatro Barras","Rio do Corvo","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"MBM022614","MBM022614",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:12:13-03","MBM","MBM","99835","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Irgang, B.","Sobral, M.","2974","1984","04",NA,"Southern America","Brazil","Rio Grande do Sul","São Francisco de Paula","Josafá","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"MBM099835","MBM099835",NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:12:13-03","MBM","MBM","35952","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & Wolff","Rambo, B.","Rambo, B.","52122","1952","02","07","Southern America","Brazil","Rio Grande do Sul","São Francisco de Paula","Morrinhos p/ São Francisco","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"MBM035952","MBM035952 MBM035952_2",NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-11 17:17:50-03","UFPR","UPCB","7784","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusen & H.Wolff","Constance, L.","Hatschbach, G.","20700","1969","01","09",NA,"Brasil","Paraná","Morretes","Estrada da Graciosa - Grota Funda","-48.834400177002","-25.476900100708",NA,NA,NA,"Flor alva. Locais brejosos no interior da mata, encosta de morro. Alt. 700m..","UPCB0034686","UPCB0034686",NA,"1969","30514","auto","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","1473865","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff",NA,"P. K. Dusén","3611","1904","2","3","South America","Brazil","Paraná",NA,"Ypiranga, in fruticetis umbrosis humidis.",NA,NA,NA,NA,NA,NA,"US03076759","US03076759_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1280765","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff",NA,"P. K. Dusén","8313","1909","3","22","South America","Brazil","Paraná",NA,"Ypiranga, in graminosis ad rivulum.",NA,NA,NA,NA,NA,NA,"US03076760","US03076760_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","1473864","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff",NA,"P. K. Dusén","14419","1914","1","16","South America","Brazil","Paraná",NA,"Serra do Mar, Ypiranga.",NA,NA,"830",NA,NA,NA,"US03076758","US03076758_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1257099","PreservedSpecimen","Plantae",NA,"Apiales","Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff",NA,"O. Buchtien","1657","1907","12",NA,"South America - Neotropics","Bolivia",NA,NA,"Región tropicalm San Antonio b. Mapiri.",NA,NA,"570",NA,NA,NA,"US03076761",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"25","2016-08-23 10:58:43-03","NHMLondon","NHM-LONDON-BOT","BM000553879","S","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusen & Wolff","Arno Wörz","Per Karl Hjalmar Dusén; b.1855; d.1926; Dusén","3611","1904","02","03",NA,"Brasil","Paraná",NA,NA,"-51.351336","-24.611486",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/b5fd80b3682e9a268236280c162008a358414390/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1998",NA,NA,"05","27","-51.351336","-24.611486",NA,NA,NA,NA,"Isotype",NA,"NHMUK:ecatalogue:4978304",NA
"26","2021-02-23 13:21:48-03","MN","R-TIPOS","92537","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wollf","Mathias, M.E. & Constance, L.","Dusén, P.K.H.","3611","1904","02","03",NA,"Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,"R000092537","R000092537_001",NA,NA,"31827","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntypus",NA,NA,NA
"27","2021-02-08 12:31:55-03","UFRGS","ICN","151071","S","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","Matzenbacher, NI; Irgang, BE","Irgang, BE; Matzenbacher, NI","2326","2000","02","25","América do Sul","Brasil","RS","São Francisco de Paula","Centro de Pesquisas e Conservação da Natureza/Pró-Mata","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Numa clareira da mata com Araucaria, à beira de um córrego; solo humoso.",NA,NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 12:31:55-03","UFRGS","ICN","118063","S","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","N; Matzenbacher, BE Irgang","N. I. Matzenbacher, BE Irgang; et al.","2324","2000","02","25","América do Sul","Brasil","RS","São Francisco de Paula","Centro de Pesquisas e Conservação da Natureza Pró-Mata PUCRS","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Em clareira de mata com araucária, a beira de córrego, em solo humoso.",NA,NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:31:55-03","UFRGS","ICN","050405","S","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff",NA,"Sobral, M","234","1980","02","18","América do Sul","Brasil","RS","Torres","Josafá São Francisco de Paula","-49.7268981933594","-29.3353004455566",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva. Espécie afim a Eryngium ombrophylum; é possível que se trate de uma espécie não descrita.; Em beira de arroio.",NA,NA,NA,NA,"20837","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 12:31:55-03","UFRGS","ICN","065209","S","Plantae","Dicotyledon",NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H.Wolff","Irgang, BE; Sobral, M","Sobral, M","2974","1984","04",NA,"América do Sul","Brasil","RS","Torres","Josafá divisa São Francisco de Paula","-49.7268981933594","-29.3353004455566",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva; inflorescências verde-claras.; Em beira de curso d'água em interior de mata.",NA,NA,NA,NA,"20837","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-04 16:06:10-03","MCN-FZBRS","HAS","44213","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. ollf","Diober Lucas","Schmidt, R.","848","2005","01",NA,NA,"Brasil","Rio Grande do Sul","Maquiné","Reserva Biológica da Serra Geral, em mangueira de pedra e trilhas","-50.2071990966797","-29.6749992370605",NA,NA,NA,"Projeto Mata Atlântica (Kf)","HAS0044213",NA,NA,"2015","28094","auto","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2010-08-16 16:36:05-03","GH","HU-HERB","GH 00076391","PreservedSpecimen","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff",NA,"P. K. H. Dusén","3611","1904",NA,NA,"South America","Brazil","Paraná",NA,"Ypiranga, infruticetis umbrosis humidis",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3611",NA,NA,"Isotype",NA,NA,"undetermined"
"33","2014-09-23 10:56:40-03","G","G","G00367641","S","Plantae",NA,NA,"Apiaceae","Eryngium","ombrophilum","Eryngium ombrophilum","Dusén & H. Wolff","?","Dusén, P. K. H.","3611","1904","02","03","AMERIQUE DU SUD","Brazil","Paraná","Ipiranga",NA,"-50.57916667","-25.02361111",NA,NA,NA,"Coordinate uncertainty: Precision undefined Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=267758&base=img&lang=en","G00367641","G00367641",NA,NA,NA,NA,NA,NA,"-50.57916667","-25.02361111",NA,NA,NA,NA,"SYNTYPUS of Eryngium ombrophilum Dusén & H. Wolff",NA,NA,NA
