"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"11","2019-10-09 11:28:36-03","UFBA","ALCB","010657","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Queiroz, LP de","779","1983","12","09","Southern America","Brasil",NA,NA,"terrestre, entre arbustos pequenos e esgalhados, desfolhada na floração. Pseudobulbos amarelados. Pedúnculo verde. Flores com sépalas, pétalas e brácteas esverdeadas irregularmente pintalgadas de vinho, nas sépalas mais intensamente e","ALCB008338","Monocotyledon",NA,"Lindl.","Queiroz, LP de","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapuã","-38.5","-12.966667",NA,NA,"ALCB008338","1984","02","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1457429","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Henkel TW; James R",NA,"1994","02","12","Southern America","Guyana",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457429",NA,"Asparagales","Lindl.","Christenson EA","Upper Takutu-Upper Essequibo",NA,NA,"-59.3","2.5",NA,NA,"NL-U1457429",NA,NA,"-59.3","2.5","Magnoliopsidae","U 0225333",NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:49-03","MN","R","111435","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Andrade, A.G.; Emmerich, M. 1063","1102","1961","09","07",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Lindl.","Sánchez, M.I.","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-27 13:51:18-03","UFS","ASE","30705","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Carregosa, T; Santos, E; Lima, BCS","461","2013","09","09","Southern America","Brasil",NA,NA,"Terrestre. Frutos imaturos verdes.","ASE0002116","Magnoliophyta",NA,"Lindl.","Carregosa, T","Sergipe","Pirambu","Povoado Sambaiba","-36.85275","-10.654306",NA,NA,NA,"2013","10","-36.85275","-10.654306",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-27 13:51:18-03","UFS","ASE","11244","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Nascimento - Júnior, JE; Matos, ECA; Amaral, L; Costa, SM","236","2008","02","03","Southern America","Brasil",NA,NA,"Flores amarelas com manchas vináceas.; Flores amarelas com manchas vináceas.; Campo em encosta e topo de serra.","ASE0011940","Magnoliophyta",NA,"Lindl.","Carregosa, T","Sergipe","Areia Branca","Parque Nacional da Serra de Itabaiana, Serra Comprida","-37.1854","-10.4529",NA,NA,"ASE0011940","2012","07","-37.1854","-10.4529",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-27 13:51:18-03","UFS","ASE","22582","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Carregosa, T; Nascimento - Júnior, JE; Melo, DS; Santos, LAS","206","2010","12","23","Southern America","Brasil",NA,NA,"Erva terrestre. Flores amarelas e maculadas de castanho.; Erva terrestre. Flores amarelas e maculadas de castanho.","ASE0011976","Magnoliophyta",NA,"Lindl.","Carregosa, T","Sergipe","São Domingos","Serra da Miaba, Topo da Serra.","-37.1223","-10.473",NA,NA,"ASE0011976","2012","02","-37.1223","-10.473",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-20 10:00:41-03","UNICAMP","UEC","34942","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Sazima, M","13334","1971","07","14",NA,"Brazil",NA,NA,"Crescendo em solo pedregoso; flores vermelho-escuras com manchas amarelas.","UEC064336","Liliopsida",NA,"Lindl.","Batista, JAN","Minas Gerais","Jaboticatubas","A Conceição do Mato dentro.","-43.7449989318848","-19.513599395752",NA,NA,"UEC064336","2000","09",NA,NA,NA,NA,"08","31264","auto",NA,NA,NA
"18","2019-08-20 10:00:41-03","UNICAMP","UEC","35311","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Sazima, M","13344","1971","07","16",NA,"Brazil",NA,NA,"Flor vermelho-escuro com labelo amarelo.","UEC064338","Liliopsida",NA,"Lindl.","Bianchetti, LB; Patzernheim, M","Minas Gerais","Jaboticatubas","A Conceição do Mato dentro.","-43.7449989318848","-19.513599395752",NA,NA,"UEC064338","1999","02",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA
"19","2019-08-20 10:00:41-03","UNICAMP","UEC","34826","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Sazima, M","13342","1971","07","15",NA,"Brazil",NA,NA,NA,"UEC064335","Liliopsida",NA,"Lindl.","Bianchetti, LB; Patzernheim, M","Minas Gerais","Jaboticatubas","A Conceição do Mato Dentro.","-43.7449989318848","-19.513599395752",NA,NA,"UEC064335","1999","02",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA
"20","2021-03-01 16:20:10-03","UNICAMP","UEC","160553","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Romero, R; Nakajima, JN; Simão, DG","1121","1994","08","20",NA,"Brazil",NA,NA,"Terrestre, ca. 0,6 m. Bráctea amarelada. Cálice e corola amarelados, rajados de vinho. Labelo amarelado, bordas rajadas de vinho. Coluna esverdeada.","UEC017223","Liliopsida",NA,"Lindl.","Ribeiro","Minas Gerais","São Roque de Minas","PARNA Serra da Canastra, Campo rupestre, base do morro.","-46.3657989501953","-20.2453002929688",NA,NA,"UEC017223","1997","03",NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA
"21","2019-08-16 08:40:23-03","UTFPR","HCF","15619","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"E.D. Lozano","1737","2013","11","09",NA,"Brasil",NA,NA,"herbácea, 80 cm, flores amarelas, campo limpo. Restinga herbácea.",NA,NA,NA,"Lindl.","E.C. Smidt","PR","Pontal do Paraná","Balneário Santa Terezinha","-48.460556","-25.684444",NA,NA,NA,"2013",NA,"48°27'38 W","25°41'04 S",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:23-03","MBM","MBM","22875","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","falcilobum","Cyrtopodium falcilobum",NA,"Hatschbach, G.","29989","1972","08","06","Southern America","Brazil",NA,NA,NA,"MBM022875",NA,NA,"Hoehne & Schlecth.","Pabst, G.","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"MBM022875",NA,NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA
"23","2020-12-21 16:38:23-03","MBM","MBM","32069","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","falcilobum","Cyrtopodium falcilobum",NA,"Hatschbach, G.","34754","1974","07","24","Southern America","Brazil",NA,NA,NA,"MBM032069",NA,NA,"Hoehne & Schlecth.","Pabst, G.","Goiás","Jataí","Rod. BR-364","-51.7144012451172","-17.8813991546631",NA,NA,"MBM032069",NA,NA,NA,NA,NA,NA,NA,"75073","auto",NA,NA,NA
"24","2020-12-21 16:38:23-03","MBM","MBM","16967","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","25484","1970","11","18","Southern America","Brazil",NA,NA,NA,"MBM016967",NA,NA,"Lindl.","Batista, J.A.N.","Paraná","Jaguariaíva","Sertão de Cima","-49.7057991027832","-24.2511005401611",NA,NA,"MBM016967",NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA
"25","2020-12-21 16:38:23-03","MBM","MBM","18935","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Hatschbach, G.","27314","1971","11","18","Southern America","Brazil",NA,NA,NA,"MBM018935",NA,NA,"Lindl.","Batista, J.A.N.","Minas Gerais","Gouveia","Serra do Espinhaço","-43.7407989501953","-18.4543991088867",NA,NA,"MBM018935",NA,NA,NA,NA,NA,NA,NA,"37970","auto",NA,NA,NA
"26","2020-12-21 16:38:23-03","MBM","MBM","156300","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Lanjouw, J.; Lindeman, J.C.; Lindeman, J.C.","688","1948","10","07",NA,"Suriname",NA,NA,NA,"MBM156300",NA,NA,"Lindl.","Royan, P. van",NA,NA,NA,NA,NA,NA,NA,"MBM156300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:38:23-03","MBM","MBM","387627","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","1737","2013","11","09","Southern America","Brazil",NA,NA,"Herbácea, 80 cm, flores amarelas, campo limpo.; Restinga herbácea","MBM387627",NA,NA,"Lindl.","Smidt, E.C.","Paraná","Pontal do Paraná","Balneário Santa Terezinha","-48.460556","-25.684556",NA,NA,"MBM387627","2013",NA,"-48.460556","-25.684556",NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-09-04 12:34:38-03","MNHN","RECOLNAT_MNHN_P","P00436935","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Feuillet, C.",NA,"1986","12","27",NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436935' target='other'> <mi>dwc_moreinfo</mi></a>","P00436935",NA,NA,"Lindl.","Batista",NA,NA,"Savane de Corossony - Piste de St.-Elie","-53","5.38333",NA,NA,"P00436935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4039",NA,NA
"29","2015-09-16 01:56:26-03","MNHN","RECOLNAT_MNHN_P","P00436936","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Sastre, C.|Moretti, C.",NA,"1975","5","10",NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436936' target='other'> <mi>dwc_moreinfo</mi></a>","P00436936",NA,NA,"Lindl.","Batista",NA,NA,"route Cayenne - Kourou, savane Bordelaise",NA,NA,NA,NA,"P00436936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4186",NA,NA
"30","2015-09-17 16:22:57-03","MNHN","RECOLNAT_MNHN_P","P00436938","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Benoist, R.",NA,"1914","10","12",NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436938' target='other'> <mi>dwc_moreinfo</mi></a>","P00436938",NA,NA,"Lindl.","Batista",NA,NA,"Savane Matiti",NA,NA,NA,NA,"P00436938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1647",NA,NA
"31","2015-09-03 19:29:23-03","MNHN","RECOLNAT_MNHN_P","P00436939","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Benoist, R.",NA,"1914","10","12",NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436939' target='other'> <mi>dwc_moreinfo</mi></a>","P00436939",NA,NA,"Lindl.","Batista",NA,NA,"Savane Matiti",NA,NA,NA,NA,"P00436939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1647",NA,NA
"32","2015-09-03 19:29:23-03","MNHN","RECOLNAT_MNHN_P","P00436940","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Kappler, A.",NA,"1846",NA,NA,NA,"Surinam","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436940' target='other'> <mi>dwc_moreinfo</mi></a>","P00436940",NA,NA,"Lindl.","Batista",NA,NA,"Surinam",NA,NA,NA,NA,"P00436940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1658",NA,NA
"33","2015-09-03 19:29:23-03","MNHN","RECOLNAT_MNHN_P","P00436941","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Kappler, A.",NA,"1846",NA,NA,NA,"Surinam","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436941' target='other'> <mi>dwc_moreinfo</mi></a>","P00436941",NA,NA,"Lindl.","Batista",NA,NA,"Surinam",NA,NA,NA,NA,"P00436941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1658",NA,NA
"34","2015-09-04 12:34:38-03","MNHN","RECOLNAT_MNHN_P","P00436942","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Kappler, A.",NA,"1846",NA,NA,NA,"Surinam","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436942' target='other'> <mi>dwc_moreinfo</mi></a>","P00436942",NA,NA,"Lindl.","Batista",NA,NA,"Surinam",NA,NA,NA,NA,"P00436942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1658",NA,NA
"35","2015-09-03 19:29:23-03","MNHN","RECOLNAT_MNHN_P","P00436943","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum","isotype","Schomburgk",NA,"1868",NA,NA,NA,"Guyana","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436943' target='other'> <mi>dwc_moreinfo</mi></a>","P00436943",NA,NA,"Lindl.","Sanchez",NA,NA,"Guyane anglaise",NA,NA,NA,NA,"P00436943_01 P00436943_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"617",NA,NA
"36","2015-09-03 19:54:03-03","MNHN","RECOLNAT_MNHN_P","P00436944","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436944' target='other'> <mi>dwc_moreinfo</mi></a>","P00436944",NA,NA,"Lindl.","Batista",NA,NA,"Prov. de Minas Geraes",NA,NA,NA,NA,"P00436944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 2410",NA,NA
"37","2015-09-04 12:34:25-03","MNHN","RECOLNAT_MNHN_P","P00436988","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Sastre, C.|Moretti",NA,"1975","5","10",NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436988' target='other'> <mi>dwc_moreinfo</mi></a>","P00436988",NA,NA,"Lindl.","Batista",NA,NA,"Guyane Française : savane de Kourou",NA,NA,NA,NA,"P00436988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4182",NA,NA
"38","2015-09-03 19:30:09-03","MNHN","RECOLNAT_MNHN_P","P00436989","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Herb. L. Claude et A. Richard",NA,NA,"10",NA,NA,"Guyane Française","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436989' target='other'> <mi>dwc_moreinfo</mi></a>","P00436989",NA,NA,"Lindl.","Batista",NA,NA,"in pratis apricis Matoury",NA,NA,NA,NA,"P00436989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-01-22 15:42:31-02","MNHN","RECOLNAT_MNHN_P","P02089498","PreservedSpecimen",NA,"Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"[Brésil]","hb",NA,"Donné par Mme Simard, sa fille, en 1907 ; Attaché avec P02089498 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02089498' target='other'> <mi>dwc_moreinfo</mi></a>","P02089498",NA,NA,"Lindl.","Sanchez",NA,NA,"s.l.",NA,NA,NA,NA,"P02089498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13224",NA,NA
"40","2020-10-01 14:25:53-03","JBB","HEPH","21072","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Jesus, FPR de; Carvalho, FJ de","3273","2004","11","13","Southern America","Brasil",NA,NA,"Cultivada no banco de germoplasma do Jardim Botânico de Brasília&nf;ORQ-2013",NA,"Monocotyledon","Asparagales","Lindl.","Bianchetti, LB","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.5505","-19.258889",NA,NA,NA,"2018","08","-43.5505","-19.258889",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-01 14:25:53-03","JBB","HEPH","20847","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Salles, AEH; et al.","3124A,B","2004","09","28","Southern America","Brasil",NA,NA,NA,NA,"Monocotyledon","Asparagales","Lindl.","Bianchetti, LB","Distrito Federal","Brazlândia","DF-240 beira da estrada",NA,NA,NA,NA,NA,"2006","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-01 14:25:53-03","JBB","HEPH","22575","S","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Salles, AEH; et al.","4097","2006","04","14","Southern America","Brasil",NA,NA,"Cultivada no banco de germoplasma do Jardim Botânico de Brasília&nf;ORQ-2806",NA,"Monocotyledon","Asparagales","Lindl.","Bianchetti, LB","Minas Gerais","Curvelo","BR- 259, entre Curvelo e Diamantina","-44.4308013916016","-18.7563991546631",NA,NA,NA,"2018","08",NA,NA,NA,NA,NA,"57661","auto",NA,NA,NA
"43","2020-12-11 11:44:26-03","UFMG","BHCB","179157","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2701","2015","10","07","Southern America","Brasil",NA,NA,"Erva terrestre; flores cremes com máculas roxas.; Campo Rupestre Quartzítico",NA,"Monocotyledon",NA,"Lindl.",NA,"Minas Gerais","Itabirito","RPPN Capivari II","-43.663056","-21.6425",NA,NA,NA,"2015","11","-43.663056","-21.6425",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:44:26-03","UFMG","BHCB","111758","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Mota, NFO; et al.","859","2007","08","31","Southern America","Brasil",NA,NA,"Erva terrestre perto da Vossoroca da subida do Pico 2 Irmãos. Pseudobulbos amarelos com folhas páleas; flores boninas-amarelas; brácteas verde-bonina; planta prensada e armazenada com álcool.",NA,"Monocotyledon",NA,"Lindl.",NA,"Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto; Chapada do Couto.","-43.325278","-18.211556","1556","1556",NA,NA,NA,"-43.325278","-18.211556",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:44:26-03","UFMG","BHCB","113849","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","parviflorum","Cyrtopodium parviflorum",NA,"Batista, JAN; Mota, RC da; El Bizri, HR","1779","2006","12","14","Southern America","Brasil",NA,NA,"Erva terrestre, em campo rupestre. Solo arenoso, raso, com pedaços e blocos de rocha sobre a superfície. Área não queimada. Pseudobulbos completamente expostos. Em crescimento vegetativo. Coordenadas entre 19º18#?#10.4#?#-19º19#?#05.3#?#S e 43º33#?#29.7#?#-43º32",NA,"Monocotyledon",NA,"Lindl.",NA,"Minas Gerais","Santana do Riacho","Serra do Cipó, altura do antigo km 112, caminho pa","-43.55825","-19.302889","1294","1335",NA,NA,NA,"-43.55825","-19.302889",NA,NA,NA,NA,NA,NA,NA,NA
