"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"11","2021-02-18 09:29:34-03","UNESP-IBB","BOTU","33295","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Gonzatti, F.; Valduga, F.","Valduga, E.","216","2011","12","16",NA,"Brasil","Rio Grande do Sul","Balneário Pinhal","Horto florestal",NA,NA,"BOTU033295",NA,NA,NA,NA,NA,NA,NA,"9999","9999","2018","04",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:29:34-03","UNESP-IBB","BOTU","25311","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Santos, L.B.","Santos, L.B.","1","2006","03","20",NA,"Brasil","São Paulo","Botucatu",NA,NA,"Flores amarelas e pequenas no ápice de ramos bem finos, Caule piloso. Erva.; Coleção: Jardim Botânico UNESP Botucatu","BOTU025311",NA,"-48.485","-22.88375",NA,NA,NA,NA,"48°29'6w","22°53'01,5s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-19 11:35:04-03","UFPI-MRV","HDELTA","585","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Gaspar, H.E.","Silva, A. G.","35","2011","02","17",NA,"Brasil","Piauí","Ilha Grande","Porto dos Tatus",NA,"Flor amarela; fruto","HDELTA000585",NA,"-41.831028","-2.831639",NA,NA,NA,NA,"41°49'51,70''W","02°49'53,90''S","2017","03","20",NA,NA,NA,NA,NA,NA,NA
"14","2021-02-19 11:35:04-03","UFPI-MRV","HDELTA","4910","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Araújo, G.S.; Reis R.B.","Araújo, G.S.; Araújo, A.J.; Marinho Filho, J.D.B.","s/n","2018","06","05",NA,"Brasil","Piauí","Parnaíba","Labino",NA,NA,"HDELTA004910",NA,"-41.784192","-2.873058",NA,NA,NA,NA,"41°47'03,09''W","2°52'23,01''S","2018","06","11",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-19 11:35:04-03","UFPI-MRV","HDELTA","862","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Lima, A.A.","56","2012","09","24",NA,"Brasil","Piauí","Parnaíba","Lagoa do Bebedouro",NA,"Flores amarelas, folhas compostas <ll>dwc_commonname:</ll> Angiquinho","HDELTA000862",NA,"-41.767111","-2.928611",NA,NA,NA,NA,"41°46'01,60''W","02°55'43,00''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-19 11:35:04-03","UFPI-MRV","HDELTA","4881","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Aguiar, D.S.","Aguiar, D.S.; Lemos, J.R.","36","2016","07","12",NA,"Brasil","Piauí","Parnaíba","Carpina",NA,NA,"HDELTA004881",NA,"-41.7766990661621","-2.90472006797791",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25571","auto",NA,NA,NA,NA,NA
"17","2020-10-22 10:34:22-03","EPAMIG","PAMG","54147","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"J.F. Macedo","3715","2000","03","01",NA,"Brasil","Minas Gerais","Abaeté",NA,NA,"Em cultura de milho. Unicata",NA,NA,"-45.447778","-19.159167","644","644",NA,NA,"45° 26' 52W","19° 9' 33S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-06 15:26:51-03","EPAMIG","PAMG","33657","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","A.F. Silva","M. Brandão","20342","1991","10","20",NA,"Brasil","Minas Gerais","Porteirinha","Serra Branca",NA,"Unicata",NA,NA,"-43.024722","-15.743889","850","850",NA,NA,"43° 1' 29 W","15° 44' 38S","2020","10","14",NA,NA,NA,NA,NA,NA,NA
"19","2020-10-22 10:34:22-03","EPAMIG","PAMG","58322","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","A.F. Silva","F.P.R. Gonçalves","137","2017","03","01",NA,"Brasil","Minas Gerais","Bambuí","Campus IFMG",NA,"Em pasto sujo. Erva de 80 cm de altura com flors roxas e frutos imaturos.",NA,NA,"-45.960833","-20.021389","661","661",NA,NA,"45° 57' 39W","20° 1' 17S","2017","10","26",NA,NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:14:59-03","UFBA","ALCB","10076","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd.",NA,"Ahumada, O; Schinini, A; Tressens, SG","3486","1980","03","02","Southern America","Argentina","Corrientes","Esquina","sobre Ruta 25",NA,"flores amarillas. En isleta de selva.","ALCB028637","ALCB028637","-29.8","-59.25",NA,NA,NA,NA,"-29.8","-59.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970391","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1977","12","21","Southern America","Argentina","Corrientes",NA,"Carambola",NA,"Wet ground.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970391 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970391","NL-L1970391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417101",NA,NA,NA
"22","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970392","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1979","02","08","Southern America","Argentina","Corrientes",NA,"Capillitas",NA,"Moist, sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970392 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970392","NL-L1970392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417102",NA,NA,NA
"23","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970393","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1977","02","18","Southern America","Argentina","Corrientes",NA,"Las Tres Marias",NA,"Wet ground along irrigation ditches.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970393","NL-L1970393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417103",NA,NA,NA
"24","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970394","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1969","12","17","Southern America","Paraguay","Misiones",NA,"Paraguay, Dep. Misiones, Santiago Estancia 'La Soleda' (Estero Tyecua).",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970394","NL-L1970394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417104",NA,NA,NA
"25","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970395","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Rudd VE","Fiebrig K",NA,"1908","12","03","Southern America","Paraguay",NA,NA,"N. Paraguay, Zwischen Rio Apa und Rio Aquidaban, Esterlla, am Apa.",NA,"Uferwaldrand, tonig, sumpf.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970395","NL-L1970395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417105",NA,NA,NA
"26","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970396","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Fiebrig K",NA,"1903","05","30","Southern America","Paraguay",NA,NA,"Cerro Aparepy Tobati",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970396 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970396","NL-L1970396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417106",NA,NA,NA
"27","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970397","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1980","01","30","Southern America","Argentina","Corrientes",NA,"R. Empedrado,Estancia El Plata",NA,"Wet or flooded ground by the R. Empedrado.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970397","NL-L1970397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417100",NA,NA,NA
"28","2020-02-08 09:11:19-03","NBC","NL-BOTANY","U.1253918","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Tressens SG; Cáceres S; Vanni RO; Zamudio C",NA,"1989","02","24","Southern America","Argentina",NA,NA,"Prov. Corrientes, Dep. Mercedes. Laguna Ibera. Pas Picada. Reserva Natural Provincial del Ibera.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1253918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1253918","NL-U1253918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"29","2020-02-08 09:11:19-03","NBC","NL-BOTANY","WAG.1000839","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pedersen TM",NA,"1977","02","18","Southern America","Argentina","Corrientes",NA,"Las Tres Marias",NA,"Wet ground along irrigation ditches.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1000839 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1000839","NL-WAG1000839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","WAG0385439",NA,NA,NA
"30","2020-11-04 11:08:11-03","ESALQ","ESA","131186","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36389.0","2013","04","19",NA,"Brasil","São Paulo","Pindamonhangaba","Fragmento 32 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",NA,"Erva","ESA131186",NA,"-22.8629","-45.3505","527","527",NA,NA,"-22.8629","-45.3505","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:08:11-03","ESALQ","ESA","57810","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Lima, L.C.P.","Paula-Souza, J.; Ferrucci, M.S.; Meza Torres, E.I.","8072.0","2007","01","31",NA,"Argentina","Corrientes","Capital","Perichón, 4km da ruta 12. Quebrachal degradado",NA,"Arbusto, flores amarelas, frutos imaturos verdes","ESA057810","ESA057810",NA,NA,"60","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:08:11-03","ESALQ","ESA","56856","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Lima, L.C.P.","Paula-Souza, J.; Ferrucci, M.S.; Meza Torres, E.I.","8198.0","2007","02","02",NA,"Argentina","Formosa","Formosa","Ruta 81, 8km NW da bifurcação para Clorinda na ruta 11. Campo alagado",NA,"Subarbusto, ca. 60cm alt. Flores amarelas","ESA056856","ESA056856",NA,NA,"65","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:08:11-03","ESALQ","ESA","107728","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Antunes, L.L.C.","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","6987.0","2007","01","11",NA,"Argentina","Corrientes","Bella Vista","Ruta 12 em direção a Mercedes, 200m antes da ponte do Rio Santa Luzia. Palmar com Butia, solo arenoso inundável",NA,"Arbusto, ca. 70cm alt. Flores alaranjadas","ESA107728","ESA107728",NA,NA,"70","70",NA,NA,NA,NA,"2017","03","16",NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:08:11-03","ESALQ","ESA","94217","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Lima, L.C.P.","Souza, V.C.; Sakuragui, C.M.; Eterovic, A.; Marques, O.A.V.","3020.0","1990","01","01",NA,"Brasil","São Paulo","Ilhabela","Duas praias após o Iate Clube na direção Sul.",NA,"Erva, 40 cm alt.; flores amarelas.","ESA094217","ESA094217","-45.3499984741211","-23.7700004577637",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23719","auto",NA,NA,NA,NA,NA
"35","2020-11-19 10:23:35-03","CPAP","CPAP","10466","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"Pott, A.","6302","1992","04","12",NA,"Brasil","MS","Corumbá","Fazenda Anta Blanca, beira do rio Paraguai, abaixo de Porto Esperançã, Pantanal",NA,"Erva 60cm de altura. FLOR: sem flor. FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Esparsa. AMBIENTE: Campo inundável de beira rio. SUBSTRATO: solo areno-argiloso. RELEVO: plano.",NA,NA,"-57.45","-19.616667","85","85",NA,NA,"57°27' W","19°37' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-19 10:24:34-03","CPAP","CPAP","19336","PreserverdSpecimen","Plantae",NA,NA,"Papilionoideae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","L.C.P.Lima","Pott, V.J.","8018","2005","08","25",NA,"Brasil","MS","Aquidauana","Fazenda Santana, Pousada das Amoras, retiro São Lourenço, sede, Cerca de 21 km sul da MS-419, Sub-região de Aquidauana, Pantanal.",NA,"Erva 20-40cm de altura. FLOR: amarela. FRUTO: verde, imaturo. INTERESSE: . FREQUÊNCIA: Frequente.. AMBIENTE: Borda úmida de Lagoa. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"-55.606389","-19.628611",NA,NA,NA,NA,"55°36'23W","19°37'43S","2006","05",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-19 10:23:35-03","CPAP","CPAP","3074","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","A. Pott","Pott, A.","2691","1987","05","07",NA,"Brasil","MS","Miranda","Fazenda São Francisco; Sub-região de Miranda; Pantanal",NA,"Subarbusto. FLOR: amarela. FRUTO: preto. INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Ex-lavoura de arroz irrigado; gradeada e não pastejada (2 anos). SUBSTRATO: solo argiloso preto (Calciaquoll). RELEVO: plano com canais e diques artificiais.",NA,NA,"-56.666667","-20.116667","100","100",NA,NA,"56°40' W","20°07' S","1987","05","07",NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:01:54-03","JBP","HPL","4644","S","Plantae",NA,NA,"Fabaceae-Faboideae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","H. Lorenzi","H. Lorenzi","2311","2000","04","19",NA,"Brasil","SC","Corupá","Coletado em lavoura de arroz irrigado em terreno pantanoso.",NA,NA,NA,NA,"-49.2431","-26.4253",NA,NA,NA,NA,NA,NA,"2000","04","19","23917","auto",NA,NA,NA,NA,NA
"39","2019-08-27 13:29:22-03","IAP","PACA-AGP","40989","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","N. Mattos","Rambo, B.",NA,"1949","04","10",NA,"Brasil","RS",NA,"ad flumen Gravataí inferius",NA,"SEM MATERIAL Habitat: in subpaludosis dumetosis Fenofase: fruto maturo","PACA040989",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"40","2019-08-27 13:29:22-03","IAP","PACA-AGP","38338","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Emrich-Rambo","Rambo, B.",NA,"1948","11","24",NA,"Brasil","RS","Esteio",NA,NA,"Habitat: in subpaludosis dumetosis Fenofase: flor e fruto submaturo","PACA038338",NA,"-51.17919921875","-29.861400604248",NA,NA,NA,NA,NA,NA,"1954","08","14","7214","auto","Magnoliatae",NA,NA,NA,NA
"41","2019-08-27 13:29:22-03","IAP","PACA-AGP","40613","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Emrich-Rambo","Rambo, B.",NA,"1949","03","23",NA,"Brasil","RS","Esteio",NA,NA,"Habitat: in subpaludosis dumetosis Fenofase: flor e fruto submaturo","PACA040613",NA,"-51.17919921875","-29.861400604248",NA,NA,NA,NA,NA,NA,"1954","08","14","7214","auto","Magnoliatae",NA,NA,NA,NA
"42","2019-08-27 13:29:22-03","IAP","PACA-AGP","41392","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Emrich-Rambo","Rambo, B.",NA,"1949","05","02",NA,"Brasil","RS","Porto Alegre","Morretes",NA,"SEM MATERIAL Habitat: in subpaludosis dumetosis Fenofase: fruto maturo","PACA041392",NA,"-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,NA,NA,"1954","08","14","29946","auto","Magnoliatae",NA,NA,NA,NA
"43","2019-11-21 14:35:54-03","UFJF","CESJ","44588A","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd",NA,"T.M. Pedersen",NA,"1980","01","30","América do Sul","Argentina","Corrientes","Empedrado","Wet or flooded ground by the R. Empedrado.",NA,"Coarse annual, to one metre or more high, flowers yellow, whole plant fetid.","CESJ44588A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:35:54-03","UFJF","CESJ","45965","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","G. Seijo","G. Seixo; V.G. Solis Neffia; D. Hojsgaard; J. Chilian","2727","2002","01","15","América do Sul","Argentina","Salta","Rivadavia","Ruta 81, Km 1721. 23º33'32'' S 62º40'17''W, 198 ms.m. Zona inundable. Suelo arcilloso.",NA,"Paludicola, flores amarillas.","CESJ045965",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-07 11:43:32-03","UFMS","CGMS","19830","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","L.C.P. Lima","F. Matos-Alves; A.L.B. Sartori; A.C.M. Cristaldo; J.S. Garcia","268","2007","02","16",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Agro Comercial Aubi.",NA,"Papilionoideae. Habitat: Chaco. Comum. Planície. Solo argiloso ou siltoso. Habito: Herbáceo.","CGMS1049133",NA,"-57.6880555","-21.6844444",NA,NA,NA,NA,"-57,6880555","-21,6844444","2013","10","29",NA,NA,NA,NA,NA,NA,NA
