"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","order"
"11","2020-12-21 16:16:21-03","MBM","MBM","334490","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Teles, A.M.","2009",NA,NA,"Hatschbach, G.; Ribas, O.S.; Ribas, O.S.","79992","2007","02","11","Brazil","Santa Catarina","Grão Pará","Serra do Corvo Branco","-49.2146987915039","-28.1849994659424",NA,NA,NA,NA,"Capítulo amarelo, lígulas alvas. Paredão úmido","MBM334490","MBM334490","24844","auto","Southern America",NA
"12","2020-12-21 16:16:21-03","MBM","MBM","170254","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Teles, A.M.","2009","07",NA,"Hatschbach, G.; Ribas, O.S.; Ribas, O.S.","61289","1994","11","23","Brazil","Santa Catarina","Praia Grande","Rod. SC-450, Serra do faxinal","-49.9502983093262","-29.1966991424561",NA,NA,"800","800","Capítulos amarelos, lígulas alvas. Solo úmido nas encostas de morro","MBM170254","MBM170254","21549","auto","Southern America",NA
"13","2020-12-21 16:16:21-03","MBM","MBM","312009","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Ribas, O.S.","2008",NA,NA,"Silva, J.M.; Ribas, O.S.; Bornschein, M.R.; Ribas, O.S.; Bornschein, M.R.","4109","2004","10","16","Brazil","Santa Catarina","Garuva","Serra do Quiriri","-48.8549995422363","-26.0266990661621",NA,NA,"1300","1300","Capítulo alvo. Campo limpo e úmido.","MBM312009","MBM312009","22441","auto","Southern America",NA
"14","2020-12-11 11:33:06-03","UFMG","BHCB","122622","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral",NA,NA,NA,NA,"Stehmann, JR; Teles, AM","5056","2005","11","26","Brasil","Santa Catarina","Lauro Müller","Descida da Serra do Rio do Rastro.","-49.549444","-28.396389","-49.549444","-28.396389","1200","1200","Plantas do Brasil. Barrancos úmidos. Herbáceo. Ereta. Capítulos com lígulas brancas. Com três duplicatas.",NA,NA,NA,NA,"Southern America",NA
"15","2021-03-15 18:25:29-03","USP","SPF","208123","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral","Heiden, G","2011","01","12","Heiden, G; Iganci, JRV","1492","2011","01","12","Brasil","Santa Catarina","Urubici","Parque Nacional de São Joaquim, Morro da Igreja, próximo à entrada para os radares do CINDACTA.","-49.48","-28.126944","-49.48","-28.126944","1791","1791","Erva fistulosa nas bordas de matas nebulares e associada à Gunnera manicata Linden. Folhas verdes, lúcidas, membranáceas. Bráctes involucrais verde-claras. Flores do raio alvas. Flores do disco amarelas.","SPF00208123",NA,NA,NA,NA,NA
"16","2020-11-04 16:43:53-03","UFU","HUFU","57078","S","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral","Heiden, G.","2016","05","10","Hatschbach, G.; Cervi, A.C. & Barbosa, E.","71657","2000","12","08","Brasil","Santa Catarina","Urubici","Alto do morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,"1700","1700","Flor amarela, lígulas alvas.; Campo de altitude, solo turfoso e úmido.","HUFU00042313","HUFU00042313","30102","auto",NA,NA
"17","2020-08-20 14:55:11-03","UFSC","FLOR","47877","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral",NA,NA,NA,NA,"Trevisan, R.; Venturi, S.","1353","2012","12","04","Brasil","Santa Catarina","Urubici","Rodovia SC 439, início da descida da Serra do Corvo Branco.","-49.368333","-28.054722","49º22'6''W","28º3'17''S","1119","1119","flor capítulo branco, liguladas. Planta faz parte do Projeto Reflora.","FLOR0047877",NA,NA,NA,NA,"Asterales"
"18","2020-08-20 14:55:11-03","UFSC","FLOR","51280","PreservedSpecimen","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M.Teles & Sobral","Trevisan, R.; et alii","2013","12","18","Trevisan, R.","1395","2013","12","07","Brasil","Santa Catarina","Urubici","Parque Nacional (PARNA) São Joaquim.","-49.618611","-28.146944","49º37'7''W","28º8'49''S","1344","1344","Flores brancas.","FLOR0051280",NA,NA,NA,NA,"Asterales"
"19","2021-02-08 12:36:31-03","UFRGS","ICN","009324","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Heiden, G",NA,NA,NA,"Lindeman, JC; Lindeman, FM; Porto, ML; Giardi, AM","s.n.","1971","12","03","Brasil","RS","Cambará do Sul","Itaimbezinho matinho no começo do canion","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"flórulas lig. Brancas, tub. Amarelas",NA,NA,"30776","auto","América do Sul",NA
"20","2021-02-08 12:36:31-03","UFRGS","ICN","181467","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral",NA,NA,NA,NA,"Heiden, G; Iganci, JRV","1492","2011","01","12","Brasil","SC","Urubici","Parque Nacional de São Joaquim, Morro da Igreja, próximo à entrada para os radares do CINDACTA.","-49.48","-28.126944","-49.48","-28.126944","1791","1791","Doação SPF; Erva fistulosa, folhas verdes, lúcidas, membranáceas, brácteas involucraisverde-claras, flores do raio alvas, flores do disco amarelo.; Campo de altitude subtropical, matas nebulares.",NA,NA,NA,NA,"América do Sul",NA
"21","2021-02-08 12:36:31-03","UFRGS","ICN","103767","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Heiden, G",NA,NA,NA,"Matzenbacher, NI","s.n.","1993","11","06","Brasil","RS","Cambará do Sul","Aparados da Serra","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,NA,NA,NA,"30776","auto","América do Sul",NA
"22","2021-02-08 12:36:31-03","UFRGS","ICN","172809","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral",NA,NA,NA,NA,"Lorscheitter, ML; Baptista, LRM","s.n.","2009","03","20","Brasil","RS","São Francisco de Paula","Turfeira do Banhado Amarelo","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,NA,NA,NA,"76715","auto","América do Sul",NA
"23","2021-02-08 12:36:31-03","UFRGS","ICN","019559","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Heiden, G",NA,NA,NA,"Reitz, R","2873","1948","03","06","Brasil","SC","Brusque","Azambuja","-48.9174995422363","-27.0981006622314",NA,NA,"40","40","erva, 1m, flor branca, disco amarelo; capoeira",NA,NA,"19684","auto","América do Sul",NA
"24","2021-02-08 12:36:31-03","UFRGS","ICN","174892","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral",NA,NA,NA,NA,"Lorscheitter, ML; Baptista, LRM","s.n.","2009","04","25","Brasil","RS","São Francisco de Paula","Turfeira do Banhado Amarelo","-50.5835990905762","-29.4480991363525",NA,NA,"838","838",NA,NA,NA,"76715","auto","América do Sul",NA
"25","2021-02-08 12:36:31-03","UFRGS","ICN","106663","S","Plantae","Dicotyledon","Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.M. Teles & Sobral","Heiden, G",NA,NA,NA,"Ritter, MR","789","1994","12","08","Brasil","SC","Bom Jardim da Serra","Serra do Rio do Rastro","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,NA,NA,NA,"32577","auto","América do Sul",NA
"26","2019-11-21 10:00:49-03","IBt","SP","474090","S","Plantae",NA,"Asteraceae","Leptostelma","catharinense","Leptostelma catharinense","(Cabrera) A.Teles & Sobral",NA,NA,NA,NA,"Hatschbach, G; Ribas, OS","79992","2007","02","11","Brasil","Santa Catarina","Grão Pará",NA,"-49.2146987915039","-28.1849994659424",NA,NA,NA,NA,NA,NA,NA,"24844","auto",NA,NA
