"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","dayIdentified","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus"
"11","2020-09-12 05:00:02-03","US","US","2570172A","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.","Zappi, D. C.","H. S. Irwin, R. Souza & R. G. P. Santos","9716","1965","11","1","South America - Neotropics","Brazil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672","1175","1175",NA,NA,"US00180555","US00180555_01",NA,NA,"Dicotyledonae",NA,"85457","auto","1",NA,NA,NA,NA
"12","2020-09-02 16:22:36-03","Cenargen","CEN","18317","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","N. Taylor","Bruno Machado Teles Walter","2100","1994","05","21",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Estrada Alto Paraíso - Teresina de Goiás (GO-118). Coletado no campo rupestre à direita da estrada à 7 km da entrada norte de Alto Paraíso.","-47.5099983215332","-14.1324996948242",NA,NA,"Exsicatas","Planta suculenta verde, verde. Espinhos do ápice da planta de cor amarelada, demais de cor acinzentada. Flores (pétalas) creme, sépalas verde-vináceas na base e vináceas no ápice. Estames creme. Frutos verdes. Planta ocasional no local (frequente na região), crescendo sobre fendas entre as rochas. Doação da Flora do Brasil - Estado do Goiás.","CEN00018317","CEN00018317",NA,NA,NA,NA,"44724","auto","1",NA,NA,NA,NA
"13","2020-09-02 16:22:36-03","Cenargen","CEN","61776","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","D. C. Zappi","Anderson Cássio Sevilha","4168","2004","11","11",NA,"Brasil","GO","SAO DOMINGOS","Fazenda São Vicente.","-46.3182983398438","-13.3983001708984","530","530","Unicata","Ramificado.","CEN00061776","CEN00061776","2010",NA,NA,NA,"73215","auto","1",NA,NA,NA,NA
"14","2020-09-02 16:22:36-03","Cenargen","CEN","61777","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","D. C. Zappi","Anderson Cássio Sevilha","4171","2004","11","11",NA,"Brasil","GO","SAO DOMINGOS","Fazenda São Vicente.","-46.3182983398438","-13.3983001708984","530","530","Exsicatas",NA,"CEN00061777","CEN00061777","2011",NA,NA,NA,"73215","auto","3",NA,NA,NA,NA
"15","2019-11-13 11:17:22-03","USP","SPF","80945","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","Taylor, NP","Thomas, WW","5791","1988","02","09",NA,"Brasil","Goiás","Goiás","Serra Dourada","-50.033333","-15.95","750","800",NA,NA,"SPF00080945",NA,"1993","11",NA,NA,NA,NA,NA,"-50.033333","-15.95",NA,NA
"16","2019-11-13 11:17:22-03","USP","SPF","70721","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","Taylor, NP","Taylor, NP","1444","1991","01","25",NA,"Brasil","Goiás","Cristalina",NA,"-47.6136016845703","-16.7686004638672","1150","1150",NA,NA,"SPF00070721",NA,NA,NA,NA,NA,"85457","auto",NA,NA,NA,NA,NA
"17","2019-11-13 11:17:22-03","USP","SPF","66844","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","Zappi, DC","Zappi, DC","205","1989","11","23",NA,"Brasil","Minas Gerais","Alpinópolis",NA,"-46.3880996704102","-20.8635997772217",NA,NA,NA,NA,"SPF00066844",NA,NA,NA,NA,NA,"22010","auto",NA,NA,NA,NA,NA
"18","2020-07-23 12:01:23-03","CEPLAC","CEPEC","51166","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii",NA,"N. P. Taylor","N. P. Taylor","1440","1991","01","18",NA,"Brasil","Bahia","barreiras","Nova Rod. Para o aeroporto. 2.3Km Rod. Barreiras/Brasilia.","-44.9900016784668","-12.1527996063232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152720","auto",NA,NA,NA,"30/12/1991",NA
"19","2019-11-01 14:55:53-03","UnB","UB","106044","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.","Harley, RM; Zappi","Irwin, HS; Souza, R; Santos, RR","9716","1965","11","01","Southern America","Brasil","Goiás","Cristalina","5km S. of Cristalina","-48","-17","1175","1175",NA,"Simple or few-branched from base, rooted in shallow soil among rocks. Buds and fruits wine-purple.; Erect; Low weedy vegetation among rocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-48","-17",NA,NA
"20","2019-11-01 14:55:53-03","UnB","UB","216730","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.","Zappi, DC","Kuhlmann, MP","316","2014","11","27","Southern America","Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros",NA,NA,NA,NA,NA,"Foto em www.frutosatrativosdocerrado.bio.br; Planta arborescente 2 m, fruto maduro roxo, mais de 100 sementes.; Cerrado rupestre",NA,NA,"2014","11",NA,"27",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-01 14:55:53-03","UnB","UB","216914","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.","Zappi, DC","Kuhlmann, MP","316","2014","11","27","Southern America","Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros",NA,NA,NA,NA,NA,"Foto em www.frutosatrativosdocerrado.bio.br; Planta arborescente 2 m, fruto maduro roxo, mais de 100 sementes.; Cerrado rupestre",NA,NA,"2014","11",NA,"27",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 14:55:53-03","UnB","UB","106045","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.",NA,"Walter, BMT; Proença, CEB; Munhoz, CBR","2100","1994","05","21","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Estrada A.P./Teresina de Goiás (GO 118). À direita da estrada à 7km Norte de A.P","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Planta suculenta, verde. Espinhos do ápice da planta de cor amarelada; demais de cor acinzentada. Flores (pétalas) creme, sépalas verde-vináceas na base e vináceas no ápice. Estames creme.; 1,2m. Fruto verde.; Campo rupestre. Crescendo sobre fendas e",NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA
"23","2019-10-03 10:03:30-03","UFSCar","SORO","6568","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii",NA,NA,NA,NA,"2018","10","16",NA,"Brasil","Minas Gerais","Arinos",NA,"-46.258889","-15.628333","596","596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46°15'32W","15°37'42S",NA,NA
"24","2019-10-03 10:03:30-03","UFSCar","SORO","4923","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii",NA,NA,"Moraes, E. M.; Perez, M.F.; Kham, G.; Franco, F.F.",NA,"2015","09","09",NA,"Brasil","Goiás","Alto paraíso de Goiás-3","L22-APA-3","-47.3175","-14.224583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47°19'03W","14°13'28,5S",NA,NA
"25","2019-10-03 10:03:30-03","UFSCar","SORO","3620","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dwason) Backeb.",NA,"Moraes, E.M.; Perez, M.F.; Bonatelli, I.A.S.",NA,"2010","05","31",NA,"Brasil","Tocantins","aurora do Tocantins",NA,"-46.49475","-12.747806","421","421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46°29'41,1W","12°44'52,1S",NA,NA
"26","2019-10-03 10:03:30-03","UFSCar","SORO","4905","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii goianus","Pilosocereus machrisii goianus",NA,NA,"Moraes, E. M.;; Franco, F.F.; Perez, M.F.; Khan, G.",NA,"2015","09","06",NA,"Brasil","Tocantins","Aurora do Tocantins-4","L17-ART4","-46.471361","-12.658611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46°28'16,9W","12°39'31S",NA,NA
"27","2019-10-03 10:03:30-03","UFSCar","SORO","4909","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","p. machrisii","Pilosocereus p. machrisii",NA,NA,"Moraes, E. M.;; Molena, F.P.; Perez, M.F.",NA,"2009","01","07",NA,"Brasil","Goiás","Posse","S16-POS","-46.363667","-14.254639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46°21'49,2W","14°15'16,7S",NA,NA
"28","2019-05-06 11:54:39-03","UFU","HUFU","28793","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.",NA,"Romero, R.; Pacheco, R.A.; Nakajima, J.N. & Volpi, R.L.","6484","2002","10","11",NA,"Brasil","Minas Gerais","Delfinópolis","Fazenda José Antunes, Trilha da Escada de Pedras.","-46.8539009094238","-20.343900680542",NA,NA,NA,"Planta terrestre, ca. 2,5 m. Brácteas externas avermelhadas, internas creme.; Campo rupestre.","HUFU00051696","HUFU00051696",NA,NA,NA,NA,"41380","auto",NA,NA,NA,NA,NA
"29","2019-05-06 11:54:39-03","UFU","HUFU","34723","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.","Pacheco, R.A.","Pacheco, R.A.; Fleury-Silva, H.R.; Nakajima, J.N.; Volpi, R.L. & Rosa, P.O.","687","2003","10","24",NA,"Brasil","Minas Gerais","Delfinópolis","Paraíso Selvagem, Trilha para Desertinho.","-46.8539009094238","-20.343900680542",NA,NA,NA,"Planta ca. de 2 m. Tépalas vermelhas, internas alvas, estilete alvo.; Campo rupestre.","HUFU00051695","HUFU00051695","2004","04",NA,"22","41380","auto",NA,NA,NA,NA,NA
"30","2021-02-23 13:22:01-03","MN","R-TIPOS","102705","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y. Dawson) Backeb.","Almeida, M.C.","Dawson, E.Y.","15110","1956","05","25",NA,"Brasil","Goiás","Uruaçu","Ceres-Porangatu highway","-49.1408004760742","-14.5247001647949",NA,NA,NA,NA,"R000102705","R000102705_001","2015","12",NA,"11","80860","auto",NA,NA,NA,NA,"Holotypus de Cephalocereus machrisii E.Y. Dawson"
"31","2020-01-09 09:12:37-03","FMM","FMM","2546","MachineObservation","Plantae",NA,NA,"Cactaceae","Pilosocereus","machrisii","Pilosocereus machrisii","(E.Y.Dawson) Backeb.",NA,NA,NA,"2017","09","29",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.739756","-14.114578",NA,NA,NA,"Hábito: Erva; Domínio Fitogeográfico: Cerrado; Vegetação: Campo rupestre","FMM02546","FMM02546_v1 FMM02546_v2",NA,NA,NA,NA,NA,NA,NA,"47°44'23.12W","14°6'52.48S",NA,NA
