"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class"
"11","2020-11-04 11:13:45-03","ESALQ","ESA","19286","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","St. Hil.","Souza, V.C. et al.","8231.0","1995","03","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA019286",NA,"Romero, R.","1997","26557","auto","05","05",NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:31:41-03","MN","R","9221","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Glaziou, A.F.M.","19197","1884","02","15",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009221","R000009221_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:34:56-03","UNICAMP","UEC","134833","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Castro, NM","s.n.","1985","11",NA,NA,"Brazil","Minas Gerais",NA,"Serra do Cipó, km 125, estrada de Belo Horizonte a Conceição do Mato Dentro.",NA,NA,NA,NA,NA,"Planta herbácea de mais ou menos 40cm; encontrada em terreno arenoso; flores de cor rosa maravilha e com ápice das folhas na cor rosa.","UEC070339","UEC070339","Romero, R","2015",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:34:56-03","UNICAMP","UEC","143652","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8918","2004","11","23",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, 135 km from the entrance to Cachoeria Véu da Noiva on the road to Conceição do Mato Dentro.","-43.542917","-19.27375","1350","1350",NA,"Wiry shrub to 3 dm tall. Petals pink, filaments and connective pink. Large anthers purple with a white tip. Small anthers and appendages yellow. Occasional.","UEC122113",NA,"Romero, R","2015",NA,NA,"10",NA,"-43.542917","-19.27375",NA,NA,NA,NA
"15","2021-03-01 16:34:56-03","UNICAMP","UEC","159238","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Almeda, F; Martins, AB; Fritsch, PW; Belinello, R","8569","2001","10","21",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 107 along the road from Lagoa Santo to Conceição do Mato Dentro.&nf;Campo rupestre.","-43.588611","-19.286667","1180","1180",NA,"Wiry caespitose subshrub to 30 cm tall. Petals pink, abruptly acuminate at the apex. Filaments, style and connective pink. Anthers reddish-pink with a white tip. Appendages yellow. Common on grassy slopes.","UEC032634","UEC032634","Versiane, AFA","2016",NA,NA,"03",NA,"-43.588611","-19.286667",NA,NA,NA,NA
"16","2021-03-01 16:34:56-03","UNICAMP","UEC","169456","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9182","2005","09","28",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, 20 km from the bridge ove the Rio Cipó on the road from Serra do Cipó (formely called Cardel Mota) to Conceição do Mato Dentro.","-43.561944","-19.273","1130","1130",NA,"Wiry shrub 0,5 m tall with leaves appressed to stems. Petals 5, pink-magenta like the filaments, style, and pedoconectives. Large anthers pink with a white apical rostrum. Small anthers and appendages yellow. Locally common.; Campo rup","UEC010945","UEC010945","Almeda, F","2009",NA,NA,"01","29","-43.561944","-19.273",NA,NA,NA,NA
"17","2021-03-01 16:34:56-03","UNICAMP","UEC","10930","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Joly, AM; Müller, C","3456","1972","09","09",NA,"Brazil","Minas Gerais","Jaboticatubas","Brasil, Minas Gerais, Município de Jaboticatubas: ao longo da rodovia Lagoa Santa- Conceição do Mato Dentro - Diamantina. Estrada da Usina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Altura 20cm. Flores púrpuras.","UEC112309","UEC112309","Semir, J; Martins, AB","1986","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:34:56-03","UNICAMP","UEC","10913","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Semir, J; Sazima, M","3396","1972","09","06",NA,"Brazil","Minas Gerais","Jaboticatubas","Brasil, Minas Gerais, Município de Jaboticatubas: km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro- Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Flor púrpura, altura 40cm.","UEC112307","UEC112307","Semir, J; Martins, AB",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:34:56-03","UNICAMP","UEC","11243","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Semir, J; Sazima, M","s.n.","1973","10","29",NA,"Brazil","Minas Gerais","Jaboticatubas","km 105 esquerda da rodovia em direção a conceição do mato dentro","-43.7449989318848","-19.513599395752",NA,NA,NA,"1m altura, flores roxas perto de rio","UEC111480","UEC111480",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:34:56-03","UNICAMP","UEC","10892","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Semir, J","8675","1978","11","30",NA,"Brazil","Minas Gerais","Jaboticatubas","km 105 esquerda da rodovia em direção a conceição do mato dentro","-43.7449989318848","-19.513599395752",NA,NA,NA,"arbusto de flores rosas","UEC111482","UEC111482",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:34:56-03","UNICAMP","UEC","10924","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","4521","1973","10","18",NA,"Brazil","Minas Gerais","Jaboticatubas","km 105 esquerda da rodovia em direção a conceição do mato dentro","-43.7449989318848","-19.513599395752",NA,NA,NA,"30 cm arbusto flores rosas","UEC111483","UEC111483",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:34:56-03","UNICAMP","UEC","111383","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Fiaschi, P; Costa, FN; Lima, LR; Cometti, JP","65","1999","09","24",NA,"Brazil","Minas Gerais","Jaboticatubas","Trilha base do IBAMA. Em campo rupestre com solo areno pedregoso nas proximidades da Cachoeira da Farofa, após bifurcação para o Canyon das Bandeirinhas.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Erva.&nf;Flores com pétalas lilases e anteras amarelas.&nf;; Campo rupestre com solo areno pedregoso","UEC076010","UEC076010","Versiane, AFA","2016","31264","auto","07","18",NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:34:56-03","UNICAMP","UEC","118048","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Carmello-Guerreiro, SM; Semir, J; Sajo, MG; Belinello, R","11","2000","03","18",NA,"Brazil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,"Estrada da Usina, flores magenta.","UEC067996","UEC067996","Versiane, AFA","2016","26557","auto","03",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:34:56-03","UNICAMP","UEC","60984","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Tamashiro, JY","25642","1991","11","07",NA,"Brazil","Minas Gerais","Santana Do Riacho","Brasil, Estado de Minas Gerais, Município de Santana do Riacho, Serra do Cipó.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Planta de até 50cm. Flores lilases.","UEC112308","UEC112308","Nakajima, JN; Romero, R","1996","26557","auto","05",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-06 09:56:30-03","UFOP","OUPR","9896","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Sousa, H.C. de","22","1993","10","20",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"Campo rupestre. Solo arenoso. Erva com 20cm. Flores lilás",NA,NA,"Romero, R.","2010",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA
"26","2019-08-16 08:40:05-03","UTFPR","HCF","21167","S","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","J.R. Pirani","5206","2004","01","20",NA,"Brasil","MG","Congonhas do Norte","Serra Talhada )braço norte da Serra do","-43.745944","-18.855111","1313","1313",NA,"arbusto densamente ramificado, formando almofada em solo muito pedregoso (cascalho alvo, quartzito). Pétalas lilás, anteras amarelas. Afloramentos rochosos e mata ciliar.",NA,NA,"J.R. Pirani","2011",NA,NA,NA,NA,"43°44'45,4 W","18°51'18,4 S",NA,NA,NA,NA
"27","2020-12-21 16:34:55-03","MBM","MBM","52277","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Joly, A.B.; et al.; et al.","4521",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Lagoa Santa","Rodovia Lagoa Santa - Conceição do Mato Dentro","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"MBM052277","MBM052277","Wurdack, J.J.",NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:34:55-03","MBM","MBM","31689","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Hatschbach, G.; Ferreira, L.F.; Ferreira, L.F.","35308",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"MBM031689","MBM031689","Wurdack, J.J.",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-03-09 17:11:54-03","MNHN","RECOLNAT_MNHN_P","P01069154","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Mello, F.N.A.|Nakajima, J.N.|Rosa, P.O.",NA,"2008","5","16",NA,"Brasil","Minas Gerais","Botumirim","Serra da Canastra, acesso pela estrada para Canta Galo","-43.04556","-16.83389","1243",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01069154' target='other'> <mi>dwc_moreinfo</mi></a>","P01069154","P01069154_01",NA,NA,NA,NA,NA,NA,NA,NA,"481",NA,NA,NA
"30","2015-11-06 19:58:38-02","MNHN","RECOLNAT_MNHN_P","P02297825","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Serra du Lapa, Prov. Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297825' target='other'> <mi>dwc_moreinfo</mi></a>","P02297825","P02297825_01","Romero",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"31","2015-10-26 04:37:36-02","MNHN","RECOLNAT_MNHN_P","P02297826","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Serra du Lapa, Prov. Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297826' target='other'> <mi>dwc_moreinfo</mi></a>","P02297826","P02297826_01","Romero",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"32","2015-10-26 04:37:59-02","MNHN","RECOLNAT_MNHN_P","P02297827","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Serra du Lapa, Prov. Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297827' target='other'> <mi>dwc_moreinfo</mi></a>","P02297827","P02297827_01","Romero",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"33","2015-09-04 20:31:00-03","MNHN","RECOLNAT_MNHN_P","P05316503","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Glaziou, A.",NA,"1892","4","24",NA,"Brasil","Minas Gerais",NA,"Brésil. MInas. Serra do Cipó. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . donné par Mme Simard, sa fille, em 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316503' target='other'> <mi>dwc_moreinfo</mi></a>","P05316503","P05316503_01",NA,NA,NA,NA,NA,NA,NA,NA,"19197",NA,NA,NA
"34","2020-12-11 11:38:33-03","UFMG","BHCB","54403","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Magalhães, GM","2312","1942","11","17","Southern America","Brasil","Minas Gerais","Jaboticatubas","Serra do Charco","-43.7449989318848","-19.513599395752",NA,NA,NA,"Subarbusto cespitoso. Flor rósea. Pouco frequente.; Campo","BHCB000213","BHCB000213",NA,"2017","31264","auto","11","13",NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:38:33-03","UFMG","BHCB","73304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Barreto, HLM","7052","1934","02","02","Southern America","Brasil","Minas Gerais","Santa Luzia","Serra do Cipó","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Subarbusto 0,3m, baixa frequência; Campo","BHCB041203","BHCB041203",NA,"1934","19939","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-11 17:20:13-03","UFPR","UPCB","80250","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A.St.-Hil.","Tamashiro, J.Y.",NA,"1991","11","07",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Planta de até 50cm. Flores lilases..","UPCB0019071","UPCB0019071","Versiane, A.F.A.","2016","26557","auto","05","09",NA,NA,NA,NA,NA,NA
"37","2015-01-30 14:29:00-02","MO","MOBOT","100774373","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Renato de Mello-Silva|Maria das Graça Sajo","Mello-Silva 3149","2009","2","6","South America","Brazil","Minas Gerais","Gouvêia","Contagem. Fazenda Contagem, ca. 3 km em estrada vicinal saindo a leste da rodovia Gouveia-Curvelo (BR 259), ao sul da sede da fazenda Contagem. Sopés da extremidade norte da Serra do Indaial, base de inselberg próximo ao Ribeirão da Contagem.","-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,NA,NA,"J.R. Pirani",NA,"37970","auto",NA,NA,NA,NA,NA,NA,"1",NA
"38","2011-12-23 04:58:00-02","MO","MOBOT","100192520","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Rafaela C. Forzza|Renato de Mello-Silva","Forzza 1512","2000","1","31","South America","Brazil","Minas Gerais",NA,"Município de Gouveia: Fazenda Contagem, Serra da Contagem, próximo ao córrego Contagem.",NA,NA,NA,NA,NA,NA,NA,NA,"E. Wordgyen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"39","2009-06-29 10:57:00-03","MO","MOBOT","3254505","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Louis O. Williams|Vicente Assis","Williams 7285","1945","6","3","South America","Brazil","Minas Gerais",NA,"Iron rock campo, slopes of Serra da Mutuca above Barreiros, Municipio of Betim.",NA,NA,"1000.00000000","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","3254562","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","Gert G. Hatschbach","Hatschbach 35308","1974","10","24","South America","Brazil","Minas Gerais",NA,"Serra do Cipó (mun. S' Ana do Riacho). Solo arenoso encosta de morro.",NA,NA,NA,NA,NA,NA,NA,NA,"J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2856934","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","A. Joly","4521","1973","10","18","South America - Neotropics","Brazil","Minas Gerais","Jaboticatubas","Rod. Lagoa Santa-Conc. deato Dentro, km 112","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"US01897096","US01897096_01 US01897096_02",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"42","2020-09-12 05:00:02-03","US","US","2059171","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","A. Macedo","3772","1952","9","5","South America - Neotropics","Brazil","Minas Gerais","Conceição doato Dentro","Serra do Cipó",NA,NA,NA,NA,NA,NA,"US01897098","US01897098_01 US01897098_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"43","2020-09-12 05:00:02-03","US","US","1932959","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","L. O. Williams","7285","1945","6","3","South America - Neotropics","Brazil","Minas Gerais","Betim","Iron rock campo, slopes of Serra dautuca above Barreiros","-44.198299407959","-19.9678001403809","1000","1200",NA,NA,"US01897097","US01897097_01 US01897097_02",NA,NA,"15199","auto",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"44","2020-09-12 05:00:02-03","US","US","2623654","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","A. P. Duarte","2173","1949","12","7","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cipó, Km 137",NA,NA,"1300",NA,NA,NA,"US01897100","US01897100_01 US01897100_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"45","2020-09-12 05:00:02-03","US","US","2754473","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","juniperina","Microlicia juniperina","A. St.-Hil.","G. Hatschbach & L. Ferreira","35308","1974","10","24","South America - Neotropics","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"US01897099","US01897099_01 US01897099_02",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"46","2020-09-02 16:33:14-03","Cenargen","CEN","91993","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","cf. juniperina","Microlicia cf. juniperina","A.St.-Hil.","José Rubens Pirani","5609","2007","01","20",NA,"Brasil","MG","CONGONHAS DO NORTE","Serra Talhada (setor nordeste da Serra do Cipó), 9 km S de Congonhas do Norte na estrada para Conceição do Mato Dentro, entrada para Extrema seguindo ca. 11 km - Estrada para Londrina.","-43.685","-18.937222","1250","1250","Exsicatas","Arbustos formando almofadas pequeninas, ca. 15cm diâmetro, em solo bem pedregoso e alvo, ao sol. Flores com pétalas e filetes lilás-intenso, anteras amarelas. Rara, só no alto da elevação. Doção Universidade de São Paulo - Herbário SPF. Flora da Serra do Cipó.","CEN00091993","CEN00091993",NA,NA,NA,NA,NA,NA,"-43.685","-18.937222",NA,NA,"1",NA
