"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","class"
"11","2019-11-21 14:54:21-03","UFJF","CESJ","21345","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","R.F. Novelino; et al.","485","1985","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"à beira do Rio do Salto, planta de até 1,5m, semi-escandente, meia sombra.","CESJ021345",NA,NA,NA,NA,NA,"2018","11","19",NA,NA,NA,NA,NA
"12","2019-11-21 14:54:21-03","UFJF","CESJ","3459","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","s.col.","s.n.",NA,NA,NA,"América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"CESJ003459",NA,NA,NA,NA,NA,"2018","11","19",NA,NA,NA,NA,NA
"13","2020-06-30 18:33:22-03","UFJF","CESJ","35937","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","M.L.G. Lisboa","s.n.","1992","12","06","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"CESJ035937",NA,"Lima Duarte","30417","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"14","2019-11-21 14:54:21-03","UFJF","CESJ","50238","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","A.P. Della","F.S. Souza; S.A. Roman; T.M. Machado","426","2008","04","28","América do Sul","Brasil","Minas Gerais","Serra Negra, Ninho da Égua","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Saxícola em interior de mata.","CESJ050238",NA,"Rio Preto","20815","auto",NA,"2018","11","19",NA,NA,NA,NA,NA
"15","2021-03-01 16:43:57-03","UNICAMP","UEC","55832","S","Plantae","Pteridophyta",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Della, AP","Novelino, RF","485","1985","11","20",NA,"Brazil","Minas Gerais","Parque Estadual de Ibitipoca, À beira do Rio Salto, Prainha.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Planta de 1,5m, semi-escandente, meia sombra.","UEC052516","UEC052516","Lima Duarte","30417","auto",NA,"2018",NA,NA,NA,NA,NA,NA,NA
"16","2019-11-06 09:57:19-03","UFOP","OUPR","11407","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Salino, A.","Baeta-Neves, A.T.","s.n.",NA,NA,NA,NA,"Indisponível",NA,NA,NA,NA,NA,NA,NA,"Erva trepadeira",NA,NA,NA,NA,NA,NA,"2013","04","17",NA,NA,NA,NA,NA
"17","2015-09-19 12:06:23-03","MNHN","RECOLNAT_MNHN_P","P00603546","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Glaziou, A.",NA,"1869","8","7",NA,"Brésil",NA,"Serres des Orgues",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603546' target='other'> <mi>dwc_moreinfo</mi></a>","P00603546","P00603546_01",NA,NA,NA,NA,NA,NA,NA,"3552",NA,NA,NA,NA
"18","2015-09-20 01:45:15-03","MNHN","RECOLNAT_MNHN_P","P00603547","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Cremers","Glaziou, A.",NA,"1869","8","7",NA,"Brésil",NA,"Serres des Orgues",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603547' target='other'> <mi>dwc_moreinfo</mi></a>","P00603547","P00603547_01",NA,NA,NA,NA,NA,NA,NA,"3552",NA,NA,NA,NA
"19","2015-09-19 12:08:26-03","MNHN","RECOLNAT_MNHN_P","P00603548","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Glaziou, A.",NA,"1869","8","7",NA,"Brésil",NA,"Serres des Orgues",NA,NA,NA,NA,"hb","Herb. Christ 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603548' target='other'> <mi>dwc_moreinfo</mi></a>","P00603548","P00603548_01",NA,NA,NA,NA,NA,NA,NA,"3552",NA,NA,NA,NA
"20","2015-09-04 00:01:20-03","MNHN","RECOLNAT_MNHN_P","P00603549","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province Minas Geraes",NA,NA,NA,NA,"hb","Catal. B', n°458 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603549' target='other'> <mi>dwc_moreinfo</mi></a>","P00603549","P00603549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-09-20 01:45:48-03","MNHN","RECOLNAT_MNHN_P","P00603550","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes",NA,NA,NA,NA,"hb","Catal. C', n°72 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603550' target='other'> <mi>dwc_moreinfo</mi></a>","P00603550","P00603550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1996-02-22 09:53:50-03","MNHN","RECOLNAT_MNHN_P","P00603551","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes",NA,NA,NA,NA,"hb","Catal. C', n°72 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603551' target='other'> <mi>dwc_moreinfo</mi></a>","P00603551","P00603551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 16:38:46-03","MNHN","RECOLNAT_MNHN_P","P01276433","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Schwacke",NA,"1896","8","2",NA,"Brésil",NA,"Min. Geraes. Serra de Ibitipoca",NA,NA,"1070",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01276433' target='other'> <mi>dwc_moreinfo</mi></a>","P01276433","P01276433_01",NA,NA,NA,NA,NA,NA,NA,"12310",NA,NA,NA,NA
"24","2015-09-03 16:38:46-03","MNHN","RECOLNAT_MNHN_P","P01276434","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F.Tryon","Tryon","Silveira, A.A. da",NA,"1906","4",NA,NA,"Brésil",NA,"In umbrosis in Serra do Caraça",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01276434' target='other'> <mi>dwc_moreinfo</mi></a>","P01276434","P01276434_01",NA,NA,NA,NA,NA,NA,NA,"462",NA,NA,NA,NA
"25","2020-09-29 14:53:46-03","UFPR","UPCB","67955","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Della, A.P.","Pereira, J.B.S. et al.","68","2007","09","29",NA,"Brasil","Paraná","Parque Estadual Pico Paraná.","-48.833333","-25.25","1750","1750",NA,"Rupícola. Mata Nebular. Floresta Ombrófila Densa Altomontana.","UPCB0008589","UPCB0008589","Campina Grande do Sul",NA,NA,NA,"2018",NA,NA,NA,"-48.833333","-25.25",NA,NA
"26","2020-09-29 14:53:46-03","UFPR","UPCB","68000","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Della, A.P.","Pereira, J.B.S. et al.","274","2008","05","22",NA,"Brasil","Paraná","Parque Estadual Pico Paraná.","-48.8","-25.25","1750","1750",NA,"Rupícola, mata nebular, local sombreado. Floresta Ombrófila Densa Altomontana.","UPCB0008592","UPCB0008592","Campina Grande do Sul",NA,NA,NA,"2018",NA,NA,NA,"-48.8","-25.25",NA,NA
"27","2020-09-29 14:53:46-03","UFPR","UPCB","69488","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Della, A.P.","Pereira, J.B.S.","256","2008","05","22",NA,"Brasil","Paraná","Parque Estadual Pico Paraná. Pico Paraná","-48.8","-25.25","1750","1750",NA,"Saxícola, local sombreado e úmido. Mata Nebular. Floresta Ombrófila Densa Altomontana..","UPCB0008591","UPCB0008591","Campina Grande do Sul",NA,NA,NA,"2018",NA,NA,NA,"-48.8","-25.25",NA,NA
"28","2018-01-30 16:27:00-02","MO","MOBOT","100199685","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Eric Schuettpelz (US)","Alexander C. Brade","Brade 15802","1937","7","12","South America","Brazil","Rio de Janeiro","Frade de Macaé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2016-02-26 10:42:57-03","F","FMNH-PTERIDOPHYTES","C0660145F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","insignis","Eriosorus insignis","(Mett.) A. F. Tryon",NA,"H. S. Irwin et al.","29228","1971","1","26","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"C0660145F","C0660145F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridopsida"
"30","2020-02-11 18:26:32-03","UFMG","BHCB-SL","109337","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Almeida, TE","Almeida, TE; Souza, DT; Heringer, G","1249","2007","06","22","América","Brasil","Minas Gerais",NA,"-43.872806","-21.67175","148","148",NA,"Terrestre no interior de mata de galeria",NA,NA,"Lima Duarte",NA,NA,NA,"2007","06",NA,NA,"-43.872806","-21.67175",NA,NA
"31","2020-02-11 18:26:32-03","UFMG","BHCB-SL","87549","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Salino, A","Almeida, TE; Andrade, LE; Morais, PO; Viana, PL; Mota, RC","3","2004","04","20","América","Brasil","Minas Gerais","RPPN Serra do Caraça","-43.4725","-20.090278","1790","1790",NA,"Local encharcado, entre rochas",NA,NA,"Catas Altas",NA,NA,NA,"2004","04",NA,NA,"-43.4725","-20.090278",NA,NA
"32","2021-01-12 15:24:50-03","UFMG","BHCB-SL","115400","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.",NA,"Giacomin, LL","3330","2007","12","02","América","Brasil","Minas Gerais","Serra dos Perdizes;","-44.596944","-21.586667","1560","1560",NA,"Caule curto-reptante. Rupícola em paredão úmido. Mata de Galeria.",NA,NA,"Carrancas",NA,NA,NA,NA,NA,NA,NA,"-44.596944","-21.586667",NA,NA
"33","2021-01-12 15:24:50-03","UFMG","BHCB-SL","101952","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Almeida, TE","Almeida, TE; Assis, FC; Heringer, G; Viana, MM; Teles, AM; Corrêa, VF","556","2006","10","06","América","Brasil","Minas Gerais","Parque Estadual do Pico do Itambé; Pico do Itambé;","-43.578242","-18.397778","1932","1932",NA,"Rupícola na borda e no interior de mata de grota. Campo rupestre",NA,NA,"Santo Antônio do Itambé",NA,NA,NA,"2006","10",NA,NA,"-43.578242","-18.397778",NA,NA
"34","2021-01-12 15:24:50-03","UFMG","BHCB-SL","101976","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Almeida, TE","Almeida, TE; Assis, FC; Heringer, G; Viana, MM; Teles, AM; Corrêa, VF","580","2006","10","07","América","Brasil","Minas Gerais","Parque Estadual do Pico do Itambé","-43.332083","-18.397333","1676","1676",NA,"Rupícola em mata nebular",NA,NA,"Santo Antônio do Itambé",NA,NA,NA,"2006","10",NA,NA,"-43.332083","-18.397333",NA,NA
"35","2021-01-12 15:24:50-03","UFMG","BHCB-SL","106619","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Della, AP","Heringer, G; Carmo, FF do; Carmo, JE do","167","2007","01","07","América","Brasil","Minas Gerais","Distrito de São Bartolomeu; Serra do Capanema","-43.539694","-20.244167","1542","1542",NA,"Terrestre.; Em solo rochoso próximo à estrada formando grande população. Em solo ferruginoso.","BHCB048916",NA,"Ouro Preto",NA,NA,NA,NA,NA,NA,NA,"-43.539694","-20.244167",NA,NA
"36","2020-02-11 18:26:32-03","UFMG","BHCB-SL","123379","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Salino, A","Viveros, RS; Salino, A; Oliveira, CT; Giacomin, LL","53","2008","08","28","América","Brasil","Minas Gerais","RPPN Santuário do Caraça, Trilha para o Pico da Carapuça.","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Terrestre, em sub-bosque próximo a afloramentos.",NA,NA,"Catas Altas","11966","auto",NA,"2015","10",NA,NA,NA,NA,NA,NA
"37","2020-02-11 18:26:32-03","UFMG","BHCB-SL","73881","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Salino, A","Mota, RC","1477","2002","08","07","América","Brasil","Minas Gerais","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Planta Coletada em mata nebular no Pico do Inficcionado. Terrestre.","BHCB002224","BHCB002224","Catas Altas","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-11 18:26:32-03","UFMG","BHCB-SL","84294","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Kuhn) Christenh.","Novelino, RF","Novelino, RF","485","1985","11","20","América","Brasil","Minas Gerais","Ibitipoca, Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,"Planta de até 1,5m, semi-escandente, meia sombra.",NA,NA,"Lima Duarte","30417","auto",NA,"1985","11","28",NA,NA,NA,NA,NA
"39","2019-11-01 15:18:13-03","UnB","UB","137218","PreservedSpecimen","Plantae","Pteridophyta",NA,"Pteridaceae","Eriosorus","insignis","Eriosorus insignis","(Kuhn) A.F. Tryon","Souza, MGM","Irwin, HS; Harley, RM; Onishi, E","29228","1971","01","26","Southern America","Brasil","Minas Gerais","Serra do Espinhaço. Summit of Serra da Caraça",NA,NA,"1750","1950",NA,"In shade, among projecting rocks of outcrop. Sandstone with soil-filled cracks and depresions, with precipitous slopes and valleys","UB0035265","UB0035265",NA,NA,NA,NA,"1996","01","10",NA,NA,NA,NA,NA
"40","2021-02-08 12:46:57-03","UFRGS","ICN","001748","S","Plantae","Fern",NA,"Pteridaceae","Jamesonia","insignis","Jamesonia insignis","(Mett.) Christenh.","Della, AP","Brade",NA,"1937","02","17","América do Sul","Brasil","RJ","Estrada do Rio-Frade de Maracaté",NA,NA,"1000","1000",NA,"JBRJ 33995; nas pedras úmidas dos picos",NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA
