"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","relatedCatalogItem","fieldNumber","coordinatePrecision","geoFlag","sex"
"11","2017-12-27 16:08:59-02","MNHN","RECOLNAT_MNHN_P","P00683101","PreservedSpecimen",NA,"Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil","Province de Piauhy","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683101' target='other'> <mi>dwc_moreinfo</mi></a>","P00683101",NA,NA,"Gardner",NA,NA,NA,NA,"P00683101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2204",NA,NA,NA
"12","2017-12-27 16:08:59-02","MNHN","RECOLNAT_MNHN_P","P00683102","PreservedSpecimen",NA,"Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil","Province de Piauhy","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683102' target='other'> <mi>dwc_moreinfo</mi></a>","P00683102",NA,NA,"Gardner",NA,NA,NA,NA,"P00683102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2204",NA,NA,NA
"13","2019-10-07 09:12:01-03","UEFS","HUEFS","233139","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Staudt, M.G.","145","2016","03","18",NA,"Brasil","Serra do Olho d'Água.",NA,NA,"Lajedo, solo arenoso.","HUEFS0233139","Angiospermae","Asterales","Gardner","Bahia","Morro do Chapéu","-41.157222","-11.544167","HUEFS0233139","M.G.Staudt","2016","03","41W9'26''","11S32'39''","1019","1019",NA,"Asteranae",NA,NA,NA,NA,NA
"14","2019-10-07 09:12:01-03","UEFS","HUEFS","66681","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","Tipo","Gardner, G.","2204","1839","04",NA,NA,"Brasil","Not incommon an dry hilly places around Oeiras.",NA,NA,NA,"HUEFS0066681","Angiospermae","Asterales","Gardner","Piauí","Oeiras","-42.1310997009277","-7.0252799987793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,"54774","auto",NA
"15","2019-10-07 09:12:01-03","UEFS","HUEFS","66680","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","Tipo","Gardner, G.","2204","1839","04",NA,NA,"Brasil","Not incommon an dry hilly places around Oeiras.",NA,NA,NA,"HUEFS0066680","Angiospermae","Asterales","Gardner","Piauí","Oeiras","-42.1310997009277","-7.0252799987793",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,"54774","auto",NA
"16","2019-09-04 19:33:08-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","Type [status unknown]","G. Gardner","2204","1840",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"17","2020-07-23 11:59:29-03","CEPLAC","CEPEC","71452","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"D. J. N. Hind","3142","1996","06","28",NA,"Brasil","12Km na estrada Morro do Chapeu/Ferro Doido.",NA,NA,NA,NA,NA,NA,NA,"Bahia","MORRO DO CHAPÉU","-41.1","-11.581944",NA,"M. G. Staudt",NA,NA,"41W6'0","11S34'55",NA,NA,NA,NA,"11/05/2016",NA,NA,NA,NA
"18","2016-08-23 10:58:54-03","NHMLondon","NHM-LONDON-BOT","BM001009202","S","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","Isolectotype","George Gardner; b.1812; d.1849; Gardner","2204","1839","05",NA,NA,"Brasil",NA,NA,"NHMUK:ecatalogue:557347","<a href=http://www.nhm.ac.uk/services/media-store/asset/f3de8eca7b1a710dc59fcd62d58ac9aea89d971d/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Gardner","Piauí",NA,"-42.572108","-7.256631",NA,"Roberto Lourenço Esteves; Herbarium Bradeanum; b.1948; R.L.Esteves","1993","06","-42.572108","-7.256631",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:08:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Gardner, G","2204",NA,NA,NA,"Southern America","Brazil","Habitat prov. Piauhy in pascuis montosis siccis prope Oeiras",NA,NA,NA,NA,NA,NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-08-16 16:38:01-03","GH","HU-HERB","GH 00012927","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","Type","George Gardner","2204",NA,NA,NA,"South America","Brazil",NA,"Sheet",NA,NA,NA,NA,NA,"Gardner","Piaui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2204",NA,NA,"undetermined"
