"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class"
"23","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","23715",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/21-09-2007","L. Kollmann; et al","7571","2005","03","25",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto 2m, rupestre no sol. Flores lilás claras.","MBML023715",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"24","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","24996",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L.Kollmann/10-07-2009","L. Kollmann; et al","8032","2005","07","13",NA,"Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,NA,NA,"Arbusto no sol, frutos verdes.","MBML024996",NA,NA,NA,NA,NA,NA,"41W1'9","20S24'14",NA,NA,NA
"25","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","26136",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","A.P. Fontana & L. Kollmann/Março-2007","L. Kollmann; et al","9136","2006","05","31",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto 1m. Rupestre no sol. Flores lilás.","MBML026136",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"26","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","31186",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/02-05-2008","L. Kollmann; A.P. Fontana, P. Labiak, M. Kaehler & F. B. Matos","9930","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.981111","-19.741389","1180","1180",NA,"Arbusto 2m. Rupícola no sol. Flores lilás.","MBML031186",NA,NA,NA,NA,NA,NA,"40W58'52","19S44'29",NA,NA,NA
"27","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","33331",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","P. Labiak/Julho-2007","P. Labiak; et al","4216","2007","07","18",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto ca. 1m. Sobre rochas em local exposto ao sol.","MBML033331",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"28","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","34092",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade",NA,"L. Kollmann; et al","10550","2008","02","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.083611","-20.516111",NA,NA,NA,"Arbusto 1m no sol, flores lilás. Material prensado em álcool.","MBML034092",NA,NA,NA,NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA
"29","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","35158",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","R.Goldenberg/Nov.2008","R. Goldenberg; et al","1071","2008","05","02",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha das piscinas para o mirante","-41.083611","-20.516111",NA,NA,NA,NA,"MBML035158",NA,NA,NA,NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA
"30","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","36094",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/5-09-2008","L. Kollmann; A.P. Fontana, D. Couto & E.Leme","11172","2008","09","05",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pontões","-41.550556","-20.939444","1200","1200",NA,"Arbusto rupícola no sol, flores lilás.","MBML036094",NA,NA,NA,NA,NA,NA,"41W33'2","20S56'22",NA,NA,NA
"31","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","36317",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L.Kollmann/16-VII-2008","L. Kollmann; et al","11096","2008","07","16",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.083611","-20.516111",NA,NA,NA,NA,"MBML036317",NA,NA,NA,NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA
"32","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","37235",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade",NA,"P. Labiak; et al","4943","2008","10","14",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.520556",NA,NA,NA,NA,"MBML037235",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'14",NA,NA,NA
