"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","individualCount","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber"
"14","2008-05-27 22:02:00-03","MO","MOBOT","2378649","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Thomas B. Croat","Croat 53686","1982","6","26","South America","Brazil","Rio de Janeiro",NA,"Municipio Rio de Janiero: Pedra da Gavea between Itanhangs and Sâo Conrado; disturbed forest along trail to summit; full shade.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1427","150.00000000",NA,NA,NA,NA,NA,NA,NA
"15","2009-06-25 21:30:00-03","MO","MOBOT","3004886","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","A. Engler","Anonymous","Anonymous s.n.","1831","12",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-10-24 12:59:00-02","MO","MOBOT","3004887","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","R. Baker","Helen Kennedy|Dorothy Araujo","Kennedy 902","1971","3","25","South America","Brazil",NA,NA,"Guanabara: Restinga de Jacare Pagua, Pedra de Itauna. Restinga vegetation.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","374751","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","T. Croat","Gert G. Hatschbach","Hatschbach 27531","1971","10","16","South America","Brazil","Santa Catarina",NA,"Laguna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-01-24 13:40:00-02","MO","MOBOT","922932","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","T.B. Croat","Gustavo Martinelli","Martinelli 3042","1977","9","26","South America","Brazil","Rio de Janeiro",NA,"Araras, caminho do Capoeirao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","922933","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","T.B. Croat","Lyman B. Smith","Smith 6523","1952","4","11","South America","Brazil","Distrito Federal",NA,"Praia de Grumari, proximo à Guaratiba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","922934","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Vidal","Vidal 1280","1955",NA,NA,"South America","Brazil","Amazonas",NA,"Theresopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-01-24 13:40:00-02","MO","MOBOT","922935","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Gustavo Martinelli","Martinelli 1629","1977","4","17","South America","Brazil","Rio de Janeiro",NA,"Araras, camino do Capoeirao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","922938","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Vidal","Vidal 2539","1952",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra do Orgaos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2014-05-16 12:14:00-03","MO","MOBOT","928225","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Thomas B. Croat (MO)","Thomas B. Croat","Croat 77258","1994","9",NA,"South America","Brazil",NA,NA,"Cultivated by Dewey Fisk. Originally from Brazil.",NA,NA,NA,NA,NA,NA,NA,NA,"1","85-90",NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","1583168","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Croat","PAIXAO","PAIXAO 53","1998","7","20","South America","Brazil","Bahia",NA,"7.5 km from Jussari. Faz. Teimsos -- RPPN Serra do Teimoso.","-39.52861","-15.15805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","2379277","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Thomas B. Croat","Croat 53791","1982","7","1","South America","Brazil","Rio de Janeiro",NA,"Municipio of Niteroi; Praia de Itaipucu Alto Moinas.","-43.11666","-22.88333",NA,NA,NA,NA,NA,NA,NA,"1774","100.00000000","250.00000000",NA,NA,NA,NA,NA,NA
"26","2015-10-22 10:02:28-02","UNIOESTE","UNOP","7225","S","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Temponi, L.G.","Temponi, L.G.; et al.; et al.","1050","2011","11","21",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PARNA Tijuca, vista chinesa, mesa do imperador.","-43","-22",NA,"Erva, ca. 60cm. Catáflio marcescente com ápice inteiro, castanho. Folha cartácea a coriácea, verde discolor. Pedúnculo vináceo, espata verde com estrias vináceas, estipete vináceo, espádice vinho, pólen alvo.",NA,NA,NA,NA,NA,NA,"535","535","2011","11","-43","-22",NA,NA
"27","2020-09-12 05:00:02-03","US","US","2173846","PreservedSpecimen","Plantae",NA,"Arales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"L. Smith, A. Magnanini, G. Machline, L. S. Silva, W. T. Ormond & J. Augusto","6523","1952","4","11","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Distrito Federal, Praia de Grumari, próximo à Guaratiba.",NA,NA,NA,NA,"US01918823","US01918823_01",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA
"28","2020-09-12 05:00:02-03","US","US","2855266","PreservedSpecimen","Plantae",NA,"Arales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"A. Castellanos","23607","1962","12","1","South America - Neotropics","Brazil","Teresópolis",NA,"Granja Comari",NA,NA,NA,NA,"US01918824","US01918824_01",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA
"29","2016-08-23 11:12:16-03","NHMLondon","NHM-LONDON-BOT","BM000957042","S","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Livia GodinhoTemponi","John Miers; b.1789; d.1879; Miers","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005","08","-42.64735","-22.531489",NA,"NHMUK:ecatalogue:2309009"
"30","2017-09-11 17:07:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-12-06 07:45:22-02","CAS","CAS-BOT","599813","PreservedSpecimen","Plantae","Magnoliophyta","Arales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Croat, Thomas B.","77258","1994","9",NA,"South America","Brazil",NA,NA,"Eastern Brazil",NA,NA,NA,"Internodes semiglossy, gray-green, 3-4 cm long, 2.5 cm diam.; cataphylls drying dark brown, more or less intact; petioles terete, weakly and narrowly sulcate, semiglossy dark green; blades moderately coriaceous, glossy, weakly bicolorous; midrib bluntly acute to convex and concolorous above, narrow-raised and paler below; primary lateral veins flat to weakly sulcate above, convex below; tertiary veins obscure; spathe green, spreading, margins underrolled; spadix dark purple, matte; tepals upturned against pistils. Cultivated by Dewey Fisk. Originally from Brazil. Cultivated Plant. Missouri Botanical Garden Herbarium (MO). Sheet 1 of 2. See also CAS 1074191, barcode 599814. Additional collecting information and specimen description listed on Tropicos specimen search.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liliopsida",NA
"32","2018-12-06 07:45:28-02","CAS","CAS-BOT","599814","PreservedSpecimen","Plantae","Magnoliophyta","Arales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Croat, Thomas B.","77258","1994","9",NA,"South America","Brazil",NA,NA,"Eastern Brazil",NA,NA,NA,"Internodes semiglossy, gray-green, 3-4 cm long, 2.5 cm diam.; cataphylls drying dark brown, more or less intact; petioles terete, weakly and narrowly sulcate, semiglossy dark green; blades moderately coriaceous, glossy, weakly bicolorous; midrib bluntly acute to convex and concolorous above, narrow-raised and paler below; primary lateral veins flat to weakly sulcate above, convex below; tertiary veins obscure; spathe green, spreading, margins underrolled; spadix dark purple, matte; tepals upturned against pistils. Cultivated by Dewey Fisk. Originally from Brazil. Cultivated Plant. Missouri Botanical Garden Herbarium (MO). Sheet 2 of 2. See also CAS 1074190, barcode 599813. Additional collecting information and specimen description listed on Tropicos specimen search.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liliopsida",NA
