"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"11","2015-09-03 21:43:42-03","MNHN","RECOLNAT_MNHN_P","P01730357","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Riedel",NA,"1832","1","1",NA,"Brasil","Rio de Janeiro",NA,"Brasilia. Pro. Rio Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . Reçu le 11 décembre 1916 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730357' target='other'> <mi>dwc_moreinfo</mi></a>","P01730357","P01730357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-03 21:43:42-03","MNHN","RECOLNAT_MNHN_P","P01730358","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Riedel",NA,"1840","1","1",NA,"Brasil","Rio de Janeiro",NA,". Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . Reçu le 3 janvier 1961 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730358' target='other'> <mi>dwc_moreinfo</mi></a>","P01730358","P01730358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-03 21:43:42-03","MNHN","RECOLNAT_MNHN_P","P01730359","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Nadeaud",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730359' target='other'> <mi>dwc_moreinfo</mi></a>","P01730359","P01730359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 21:43:42-03","MNHN","RECOLNAT_MNHN_P","P01730361","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Glaziou, A.",NA,"1869","10","17",NA,"Brésil","Rio de Janeiro",NA,"Cova da Onça. Rio de Janeiro",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730361' target='other'> <mi>dwc_moreinfo</mi></a>","P01730361","P01730361_01",NA,NA,NA,NA,NA,NA,NA,NA,"4285",NA,NA,NA,NA
"15","2016-05-17 11:30:20-03","MNHN","RECOLNAT_MNHN_P","P01730362","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Glaziou, A.",NA,"1869","10","17",NA,"Brésil","Rio de Janeiro",NA,"Cova da Onça. Rio de Janeiro",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730362' target='other'> <mi>dwc_moreinfo</mi></a>","P01730362","P01730362_01",NA,NA,NA,NA,NA,NA,NA,NA,"4285",NA,NA,NA,NA
"16","2018-07-26 14:23:33-03","MNHN","RECOLNAT_MNHN_P","P01799823","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Gaudichaud",NA,NA,NA,NA,NA,"Brésil","Rio de Janeiro",NA,"Corcovado",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799823' target='other'> <mi>dwc_moreinfo</mi></a>","P01799823","P01799823_01 P01799823_02",NA,NA,NA,NA,NA,NA,NA,NA,"137 bis",NA,NA,NA,NA
"17","2018-07-26 14:23:34-03","MNHN","RECOLNAT_MNHN_P","P01799824","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Gaudichaud",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil (Rio Janeiro)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799824' target='other'> <mi>dwc_moreinfo</mi></a>","P01799824","P01799824_01",NA,NA,NA,NA,NA,NA,NA,NA,"337",NA,NA,NA,NA
"18","2018-07-26 14:23:34-03","MNHN","RECOLNAT_MNHN_P","P01799828","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799828' target='other'> <mi>dwc_moreinfo</mi></a>","P01799828","P01799828_01",NA,NA,NA,NA,NA,NA,NA,NA,"A1 683",NA,NA,NA,NA
"19","2015-09-03 20:53:11-03","MNHN","RECOLNAT_MNHN_P","P01799830","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Miers",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799830' target='other'> <mi>dwc_moreinfo</mi></a>","P01799830","P01799830_01",NA,NA,NA,NA,NA,NA,NA,NA,"3534",NA,NA,NA,NA
"20","2017-03-16 14:12:00-03","MNHN","RECOLNAT_MNHN_P","P01799835","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Gaudichaud",NA,"1831","1","1",NA,"Brasil","Rio de Janeiro",NA,"Brésil. Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799835' target='other'> <mi>dwc_moreinfo</mi></a>","P01799835","P01799835_01",NA,NA,NA,NA,NA,NA,NA,NA,"337",NA,NA,NA,NA
"21","2015-09-03 21:43:42-03","MNHN","RECOLNAT_MNHN_P","P01730360","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore",NA,"Glaziou, A.",NA,"1861","8","15",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. R.J. Cova da Onça, em Corcovado. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730360' target='other'> <mi>dwc_moreinfo</mi></a>","P01730360","P01730360_01","57442","auto",NA,NA,NA,NA,NA,NA,"527",NA,NA,NA,NA
"22","2018-07-26 14:23:34-03","MNHN","RECOLNAT_MNHN_P","P01799829","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Gaudichaud",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01799829' target='other'> <mi>dwc_moreinfo</mi></a>","P01799829","P01799829_01","57442","auto",NA,NA,NA,NA,NA,NA,"337",NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","1980361","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E. Moore",NA,"T. C. Plowman","10174C",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"living material; living material","Received as: plant",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1540545","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E. Moore",NA,"L. B. Smith","1411","1928","12","4","South America - Neotropics","Brazil","Distrito Federal",NA,"Between paineiras and jardim botanico, rio de janeiro",NA,NA,NA,NA,"US00152925","US00152925_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"1","100","400",NA
"25","2020-07-23 12:03:35-03","CEPLAC","CEPEC","14534","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata",NA,"T. S. dos Santos","S. A. Mori","10730","1978","09","19",NA,"Brasil","Bahia","ITAMARAJÚ","Faz. Pau-Brasil, ca. 5Km a NW de Itamarajú.","-39.5311012268066","-17.0391998291016",NA,NA,NA,NA,"55932","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/05/1982"
