"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-30 12:54:12-03","EAO","IAN","116458","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Pickel, DB","1949","04","14","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN116458",NA,"5928","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:54:12-03","EAO","IAN","116458","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Pickel, B","1949","04","14","Brasil","São Paulo",NA,"Juquerí. Wet field.",NA,NA,NA,NA,NA,NA,NA,"IAN116458",NA,"5928","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:54:12-03","EAO","IAN","32126","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Black, GA","1946","12","12","Colômbia","Popayan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN032126","IAN032126","s.n.",NA,NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:54:12-03","EAO","IAN","32126","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Black, GA","1946","12","12","Colômbia","Popayan",NA,"Popayan.",NA,NA,NA,NA,NA,NA,NA,"IAN032126","IAN032126","s.n.",NA,NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:54:12-03","EAO","IAN","63115","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Kuhlmann","1935","04","16","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Raíz da Serra da Grama, dist. Cataguazes.","IAN063115",NA,"s.n.","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:54:12-03","EAO","IAN","63115","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Kuhlmann, JG","1935","04","16","Brasil","Minas Gerais",NA,"Raiz da Serra da Grama dist. Cataguezes.",NA,NA,NA,NA,NA,NA,NA,"IAN063115",NA,"2908","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:54:12-03","EAO","IAN","69387","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Parodi",NA,"Black, GA; Parodi, L","1951","03","10","Argentina",NA,NA,"Universidade Nacional; ex Horto L. Parodi.",NA,NA,NA,NA,NA,NA,"Capim forrageiro.","IAN069387",NA,"11555","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:54:12-03","EAO","IAN","65298","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Sampaio, AJ de","1929","03","06","Brasil","Minas Gerais","Caxambú","Caxambú.","-44.9324989318848","-21.9771995544434",NA,NA,NA,NA,NA,"IAN065298",NA,"5958","Southern America",NA,NA,"Monocotiledônea",NA,"11683","auto",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:54:12-03","EAO","IAN","65298","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Sampaio, AJ de","1929","03","06","Brasil","Minas Gerais","Caxambú","Caxambú.","-44.9324989318848","-21.9771995544434",NA,NA,NA,NA,NA,"IAN065298",NA,"5958","Southern America",NA,NA,"Monocotiledônea",NA,"11683","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:54:12-03","EAO","IAN","66304","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Regnell, I",NA,NA,NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,"IAN066304",NA,"465","Southern America",NA,NA,"Monocotiledônea",NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:54:12-03","EAO","IAN","66304","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Regnell, I",NA,NA,NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,"IAN066304",NA,"465","Southern America",NA,NA,"Monocotiledônea",NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:54:12-03","EAO","IAN","69232","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Black, GA; Adler, P","1951","04","22","Brasil","Rio de Janeiro","Petrópolis","Petropolis; região terrestre em torno da cidade., beira do canal.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"Inflorescenia verde-clara.","IAN069232",NA,"11399","Southern America",NA,NA,"Monocotiledônea",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:54:12-03","EAO","IAN","69232","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Black, GA; Adler, P","1951","04","22","Brasil","Rio de Janeiro","Petrópolis","Petropolis; região terrestre em torno da cidade., beira do canal.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"Inflorescenia verde-clara.","IAN069232",NA,"11399","Southern America",NA,NA,"Monocotiledônea",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:54:12-03","EAO","IAN","67990","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Dutra",NA,NA,NA,"Brasil","Rio Grande do Sul","Gravataí",NA,"-50.9919013977051","-29.9444007873535",NA,NA,NA,NA,NA,"IAN067990",NA,"686","Southern America",NA,NA,"Monocotiledônea",NA,"25424","auto",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:54:12-03","EAO","IAN","67990","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Dutra, J",NA,NA,NA,"Brasil","Rio Grande do Sul","Gravataí",NA,"-50.9919013977051","-29.9444007873535",NA,NA,NA,NA,NA,"IAN067990",NA,"686","Southern America",NA,NA,"Monocotiledônea",NA,"25424","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:28:50-03","UFBA","ALCB","131694","PreservedSpecimen","Plantae","Poaceae","Cenchrus","latifolius","Cenchrus latifolius","(Spreng.) Morrone","Cordeiro, J","2017","Caxambu, MG; Siqueira, EL","2017","03","03","Brasil","Paraná","Serranópolis do Iguaçu","Estrada de chão Céu Azul.","-53.868889","-25.224444","-53.868889","-25.224444","579","579","entouceirada, ca1,6m de altura. Sementes Verdes.; Orla da floresta.","ALCB048410","ALCB048410","7765","Southern America",NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302628","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Fiebrig K","1903","08","20","Bolivia",NA,NA,"Toldos bei Bermejo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302628","NL-L1302628",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302627","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Reitz R; Klein RM","1959","02","19","Brazil",NA,NA,"SANRA CATARINA, Serra Rio do Rastro, Lauro Miller.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302627","NL-L1302627",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302629","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Fiebrig K","1903","07","20","Bolivia",NA,NA,"Toldos bei Bermejo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302629","NL-L1302629",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"30","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302631","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Dusén PKH","1909","03","16","Brazil",NA,NA,"Curityba, in campo humido ad viau ferrcan.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302631 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302631","NL-L1302631",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302633","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Mandon G","1861","02","01","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302633","NL-L1302633",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302634","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Balansa B","1876","03","28","Paraguay",NA,NA,"Berges humides et ombrageés des ruisscaus á l'Est de Caaguazu.-Trés-rare.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302634","NL-L1302634",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.1302635","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Balansa B",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1302635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1302635","NL-L1302635",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:19:40-03","NBC","NL-BOTANY","L.3803847","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Lewis M","1988","05","15","Bolivia",NA,NA,"Depto. La Paz: Prov. Inquisivi: trail to chichipata.","-67.216667","-16.966667","-67.216667","-16.966667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3803847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3803847","NL-L3803847",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:19:40-03","NBC","NL-BOTANY","U.1513686","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Ellenberg H","1957","04","09","Peru",NA,NA,"Cloud forests of the E Andes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1513686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1513686","NL-U1513686",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:19:40-03","NBC","NL-BOTANY","U.1513687","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Renvoize SA; Cope TA","1981","04","07","Bolivia",NA,NA,"La Paz, Murillo. Zongo Valley. Roadside through montane forest.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1513687 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1513687","NL-U1513687",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"37","2020-02-08 10:19:40-03","NBC","NL-BOTANY","U.1513745","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Lindeman JC; Haas JH de","1966","03","06","Brazil",NA,NA,"Est. Paraná. Bariguí near Curitiba; road side.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1513745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1513745","NL-U1513745",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"38","2020-02-08 10:19:40-03","NBC","NL-BOTANY","U.1513746","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"Rambo B","1950","05","08","Brazil",NA,NA,"Rio G. do Sul, Bocódos Faria, pr. Osorio.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1513746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1513746","NL-U1513746",NA,"Southern America",NA,NA,NA,"Poales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"39","2020-11-19 10:24:56-03","CPAP","CPAP","8767","PreserverdSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","A. Pott",NA,"Pott, A.","1991","05","16","Brasil","PR","Colombo","Centro Nacional de Pesquisa de Florestas/Embrapa, estrada da Ribeira km 111","-49.233333","-25.333333","49°14' W","25°20' S","920","920","Erva ereta cespitosa. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Esparsa. AMBIENTE: Borda de mata. SUBSTRATO: solo argiloso. RELEVO: ondulado. <ll>dwc_commonname:</ll> Campim-Taquarinha",NA,NA,"5962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-19 08:08:20-03","FPS","FPS","2217","MachineObservation","Plantae","Poaceae","Cenchrus","latifolius","Cenchrus latifolius","(Spreng.) Morrone","Funez, L.A.","2016","Schwirkowski, P.","2016","04","02","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Linha férrea, próximo à Estrada Saraiva","-49.359212","-26.282203","-49.359212","-26.282203",NA,NA,NA,"FPS02217,FURB49747","FPS02217_v01 FPS02217_v02 FPS02217_v03 FPS02217_v04 FURB49747","1679",NA,NA,NA,NA,NA,NA,NA,NA,"07","22","voucher","FURB 49747",NA,NA
"41","2019-02-15 11:48:20-02","IPA","IPA","9055","S","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Swallen","1950","Pickel, B.","1949","04","14","Brasil","São Paulo",NA,"Juqueri, Num campo fersco.",NA,NA,NA,NA,NA,NA,NA,"IPA0009055",NA,"5928","Southern America",NA,NA,"Plantae",NA,NA,NA,NA,"04",NA,NA,NA,NA,NA
"42","2019-02-15 11:48:20-02","IPA","IPA","9054","S","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Chase","1941","Pickel, B.","1941","04","09","Brasil","São Paulo","São Paulo","Horto Florestal, Á beira da lagoa.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Capim alto.","IPA0009054",NA,"5312","Southern America",NA,NA,"Plantae",NA,"53584","auto",NA,"09",NA,NA,NA,NA,NA
"43","2019-02-15 11:48:20-02","IPA","IPA","9053","S","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Gehrt.",NA,"Pickel, B.","1939","05","08","Brasil","São Paulo","São Paulo","Tremembé, No campo.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"IPA0009053",NA,"4347","Southern America",NA,NA,"Plantae",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-08-27 13:26:07-03","IAP","PACA-AGP","33292","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo",NA,"Emrich, K.","1946","02","26","Brasil","RS","Canela","Caracol","-50.815601348877","-29.3656005859375",NA,NA,NA,NA,"Habitat: ad viam in silva Fenofase: fruto","PACA033292",NA,NA,NA,NA,NA,"Magnoliophyta","Cyperales","16452","auto","Liliatae",NA,NA,NA,NA,NA,NA
"45","2019-08-27 13:26:07-03","IAP","PACA-AGP","33191","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo",NA,"Rambo, B.","1946","01","16","Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Habitat: in dumetosis humidis Fenofase: fruto","PACA033191",NA,NA,NA,NA,NA,"Magnoliophyta","Cyperales","49662","auto","Liliatae",NA,NA,NA,NA,NA,NA
"46","2019-08-27 13:26:07-03","IAP","PACA-AGP","59779","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo","1957","Camargo, O. R.","1957","03","25","Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"fl. Habitat: in dumetosis","PACA059779",NA,"1317",NA,NA,NA,"Magnoliophyta","Cyperales","19545","auto","Liliatae","05","05",NA,NA,NA,NA
"47","2019-08-27 13:26:07-03","IAP","PACA-AGP","59780","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo","1957","Camargo, O. R.","1957","02","15","Brasil","RS","Farroupilha","Est. Exp. Fruticultura","-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"Habitat: in dumetosis Fenofase: flor","PACA059780",NA,"1155",NA,NA,NA,"Magnoliophyta","Cyperales","19545","auto","Liliatae","05","05",NA,NA,NA,NA
"48","2019-08-27 13:26:07-03","IAP","PACA-AGP","29959","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","J.R. Swallen",NA,"E. Friderichs","1945","03","25","Brasil","RS","Montenegro","Kappesberg","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Habitat: ad rivum in dumetosis alte Fenofase: flor","PACA029959",NA,NA,NA,NA,NA,"Magnoliophyta","Cyperales","21601","auto","Liliatae",NA,NA,NA,NA,NA,NA
"49","2019-08-27 13:26:07-03","IAP","PACA-AGP","31269","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo",NA,"Rambo, B.","1946","02","21","Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"Habitat: in dumetosis Fenofase: flor e fruto","PACA031269",NA,NA,NA,NA,NA,"Magnoliophyta","Cyperales","49662","auto","Liliatae",NA,NA,NA,NA,NA,NA
"50","2019-08-27 13:26:07-03","IAP","PACA-AGP","60374","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","Emrich-Rambo","1957","Camargo, O. R.","1956","04","08","Brasil","RS","Santa Maria","Est. Exp. Silvicultura","-53.8069000244141","-29.6842002868652",NA,NA,NA,NA,"Habitat: in dumetosis Fenofase: fruto","PACA060374",NA,"595",NA,NA,NA,"Magnoliophyta","Cyperales","37819","auto","Liliatae","04","29",NA,NA,NA,NA
"51","2019-08-27 13:26:07-03","IAP","PACA-AGP","66196","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","J. R. Swallen","1961","Reitz, R.","1959","03",NA,"Brasil","SC","Lauro Müller","Rio do Meio","-49.3967018127441","-28.3927993774414",NA,NA,"350","350","Habitat: beira de rio Hábito: erva","PACA066196",NA,"8690",NA,NA,NA,"Magnoliophyta","Cyperales","15992","auto","Liliatae",NA,NA,NA,NA,NA,NA
