"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","identifiedBy"
"11","2019-01-23 10:06:34-02","F","FMNH-SEEDPLANTS","V0069609F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana",NA,"H. W. Schott","5334",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0069609F","V0069609F_01",NA,"Dicotyledoneae",NA,NA,"Isosyntype",NA
"12","2019-01-23 10:06:33-02","F","FMNH-SEEDPLANTS","V0069610F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana",NA,"H. W. Schott","889",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0069610F","V0069610F_01",NA,"Dicotyledoneae",NA,NA,"Isosyntype",NA
"13","2020-07-23 12:20:40-03","CEPLAC","CEPEC","137601","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana",NA,"S. J. S. Neto","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","ITATIAIA","Parque nacional do Itatiaia. Início da trilha Maromba-Planalto (por Mauá).","-44.5633010864258","-22.4960994720459","19648",NA,NA,NA,NA,"auto",NA,NA,NA,NA,"S. J. S. Neto"
"14","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","obscura","Ixora obscura","Müll.Arg.","Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Brasilia orientali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","obscura","Ixora obscura","Müll.Arg.","Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia orientali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Schott, HW","5334",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Serra Tingua",NA,NA,NA,NA,NA,NA,"P06P5N0009",NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Schott, HW","5334",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Serra Tingua",NA,NA,NA,NA,NA,NA,"P06P5N0009",NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Schott, HW","889",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Serra Tingua",NA,NA,NA,NA,NA,NA,"P06P5N0009",NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:13:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Schott, HW","889",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Serra Tingua",NA,NA,NA,NA,NA,NA,"P06P5N0009",NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:18:02-03","IBt","SP","477077","S","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Silva Neto, SJ; Silva, W","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Início da trila Maromba-Planalto (por Mauá)","-44.5633010864258","-22.4960994720459","19648",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA
"21","2014-09-23 10:59:25-03","G","G","G00300164","S","Plantae",NA,NA,"Rubiaceae","Ixora","obscura","Ixora obscura","Müll. Arg.","Sello, F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=221634&base=img&lang=en","G00300164","G00300164",NA,NA,"-53.08972222","-10.77305556","TYPUS of Ixora obscura Müll. Arg.","?"
"22","2014-09-23 10:59:25-03","G","G","G00300169","S","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll. Arg.","Schott, H. W.","889",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro","Nova Iguaçu",NA,"-43.46027778","-22.75555556",NA,NA,"Coordinate uncertainty: Precision undefined Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=221645&base=img&lang=en","G00300169","G00300169",NA,NA,"-43.46027778","-22.75555556","TYPUS of Ixora schottiana Müll. Arg.","?"
