"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","class","sex"
"11","2021-04-07 11:46:53-03","UFMS","CGMS","69076","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","V.J. Pott","V.J. Pott; A. Pott","7757","2005","04","22",NA,"Brasil","Mato Grosso do Sul","Água Clara","Fazenda São Lourenço, 27 Km de Água Clara p/ inocência.","-52.7344444","-20.2563889","420","420",NA,"Flor ausente. Fruto imaturo verde. Habitat: Campo úmido graminoso ralo c/ veios d#?#água e surgências; entre ex-cerrado e mata de galeria. Solo arenoso, hidromórfico. Relevo levemente inclinado. Ocasional. Habito: Erva aquática anfíbia","CGMS1102034",NA,"2009","04","03",NA,NA,"-52,7344444","-20,2563889",NA,NA,NA,NA,NA
"12","2021-04-07 11:46:53-03","UFMS","CGMS","25529","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","V.J.Pott","S.A. Cunha; V.J.Pott & S.R.Cieslak","1","2006","03","17",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Embrapa Gado de Corte,Lagoão,cerca de 1km leste da sede.","-54.7044444","-20.4491666","550","550",NA,"Flor amarela. Habitat: Campo graminoso úmido de nascente no entorno de açúde em domínio de Cerrado Habito: Erva ereta 50-70cm altura.","CGMS1054954",NA,NA,NA,NA,NA,NA,"-54,7044444","-20,4491666",NA,NA,NA,NA,NA
"13","2021-04-07 11:46:53-03","UFMS","CGMS","14330","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","A. Sciamarelli; F.G. Kuhn; C.S.C. Arruda","1942","2004","04","21",NA,"Brasil","Mato Grosso do Sul","Inocência",NA,"-51.8811111","-19.5686111",NA,NA,NA,"Pétalas envelhecidas com manchas marroms. Planta apresentandoFloração. Heliófita. Mesófita. Ripária. Habitat: Relevo ondulado sem drenagem. Habito: Erva.","CGMS1043799",NA,"2006","02","17",NA,NA,"-51,8811111","-19,5686111",NA,NA,NA,NA,NA
"14","2021-04-07 11:46:53-03","UFMS","CGMS","14055","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","E.L. Jacques; A. Sciamarelli; A. Calvalcante; C.S.C. Arruda; F.G. Kuhn","1252","2004","04","16",NA,"Brasil","Mato Grosso do Sul","Paranaíba","Fazenda Nova Ponte.","-51.0891666","-19.3047222",NA,NA,NA,"Cálice verde. Corola amarela. Planta naFloração. Terrestre.Labelos alvos na região central-longitudinal amarelo. Mesofítica. Habitat: Relevo plano com drenagem. Habito: Erva.","CGMS1043511",NA,"2006","02","17",NA,NA,"-51,0891666","-19,3047222",NA,NA,NA,NA,NA
"15","2021-04-07 11:46:53-03","UFMS","CGMS","14198","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","A. Sciamarelli; A. Calvalcante; C.S. Arruda; F.G. Kuhn","1793","2004","04","18",NA,"Brasil","Goiás","Itajá",NA,"-51.0891666","-19.3047222",NA,NA,NA,"Corola de cor amarela, as pétalas velhas estão manchadas de marrom, quando novas são amarelas somente. Planta apresenta floração. Heliófita. Higrófita. Hidrófita. Habitat: Borda e interior de mata. Relevo ondulado sem drenagem. Habit","CGMS1043660",NA,"2006","02","17",NA,NA,"-51,0891666","-19,3047222",NA,NA,NA,NA,NA
"16","2021-04-07 11:46:53-03","UFMS","CGMS","62053","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","V.J. Pott","A. Pott; V.J. Pott","16086","2011","05","19",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7905555","-20.5563889","511","511",NA,"Flor amarela. Fruto ausente. Habitat: Borda de campo úmido, em nascente. Solo argiloso, úmido. Relevo plano. Habito: Erva anfíbia de 10-15 cm de altura e escapo 25-30 cm. Rara.","CGMS1095049",NA,NA,NA,NA,NA,NA,"-54,7905555","-20,5563889",NA,NA,NA,NA,NA
"17","2021-04-07 11:46:53-03","UFMS","CGMS","14923","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,NA,"1252","2004","04","16",NA,"Brasil","Mato Grosso do Sul","Paranaíba","Fazenda Nova Ponte.","-51.0891666","-19.3047222",NA,NA,NA,"Cálice verde e corola amarela. Planta apresenta floração. Terrestre.Labelos alvos na região central-longitudinal amarelo. Mesofítica. Habitat: Plano com drenagem. Rara Habito: Erva.","CGMS1044414",NA,NA,NA,NA,NA,NA,"-51,0891666","-19,3047222",NA,NA,NA,NA,NA
"18","2021-04-07 11:46:53-03","UFMS","CGMS","13617","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","L. Bianchetti","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6955","2004","04","04",NA,"Brasil","Mato Grosso do Sul","Costa Rica","Fazenda Potreiro do Sucuriú, próximo à sede.","-53.1922222","-19.0230556","530","530",NA,"Flor amarela-clara. Fruto ausente. Habitat: Brejo com água corrente ao longo de pequeno córrego. Solo hidromórfico arenoso. Relevo inclinado. Habito: Erva aquática emergente/anfíbia. Rara. 30-50 cm de altura.","CGMS1043064",NA,NA,NA,NA,NA,NA,"-53,1922222","-19,0230556",NA,NA,NA,NA,NA
"19","2021-04-07 11:46:53-03","UFMS","CGMS","14057","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","E.L. Jacques; A. Sciamarelli; A. Calvalcante; C.S.C. Arruda; F.G. Kuhn","1254","2004","04","16",NA,"Brasil","Mato Grosso do Sul","Paranaíba","Fazenda Nova Ponte.","-51.0891666","-19.3047222",NA,NA,NA,"Cálice amarelo-esverdeado. Corola amarela. Planta apresenta floração.Labelo amarelo com região central-longitudinal. Com aranha fazendo ninho. Terrestre. Heliófita. Mesofítica. Habitat: Relevo plano com drenagem. Habito: Erva.","CGMS1043513",NA,"2006","02","17",NA,NA,"-51,0891666","-19,3047222",NA,NA,NA,NA,NA
"20","2021-04-07 11:46:53-03","UFMS","CGMS","51185","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","V.J. Pott; A. Pott; A.L.B. Sartori; L.C.P. Lima","5391","2002","04","22",NA,"Brasil","Mato Grosso do Sul","Bataguassu","Rio Pardo, Rodovia MS-276, 5 km N de Bataguassu.","-52.4022222","-21.6783334",NA,NA,NA,"Flor amarela. Habitat: Campo inundável de várzea, perturbado, com cavalos. Solo siltoso. Relevo plano. Rara. Habito: Erva ereta.","CGMS1081172",NA,NA,NA,NA,NA,NA,"-52,4022222","-21,6783334",NA,NA,NA,NA,NA
"21","2021-04-07 11:46:53-03","UFMS","CGMS","13674","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","L. Bianchetti","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","7021","2004","04","07",NA,"Brasil","Mato Grosso do Sul","Chapadão do Sul","Fazenda Pedra Branca, lagoinha, próximo ao Rio Sucuriú.","-52.7611111","-19.2622222","420","420",NA,"Flor amarela-clara. Habitat: Vereda de buriti (Mauritia flexuosa) em vale, ao longo de paliteiro (árvores mortas por assoreamento). Relevo levemente inclinado. Habito: Erva aquática anfíbia. 30-40 cm de altura.","CGMS1043125",NA,"2005","06","29",NA,NA,"-52,7611111","-19,2622222",NA,NA,NA,NA,NA
"22","2021-03-01 16:20:15-03","UNICAMP","UEC","118021","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","Batista, JAN","Batista, JAN; Oliveira, RS","787","1998","04","01",NA,"Brazil","Tocantins","Porto Nacional","Abaixo da cidade (direção norte), No caminho em direção a draga e ao Rio Tocantins. Campo limpo úmido a borda de mata e com alguns Babaçus no campo. Área não queimada, cobertura graminosa densa e mais ou menos alta. Alguns pontos do campo com grande","-48","-10",NA,NA,NA,"Plantas crescendo predominantemente em locais mais ou menos secos, mas alguns exemplares também em locais mais úmidos, com água sobre a superfície. Mais ou menos comum. Observado vários exemplares mais ou menos esparsos pelo campo. Em","UEC034367","UEC034367","1998",NA,NA,NA,NA,"-48","-10",NA,NA,NA,NA,NA
"23","2021-02-16 14:02:10-03","UNICAMP","UEC","138387","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","Singer, RB","Prado, AL; Ferreira, MA","2607","1993","03","20",NA,"Brazil","Mato Grosso","Poconé","Fazenda Ipiranga, Campo razoavelmente alagável.","-56.616667","-16.416667",NA,NA,NA,"Erva ca. de 70 cm de altura; Flores amarelas.","UEC034368","UEC034368","2004","05","15",NA,NA,"-56.616667","-16.416667",NA,NA,NA,NA,NA
"24","2019-08-20 10:00:50-03","UNICAMP","UEC","118902","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","Carvalho, BM","Moraes, MD; Silva, GP; Oliveira, RC; Valls, JFM","606","2001","03","22",NA,"Brazil","Mato Grosso do Sul","Paranaíba","Rodovia MS 306, Margem do Córrego Fundo, local brejoso.","-51.1907997131348","-19.6772003173828",NA,NA,NA,"Flores amarelas.","UEC034711","UEC034711","2013","04","05","84424","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:38:30-03","MBM","MBM","30886","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","Pabst, G.","Hatschbach, G.","34213","1974","02","14","Southern America","Brazil","Mato Grosso","Alto Araguaia","Córrego Rancho","-53.2153015136719","-17.3146991729736",NA,NA,NA,NA,"MBM030886","MBM030886",NA,NA,NA,"100273","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:38:30-03","MBM","MBM","121749","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","Miranda, F.E.","Teixeira, L.O.A.; et al.; et al.","s.n.","1983","02","09","Southern America","Brazil","Rondônia",NA,"Estrada Porto Velho - Cuiabá, BR-364, km 159",NA,NA,NA,NA,NA,NA,"MBM121749","MBM121749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-09-03 20:11:57-03","MNHN","RECOLNAT_MNHN_P","P00386903","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Cogn.","Batista","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas Geraes, Serra de Caraça",NA,NA,NA,NA,"hb","1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00386903' target='other'> <mi>dwc_moreinfo</mi></a>","P00386903","P00386903_01 P00386903_02",NA,NA,NA,NA,NA,NA,NA,"14295",NA,NA,NA,NA
"28","2020-12-11 11:44:37-03","UFMG","BHCB","154105","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"Silva, GP da","14215","2009","04","24","Southern America","Brasil","Tocantins","Guaraí","Guaraí, Margem esquerda da ferrovia Norte Sul, estrada vicinal Guaraí - Itupiratins, margeando a ferrovia","-48.424167","-8.791944",NA,NA,NA,"Erva ereta com cerca de 90 cm de altura. Flor amarela. Labelo amarelo, sépalas verde clara.; Cerrado vereda. Área de influência indireta. Campo úmido sujeito a inundação sazonal.","BHCB026924",NA,"2015","08","07",NA,NA,"-48.424167","-8.791944",NA,NA,NA,NA,NA
"29","2020-12-11 11:44:37-03","UFMG","BHCB","158441","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"Arantes, AA; Romero, R; Bernardes, PHN; Hattori, EKO; Freitas, FS","1634","2006","02","15","Southern America","Brasil","Minas Gerais","Região da repressa de Furnas","Estrada para Cachoeira Feixo da Serra, Rio Turvo, próximo ao trecho de asfalto",NA,NA,"786","786",NA,"Campo úmido. Erva, ca. 0,6. Cálice verde, corola amarelo-esverdeada.",NA,NA,"2012","05","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:44:37-03","UFMG","BHCB","44432","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"Harley, RM; et al.","28535","1997","03","29","Southern America","Brasil","São Paulo",NA,"Bocaina do Sul, Bocaina do Sul, Guará, São José","-47.78","-20.51","600","600",NA,"pétalas amarelas, coluna verde. Folhas membranáceas.",NA,NA,NA,NA,NA,NA,NA,"-47.78","-20.51",NA,NA,NA,NA,NA
"31","2020-12-11 11:44:37-03","UFMG","BHCB","69998","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"Batista, JAN; Oliveira, RS","787","1998","04","01","Southern America","Brasil","Tocantins",NA,"Próximo a Porto Nacional. Abaixo da cidade (direção norte), no caminho em direção a draga e ao Rio Tocantins.",NA,NA,NA,NA,NA,"Sépalos verde claro, pétalos e labelo com a base branca e os segmentos amarelo claro. Lobo mediano do rostelo verde, estames amarelos, canais das anteras brancos. Ovário verde claro; Em campo limpo úmido a borda de mata e com alguns B","BHCB001601","BHCB001601","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2008-12-18 03:32:00-02","MO","MOBOT","1899718","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","I. G. Vargas (USZ)","Israel G. Vargas C.|C.G. Jordán","Vargas Caballero 6681","2002","3","5","South America","Bolivia","Santa Cruz","Velasco","Estacio|n Flor de Oro 100 metros al Norte de Casa de Guardaparque. Borde de pampa territorio base de monticulos con arbusto de 3 metros de altura y paja (gramineas)de 0,70 cm de altura.","-61.01055","-13.54694","180.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-31 09:19:37-03","INPA","INPA","111731","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","Batista, JAN","Teixeira, LOA","1392","1983","02","09","Southern America","Brasil","Rondônia",NA,"BR 364, Estrada Porto Velho-Cuiabá, Km 159, margem esquerda.","-63.15","-9.4",NA,NA,NA,NA,"INPA0111731","INPA0111731 INPA0111731_e INPA0111731_e1","1998",NA,NA,NA,NA,"-63.15","-9.4",NA,NA,NA,NA,NA
"34","2020-08-31 09:19:37-03","INPA","INPA","83268","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"Macêdo, M","829","1978","03","18","Southern America","Brasil","Mato Grosso","Poxoréu","Estrada Poxoréu-Juscimeira, Proximidades da Ponte do Ribeirão do Corguinho.","-54.304167","-15.7","450","450",NA,NA,"INPA0083268","INPA0083268 INPA0083268_e INPA0083268_e1",NA,NA,NA,NA,NA,"-54.304167","-15.7",NA,NA,NA,NA,NA
"35","2020-08-31 09:19:37-03","INPA","INPA","127039","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","Cardoso, A","Ferreira, CAC","5575","1985","04","15","Southern America","Brasil","Amazonas","Manicoré","BR 230, 110 km ao L de Humaitá, R.I. dos Tenharim, BR 230, 110 km ao L de Humaitá; Rio Marmelos entre a Rod. e a Cachoeira do Paricá ( R.I. dos Tenharim).","-62.25","-7.833333",NA,NA,NA,NA,"INPA0127039","INPA0127039 INPA0127039_e INPA0127039_e1","2000","03",NA,NA,NA,"-62.25","-7.833333",NA,NA,NA,NA,NA
"36","2021-03-04 11:06:02-03","UFRB","HURB","16876","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.",NA,"Moura, E.O.; Bezerra, R.M.A.; Barbosa, A.G.S.; Costa, H.A.N.; Vasconcelos, W.A.; Leitão, A.C.","85","2012","08","18",NA,"Brasil","Rio Grande do Norte","Rio do Fogo","Pititinga;","-35.363889","-5.380278","14","14",NA,"UFRN 14381.","HURB000016876","HURB000016876",NA,NA,NA,NA,NA,"35º21'50W","5º22'49S",NA,NA,NA,NA,NA
"37","2014-11-06 16:18:26-02","UFPB","EAN","11912","S","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","kraenzl.ex.Cogn.","J. A. N. Batista","João A. N. Batista ; Rafael S. Oliveira","787","1998","04","01",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Erva terrestre, em campo limpo úmido a borda de mata e com alguns babaçus no campo..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-02 16:34:59-03","Cenargen","CEN","59275","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","G. P. Silva","Glocimar Pereira-Silva","9035","2004","04","23",NA,"Brasil","PA","SAO GERALDO DO ARAGUAIA","Parques Estadual das Andorinhas, margem esquerda do rio Araguaia.","-48.5550003051758","-6.40055990219116","130","130","Unicata",NA,"CEN00059275","CEN00059275","2004","04",NA,"72333","auto",NA,NA,NA,"1",NA,NA,NA
"39","2020-09-02 16:34:59-03","Cenargen","CEN","99645","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","L. B. Bianchetti","Glocimar Pereira-Silva","14215","2009","04","24",NA,"Brasil","TO","GUARAI","Margem esquerda da ferrovia Norte Sul, estrada vicinal Guaraí - Itupiratins, margeando a ferrovia.","-48.5102996826172","-8.8341703414917","270","270","Exsicatas","Labelo amarelo, sépalas verde clara. Área de influência indireta. Campo úmido sujeito a inundação sazonal.","CEN00099645","CEN00099645","2017","10",NA,"51903","auto",NA,NA,NA,"5",NA,NA,NA
"40","2020-09-02 16:34:59-03","Cenargen","CEN","99807","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","L. B. Bianchetti","Glocimar Pereira-Silva","14379","2009","05","03",NA,"Brasil","TO","PALMEIRANTE","Estrada balsa do rio Tocantins (Palmeirante) Goiatins, km 01.","-47.9258003234863","-7.8600001335144","180","180","Unicata","Área plana, sujeita a inundação. Área de influência indireta.","CEN00099807","CEN00099807","2017","10",NA,"62049","auto",NA,NA,NA,"1",NA,NA,NA
"41","2020-09-02 16:34:59-03","Cenargen","CEN","66938","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","J. A. N. Batista","Glocimar Pereira-Silva","9840","2005","03","07",NA,"Brasil","TO","PALMEIRANTE","Estrada Palmeirante - Barra do Ouro, km 6.","-47.9258003234863","-7.8600001335144","190","190","Exsicatas","Área de influência indireta.","CEN00066938","CEN00066938","2009","08",NA,"62049","auto",NA,NA,NA,"4",NA,NA,NA
"42","2020-09-02 16:34:59-03","Cenargen","CEN","30748","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","J. A. N. Batista","João Aguiar Nogueira Batista","788","1998","04","02",NA,"Brasil","TO","LAJEADO","Serra do Lajeado, entre o povoado de Lajeado e Palmas, na parte norte da serra após a usina do Lajeado, na segunda entrada a direita, após s subida da serra no caminho de volta em direção ao asfalto, próximo ao local conhecido como Poção","-48.3581008911133","-9.75139045715332",NA,NA,"Exsicatas","Em campo limpo estacionalmente úmido com alguns arvoresde baixo porte circulando o campo limpo seco cascalhado área ptovavelmente queimada durante a secacobertuta herbacea baixa, demais informações na exsicata, Doção Flora do Brasil - Estado do Tocantins","CEN00030748","CEN00030748","1998","04",NA,"46431","auto",NA,NA,NA,"1",NA,NA,NA
"43","2020-09-02 16:34:59-03","Cenargen","CEN","38167","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","M. D. Moraes","Marta Dias de Moraes","606","2001","03","22",NA,"Brasil","MS","PARANAIBA","Rodovia MS 306, margem do Córrego Fundo, local brejoso.","-51.1907997131348","-19.6772003173828",NA,NA,"Exsicatas","Flores amarelo. Doação da Flora do Mata Grosso do Sul. patrocínio: FAPESP & EMBRAPA.","CEN00038167","CEN00038167","2001","03",NA,"84424","auto",NA,NA,NA,"1",NA,NA,NA
