"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","stateProvince","coordinatePrecision","geoFlag","class","typeStatus","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"13","2021-03-15 16:37:00-03","NY","NYBG","520602","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","6576","1959","11","22","Brazil","Guaratuba","Serra de Araçtuba","-48.5744","-25.8831",NA,NA,"1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520602","NY00520602_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03561865","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"C. Baez","1152","2016","10","07","Brazil","Teresópolis","Parque Estadual dos Três Picos. Morro Branca de Neve.","-42.7606","-22.3542",NA,NA,"2040","2040","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3860633' target='other'> <mi>dwc_moreinfo</mi></a>","NY03561865",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02098800","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","746","2010","01","20","Brazil","Teresópolis","Parque Nacional da Serra dos Órgãos, proximidades da Pedra do Sino","-43.026667","-22.46",NA,NA,"2080","2080","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305635' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098800","NY02098800_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","520611","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","25381","1970","11","13","Brazil","Morretes","Serra Marumbi, Pico Olimpo","-48.8342","-25.4769",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520611","NY00520611_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","520616","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"W. R. Anderson","35813","1972","02","11","Brazil",NA,"Serra do Espinhaço; Eastern slopes of Pico do Itambé",NA,NA,NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520616","NY00520616_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","520615","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"J. Cordeiro","907","1992","02","19","Brazil","Campo Alegre","Serra do Iquererim","-49.2656","-26.1925",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520615","NY00520615_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00520614","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"T. C. Plowman","10136","1980","04","22","Brazil","Petrópolis","Estrada Inglesa-Pati do Alfreres. Floresta sob Regima de preservaçao permanente do IBDF","-43.1783","-22.505",NA,NA,"1180","1180","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520614","NY00520614_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","03561949","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"C. Baez","357","2016","01","26","Brazil","Santa Maria Madalena","Parque Estadual do Desengano. Pedra do Desengano. Campo de Altitude próximo ao cume.","-41.9119","-21.8989",NA,NA,"1729","1729","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3862750' target='other'> <mi>dwc_moreinfo</mi></a>","NY03561949",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","520610","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"D. R. Hunt","6376","1966","07","19","Brazil","Lauro Muller","Serra Geral, Serra do oratorio, near road between Lauro Müller and Bom Jardim","-49.3967","-28.3931",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520610","NY00520610_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02098786","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1112","2010","01","21","Brazil","Nova Friburgo","Pico da Caledônea","-42.585121","-22.354366",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084719' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098786","NY02098786_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","03257244","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"P. Rosa","1006","2016","08","25","Brazil","Santa Maria Madalena","Parque Estadual do Desengano. Mata nebular, passando o pico do desengano.","-41.9114","-21.8969",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578882' target='other'> <mi>dwc_moreinfo</mi></a>","NY03257244",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","520607","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","17855","1967","11","15","Brazil","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299",NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520607","NY00520607_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3107699","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"R. Goldenberg","795","2005","10","24","Brazil","Campina Grande do Sul","Subida para o Pico Paraná","-49.0553","-25.3058",NA,NA,"1550","1550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3446948' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107699","NY03107699_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01197979","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","R. Goldenberg",NA,NA,NA,"J. L. Paixão","745","2006","02","26","Brazil","Rio de Contas","Pico das Almas. 25 km do centro da cidade em direção ao campo do Queiroz","-41.9503","-13.5503",NA,NA,"1250","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197979","NY01197979_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Bahia",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00909023","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","31441","1973","07","10","Brazil","Caparaó","Parque Nacional do Caparaó. Margens de córrego no caminho ao Pico da Bandeira.","-41.834172","-20.410681",NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909023","NY00909023_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02098886","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1223","2011","02","10","Brazil","Santa Maria Madalena","Trilha para o Alto do Desengano","-41.9112","-21.89375",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084813' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098886","NY02098886_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","520604","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","9219","1959","10","23","Brazil","Blumenau","Morro Spitzkopf","-49.132229","-27.025081",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520604","NY00520604_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","03287702","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"P. Rosa","909","2016","08","08","Brazil","Silva Jardim","Area de Protecao Ambiental de Macae de Cima. Serra de Macae de Cima, localidade de Macae de Cima, inicio da trilha do vale do rio das Flores para a cumeada das velutinas, Trilha na curva de nivel em direcao ao pico da Velutina. Mata nebular, em direcao ao pico da velutina.","-42.505","-22.4364",NA,NA,"1162","1162","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578900' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287702",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","629547","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","S. F. Smith",NA,NA,NA,"R. A. Wasum","186","1999","10","23","Brazil","Cambará do Sul","Estrada para Fortaleza","-50.1444","-29.0481",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629547","NY00629547_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","520612","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. M. Harley","26318","1988","11","10","Brazil","Rio de Contas","Pico das Almas. Vertente leste. Subida do pico do campo norte do Queiroz","-41.97","-13.53",NA,NA,"1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520612","NY00520612_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Bahia",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02098824","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1115","2010","01","21","Brazil","Nova Friburgo","Pico da Caledônea","-42.585121","-22.354366",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084722' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098824","NY02098824_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","520601","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","5388","1957","10","24","Brazil","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520601","NY00520601_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02098860","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1171","2011","02","03","Brazil","Ouro Preto","P. E. do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084770' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098860","NY02098860_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Minas Gerais","44599","auto",NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01874771","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1467","2014","01","22","Brazil","Campina Grande do Sul","Subida para o Itapiroca.","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874771","NY01874771_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná","55154","auto",NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02098773","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1064","2010","01","02","Brazil","Cambará do Sul","Canyon do Itaimbezinho","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084678' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098773","NY02098773_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio Grande do Sul","30776","auto",NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02012808","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"M. Reginato","1321","2012","02","14","Brazil","São Paulo","P.E. da Serra do Mar, Núcleo Curucutu, trilha do campo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499679' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012808","NY02012808_01","South America","sheet",NA,"Magnoliophyta","Myrtales","São Paulo","53584","auto",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","02499175","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1321","2012","02","14","Brazil","São Paulo","P.E. da Serra do Mar, Núcleo Curucutu, trilha do campo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085132' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499175","NY02499175_01","South America","sheet",NA,"Magnoliophyta","Myrtales","São Paulo","53584","auto",NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01874468","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1440","2013","02","08","Brazil","São José do Barreiro","P.N. da Bocaina.","-44.684548","-23.029725",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085251' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874468","NY01874468_01","South America","sheet",NA,"Magnoliophyta","Myrtales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01874764","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1227","2011","02","16","Brazil","Guaratuba","Morro dos Perdidos","-49.00503","-25.53484",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084817' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874764","NY01874764_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01197965","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","R. Goldenberg",NA,NA,NA,"J. L. Paixão","733","2006","02","26","Brazil","Rio de Contas","Pico das Almas. 25 km do centro da cidade em direção ao campo do Queiroz","-41.9503","-13.5503",NA,NA,"1250","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408270' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197965","NY01197965_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Bahia",NA,NA,NA,NA,NA,NA,NA,NA
