"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"22","2021-03-15 16:37:00-03","NY","NYBG","2150024","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"S. Tsugaru","B-445","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304478' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150024","1987","07","24","Magnoliophyta","Malpighiales","Cambess.",NA,"Pará",NA,"Isl. Outeiro, suburb of Belém",NA,NA,NA,"NY02150024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00897202","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","10225","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897202","1965","11","12","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Distrito Federal","Brasília","Ca. 3 km S.E. of Gama","-48.06349","-15.96917","1200","NY00897202_01","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00897155","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. E. Schatz","833","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897155","1983","03","02","Magnoliophyta","Malpighiales","Cambess.","K. A. Vincent","Maranhão","Barra do Corda","Cachoerinha, 57 km SSW of Barra do Corda, along the Rio Corda","-45.37","-5.88",NA,"NY00897155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00897172","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. P. Heringer","14798","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897172","1975","08","02","Magnoliophyta","Malpighiales","Cambess.","D. C. Daly; Z. Marchal","Distrito Federal","Brasília","Reserva Ecológica de Águas Emendadas, Brasília. Margem do corrego Alexandre Brade.","-47.9294","-15.7797",NA,"NY00897172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2149991","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"J. L. Zarucchi","2871","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304439' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149991","1983","06","25","Magnoliophyta","Malpighiales","Cambess.",NA,"Amazonas","Borba","5 Km S of Borba.","-59.583333","-4.383333",NA,"NY02149991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2149998","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"B. Maguire","40207","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304446' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149998","1954","12","11","Magnoliophyta","Malpighiales","Cambess.",NA,NA,NA,"Vista Geral. Rio Cotinga.",NA,NA,"720","NY02149998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00897148","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. P. Heringer","12897","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897148","1973","10","02","Magnoliophyta","Malpighiales","Cambess.","D. C. Daly; Z. Marchal","Distrito Federal","Brasília","Catetinho.","-47.988069","-15.948311",NA,"NY00897148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00897210","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"A. P. Duarte","8409","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897210","1964","07","23","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Distrito Federal","Brasília","Brasília- Sobradinho.","-47.9294","-15.7797",NA,"NY00897210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00897167","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. P. Heringer","1138","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897167","1979","04","09","Magnoliophyta","Malpighiales","Cambess.",NA,"Distrito Federal","Brasília","Rio São Bartolomeu, área de inundação da Barragem, Brasília.","-47.9294","-15.7797",NA,"NY00897167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00897182","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"P. W. Richards","6527","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897182","1968","07","27","Magnoliophyta","Malpighiales","Cambess.",NA,"Mato Grosso",NA,"Near road, c. 2 km. S. of boundary of Fazenda Suiá Missú",NA,NA,NA,"NY00897182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2150008","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"P. L. B. Lisboa","1402","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304456' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150008","1980","11","04","Magnoliophyta","Malpighiales","Cambess.",NA,"Pará","Tucuruí","Margem esquerda do rio Tocantins, km 20 da BR-422, ramal à esquerda.","-49.6933347","-3.9414729",NA,"NY02150008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00897177","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. Gardner","1525","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897177","1836",NA,NA,"Magnoliophyta","Malpighiales","Cambess.",NA,"Ceará",NA,NA,NA,NA,NA,"NY00897177_01 NY00897177_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","2149960","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. L. Sette Silva","524","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304400' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149960","1986","06","06","Magnoliophyta","Malpighiales","Cambess.",NA,"Roraima","Boa Vista","Platô da Serra Tapequém, leste da Corrutela","-61.83","-3.75","1800","NY02149960_01","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00897071","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"R. M. Harley","10350","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897071","1968","09","30","Magnoliophyta","Malpighiales","Cambess.",NA,"Mato Grosso",NA,"R 16 c. 9 km. North of base camp.","-51.77","-12.82",NA,"NY00897071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2150018","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"D. C. Daly","976","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304471' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150018","1981","10","28","Magnoliophyta","Malpighiales","Cambess.",NA,"Pará",NA,"Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263","-49.559238","-3.764177",NA,"NY02150018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00748761","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","10872","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748761","1965","12","01","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 12 km S. of Corumbá de Goiás.","-48.8086","-16.03204","1000","NY00748761_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00897150","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"R. C. de Mendonça","124","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897150","1980","03","27","Magnoliophyta","Malpighiales","Cambess.","K. A. Vincent","Goiás","Luziania","Santo Antonio do Descoberto","-47.9503","-16.2528",NA,"NY00897150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00897157","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"B. A. S. Pereira","929","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897157","1984","03","15","Magnoliophyta","Malpighiales","Cambess.","B. A. S. Pereira","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu. Fazenda Santa Juliana, adjacencias do ribeirão Taboca.","-47.9294","-15.7797",NA,"NY00897157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00897178","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. Gardner","1525","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897178","1836",NA,NA,"Magnoliophyta","Malpighiales","Cambess.",NA,"Ceará",NA,NA,NA,NA,NA,"NY00897178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00897176","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"J. A. Ratter","4560","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897176","1980","10","21","Magnoliophyta","Malpighiales","Cambess.",NA,"Distrito Federal","Brasília","Fazenda Agua Limpa (university of Brasília field station), near Vargem Bonita, ca. 18 km SSW of Brasília TV tower. In Cerradão Reserve (NW of Fazenda).","-47.9294","-15.7797",NA,"NY00897176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00897179","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"R. de Lemos Fróes","1810","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897179","1932","08","19","Magnoliophyta","Malpighiales","Cambess.",NA,"Maranhão",NA,"Maracassumé River Region. Campo de Boa Esperança.",NA,NA,NA,"NY00897179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00897164","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","25554","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897164","1970","01","28","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","1050","NY00897164_01","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
