"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","relatedCatalogItem"
"11","2020-11-04 11:11:17-03","ESALQ","ESA","112105","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Assis, C.K.","18.0","2008","09","21",NA,"Brasil",NA,NA,NA,"ESA112105","Magnoliophyta",NA,NA,"São Paulo","ESA112105","Corrêa, A.C. & Souza, V.C.","Ilha do Cardoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:11:17-03","ESALQ","ESA","68272","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Oliveira, A.A.; Passold, A.J.; Nogueira, L.; Matteo, B.C.; Giarola, N.; Fonseca, M.G.; Gandolfi, S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3679.0","2000","04","24",NA,"Brasil",NA,NA,"Árvore com 5 metros de altura. Frutos imaturos verdes.","ESA068272","Magnoliophyta",NA,"(Casar.) Cuatrec.","São Paulo","ESA068272","Stella, A.","Mogi das Cruzes - estrada Usaca","Estrada Usaca em torno da represa Casa Grande da Sabesp - Planalto Paulistano a 800 m.s.m. Floresta Ombrófila Densa de Planalto, com perturbação","-455.734","-233.917",NA,NA,NA,NA,NA,NA,"-455,734","-233,917",NA,NA,NA,NA,NA
"13","2020-11-04 11:11:17-03","ESALQ","ESA","104403","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Pinho-Ferreira, M.A.M.","519.0","2006","04","05",NA,"Brasil",NA,NA,NA,"ESA104403","Magnoliophyta",NA,NA,"Espírito Santo","ESA104403",NA,"Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:11:17-03","ESALQ","ESA","40141","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Ziller, S.R. ; Curcio, G.","621.0","1994","11","25",NA,"Brasil",NA,NA,NA,"ESA040141","Magnoliophyta",NA,"(Casar.) Cuatrec.","Paraná","ESA040141","Hatschbach, G.","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:11:17-03","ESALQ","ESA","75378","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2159.0","2001","04","12",NA,"Brasil",NA,NA,"Árvore, 6m alt. Frutos castanhos. Interior de mata de encosta.","ESA075378","Magnoliophyta",NA,"(Casar.) Cuatrec.","São Paulo","ESA075378",NA,"São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"53584","auto",NA,NA,NA,"700","700",NA,NA,NA
"16","2020-11-04 11:11:17-03","ESALQ","ESA","61909","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Kozera, C. et al.","826.0","1999","01","10",NA,"Brasil",NA,NA,NA,"ESA061909","Magnoliophyta",NA,"(Casar.) Cuatrec.","São Paulo","ESA061909","Souza, V.C. & Rodrigues, R.R.","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:11:17-03","ESALQ","ESA","29562","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Ivanauskas, N.M.",NA,"1995","01","01",NA,"Brasil",NA,NA,NA,"ESA029562","Magnoliophyta",NA,"(Casar.) Cuatrec.","São Paulo","ESA029562","Ivanauskas, N.M.","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:11:17-03","ESALQ","ESA","105453","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Aguiar, O.T.",NA,"2002","03","13",NA,"Brasil",NA,NA,NA,"ESA105453","Magnoliophyta",NA,NA,"São Paulo","ESA105453","Aguiar, O.T.","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","2002","03","17","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:12:12-03","ESALQ","ESA","78894","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Melo, B.","9872.0","1937","11","20",NA,"Brasil",NA,NA,NA,"ESA078894","Magnoliophyta",NA,"(Casar.) Urb.","Minas Gerais",NA,"Kuhlmann, J.G.","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:12:12-03","ESALQ","ESA","78894","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Melo, B.","9872.0","1937","11","20",NA,"Brasil",NA,NA,NA,"ESA078894","Magnoliophyta",NA,"(Casar.) Urb.","Minas Gerais",NA,"Kuhlmann, J.G.","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:31:10-03","MN","R","7786","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Glaziou, A.F.M.","7766","1874","11","15",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000007786",NA,NA,"(Casar.) Cuatrec.","Rio de Janeiro","R000007786_001","Cuatrecasas, J.",NA,NA,NA,NA,"1962","10","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-07-02 14:02:21-03","JBP","HPL","9200","S","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","H. Lorenzi","183","1993","04","28",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Casar.) Cuatrec.","SP",NA,"H. Lorenzi","Iguape","Coletado na estrada paraPariquera-açu, em restinga arborea, estava com frutos maduros nessa época","-47.55","-24.7","1993","04","28","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-07-02 14:02:21-03","JBP","HPL","3724","S","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","H. Lorenzi","1361","1994","02","18",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Casar.) Cuatrec","SP",NA,"H. Lorenzi","Iguape","Coletada na estrada para Pariquera-açú, próximo do mar em restinga.","-47.55","-24.7","1994","02","18","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-07-02 14:02:21-03","JBP","HPL","9555","S","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","R. Tsuji","2319","2007","11","15",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"SP",NA,"R. Tsuji","Itararé","Coletado nas proximidades do município de Itararé-SP; em beira de estrada sentido Pariquera-Açu/Iguapé (lado direito).","-49.34","-24.11","2007","11","15","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-24 17:09:13-03","UFES","SAMES","8405","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Duarte,D.A.; Oliveira,S.M.; Scheidegger,A.F.A.;Smarzaro,R.","60","2018","01","18",NA,"Brasil",NA,NA,"Frutos verdes Habitat: Restinga Habito: Árvore","SAMES08405",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,"Ribeiro,M.","Conceição da Barra","Área do Quadrado. APA de Conceição da Barra","-39.7322006225586","-18.5932998657227","2019","04","22","41644","auto",NA,"-397938889.0","-186941666.0",NA,NA,NA,NA,NA
"26","2021-03-24 17:09:13-03","UFES","SAMES","2720","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Giaretta,A.O.; Monteiro,M.M.;Oliveira,I.R.","754","2010","02","05",NA,"Brasil",NA,NA,"Árvore de 12m com frutos verdes.","SAMES02720",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-24 17:09:13-03","UFES","SAMES","9630","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Pereira,O.J.; Lemes,B.X.;Penha,J.S.","9204","2019","08","20",NA,"Brasil",NA,NA,"Planta com 8m de altura. Fruto verde, exudado claro transparente.","SAMES09630",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"Linhares","Praia de Cacimbas.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,"-397372222.0","-194797223.0",NA,NA,NA,NA,NA
"28","2021-03-24 17:09:13-03","UFES","SAMES","2718","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Teotônio,F.C.; Giaretta,A.O.;Faria,M.B.","34","2007","03","10",NA,"Brasil",NA,NA,"ARbusto de 3m com frutos verdes.","SAMES02718",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"São Mateus","Bairro Liberdade. Vegetação de restinga.","-39.8588981628418","-18.716100692749",NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-24 17:09:13-03","UFES","SAMES","2721","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Menezes,L.F.T.","2006","2012","06","13",NA,"Brasil",NA,NA,"Árvore de 5m, com frutos verdes.","SAMES02721",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,"Menezes,L.F.T.","Conceição da Barra","Área de Proteção Ambiental de Conceição da Barra. Restinga.","-39.7322006225586","-18.5932998657227","2012","06","13","41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-24 17:09:13-03","UFES","SAMES","2722","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Ribeiro,M.; Giaretta,A.O.","29","2009","09","29",NA,"Brasil",NA,NA,"Árvore de 20m, botões verde claros.","SAMES02722",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,"Giaretta,A.","Conceição da Barra","Itaúnas. Mata de restinga sobre cordão arenoso arenoso próximo de uma área entre cordões dominada por Montrichardia. Área atrás da fazendo Jequitaia.","-39.7322006225586","-18.5932998657227","2010","01","31","41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-24 17:09:13-03","UFES","SAMES","2716","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Jesus,M.C.F.","428","2010","12","03",NA,"Brasil",NA,NA,"Árvore com botões florais verde.","SAMES02716",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"Linhares","Degredo. Mata seca de restinga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-24 17:09:13-03","UFES","SAMES","2711","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Jesus,M.C.F.","328","2010","08","21",NA,"Brasil",NA,NA,"Árvore com frutos.","SAMES02711",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"Linhares","Degredo. Moitas próximas ao rio.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-24 17:09:13-03","UFES","SAMES","2715","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Giaretta,A.O.; Monteiro,M.M.;Cruz,T.S.","304","2008","07","17",NA,"Brasil",NA,NA,"Planta de 10m com botões creme.","SAMES02715",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"São Mateus","Bairro Liberdade. Mata seca de restinga à direita da estrada principal entrando no bairro liberdade, acessível por uma estrada de terra adjacente a uma fábrica de tijolos, após o Hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,NA,NA,"56510","auto",NA,"-398102778.0","-187422222.0",NA,NA,NA,NA,NA
"34","2021-03-24 17:09:13-03","UFES","SAMES","2713","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Giaretta,A.O.; Faria,M.B.","55","2007","05","05",NA,"Brasil",NA,NA,"ARbusto de 6m com poucos frutos.","SAMES02713",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"São Mateus","Bairro Liberdade. Vegetação de restinga.","-39.8588981628418","-18.716100692749",NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-24 17:09:13-03","UFES","SAMES","2712","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Menezes,L.F.T.; Sá,C.F.C.;Ribeiro,R.D.;Faria,M.B.;Giaretta,A.O.","1620","2007","03","14",NA,"Brasil",NA,NA,"Árvore de 7 metros comfolhas serrilhadas, associação com formigas e frutros verdes.","SAMES02712",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,"Pereira,O.J.","São Mateus","Bairro Liberdade. Vegetação de restinga.","-39.8588981628418","-18.716100692749","2011","04","11","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-24 17:09:13-03","UFES","SAMES","2714","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Coelho,R.; Giaretta,A.O.;Ribeiro,M.;Menezes,L.F.T.","41","2009","08","28",NA,"Brasil",NA,NA,"Árvore de 6 metros, botões florais verdes, flores brancas.","SAMES02714",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,NA,"São Mateus","Bairro Quadrado. Fragmento de Restinga Pleistocênica , seguindo um estrada de terra atrás do campus do CEUNES.","-39.8588981628418","-18.716100692749",NA,NA,NA,"56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-24 17:09:13-03","UFES","SAMES","7170","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Menezes,L.F.T.","2482","2017","07","28",NA,"Brasil",NA,NA,"Com frutos jovens Habitat: Floresta de Restinga Habito: Árvore","SAMES07170",NA,NA,"(Casar.) Cuatrec.","Espírito Santo",NA,"Ribeiro,M.","São Mateus","Posto de petróleo Nova Erva.","-39.8588981628418","-18.716100692749","2019","02","04","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 14:37:29-03","UFJF","CESJ","51285","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","L. C. Giordano; M. G. Bovini; A. Lobão; L. G. Temponi","2808","2006","10","25","América do Sul","Brasil",NA,NA,"Árvore com 10 m de altura, heliófila. Folhas cartáceas, discolores. Botões verde-claro. Flores aromáticas, com pétalas verde-alvacentas; anteras alvo-amareladas, teças amarelas.","CESJ051285","Angiosperma",NA,"(Casar.) Cuatrec.","Minas Gerais",NA,"L. C. Giordano","Marliréia","Parque Estadual do Rio Doce, Floresta Estacional; etrada do restaurante, em frente à entrada para o Centro de Informação e Educação Ambiental ( e Mirante). Coord.: 19º46'33,4''S - 42º36'10,8''W; Altitude: ca 300m",NA,NA,"2006","10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:37:29-03","UFJF","CESJ","41459","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","A.S.M. Valente; K. Antunes; C.N. Matozinhos; F.R.G. Salimena; L.C.S. Assis; O.J. Bastos Neto","334","2004","02","21","América do Sul","Brasil",NA,NA,"Árvore ca. 6m alt., próximo à curso d'água. Casca interna avermelhada. Frutos imaturos verdes. Folhas discolores verdes.","CESJ041459","Angiosperma",NA,"(Casar.) Cuatrec.","Minas Gerais",NA,NA,"Rio Preto","Serra Negra, Serra da Caveira D'Anta, Fazenda da Tiririca.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 14:37:29-03","UFJF","CESJ","45559","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","G. S. França; F. Raggi","545","2004","05","05","América do Sul","Brasil",NA,NA,"Arbóreo - 5m, frutos amarronzados, borda de mata, Macuco","CESJ045559","Angiosperma",NA,"(Casar.) Cuatrec.","Minas Gerais",NA,"G. S. França","Timóteo","Parque Estadual do Rio Doce, 19º35'28''S 42º34'07''W Alt.: 248 m.","-42.644401550293","-19.5825004577637",NA,NA,NA,"16391","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 14:37:29-03","UFJF","CESJ","32186","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","G. Hatschbach; J. M. Silva","56145","1991","12","05","América do Sul","Brasil",NA,NA,"Árvore, 10 m, flor creme-esverdeada, anteras amarelas; ramos muito rijos. Mata pluvial da encosta do morro. Alt: 30-50m.","CESJ032186","Angiosperma",NA,"(Casar.) Cuatrec.","Paraná",NA,"J. Cuatrecasas","Guaraqueçaba","Estrada para Paruquara","-48.3288993835449","-25.3066997528076","1992",NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 14:38:12-03","UFJF","CESJ","36961","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Mello Barreto","9938","1937","11","20","América do Sul","Brasil",NA,NA,"Copera. &nf;Árvore 8m, flor amarela. Muito frequente.","CESJ036961","Angiosperma",NA,"(Casar.) Urb","Minas Gerais",NA,"J.G Kuhlmann","Diamantina","Fazenda do Gavião, Margem do Arassuahy.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 14:38:12-03","UFJF","CESJ","37045","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Mello Barreto","9872","1972","11","20","América do Sul","Brasil",NA,NA,"Árvore 7m muito frequete.&nf;Habitat: copeira","CESJ037045","Angiosperma",NA,"(Casar.) Urb","Minas Gerais",NA,"J.G. Kuhlmann","Diamantina","Serra do Curral, Fazenda Santa Cruz.","-43.6002998352051","-18.2493991851807","1937","11","20","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:38:12-03","UFJF","CESJ","36961","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Mello Barreto","9938","1937","11","20","América do Sul","Brasil",NA,NA,"Copera. &nf;Árvore 8m, flor amarela. Muito frequente.","CESJ036961","Angiosperma",NA,"(Casar.) Urb","Minas Gerais",NA,"J.G Kuhlmann","Diamantina","Fazenda do Gavião, Margem do Arassuahy.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 14:38:12-03","UFJF","CESJ","37045","PreservedSpecimen","Plantae","Linaceae","Saccoglottis","dentata","Saccoglottis dentata","Mello Barreto","9872","1972","11","20","América do Sul","Brasil",NA,NA,"Árvore 7m muito frequete.&nf;Habitat: copeira","CESJ037045","Angiosperma",NA,"(Casar.) Urb","Minas Gerais",NA,"J.G. Kuhlmann","Diamantina","Serra do Curral, Fazenda Santa Cruz.","-43.6002998352051","-18.2493991851807","1937","11","20","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-27 13:49:31-03","UFS","ASE","12540","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Hatschbach, G; Silva, JM","56145","1991","12","05","Southern America","Brasil",NA,NA,"Árvore, 10m, flor creme-esverdeada, anteras amarelas; ramos muito rijos. Mata pluvial da encosta do morro. 30-50m de altura.; Mata pluvial.","ASE0036119","Magnoliophyta",NA,"(Casar.) Cuatr.","Paraná","ASE0036119","Cuatrecasas, J","Guaraqueçaba","Estrada para Paruquara.","-48.1943","-25.1825","1992",NA,NA,NA,NA,NA,"-48.1943","-25.1825",NA,NA,NA,NA,NA
