"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","dayIdentified","fieldNumber","individualCount"
"11","2019-11-21 14:30:57-03","UFJF","CESJ","853","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","L. Krieger","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584",NA,NA,NA,"auto",NA,"CESJ853","1943","12",NA,"América do Sul","Santo Amaro",NA,"CESJ000853","CESJ000853","1943",NA,NA,NA,NA,NA
"12","2020-03-12 10:28:54-03","UFOP","OUPR","35013","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Pedrosa, L.G.","Brasil","Minas Gerais","Mariana","-43.4160995483398","-20.377799987793",NA,NA,"33524",NA,NA,"Erva. Campo","auto","Pedrosa, L.G.","2469","2020","01","24",NA,NA,NA,NA,NA,"2020","01",NA,NA,NA,NA
"13","2021-03-21 19:39:59-03","UFC","EAC","33657","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Andrade, I.M.; Mayo, S.; Ribeiro, T.A.","Brasil","Ceará","Uruburetama","-39.585139","-3.61025","-39.585139","-3.61025",NA,"660","660","Planta terrestre de 1m; tubérculo globoso, achatado de um lado, com vários tubérculos laterais; folha: pecíolo esbranquiçado na base e verde escuro no restante, com estrias alongadas acompanhando o comprimento do pecíolo, cilíndrico;",NA,"Mayo, S.; Andrade, I. .M.","551","2002","02","21","Southern America","estrada Uruburetama até Retiro",NA,"EAC0033657","EAC0033657","2002","03",NA,NA,NA,NA
"14","2021-03-21 19:39:59-03","UFC","EAC","33684","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Andrade, I.M.; Mayo, S.; Ribeiro, T.A.","Brasil","Ceará","Pacatuba","-38.6203002929688","-3.98416996002197",NA,NA,"16295",NA,NA,"Planta encontrada na margem da estrada. Tubérculo globoso, depresso, marrom, com pequenos tubérculos secudários de coloração preta; catáfilo esbranquiçado na base e vináceo com variegações em forma de pequenas linhas escuras; pecíolo","auto","Mayo, S.; Andrade, I. .M.","518","2002","02","17","Southern America","Aratanha, Entrada para a trlha, Cetrece, Barra.",NA,"EAC0033684","EAC0033684","2002","03",NA,NA,NA,NA
"15","2020-12-21 16:13:24-03","MBM","MBM","190175","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","Brazil","Minas Gerais","Várzea da Palma","-44.7308006286621","-17.5981006622314",NA,NA,"60948",NA,NA,NA,"auto","Nadruz, M.","64118","1996","01","15","Southern America","Estrada Várzea da Palma - Pedraa Santana",NA,"MBM190175","MBM190175",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:13:24-03","MBM","MBM","179664","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","Schott","Dombrowski, L.T.","Brazil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180",NA,NA,NA,"auto","Barroso, G.M.","1829","1966","01",NA,"Southern America","Capão da Imbuia",NA,"MBM179664",NA,NA,NA,NA,NA,NA,NA
"17","2019-07-24 16:48:09-03","MNHN","RECOLNAT_MNHN_P","P00992238","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Mosén, H.","Brésil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00992238' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gonçalves",NA,"1875","12","15",NA,"Prov. S. Paulo","hb","P00992238","P00992238_01",NA,NA,NA,NA,"4401",NA
"18","2019-07-24 16:48:09-03","MNHN","RECOLNAT_MNHN_P","P00992237","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Regnell, A.","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00992237' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"s.loc.","hb","P00992237","P00992237_01",NA,NA,NA,NA,"III 1296",NA
"19","2019-07-24 16:48:08-03","MNHN","RECOLNAT_MNHN_P","P00992235","PreservedSpecimen",NA,NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Glaziou, A.","Brésil","Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00992235' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Croat",NA,"1894","10","20",NA,"Au dessus de la grotte calcaire de Lage entre Guariroba ou Brecho et Capelinha de Santo Antonio.","hb","P00992235","P00992235_01",NA,NA,NA,NA,"22283",NA
"20","2020-12-11 11:43:24-03","UFMG","BHCB","184592","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Mota, RC da; Kamino, LHY; Carmo, FF","Brasil","Minas Gerais","Jequitaí","-44.564167","-17.09","-44.564167","-17.09",NA,"693","693","Projeto desenvolvido pelo Instituto Prístino!; Erva terrestre; espata verde, espádice branco.; Coletada em Floresta Estacional Decidual.",NA,NA,"3996","2016","01","24","Southern America","Curral de Pedras",NA,"BHCB040301",NA,"2016","01",NA,"24",NA,NA
"21","2020-12-11 11:43:24-03","UFMG","BHCB","22772","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Tameirão Neto, E; França, GS","Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,NA,"Mata. Herbáceo","auto",NA,"425","1991","03","08","Southern America","Estação Ecológica da UFMG, 3ª estação de coleta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-10-31 05:50:00-02","MO","MOBOT","2910187","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Wilson Hoehne","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.F. Toledo","Hoehne 11110","1943","1","19","South America","São Paulo, Horto da Fouldade de Farmácia de São Paulo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-11-17 13:26:00-02","MO","MOBOT","101010804","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","C.W.H. Mosen","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.G. Goncalves","Mosén 4401","1875","12","15","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2017-12-04 21:02:00-02","MO","MOBOT","101014070","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Froes, R.J.","Brazil","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T. Croat","Froes 11740","1939","2",NA,"South America","Island of São Luiz",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2008-05-27 22:02:00-03","MO","MOBOT","1793187","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","B.A.S. Pereira","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.G. Goncalves","Pereira 350","1982","10","25","South America","Reserva Ecológica do IBGE.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","2909908","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","FONSECA","Brazil","Goiás",NA,"-46.3575","-13.73555",NA,NA,NA,"575.00000000",NA,NA,NA,"E. Gonçalves","FONSECA 2343","2000","10","29","South America","Mun. São Domingos. Gruta Terra Ronca. Solo: arenoso/pedregoso. Relevo: ondulado.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","2909916","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","FONSECA","Brazil","Goiás",NA,"-46.74111","-13.61833",NA,NA,NA,"440.00000000",NA,NA,NA,"E. Gonçalves","FONSECA 2322","2000","10","27","South America","Mun. São Domingos. Fazenda São Domingos. Proprietário: Lincholn Pereira Resende. Relevo: plano. Solo: latossolo vermelho escuro (Solo evoluído de calcário). Vegetação: mata decídua.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2011-02-07 09:42:00-02","MO","MOBOT","2909918","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","J.E.B. Warming","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warming s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-06-25 21:29:00-03","MO","MOBOT","2909920","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Anonymous","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonymous s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2014-09-01 11:17:00-03","MO","MOBOT","2909924","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","José R. Pirani|et al.","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S. Mayo","Pirani 1966","1987","2","12","South America","GO, Dianópolis. Mata em afloramento de calcário ca. 2.0 km ao norte do povoado de Jardim.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-12-10 13:05:00-02","MO","MOBOT","101087329","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Wilson Hoehne","Brazil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584",NA,NA,NA,"auto",NA,"Hoehne 1153",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-06-25 21:29:00-03","MO","MOBOT","2910177","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Anonymous","Venezuela","Lara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonymous s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2009-06-25 21:29:00-03","MO","MOBOT","2910180","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Anonymous","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonymous s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2009-06-25 21:29:00-03","MO","MOBOT","2914907","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Anonymous","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anonymous s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-11-17 13:40:00-02","MO","MOBOT","101010815","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Gustaf Anders Lindberg","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindberg 1858",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"36","2018-06-18 16:47:00-03","MO","MOBOT","101014821","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Schott","Auguste F.M. Glaziou","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"!Thomas Croat","Glaziou 22283","1894","8","20","South America","Au-dessus de la grotte calcaire de Lage entre Guariroba ou Brecho et Capelinha de Sto. Antonio",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"37","2016-06-16 10:16:51-03","UNIOESTE","UNOP","3105","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Pereira, S.F.; Ferneda Rocha, L. .C.; Engels, M.; Ferneda Rocha, L. .C.; Engels, M.","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"25180",NA,NA,"Terrícola, ca 1,5m. Folhas verdes vistosas. Espádice creme.","auto","Pereira, S.F.","325","2014","02","07",NA,"Bosque Capão da Imbúia.",NA,NA,NA,"2014","02",NA,"10",NA,NA
"38","2020-07-10 09:43:34-03","MBML","MBML-HERBARIO","16004",NA,"Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Eng.","L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.681389","-19.805556","40W40'53","19S48'20",NA,NA,NA,"Terrestre na sombra. Inflorescência por cima das folhas. Espatas e frutos alaranjadas.",NA,"M. Nadruz/10-04-2003","5320","2002","01","16",NA,"São João de Petrópolis, E.A.F.S.T.",NA,"MBML016004","MBML016004",NA,NA,NA,NA,NA,NA
"39","2019-07-11 08:30:49-03","ICAUFMG","MCCA","2425","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","MUNHOZ, E.J.M.; SILVA, H.I.R.","Brasil","Minas Gerais","Montes Claros","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,NA,NA,"auto",NA,NA,"2017","12","18",NA,"Fazenda Pequi Porteirinha",NA,"MCCA02511",NA,NA,NA,NA,NA,NA,NA
"40","2019-07-11 08:30:49-03","ICAUFMG","MCCA","2357","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","MUNHOZ, E.J.M.; TERRA, L.C.M.; SOUZA, C.L.L.; SILVA, H.I.R.","Brasil","Minas Gerais","Montes Claros","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,NA,NA,"auto",NA,NA,"2017","01","06",NA,"Fazenda Pequi Porteirinha",NA,"MCCA02441",NA,NA,NA,NA,NA,NA,NA
"41","2019-12-19 11:17:09-03","UFG","UFG","938","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Rizzo, J.A.; Barbosa, A.","Brasil","Tocantins","Natividade","-47.7233009338379","-11.7096996307373",NA,NA,"59394",NA,NA,NA,"auto","Gonçalves, E.G.","3160","1968","12","27",NA,"Serra de Natividade",NA,"UFG0000938","UFG0000938","1999",NA,NA,NA,NA,NA
"42","2019-12-19 11:17:09-03","UFG","UFG","23922","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Gonçalves, E.G.","Brasil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonçalves, E.G.","62","1996","02","04",NA,NA,NA,"UFG0023922","UFG0023922","1996","02",NA,"04",NA,NA
"43","2019-12-19 11:17:09-03","UFG","UFG","258","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Rizzo, J.A.; Barbosa, A.","Brasil","Goiás","Goiânia","-49.2538986206055","-16.6786003112793",NA,NA,"25250",NA,NA,NA,"auto","Gonçalves, E.G.","2995","1968","12","06",NA,NA,NA,"UFG0000258","UFG0000258","1999",NA,NA,NA,NA,NA
"44","2019-12-19 11:17:09-03","UFG","UFG","288","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Vell.) Schott","Rizzo, J.A.; Barbosa, A.","Brasil","Goiás","Mossâmedes","-50.2150001525879","-16.1266994476318",NA,NA,"30139",NA,NA,NA,"auto","Gonçalves, E.G.","3117","1969","01","02",NA,"Reserva Biológica da Serra Dourada",NA,"UFG0000288","UFG0000288","1999",NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","2572906","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Arales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Schott) Engl.","L. Smith, R. M. Klein & G. Hatschbach","Brazil","Paraná","Curitiba","-49.22","-25.45",NA,NA,NA,"950",NA,NA,NA,NA,NA,"1965","1","13","South America - Neotropics","Capão do Imbuia.",NA,"US01919340","US01919340_01",NA,NA,NA,NA,NA,"1"
"46","2020-09-12 05:00:02-03","US","US","2958145","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Arales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Schott) Engl.","B. A. S. Pereira","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1982","10","25","South America - Neotropics","Reserva Ecológica do IBGE",NA,"US01919342","US01919342_01",NA,NA,NA,NA,NA,"1"
"47","2020-09-12 05:00:02-03","US","US","2572905","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Arales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Schott) Engl.","L. Smith, R. M. Klein & G. Hatschbach","Brazil","Paraná","Curitiba","-49.22","-25.45",NA,NA,NA,"950",NA,NA,NA,NA,NA,"1965","1","13","South America - Neotropics","Capão do Imbuia.",NA,"US01919339","US01919339_01",NA,NA,NA,NA,NA,"1"
"48","2020-09-12 05:00:02-03","US","US","2801295","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Arales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Schott) Engl.","G. T. Prance, E. Lleras & D. F. Coêlho","Brazil","Mato Grosso","Chapada dos Guimarães","-55.749698638916","-15.460599899292",NA,NA,"107042","720",NA,NA,"auto",NA,NA,"1973","10","19","South America - Neotropics","Between Buriti and Chapada dos Guimarães.",NA,"US01919341","US01919341_01",NA,NA,NA,NA,NA,"1"
"49","2020-09-12 05:00:02-03","US","US","2688002","PreservedSpecimen","Plantae",NA,"Monocotyledonae","Arales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","(Schott) Engl.","G. Eiten & L. T. Eiten","Brazil","Mato Grosso","Barra do Garças","-52.3","-15.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1969","11","19","South America - Neotropics","87 km north of city of Barra do Garças along road to Xavantina.",NA,"US01919343","US01919343_01",NA,NA,NA,NA,NA,"1"
"50","2020-09-02 16:20:18-03","Cenargen","CEN","19706","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Sebastião Pinheiro Cordovil da Silva","Brasil","GO","URUACU",NA,NA,NA,NA,NA,NA,NA,"Espata verde na base; branca no ápice; inflorescências masculinas brancas e femininas esverdeadas.",NA,"E. G. Gonçalves","127","1992","10","08",NA,"Fazenda Aranha a 8 km do Córrego Castelão.","Exsicatas","CEN00019706","CEN00019706","1997","04",NA,NA,NA,"4"
"51","2020-09-02 16:20:18-03","Cenargen","CEN","31780","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Bruno Machado Teles Walter","Brasil","CE","HIDROLANDIA","-40.437801361084","-4.40806007385254",NA,NA,"30346",NA,NA,"Espata creme, apêndice verde.","auto","E. G. Gonçalves","3629","1997","01","02",NA,"Fazenda Barreirão. Cerca de 6 km a sudoeste da sede do município.","Exsicatas","CEN00031780","CEN00031780","1999","05",NA,NA,NA,"2"
"52","2020-09-02 16:20:18-03","Cenargen","CEN","41166","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Marina de Lourdes Fonseca Resende","Brasil","GO","SAO DOMINGOS","-46.3182983398438","-13.3983001708984","-4674111.0","-1361833.0","73215","440","440","Caule róseo avermelhado; estróbilo amarelo claro; bráctea cor verde, folhas novas cor verde. (Linha C, parcela 35, ao pé da árvore nº 51). Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Goiás.","auto","E. G. Gonçalves","2322","2000","10","27",NA,"Fazenda São Domingos. Prop.: Lincholn Pereira Resende.","Exsicatas","CEN00041166","CEN00041166",NA,NA,NA,NA,NA,"1"
