"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"11","2021-02-11 17:20:47-03","UFPR","UPCB","28955","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","Barroso & Peixoto","Sobral, M.","Hatschbach, G.","61191","1994","10","20",NA,"Brasil","Espírito Santo","Domingos Martins","BLOQUEADO",NA,NA,NA,"Árvore, 8m, botão alvo. Margens de rio..","UPCB0027631","UPCB0027631","1995","01","01",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"12","2011-02-28 13:41:00-03","MO","MOBOT","3214515","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M. Barroso & Peixoto",NA,"Gert G. Hatschbach|Maria M. Hatschbach","Hatschbach 61191","1994",NA,NA,"South America","Brazil","Espírito Santo",NA,"Rod. BR-262, Rio Jucu Braço, Sul, próximo a Vítor Hugo (mun Domingos Matins). Margen de rio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","11007",NA,"Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","M. Sobral/1995","L. D. Thomaz","1498","1993","04","27",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Altura 14m, PAP 45cm, caule interno branco. Estéril.","MBML011007","MBML011007",NA,NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA
"14","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","11009",NA,"Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","M. Sobral/1995","L. D. Thomaz","1499","1993","06","30",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Altura 8m, PAP 24cm, caule interno branco. Estéril.","MBML011009","MBML011009",NA,NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA
"15","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","24653",NA,"Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","M. C. Souza/Fev.2006","Tadeu A. Cruz; et al","112","2003","12","27",NA,"Brasil","Espírito Santo","Santa Teresa","Parque Natural Municipal de São Lourenço","-40.620278","-19.923889",NA,"Entre a área 2 e 3, árvore 12m. DAP 44cm.","MBML024653","MBML024653",NA,NA,NA,NA,NA,NA,NA,"40W37'13","19S55'26",NA,NA,NA
"16","2021-02-25 10:13:10-03","CVRD","CVRD","14173","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","J.E.Q. Faria","J.E.Q. Faria","2502","2012","03","30","América do Sul","BRASIL","ES","Linhares",NA,"-40.016389","-19.125278",NA,"Árvore ca. 8 m de altura, caule liso pouco rugoso, fruto maduro amarelo com manchas vermelhas, embrião verde com cotilédones livres <ll>dwc_commonname:</ll> Zâmboa","CVRD014173",NA,"2012","03","30",NA,NA,NA,"Magnoliopsida","40°00'59,0W","19°07'31,0S","47","47",NA
"17","2021-02-25 10:13:10-03","CVRD","CVRD","11066","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Domingos A. Folli","Folli, D.A.","5923","2008","02","08","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD011066",NA,"2008","02","08","48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"18","2021-02-25 10:13:10-03","CVRD","CVRD","1090","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Graziela M. Barroso","Folli, D.A.","495","1984","01","27","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD001090","CVRD001090","1990","02","21","48094","auto","PARATYPUS","Magnoliopsida",NA,NA,NA,NA,NA
"19","2021-02-25 10:13:10-03","CVRD","CVRD","8621","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Domingos A. Folli","Folli, D.A.","4775","2004","03","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD008621","CVRD008621","2004","03","17","48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"20","2021-02-25 10:13:10-03","CVRD","CVRD","8411","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Domingos A. Folli","Folli, D.A.","4664","2003","11","06","América do Sul","BRASIL","ES","Linhares","BR-101","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD008411","CVRD008411","2003","11","06","48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"21","2021-02-25 10:13:10-03","CVRD","CVRD","594","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Graziela M. Barroso","Spada, J.","76","1972","11","20","América do Sul","BRASIL","ES","Linhares","Próxima a uma Angélica.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD000594",NA,"1989","07","02","48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"22","2021-02-25 10:13:10-03","CVRD","CVRD","16865","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Geovane S. Siqueira","Siqueira, G.S.","1345","2020","03","03","América do Sul","BRASIL","ES","Linhares","próximo a parada 5 da trilhas.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD016865",NA,"2020","03","03","48094","auto",NA,"Magnoliopsida",NA,NA,"67","67",NA
"23","2021-02-25 10:13:10-03","CVRD","CVRD","3051","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Domingos A. Folli","Farias, G.L.","409","1991","02","15","América do Sul","BRASIL","ES","Linhares","Próximo à Torre, 50m da Torre, lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD003051",NA,"1991","02","21","48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"24","2021-02-25 10:13:10-03","CVRD","CVRD","434","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Graziela M. Barroso","Silva, I.A.","104","1979","10","25","América do Sul","BRASIL","ES","Linhares","Próximo a uma Jataipeba, um Imbaubão, ao lado do aceiro com Silvestre Milanez.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Zâmboa","CVRD000434","CVRD000434","1990","02","21","48094","auto","HOLOTYPUS","Magnoliopsida",NA,NA,NA,NA,NA
"25","2019-11-13 11:27:21-03","USP","SPF","115606","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Sobral, M","Hatschbach, G","61191","1994","10","20",NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,"SPF00115606",NA,"1995",NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-07-23 12:16:30-03","CEPLAC","CEPEC","73059","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana",NA,"M. Sobral","G. Hatschbach","61191","1994","10","20",NA,"Brasil","Espírito Santo","domingos martins","Rod. BR-262, marg. Do Rio Jucu Braço Sul, prox. A Vitor Hugo.","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,"30/12/1995"
"27","2020-02-17 11:30:12-03","UEG","HUEG","13404","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Faria, J.E.Q.","Martins, R.C.; Faria, J.E.Q.; Staggemeier, V.G.; Siqueira, G.S.","2502","2012","03","30","Southern America","Brasil","Espírito Santo","Linhares",NA,"-40.016389","-19.125278",NA,"Árvore ca. 8 m de altura, caule liso pouco rugoso, fruto maduro amarelo com manchas vermelhas, embrião verde, cotilédones livres entre si (coletado material em sílica gel).; Reserva Natural da Vale do Rio Doce, margem do aceiro Aracru","HUEG013404",NA,"2012","03",NA,NA,NA,NA,NA,"-40.016389","-19.125278","47","47",NA
"28","2019-12-09 10:46:11-03","UFSJ","HUFSJ","5802","S","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Faria, JEQ","Faria, JEQ; Staggemeier, VG; Siqueira, GS","2502","2012","03","30",NA,"Brasil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, margem do aceiro Aracruz, Santa Terezinha","-40.016389","-19.125278",NA,"Árvore ca. 8 m de altura, caule liso pouco rugoso, fruto maduro amarelo com manchas vermelhas, embrião verde, cotilédones livres entre si (coletado material em sílica gel)","HUFSJ005802",NA,"2012","03",NA,NA,NA,NA,NA,"-40.016389","-19.125278","47","47",NA
"29","2019-11-01 15:06:45-03","UnB","UB","191601","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Faria, JEQ","Faria, JEQ; Staggemeier, VG; Siqueira, GS","2502","2012","03","30","Southern America","Brasil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, margem do aceiro Aracruz, Santa Terezinha","-40.016389","-19.125278",NA,"Árvore ca. 8 m de altura, caule liso pouco rugoso, fruto maduro amarelo com manchas vermelhas, embrião verde, cotilédones livres entre si (coletado material em sílica gel); Mata de tabuleiro",NA,NA,"2012","03",NA,NA,NA,NA,NA,"-40.016389","-19.125278","47","47",NA
"30","2021-03-04 15:45:38-03","IF","SPSF","21439","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana",NA,NA,"G. Hatschbach","61191","1994","10","20","América do Sul","Brasil","ES","Domingos Martins","mata ciliar","-40.6591987609863","-20.3633003234863",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,"48150","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"31","2021-02-08 12:44:16-03","UFRGS","ICN","103171","S","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","Barroso et Peixoto",NA,"Folli, DA","495","1984","01","27","América do Sul","Brasil","ES","Linhares","Reserva Florestal da CVRD, Estação Jacarandá, ant. 232, km. 3.03","-40.0722007751465","-19.3910999298096",NA,"Árvore em Floresta Alta, + ou - 10m de alt. e fuste + ou - 6m, DAP 14cm. Fruto imaturo de cor amarelo. Fuste cil[indrico e casa áspera.","ICN00000418","ICN00000418 ICN00000418_1",NA,NA,NA,"48094","auto","Paratypus",NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:12:34-03","IBt","SP","312156","S","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","Sobral, M","Hatschbach, G; Silva, JM","61191","1994","10","20",NA,"Brasil","Espírito Santo","Domingos Martins","Rod. BR 262, rio Jacu Braço Sul, próximo a Vítor Hugo.","-40.6591987609863","-20.3633003234863",NA,"Árvore 8m alt., botões alvos, margem de rio.",NA,NA,"1995",NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA
