"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","imagecode","infraspecificEpithet","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01179378","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. Martinelli","1980","06","04","South America","Brazil","Estrada BR-163, próximo ao Rio Cuminá-Mirim, 46 km de Oriximiná.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314464' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179378","Magnoliophyta","Fabales","DC.","H. C. de Lima","6781","Pará","NY01179378_01",NA,"Oriximiná","-55.8661","-1.76556","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01189809","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"O. C. Nascimento",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392274' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189809","Magnoliophyta","Fabales","DC.","O. Poncy","65","Amazonas","NY01189809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","418781","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"R. P. Belém","1966","11","02","South America","Brazil","2-4 Km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418781","Magnoliophyta","Fabales","DC.","J. W. Grimes","2817","Bahia","NY00418781_01",NA,"Santa Cruz Cabrália","-39.0440986","-16.2986237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","418765","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. W. Thomas","1993","10","22","South America","Brazil","Reserva Florestal da Brasil de Holanda Industrias S.A.; the entrance at Km 18 east of Itamaraju on road to Prado, 8 km from entrance","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418765","Magnoliophyta","Fabales","DC.","H. C. de Lima","10120","Bahia","NY00418765_01",NA,"Prado","-39.33","-17.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01179400","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. T. Prance","1968","06","26","South America","Brazil","Between Jaciparaná and Rio Madeira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179400","Magnoliophyta","Fabales","DC.","T. S. Elias","5225","Rondônia","NY01179400_01",NA,NA,"-64.408483","-9.232415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1144618","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"H. C. de Lima","1992","11","26","South America","Brazil","Reserva Biológica de Poço das Antas. Pau do Guacho, proximo a fazenda da Kombi.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144618","Magnoliophyta","Fabales","DC.",NA,"4456","Rio de Janeiro","NY01144618_01",NA,"Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01179397","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"B. V. Rabelo",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391837' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179397","Magnoliophyta","Fabales","DC.","J. W. Grimes","3173","Amapá","NY01179397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00924601","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. T. Prance","1964","09","29","South America","Brazil","Serra do Roncador. Track, Garapu to Rio Sete de Setembro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924601","Magnoliophyta","Fabales","DC.","T. S. Elias","59161","Mato Grosso","NY00924601_01",NA,"Canarana","-52.2681","-13.5522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","886200","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"P. Fiaschi","2004","09",NA,"South America","Brazil","Rodovia Ilhéus-Itacaré, na altura do km 20 (Ponta do Tulha), entrada à esq., rumo ao Retiro. Estrada para a Fazenda da Família Nora.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886200","Magnoliophyta","Fabales","DC.","T. D. Pennington","2564","Bahia","NY00886200_01",NA,"Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01179394","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"L. O. A. Teixeira","1982","05","27","South America","Brazil","Santa Bárbara. Rodovia BR 364, Km 120, 12 Km Leste da Sede da Mineração.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1380991' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179394","Magnoliophyta","Fabales","DC.","J. W. Grimes","807","Rondônia","NY01179394_01",NA,NA,"-63.116667","-9.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01189769","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"A. da Silva",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391902' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189769","Magnoliophyta","Fabales","DC.","W. A. Ducke","418","Pará","NY01189769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01189811","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. R. Spironelo",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189811","Magnoliophyta","Fabales","DC.",NA,"A31-2","Amazonas","NY01189811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","84922","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"B. C. Bennett","1990","03","12","South America","Ecuador","Centro Shuar Yukutais. West of Pedro Kunkumas' house and south of school","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00084922","Magnoliophyta","Fabales","DC.","J. W. Grimes","4140","Morona-Santiago",NA,NA,NA,"-78.13","-2.5","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00924609","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"B. Maguire","1963","09","30","South America","Brazil","2 km past Alto Garca en route to Goiania","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004807' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924609","Magnoliophyta","Fabales","DC.","J. W. Grimes","56952","Mato Grosso","NY00924609_01",NA,"Alto Garças","-53.5281","-16.9442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01167359","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. R. Spironelo",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390344' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167359","Magnoliophyta","Fabales","DC.",NA,"A11-6","Amazonas","NY01167359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","798903","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. W. Thomas","2001","11","02","South America","Brazil","Fazenda Bolandeira, ca. 5 km N of Comandatuba on fazenda road paralleling canal between mainland and Ilha de Comandatuba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798903","Magnoliophyta","Fabales","DC.","T. D. Pennington","12730","Bahia","NY00798903_01",NA,"Una","-39.003983","-15.29983","5","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00418787","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"M. J. P. Pires-O'Brien","1988","03","23","South America","Brazil","Monte Dourado, Gleba Pacanari","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418787","Magnoliophyta","Fabales","DC.",NA,"2050","Pará","NY00418787_01",NA,"Almeirim","-52.58","-0.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01189766","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. A. Black",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189766","Magnoliophyta","Fabales","DC.","W. A. Ducke","51 -12829","Roraima","NY01189766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01189770","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"J. M. Pires",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189770","Magnoliophyta","Fabales","DC.",NA,"1593","Pará","NY01189770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","418771","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"L. A. Mattos Silva","1979","04","05","South America","Brazil","Roc. BR-367, a 16km a W de Porto Seguro. Folha SE-24 (16-39c). Junto a cerca da frenta","sheet",NA,"Coleta de sementes <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418771","Magnoliophyta","Fabales","DC.","G. P. Lewis","353","Bahia","NY00418771_01",NA,"Porto Seguro","-39.1851076","-16.3961466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","418767","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"A. M. Amorim","1993","04","14","South America","Brazil","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Roc. BA-001 Ilhéus/Una. Coletas efetuadas na estrada que leva a sede da reserva","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418767","Magnoliophyta","Fabales","DC.","J. W. Grimes","1245","Bahia","NY00418767_01",NA,"Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01179373","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"O. C. Nascimento",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179373","Magnoliophyta","Fabales","DC.","J. W. Grimes","325","Pará","NY01179373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01179392","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"M. Silva",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179392","Magnoliophyta","Fabales","DC.","J. W. Grimes","2655","Pará","NY01179392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01179367","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"A. da Silva",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391337' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179367","Magnoliophyta","Fabales","DC.","J. W. Grimes","34","Pará","NY01179367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00924603","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. T. Prance","1964","10","04","South America","Brazil","Serra do Roncador. Vicinity of Garapu.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924603","Magnoliophyta","Fabales","DC.","T. S. Elias","59286","Mato Grosso","NY00924603_01",NA,"Canarana","-52.2681","-13.5522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01189759","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. Martinelli","1980","06","20","South America","Brazil","Rio Trombetas, Ilha do Roçado, 4.5 km NW de Cachoeira Porteira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189759","Magnoliophyta","Fabales","DC.","H. C. de Lima","7084","Pará","NY01189759_01",NA,"Oriximiná","-57.057302","-1.004232","70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01179370","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"M. J. R. Pereira","1985","05","25","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179370","Magnoliophyta","Fabales","DC.","J. W. Grimes","2303.578","Amazonas","NY01179370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02098572","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"P. da C. Gadelha Neto","2012","10","16","South America","Brazil","Mata rio da cobra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2315940' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098572","Magnoliophyta","Fabales","DC.","T. D. Pennington","3404","Paraíba","NY02098572_01",NA,"Caaporã","-34.9692","-7.4614","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01048771","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana thibaudiana",NA,"E. M. N. Ferraz","1998","10","23","South America","Brazil","Mata do Estado. (Parcela 81)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048771","Magnoliophyta","Fabales","DC.","F. Bonadeu da Silva","478","Pernambuco","NY01048771_01","thibaudiana","Sao Vicente Ferrer","-35.5","-7.5833","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01179380","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. A. Archer",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179380","Magnoliophyta","Fabales","DC.","O. Poncy","8308","Pará","NY01179380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01179387","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. K. Gottsberger",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179387","Magnoliophyta","Fabales","DC.","O. Poncy","32-17183","Pará","NY01179387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00924610","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"B. Maguire","1963","10","01","South America","Brazil","64 km beyond Jatai en route to Goiania","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924610","Magnoliophyta","Fabales","DC.","O. Poncy","56996","Goiás","NY00924610_01",NA,"Rio Verde","-50.9281","-17.7983","870","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","01189755","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"H. T. Beck","1987","10","09","South America","Brazil","São Militão of Jari Genetic Reserve. Monte Dourado.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189755","Magnoliophyta","Fabales","DC.","T. D. Pennington","10","Pará","NY01189755_01",NA,"Almeirim","-52.539719","-0.8678545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","01189763","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"D. C. Daly","1981","11","05","South America","Brazil","Approx. 18km S of Tucuruí, just E of old BR 422 along recent logging road.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391888' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189763","Magnoliophyta","Fabales","DC.","J. W. Grimes","1221","Pará","NY01189763_01",NA,NA,"-49.6735668","-3.9273485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
