"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"11","2019-08-20 10:08:04-03","UNICAMP","UEC","66070","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Mansano, VF","Andrade, IR; Horta, MB; Braga, MMN; Scatena, VL; Attala, VC; Brina, AE; Magni, IV","10","1986","12","12",NA,"Brazil","Minas Gerais","Santa Bárbara","Caraça, Cachoeira do Belchior","-43.4152984619141","-19.959400177002",NA,"Flores, Porte arbóreo, mais ou menos 2 m, flor de corola roxa. Mata úmida.","UEC140276","UEC140276",NA,NA,NA,"33136","auto","2007","03","19",NA,NA,NA,NA,NA
"12","2019-08-20 10:08:04-03","UNICAMP","UEC","74951","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Mansano, VF","Andrade, IK","10","1986","12","12",NA,"Brazil","Minas Gerais","Santa Bárbara","Caraça, Caminho para Cachoeira Belchior","-43.4152984619141","-19.959400177002",NA,"Flores, Porte arbóreo de 4 m, flores roxas. Segundo Sr. José João da Silva, as folhas dão um chá gostoso para dor de cabeça e rins. Mata (Mata dos Pinhais).","UEC140277","UEC140277",NA,NA,NA,"33136","auto","2007","03","19",NA,NA,NA,NA,NA
"13","2021-03-01 16:26:34-03","UNICAMP","UEC","198445","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Marcondes-Ferreira, W; et al.","198","1990","03","14",NA,"Brazil","Minas Gerais","Santa Bárbara","Colégio do Caraça, caminho da Cachoeirinha.","-43.4152984619141","-19.959400177002",NA,"No scrub. Arbusto cespitoso de até 2,00m, com frutos.","UEC024599","UEC024599",NA,NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:08:04-03","UNICAMP","UEC","732","S","Plantae","Magnoliopsida",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Mansano, VF","Leitão Filho, HF; Shepherd, GJ; Stubblebine, WH","9508","1978","12","12",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,"Flores, Arbusto até 2 m, flores roxas. Em campos rupestres e matas de altitude.","UEC140279","UEC140279",NA,NA,NA,"33136","auto","2007","03","19",NA,NA,NA,NA,NA
"15","2020-06-18 10:56:01-03","UFRRJ","RBR","2904","S","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"A. Gentry; E. Zardini, C. Farney","49615","1985","01","16",NA,"Brasil","Minas Gerais","Ouro Preto","Caraça. Trail to Cascatinha, behind monastery.","-43.5","-20.25",NA,NA,"RBR00002904","RBR00002904",NA,NA,NA,NA,NA,NA,NA,NA,"43º30'W","20º15'S",NA,NA,NA
"16","2021-03-21 19:33:13-03","UFC","EAC","20012","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Araújo, R.S.","Fernandes, A.; Matos, F.J.A.","EAC20012","1993","08","20","Southern America","Brasil","Bahia","Olindina","entre Rio Real e Olindina","-38.3333015441895","-11.3667001724243",NA,"Arvoreta.","EAC0020012","EAC0020012",NA,NA,NA,"25403","auto","2018","02","28",NA,NA,NA,NA,NA
"17","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576954","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,NA,NA,NA,NA,NA,NA,"[Bresil]",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576954' target='other'> <mi>dwc_moreinfo</mi></a>","P03576954","P03576954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576959","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil: Province de Minas Geraes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576959' target='other'> <mi>dwc_moreinfo</mi></a>","P03576959","P03576959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 435",NA,NA
"19","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576961","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"Mariana.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576961' target='other'> <mi>dwc_moreinfo</mi></a>","P03576961","P03576961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576951","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576951' target='other'> <mi>dwc_moreinfo</mi></a>","P03576951","P03576951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1452",NA,NA
"21","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576952","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Serra da ?.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576952' target='other'> <mi>dwc_moreinfo</mi></a>","P03576952","P03576952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576953","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Claussen, P.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576953' target='other'> <mi>dwc_moreinfo</mi></a>","P03576953","P03576953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16877",NA,NA
"23","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576955","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576955' target='other'> <mi>dwc_moreinfo</mi></a>","P03576955","P03576955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1452",NA,NA
"24","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576956","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576956' target='other'> <mi>dwc_moreinfo</mi></a>","P03576956","P03576956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8212",NA,NA
"25","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576958","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576958' target='other'> <mi>dwc_moreinfo</mi></a>","P03576958","P03576958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-04 07:48:31-03","MNHN","RECOLNAT_MNHN_P","P03576960","PreservedSpecimen",NA,NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil",NA,NA,"Brésil: Province de Rio de Janeiro.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03576960' target='other'> <mi>dwc_moreinfo</mi></a>","P03576960","P03576960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"611 10",NA,NA
"27","2020-12-11 11:34:01-03","UFMG","BHCB","135373","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Rezende, SG","3157","2008","09","23","Southern America","Brasil","Minas Gerais","Betim","Próximo a refinaria Gabriel Paços, Área da Fiat","-44.110833","-19.98",NA,"Floresta Estacional Semidecidual em Estágio Médio de Regeneração, arbóreo","BHCB002480","BHCB002480","875","875",NA,NA,NA,NA,NA,NA,"-44.110833","-19.98",NA,NA,NA
"28","2020-12-11 11:34:01-03","UFMG","BHCB","24687","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Perdizes",NA,"-47.2928009033203","-19.3528003692627",NA,NA,NA,NA,NA,NA,NA,"45889","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-11 11:34:01-03","UFMG","BHCB","24687","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Perdizes",NA,"-47.2928009033203","-19.3528003692627",NA,NA,NA,NA,NA,NA,NA,"45889","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:34:01-03","UFMG","BHCB","40711","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Januária","Distrito de Fabião.","-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,NA,NA,NA,"148972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2011-02-22 15:24:00-03","MO","MOBOT","1254811","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","W. Morawetz","Wilfried Morawetz","Morawetz 11-1-1175","1975","11","1","South America","Brazil","São Paulo",NA,"Mun de Cunha. On the way from Cunha to Parati, km 66. Totally disturbed woodland along the road situated at the lee-side of the Serra do Mar.","-44.75","-23.1166667",NA,NA,NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","1"
"32","2010-08-24 09:46:00-03","MO","MOBOT","1016034","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2013-01-12 05:18:00-02","MO","MOBOT","1041564","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Peter Clausen","Clausen s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","1041573","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Auguste F.M. Glaziou","Glaziou 5","1861",NA,NA,"South America","Brazil","Minas Gerais",NA,"In college de Mariano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","1041582","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Auguste F.M. Glaziou","Glaziou 15262","1861",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","1041600","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Auguste F.M. Glaziou","Glaziou 8212","1876","1","8","South America","Brazil","São Paulo",NA,"Campos da Bocaina.",NA,NA,NA,NA,NA,NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2010-03-18 21:10:00-03","MO","MOBOT","1041608","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"A. Saint-Hilaire","Saint-Hilaire C61110","1816",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Prov. de Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-07-06 15:31:00-03","MO","MOBOT","1041621","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"A. Saint-Hilaire","Saint-Hilaire B-435","1816",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2011-02-08 10:15:00-02","MO","MOBOT","1046039","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"H.L. Mello Barreto","Barreto 2026","1933","4","15","South America","Brazil","Minas Gerais",NA,"Serro do Caraca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","1048625","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Hugh M. Curran","Curran 628","1918","12","9","South America","Brazil","Rio de Janeiro",NA,"Nova Friburge.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2010-08-24 09:46:00-03","MO","MOBOT","1048626","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"F. Sellow","Sellow 220","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2010-08-24 09:46:00-03","MO","MOBOT","1111352","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","483020","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Alwyn H. Gentry|Elsa M. Zardini|Cyl Farney","Gentry 49615","1985","1","16","South America","Brazil","Minas Gerais",NA,"CARACA: Trail to Cascatinha, behind monastery, Parque Natural de Caraca. transition between cerrado and campo de altura along black water stream.","-43.5","-20.25",NA,NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-48",NA,"2"
"44","2008-05-27 22:02:00-03","MO","MOBOT","483055","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Alwyn H. Gentry|Elsa M. Zardini|Cyl Farney","Gentry 49616","1985","1","16","South America","Brazil","Minas Gerais",NA,"CARACA: Trail to Cascatinha, behind monastery, Parque Natural de Caraca. transition between cerrado and campo de altura along black water stream.","-43.5","-20.25",NA,NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-48",NA,"2"
"45","2008-05-27 22:02:00-03","MO","MOBOT","483082","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"Alwyn H. Gentry|Elsa M. Zardini|Cyl Farney","Gentry 49618","1985","1","16","South America","Brazil","Minas Gerais",NA,"CARACA: Trail to Cascatinha, behind monastery, Parque Natural de Caraca. transition between cerrado and campo de altura along black water stream.","-43.5","-20.25",NA,NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-48",NA,"2"
"46","2020-06-15 15:29:09-03","UNESP-RC","HRCB","41157","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Assis, M.A.","Arzolla, F.A.R.D.P.","447","2004","01","28",NA,"Brasil","São Paulo","Cunha","Estrada de acesso ao Núcleo","-44.9599990844727","-23.0699996948242",NA,"Árvore 2m de altura, com frutos.",NA,NA,NA,NA,NA,"38855","auto","2005","03",NA,NA,NA,NA,NA,NA
"47","2021-02-25 10:12:29-03","CVRD","CVRD","10729","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Alexandre R. Zuntini","Luz, A.A. da","486","2008","02","11","América do Sul","BRASIL","MG","Santa Rita do Itueto","coletado em 11-12-2007","-41.3800010681152","-19.3596992492676",NA,"Estrada córrego do ouro 300 metros. <ll>dwc_commonname:</ll> Caroba do pasto","CVRD010729",NA,NA,NA,"Magnoliopsida","22522","auto","2010","01","18",NA,NA,NA,NA,NA
"48","2020-09-12 05:00:02-03","US","US","287390","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"-. Sellow","220?",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,"US03204883","US03204883_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"49","2020-09-12 05:00:02-03","US","US","1615669","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz",NA,"H. M. Curran","628","1918","12","9","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Nova Friburgo.",NA,NA,NA,NA,"US03204882","US03204882_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"50","2021-03-15 18:26:03-03","USP","SPF","195439","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Lohmann, LG","Martinelli, G","16272","2009","04","08",NA,"Brasil","Piauí","Caracol","Parque Nacional da Serra das ConfusõesBaixão do Canto verde","-43.363387","-10.084699",NA,"Arbusto de cerca de 4m; folhas discolores; frutos imaturos de cor verde; Caatinga","SPF00195439",NA,"500","633",NA,NA,NA,"2014",NA,NA,"-43.363387","-10.084699",NA,NA,NA
"51","2021-03-15 18:26:03-03","USP","SPF","188961","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima","Morawetz","Lohmann, LG","Mota, NFO","415","2005","11","05",NA,"Brasil","Minas Gerais","Carandaí","Pedra do Sino Hotel Fazenda, BR 040 km 6: Trilha do Bugio.","-43.8064002990723","-20.9535999298096",NA,"Árvore de 5m de altura em borda de mata. Folhas jovens.","SPF00188961",NA,"1000","1200",NA,"23079","auto","2008",NA,NA,NA,NA,NA,NA,NA
"52","2018-05-14 16:28:00-03","F","FMNH-SEEDPLANTS","V0445604F","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","pulcherrima","Jacaranda pulcherrima",NA,"RRC ID Flag","Mello Barreto","2025","1933","4","13","South America","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,"V0445604F","V0445604F_01 V0445604F_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025",NA,NA
