"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","county","yearIdentified","coordinatePrecision","geoFlag","class","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","typeStatus"
"11","2019-08-20 09:58:56-03","UNICAMP","UEC","174125","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Dutilh, JHA","s.n.","2000","01","17",NA,"Brazil","Rio Grande do Sul","BR-153","-53.4914016723633","-30.5121994018555",NA,"Flores lilases","UEC089069","Oliveira, RS","Caçapava do Sul","2013","50525","auto",NA,"UEC089069",NA,NA,"02",NA,NA,NA,NA,NA
"12","2021-01-21 16:43:57-03","UTFPR","HCF","4179","S","Plantae",NA,NA,"Amaryllidaceae","Zephyranthes","coerulea","Zephyranthes coerulea","(Griseb.) Baker","M.G. Caxambu","1122","2006","07","24",NA,"Brasil","PR","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Erva terrestre, heliófita, em área de campo queimado, com flores roxas.",NA,"J. Cordeiro & F. Marinero","Palmeira","2006","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:11:33-03","MBM","MBM","48077","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","38884","1976","09","21","Southern America","Brazil","Paraná","Colônia Mariental","-49.7158012390137","-25.7696990966797",NA,NA,"MBM048077","Ravenna, P.","Lapa",NA,"49965","auto",NA,"MBM048077",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:11:33-03","MBM","MBM","161792","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Imaguire, N.","2337","1972","05","13","Southern America","Brazil","Paraná","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,NA,"MBM161792","Hatschbach, G.","Piraquara",NA,"12577","auto",NA,"MBM161792",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:11:33-03","MBM","MBM","178677","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Imaguire, N.","127","1967","08","02","Southern America","Brazil","Paraná","Próximo ao Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,"Em campo","MBM178677","Imaguire, N.","Curitiba",NA,"25180","auto",NA,"MBM178677",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:11:33-03","MBM","MBM","335439","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Kozera, C.; et al.; et al.","2205","2005","06","03","Southern America","Brazil","Paraná","Ponte dos Arcos","-49.6356010437012","-25.5839004516602",NA,"Herbácea bulbosa em área de campo recém-queimado, flores róseas","MBM335439","Cordeiro, J.; Barboza, E.","Balsa Nova","2007","27346","auto",NA,"MBM335439",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:11:33-03","MBM","MBM","15978","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","24716","1970","09","18","Southern America","Brazil","Paraná","Serra São Luís","-49.6356010437012","-25.5839004516602",NA,NA,"MBM015978","Ravenna, P.","Balsa Nova",NA,"27346","auto",NA,"MBM015978",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:11:33-03","MBM","MBM","15984","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","25364","1970","11","04","Southern America","Brazil","Paraná","Santa Cândida","-49.2731018066406","-25.4277992248535",NA,"Campo seco, flor lilás","MBM015984","Ravenna, P.","Curitiba","1986","25180","auto",NA,"MBM015984",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:11:33-03","MBM","MBM","329375","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Gonçalves, V.H.","1","2006","09","26","Southern America","Brazil","Paraná","Fazenda Três Capões","-51.4580993652344","-25.395299911499",NA,"Herbácea, bulbosa, ripícula, floe alva, em área de campo","MBM329375","Cordeiro, J.; Barboza, E.","Guarapuava","2007","53832","auto",NA,"MBM329375",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:11:33-03","MBM","MBM","7898","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","19722","1968","09","15","Southern America","Brazil","Paraná","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Flor lilás, anteras amarelas. Campo pedregoso","MBM007898","Ravenna, P.","Lapa","1968","49965","auto",NA,"MBM007898",NA,NA,"12",NA,NA,NA,NA,NA
"21","2020-12-21 16:11:33-03","MBM","MBM","161793","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Imaguire, N.","2472","1970","09","23","Southern America","Brazil","Paraná","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,"Bulbífera, pétalas róseas. De campo","MBM161793","Hatschbach, G.","Piraquara",NA,"12577","auto",NA,"MBM161793",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:11:33-03","MBM","MBM","3771","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","17417","1967","10","11","Southern America","Brazil","Paraná","Rio Verde, Capão da Onça","-50.1618995666504","-25.0949993133545",NA,"Flor lilás rosada, do campo recem queimado","MBM003771","Ravenna, P.","Ponta Grossa","1968","46557","auto",NA,"MBM003771",NA,NA,"04",NA,NA,NA,NA,NA
"23","2020-12-21 16:11:33-03","MBM","MBM","12938","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.","23195","1969","12","12","Southern America","Brazil","Paraná","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Campo graminoso (encosta do morro). Floe lilás","MBM012938","Ravenna, P.","São José dos Pinhais","1970","45291","auto",NA,"MBM012938",NA,NA,"04",NA,NA,NA,NA,NA
"24","2020-12-21 16:11:33-03","MBM","MBM","318485","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","coeruleus","Habranthus coeruleus","(Griseb.) Traub.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","61037","1994","09","15","Southern America","Brazil","Santa Catarina","Rodovia BR 153, Rio Chapecozinho","-51.5560989379883","-26.9978008270264",NA,"Flor lilás rosado. Campo limpo, solo turfoso","MBM318485","Dutilh, J.","Água Doce","1995","52743","auto",NA,"MBM318485",NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-03 20:14:35-03","MNHN","RECOLNAT_MNHN_P","P02055291","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Souza, R.",NA,"1968","9","9",NA,"Brasil","Mato Grosso","C. 66 km S along road from Base Camp","-51.76667","-12.81667","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02055291' target='other'> <mi>dwc_moreinfo</mi></a>","P02055291",NA,NA,NA,NA,NA,NA,"P02055291_01",NA,NA,NA,NA,"6886",NA,NA,NA
"26","2021-02-11 17:17:48-03","UFPR","UPCB","11959","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub.","Cure, J.R.",NA,"1981","03","30",NA,"Brasil","Paraná","Parque da Cidade","-49.2731018066406","-25.4277992248535",NA,"Flor lilás, cresce após as queimas..",NA,"Cervi, A.C.","Curitiba","1985","25180","auto",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","3031907","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Gert G. Hatschbach","Hatschbach 23195","1969","12","12","South America","Brazil","Pará","Rio Pequeno (Mun. S. José dos Pinhaes).",NA,NA,NA,NA,NA,"P.F. Ravenna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"950.00000000",NA,NA
"28","2020-09-12 05:00:02-03","US","US","1481896","PreservedSpecimen","Plantae",NA,"Liliales","Amaryllidaceae","Zephyranthes","coerulea","Zephyranthes coerulea",NA,"P. K. Dusén","17176","1915","9","13","South America","Brazil","Paraná","Curityba",NA,NA,NA,NA,"US00040909",NA,NA,NA,NA,NA,"Monocotyledonae","US00040909_01",NA,NA,NA,NA,NA,NA,"1",NA
"29","2019-11-13 11:14:17-03","USP","SPF","228403","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Dutilh, JHA","s.n.","2000","01","17",NA,"Brasil","Rio Grande do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,"SPF00228403","Anônimo","Caçapava do Sul",NA,"50525","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-09-05 16:20:03-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaryllidaceae","Zephyranthes","caerulea","Zephyranthes caerulea",NA,"P. G. Lorentz","877","1877","3","2","South America","Uruguay",NA,NA,"-55.7933","-32.8667",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"31","2021-02-08 12:50:40-03","UFRGS","ICN","081622","S","Plantae","Monocotyledon",NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Moraes, M Sobral; E.","4453",NA,NA,NA,"América do Sul","Brasil","RS","Ibirapuitã Reserva Biológica","-55.7919006347656","-29.7831001281738",NA,"Flores brancas; Em campo mais ou menos alagadiço.",NA,"Bastian, RE","Alegrete","2020","89305","auto",NA,NA,NA,NA,"02","20",NA,NA,NA,NA
"32","2021-02-08 12:50:40-03","UFRGS","ICN","127316","S","Plantae","Monocotyledon",NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Pinheiro, M","530",NA,NA,NA,"América do Sul","Brasil","RS","Parque Estadual de Itapuã, morro do Araçá","-51.0233001708984","-30.0811004638672",NA,"campo rupestre",NA,"Bastian, RE","Viamão","2020","41667","auto",NA,NA,NA,NA,"02","20",NA,NA,NA,NA
"33","2021-02-08 12:50:40-03","UFRGS","ICN","192656","S","Plantae","Monocotyledon",NA,"Amaryllidaceae","Habranthus","caeruleus","Habranthus caeruleus","(Griseb.) Traub","Hagelund, K","s.n.","1970",NA,NA,"América do Sul","Brasil","RS","Granja Piratini","-54.2630996704102","-28.2992000579834",NA,NA,NA,"Bastian, RE","Santo Ângelo","2020","25915","auto",NA,NA,NA,NA,"02","20",NA,NA,NA,NA
